CED_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED201,4,22,30,188,32,32,22,3,0,334,0,0,0,24,32,17,3,0,0,70,8,71,135,579,304,217,167,52,11,1534,0,8,4,87,61,106,142,31,51,494,0,3,4,19,11,7,12,0,0,59,0,5,15,65,64,146,194,121,45,646,3,89,190,277,180,155,130,27,16,1061,4,38,83,280,215,167,174,72,16,1058,7,112,304,1285,638,685,528,186,48,3788,4,23,7,178,39,40,35,6,0,340,4,29,43,220,86,36,10,4,0,439,0,0,0,23,30,31,24,12,3,130,6,50,49,152,52,62,35,12,9,423,5,29,54,319,348,353,195,43,16,1357,0,3,3,17,14,32,34,25,21,154,0,0,10,52,21,15,14,3,0,116,17,112,232,945,577,696,618,533,316,4061,209,483,474,1284,536,530,490,460,241,4703,8428,18684,18981,42500,21548,20530,15998,8898,3540,159103
CED202,0,17,18,124,15,0,0,0,0,193,0,0,4,14,32,5,0,0,0,54,10,58,75,351,102,66,47,10,0,715,0,0,0,31,9,20,15,6,0,91,0,0,0,4,0,5,0,4,0,24,0,14,14,66,60,102,163,111,28,553,0,6,15,29,26,16,11,0,0,105,5,20,30,110,76,60,47,16,0,359,0,13,29,169,38,21,14,5,0,286,0,4,3,43,7,3,0,0,0,61,0,19,30,87,44,20,5,0,0,204,0,0,0,8,4,4,3,0,0,26,7,38,42,137,72,65,77,16,0,446,0,5,28,98,26,18,11,4,0,191,0,4,0,17,16,24,22,22,4,115,0,7,7,46,20,8,13,6,5,108,13,70,108,463,235,246,270,163,76,1657,382,907,900,1965,1092,1086,1075,712,353,8469,8478,19561,17736,37446,19622,19499,17372,8981,3545,152243
CED203,0,9,12,81,15,0,0,0,0,120,0,0,3,20,47,19,3,0,0,100,3,48,73,368,128,69,52,9,0,760,0,0,0,10,7,7,21,9,3,61,0,0,0,6,0,0,6,0,0,14,0,3,8,47,59,102,127,88,30,466,0,6,7,14,10,16,9,0,0,61,5,19,48,122,83,48,42,24,6,387,6,23,29,139,43,38,27,15,3,309,0,5,7,114,3,0,0,3,0,132,9,197,324,230,27,19,4,0,0,805,0,0,0,10,8,3,5,3,0,30,6,24,34,72,62,50,65,23,3,350,0,9,10,105,45,22,5,0,0,206,0,5,0,12,16,29,28,15,10,106,0,3,5,39,20,8,5,3,0,82,20,73,99,346,176,173,191,135,35,1254,398,967,857,2093,1163,1280,1085,828,453,9126,8471,18980,16790,36630,19119,20117,18353,10043,4060,152555
CED204,64,436,526,1327,244,135,58,13,6,2820,0,0,6,14,6,3,0,0,0,37,17,133,217,916,396,429,209,64,19,2408,0,0,17,161,127,316,312,124,66,1126,3,24,57,124,114,112,50,16,0,502,0,4,15,38,68,178,193,138,61,697,8,74,74,133,76,78,67,8,3,522,4,33,55,234,218,177,156,82,20,974,34,279,630,3508,1276,1215,855,387,125,8308,0,4,13,156,14,16,21,0,0,226,4,29,52,253,69,31,17,3,0,456,3,10,12,79,151,170,107,58,15,605,12,42,56,98,38,41,18,6,5,306,5,43,126,850,500,501,269,69,43,2410,0,0,4,14,16,23,20,21,5,103,0,7,17,63,32,14,8,0,0,145,37,291,634,2694,1795,2013,1541,842,329,10174,585,1113,1146,3092,1112,976,738,470,211,9448,10950,22566,23308,51484,22936,21311,15323,8050,3212,179139
CED205,60,439,452,2321,344,92,49,12,0,3758,0,4,12,15,7,4,4,0,0,48,16,113,276,1198,509,466,242,48,9,2879,0,0,0,44,37,55,67,22,8,243,0,71,113,297,253,222,96,20,0,1067,0,0,7,22,20,59,77,34,17,238,6,48,64,119,62,64,24,8,0,377,0,13,19,74,31,29,22,10,0,205,11,170,352,1442,657,561,196,77,26,3503,0,0,9,52,6,8,5,0,0,71,6,24,38,274,63,35,7,3,0,444,19,147,245,1736,1855,1733,846,459,68,7109,9,56,46,84,20,25,7,4,0,249,4,34,55,432,327,335,151,47,17,1395,0,0,0,8,5,3,6,0,0,23,0,9,28,86,50,9,3,0,0,185,94,990,1147,3612,1740,1509,960,441,148,10648,722,1545,1226,3416,1158,892,555,328,105,9954,15586,29099,25373,61970,21444,17912,10657,4948,1482,188482
CED206,0,4,3,38,7,4,3,5,0,53,0,8,0,19,39,21,6,3,0,94,0,30,44,234,115,88,56,11,6,584,0,0,7,63,42,51,82,30,14,288,0,0,0,4,5,9,5,0,0,18,0,12,20,92,98,210,217,154,49,853,5,22,24,46,28,27,21,3,0,174,0,17,71,247,233,128,114,48,9,869,0,10,15,176,72,66,54,28,10,427,0,0,0,33,8,7,3,0,0,58,5,21,75,173,43,22,4,0,0,338,0,3,0,9,16,3,0,4,0,42,4,43,43,167,106,78,83,34,0,557,0,10,14,82,33,17,4,5,0,168,0,0,4,11,27,53,30,22,10,154,0,3,11,34,29,30,12,0,0,120,14,69,99,534,390,421,370,322,102,2309,238,606,608,1360,870,825,686,446,196,5843,9368,19916,18320,39837,21712,20483,16491,8622,2699,157444
CED207,0,71,139,402,64,30,10,0,0,721,0,0,7,10,21,20,4,3,0,64,12,56,142,672,170,176,96,24,7,1351,0,7,6,73,49,124,129,73,49,513,0,0,0,3,3,3,6,0,0,18,3,8,20,46,60,80,94,137,61,509,16,200,346,424,253,200,159,52,7,1663,0,72,110,263,196,138,107,64,24,987,21,303,956,2474,1029,817,688,327,125,6743,6,34,71,516,139,99,120,12,3,1006,5,31,75,298,111,43,35,22,5,627,0,4,8,54,55,68,53,48,22,319,24,139,134,150,87,78,48,29,0,682,4,71,257,675,721,644,454,125,47,2994,0,4,3,11,16,18,11,21,12,87,0,4,34,63,20,16,6,3,0,153,41,272,563,1396,654,664,625,589,318,5131,202,540,1103,2141,700,565,567,564,483,6865,7454,20601,26787,50308,23436,19846,16313,12503,6401,183655
CED208,4,33,49,290,24,17,5,5,0,430,0,7,7,30,30,3,4,0,0,80,6,50,79,539,148,138,105,22,6,1104,0,0,0,72,34,28,43,22,15,218,0,3,6,7,17,16,4,4,0,63,0,11,17,178,90,83,59,39,11,488,0,27,28,199,57,24,23,14,0,368,0,13,33,258,82,35,25,6,0,454,4,14,96,428,76,118,79,31,10,854,0,4,12,145,13,15,6,3,0,197,3,37,41,242,64,27,11,3,0,429,0,0,10,92,77,68,47,32,9,332,25,61,62,493,118,70,36,8,0,881,3,55,224,764,512,568,294,114,37,2566,0,0,0,36,21,8,12,9,0,95,0,4,7,69,16,7,4,0,0,111,70,264,291,2372,677,611,483,321,154,5241,254,502,716,2226,842,687,589,461,333,6605,8354,15317,16926,55121,21520,16198,11117,7645,4071,156279
CED209,0,9,27,102,11,3,0,0,0,157,0,0,3,11,27,13,8,0,0,64,4,37,77,372,103,82,50,8,0,731,0,0,3,40,19,11,36,12,18,140,0,0,0,11,4,0,0,0,0,12,0,12,17,112,88,155,207,145,46,781,0,18,12,44,23,19,20,0,0,144,4,38,74,214,141,110,69,34,7,696,0,6,73,164,28,20,20,9,7,323,0,3,4,32,0,3,0,0,0,48,0,12,30,93,36,8,0,0,0,188,0,0,0,11,9,6,6,0,0,31,20,54,51,192,76,57,66,25,0,555,0,3,36,91,37,14,7,4,4,193,0,7,4,25,35,38,44,26,4,184,0,3,18,74,22,13,5,4,0,138,17,100,119,573,266,278,302,210,90,1953,225,721,658,1471,783,833,1023,706,304,6733,9176,19775,16997,38245,18524,18027,18371,9805,3841,152752
CED210,13,89,125,363,33,9,13,3,0,642,0,5,4,23,36,11,0,3,0,83,15,67,152,553,254,164,100,25,4,1328,0,0,4,46,35,50,82,38,48,301,0,3,3,16,7,5,0,0,0,36,0,19,14,100,89,196,221,166,51,865,0,18,32,55,31,30,30,3,3,208,3,22,46,162,77,67,53,18,11,450,7,26,53,307,56,23,36,15,3,524,0,0,4,50,3,0,0,0,0,61,6,154,207,223,59,32,13,0,0,682,0,0,0,28,35,33,20,26,0,148,10,31,51,164,68,53,51,23,0,440,0,18,55,209,111,86,29,12,3,517,0,0,6,25,26,30,37,32,8,155,0,0,8,45,23,13,13,0,0,102,19,186,254,948,429,584,579,521,226,3757,333,863,936,2208,999,866,823,605,262,7888,8927,18638,19460,44294,20133,18988,15914,9111,3776,159242
