CED_CODE_2021,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
CED201,24,45,402,182,55,515,101,599,36,1963,146,497,1086,295,266,549,314,541,72,3766,942,2103,2265,494,680,504,561,724,183,8461,1959,2546,2068,372,682,479,615,597,200,9522,1836,1746,2008,378,634,465,844,690,168,8771,1373,1312,1622,331,552,378,889,669,133,7258,368,437,378,87,168,120,272,237,41,2108,29,56,40,10,20,15,16,28,5,214,3,3,0,0,0,0,0,0,3,8,6682,8749,9870,2148,3058,3024,3611,4085,843,42071,33,41,53,437,113,1122,19,282,22,2120,193,618,211,775,558,841,67,243,59,3554,761,3062,440,1166,1485,641,101,261,124,8036,1093,3046,408,1171,1815,619,144,338,165,8791,1058,2007,434,1420,2258,731,195,531,128,8763,569,1337,274,1043,2040,537,193,538,88,6609,100,262,59,231,455,134,38,156,35,1472,7,21,3,9,34,3,0,20,3,99,0,0,0,0,0,0,0,0,0,3,3798,10401,1893,6252,8755,4612,767,2368,611,39450
CED202,68,32,553,210,40,473,82,670,44,2165,180,218,1091,342,116,372,214,584,60,3184,800,1346,2214,608,410,437,685,871,139,7498,1307,1567,1754,447,415,301,656,703,104,7245,1543,1391,1526,512,434,367,832,720,146,7467,1135,1062,1245,365,349,313,840,738,117,6171,451,409,266,96,118,112,256,213,38,1962,145,52,16,9,10,17,7,24,13,295,15,0,0,0,0,0,0,9,3,27,5655,6082,8661,2587,1902,2383,3565,4528,664,36021,33,39,76,527,112,1079,20,346,34,2258,142,408,192,1017,464,614,43,248,44,3161,548,2307,451,1448,1171,610,62,383,74,7058,777,2511,378,1199,1455,474,39,404,88,7321,920,2108,330,1288,1664,512,91,580,88,7570,651,1505,213,1081,1384,494,91,545,58,6026,205,358,39,194,286,97,26,157,34,1396,45,24,6,10,17,10,5,13,14,134,0,0,0,3,0,0,0,0,4,17,3324,9261,1677,6758,6550,3887,379,2666,438,34948
CED203,41,18,462,152,33,457,108,757,43,2076,127,235,956,319,143,299,252,645,68,3044,672,1312,2052,551,323,378,653,1032,125,7104,1231,1494,1635,471,354,312,641,812,124,7065,1369,1381,1462,541,431,328,823,723,142,7194,1130,1000,1219,454,385,293,878,735,119,6210,439,447,282,121,121,115,254,238,45,2057,123,50,30,8,18,21,19,30,21,314,14,6,0,0,0,0,0,0,5,31,5139,5947,8092,2616,1802,2207,3631,4972,688,35094,25,14,87,481,117,1088,21,350,33,2219,121,445,214,889,395,559,43,292,39,3002,496,2449,423,1355,1012,544,76,530,81,6978,837,2513,347,1154,1307,452,77,462,84,7241,935,2157,306,1226,1569,540,96,534,97,7468,627,1556,209,1147,1403,506,109,655,83,6295,217,422,49,216,362,109,16,128,27,1544,55,15,0,5,25,13,0,17,10,145,6,0,0,0,0,0,0,0,4,7,3311,9578,1639,6473,6202,3820,434,2971,458,34890
CED204,21,43,351,136,54,445,132,583,52,1815,159,408,1314,316,322,564,464,725,143,4415,910,1824,2963,558,770,549,1302,1374,331,10584,1442,1824,2641,430,684,483,1277,1020,250,10047,1378,1159,2181,396,571,417,1401,981,219,8706,1056,819,1604,291,540,304,1358,886,142,6994,255,287,398,89,135,101,314,238,33,1850,30,42,26,4,10,17,11,27,14,189,0,0,4,0,0,4,0,0,0,7,5252,6405,11484,2207,3093,2877,6260,5838,1182,44601,20,45,41,348,123,1017,32,251,27,1906,148,624,186,795,571,905,101,352,88,3775,672,2491,453,1355,1510,634,191,610,195,8119,834,2188,411,1367,1691,552,208,580,163,7994,743,1443,354,1464,1873,542,302,740,126,7585,439,848,228,1029,1523,481,240,731,79,5602,95,205,41,171,359,82,42,174,21,1177,0,17,6,4,27,14,6,8,9,85,0,0,0,0,0,0,0,0,0,0,2954,7866,1723,6526,7677,4229,1116,3442,704,36242
CED205,34,21,382,113,54,376,93,576,49,1698,172,285,1264,362,300,464,562,784,155,4343,1035,1784,2958,785,949,596,1944,1457,379,11892,1525,1915,2325,713,818,462,2093,1101,293,11244,1002,821,1602,368,462,288,1454,936,187,7132,627,479,1065,249,389,219,1230,699,116,5066,124,140,184,58,69,53,188,151,23,995,6,14,17,0,5,5,10,13,0,69,0,0,0,0,0,0,0,0,0,0,4526,5461,9795,2657,3045,2462,7570,5713,1208,42439,29,42,32,210,100,977,35,176,39,1645,155,602,199,834,653,932,127,273,116,3880,712,2743,424,1885,1763,780,256,609,255,9437,763,2120,392,1817,1686,569,174,537,180,8242,517,995,253,1305,1307,473,224,645,105,5829,258,448,145,738,1015,362,143,496,58,3654,37,90,12,91,165,71,21,81,11,575,5,0,0,0,5,4,0,8,0,33,0,0,0,0,0,0,0,0,0,0,2481,7044,1459,6894,6692,4175,978,2816,762,33301
CED206,31,32,724,215,32,383,70,726,41,2266,146,223,1493,288,138,341,227,589,71,3521,840,1313,3208,525,360,372,567,826,173,8190,1715,1637,2556,407,454,364,642,764,158,8691,1954,1530,2311,408,460,355,914,806,191,8927,1525,1099,1842,349,460,301,897,740,126,7334,499,486,448,104,138,125,269,239,49,2346,91,82,32,13,15,21,15,37,8,324,7,3,0,0,0,0,0,0,0,15,6800,6395,12624,2308,2062,2267,3606,4731,826,41625,29,31,125,641,103,977,26,387,30,2341,164,393,274,982,485,665,68,292,54,3370,729,2503,532,1443,1436,510,102,339,128,7720,1088,2659,463,1257,1697,474,122,407,119,8289,1206,2047,426,1473,2135,683,148,510,135,8756,702,1399,311,1190,1816,587,116,474,80,6677,190,367,69,235,484,142,23,136,25,1677,35,28,0,14,38,6,0,20,5,143,0,4,0,0,0,0,0,0,4,13,4139,9431,2206,7233,8192,4045,600,2553,585,38996
CED207,19,94,159,292,97,469,77,535,36,1789,240,908,775,599,493,819,384,750,110,5073,1148,3709,1655,566,922,729,653,879,279,10535,2272,3815,1278,291,692,512,412,414,199,9888,2297,3006,1303,339,606,470,476,491,165,9167,1463,2007,1011,265,516,308,457,469,117,6623,377,640,262,78,207,103,128,162,42,2004,74,108,35,15,40,21,14,30,15,351,3,5,5,0,5,3,5,0,8,36,7901,14295,6503,2451,3581,3434,2601,3731,973,45469,29,122,48,507,169,928,17,204,23,2049,171,1106,185,1095,737,1052,53,253,72,4722,869,4085,400,1094,1383,710,60,350,178,9137,1546,3753,382,914,1615,566,64,283,211,9338,1438,3007,345,1074,1859,611,101,373,144,8951,687,1823,248,745,1433,389,79,350,80,5829,125,470,57,177,418,99,23,113,27,1503,16,43,0,16,66,12,5,12,21,202,0,5,0,0,0,0,0,0,8,12,4882,14412,1671,5623,7675,4357,405,1948,766,41735
CED208,13,26,145,163,48,290,38,372,17,1113,132,426,723,505,260,448,249,503,83,3339,1239,3989,2119,985,935,672,685,987,260,11861,2167,3841,1514,508,754,417,473,531,181,10385,1781,2568,1277,378,622,368,615,567,142,8323,840,1361,821,270,402,223,509,501,89,5019,174,375,199,69,93,61,135,143,26,1269,24,34,13,5,8,11,8,20,9,128,5,0,0,0,0,4,0,0,0,16,6360,12632,6805,2882,3120,2496,2714,3636,812,41446,15,48,23,352,82,711,6,146,24,1411,141,651,174,944,538,745,60,228,56,3534,1360,5699,591,1614,1638,743,125,358,198,12322,1808,4652,386,944,1504,377,78,233,163,10155,1430,3093,319,906,1643,471,80,321,114,8367,601,1662,166,590,1114,319,84,323,65,4930,99,335,32,127,231,57,13,102,16,1014,6,17,3,3,12,0,5,11,12,69,0,0,0,0,0,0,0,0,3,10,5471,16160,1687,5488,6750,3429,448,1721,651,41811
CED209,23,24,489,223,30,498,91,727,26,2127,154,250,1075,358,138,444,252,586,44,3303,836,1527,2380,682,356,394,579,812,110,7676,1649,1931,2122,600,415,383,547,664,149,8466,1614,1475,1698,556,423,360,667,612,152,7565,1141,1129,1122,389,337,302,682,512,120,5734,411,501,288,93,139,140,203,194,53,2009,103,66,24,10,14,18,17,25,9,279,11,9,4,0,0,0,0,0,0,21,5940,6896,9207,2902,1868,2536,3030,4131,664,37176,31,20,63,670,91,1105,29,300,28,2337,135,421,229,1110,349,659,73,218,43,3243,712,2847,491,1469,1104,535,70,294,97,7612,1058,3109,456,1278,1572,507,69,314,119,8490,1068,2251,340,1261,1693,602,77,392,112,7799,648,1448,210,1031,1438,546,70,372,57,5825,171,347,46,185,390,116,8,94,28,1392,30,28,4,8,26,8,0,12,5,119,3,0,0,0,0,0,0,0,4,19,3861,10465,1849,7006,6664,4084,402,1995,500,36829
CED210,24,21,393,200,40,480,77,705,35,1973,144,358,1096,420,201,431,360,647,107,3752,820,1935,2585,729,499,518,1012,1144,197,9448,1420,1766,1790,524,451,340,766,784,159,8003,1487,1478,1519,506,404,282,949,762,168,7552,948,1046,1153,382,355,277,971,682,114,5924,273,378,259,90,109,86,249,200,45,1689,57,45,29,8,13,14,14,28,18,232,3,9,0,0,4,0,0,3,0,23,5179,7036,8814,2858,2070,2439,4399,4955,847,38591,35,20,83,502,87,1091,47,278,22,2160,177,552,223,1159,450,744,121,314,50,3784,738,3298,529,1635,1261,651,164,443,126,8843,959,2677,385,1177,1395,509,132,445,130,7822,851,2074,346,1403,1601,569,152,581,111,7672,522,1341,218,1097,1284,443,137,609,66,5710,107,316,39,197,320,103,25,177,24,1305,11,17,3,8,17,3,0,24,14,103,0,0,0,0,0,0,0,0,9,9,3392,10294,1828,7172,6414,4115,775,2868,538,37400
