CED_CODE_2021,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_SAR_Ch_0_4,F_Hong_Kong_SAR_Ch_5_14,F_Hong_Kong_SAR_Ch_15_24,F_Hong_Kong_SAR_Ch_25_44,F_Hong_Kong_SAR_Ch_45_54,F_Hong_Kong_SAR_Ch_55_64,F_Hong_Kong_SAR_Ch_65_74,F_Hong_Kong_SAR_Ch_75_84,F_Hong_Kong_SAR_Ch_85ov,F_Hong_Kong_SAR_Ch_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot
CED201,0,0,0,11,29,24,20,13,0,95,12,171,226,2322,711,652,365,129,49,4640,0,0,0,4,14,31,35,28,11,123,0,4,15,45,33,58,69,31,6,261,3,45,85,267,314,531,574,496,211,2531,0,3,9,37,39,39,27,9,7,168,0,0,0,17,5,15,4,8,0,52,0,4,8,57,41,58,119,153,121,561,0,0,4,5,27,52,81,66,33,277,7,40,50,313,128,210,113,17,10,884,10,120,206,1214,450,289,155,95,32,2567,0,9,22,187,92,37,36,20,0,416,0,21,39,257,64,53,18,9,5,465,0,10,15,27,10,14,15,7,0,89,0,8,4,25,17,34,56,29,13,190,0,7,0,25,24,92,170,127,70,514,0,3,8,45,35,9,7,9,0,118,0,11,54,177,94,42,15,4,0,403,0,0,0,11,24,39,21,8,5,104,0,91,194,635,356,406,303,94,27,2112
CED202,0,6,0,3,6,8,5,6,0,24,0,15,29,213,65,44,37,6,0,409,0,0,0,0,8,17,28,21,10,85,0,0,4,6,0,4,8,3,0,24,10,72,56,228,246,430,502,302,124,1961,0,4,4,14,9,8,4,4,0,42,0,4,4,14,8,7,8,3,0,45,0,0,6,37,19,41,97,57,26,290,0,0,0,0,0,0,16,13,4,37,0,4,5,14,6,9,0,0,0,43,3,58,143,538,53,35,21,9,0,875,0,3,10,30,10,0,4,0,4,71,0,0,7,16,6,0,3,0,0,40,0,0,4,11,8,5,0,0,0,23,0,6,6,39,28,13,26,11,11,126,0,0,0,13,7,15,25,9,18,94,0,0,3,42,20,9,3,0,7,85,0,0,3,26,5,5,0,0,0,41,0,0,0,3,0,6,0,0,0,4,0,10,12,57,33,36,14,5,3,169
CED203,0,0,0,4,3,7,0,0,0,6,0,6,31,129,43,31,12,3,0,252,0,0,0,7,4,9,15,13,3,46,0,5,3,17,0,3,4,3,0,37,4,50,44,181,223,402,398,275,113,1690,0,0,4,14,11,5,0,0,0,37,0,4,0,26,11,4,8,0,0,49,0,0,3,17,19,39,69,38,12,200,0,0,0,5,3,3,13,11,6,51,0,3,3,10,9,5,8,0,0,39,6,35,59,398,40,28,18,10,3,604,0,0,7,29,20,12,5,0,0,83,0,7,10,10,3,3,0,0,0,29,0,0,0,6,0,0,0,0,0,10,0,5,0,27,6,14,18,14,6,85,0,0,0,6,8,17,38,14,10,93,0,0,4,23,6,6,5,5,0,49,5,0,0,34,3,6,0,0,0,46,0,0,0,0,0,5,0,0,0,11,0,6,12,76,28,30,19,5,4,184
CED204,0,0,0,40,81,79,85,39,16,344,5,75,95,1051,387,467,260,124,48,2513,0,0,4,100,61,182,163,95,44,655,0,11,34,79,55,68,85,54,25,417,0,35,63,161,238,429,363,281,136,1715,0,7,28,170,141,134,43,34,10,566,0,0,6,22,12,10,4,3,5,61,0,0,21,43,31,28,75,76,38,308,0,12,27,48,45,87,193,200,63,680,3,4,11,80,32,50,24,3,0,211,44,239,502,2509,659,450,286,140,64,4894,3,30,23,184,74,53,46,6,5,422,5,89,150,294,52,43,13,4,0,647,0,12,24,106,50,41,21,11,3,264,0,7,3,28,10,21,32,15,11,136,0,3,0,22,31,134,259,260,131,840,0,3,9,27,10,7,5,0,0,67,0,13,28,130,71,27,7,3,0,288,0,3,16,80,104,104,74,29,8,434,8,43,77,312,125,114,112,31,8,831
CED205,0,0,0,9,8,21,9,6,0,64,0,11,25,202,81,69,27,16,4,431,0,0,0,18,19,47,79,62,4,227,3,28,37,125,51,78,57,46,13,441,0,36,43,102,64,142,121,81,27,622,3,4,36,227,106,96,51,16,3,542,0,0,0,8,6,4,0,3,0,29,0,4,10,33,22,15,35,20,10,142,0,10,29,41,28,67,111,96,33,413,0,4,3,41,10,6,10,0,0,80,52,381,536,5003,451,384,256,46,24,7124,0,4,17,107,35,13,4,4,0,194,0,32,47,185,32,35,16,5,4,360,13,643,948,3121,1259,865,487,240,73,7656,0,9,0,11,6,12,4,5,0,53,0,3,18,32,55,274,418,258,127,1178,0,3,0,20,7,0,0,0,0,38,3,0,3,51,9,4,0,0,0,76,21,72,91,635,443,357,171,51,13,1849,4,15,15,123,34,25,24,4,0,245
CED206,0,0,0,14,15,10,9,4,0,47,0,15,39,277,108,89,47,19,0,591,0,0,0,3,12,12,12,18,0,58,0,0,7,9,4,3,10,7,0,39,6,54,115,425,563,974,901,607,240,3886,0,0,4,12,12,18,3,3,0,49,0,9,3,36,7,5,8,3,0,75,0,0,9,50,58,81,150,105,46,501,0,0,0,6,5,13,21,23,0,72,0,4,8,46,20,10,5,4,0,89,0,44,34,284,71,50,39,22,14,566,0,0,10,40,23,6,19,4,5,112,0,7,3,93,20,14,4,0,0,144,0,0,0,5,0,5,0,0,0,9,0,4,7,40,22,27,35,24,9,162,0,4,0,24,11,57,128,89,70,390,0,4,6,32,30,8,13,4,0,99,3,3,3,45,10,5,0,0,0,73,0,0,0,5,3,9,5,0,0,25,4,43,21,69,41,34,26,6,0,262
CED207,0,4,3,13,18,9,16,12,0,77,52,712,1560,6128,2347,1792,1139,441,200,14361,0,0,0,4,11,24,43,47,33,164,0,19,7,44,16,37,64,70,32,295,14,74,129,228,207,259,256,314,166,1647,0,0,0,55,39,37,25,19,5,176,0,6,4,21,17,15,15,10,8,92,0,9,20,32,24,26,60,101,46,309,0,9,24,37,52,177,409,589,208,1505,16,104,150,482,213,317,252,45,8,1589,35,398,552,2536,596,402,272,145,58,4988,7,24,113,379,155,62,107,27,14,887,0,29,48,249,79,37,28,14,5,500,0,5,8,31,4,0,3,3,0,56,0,0,10,23,17,19,11,26,17,124,0,3,15,34,29,76,217,302,156,839,3,20,50,137,102,29,27,16,0,388,0,46,118,410,225,89,25,13,5,940,0,0,0,16,18,22,23,3,4,94,11,80,396,1182,535,624,523,228,66,3639
CED208,0,5,0,47,23,21,11,4,9,119,5,37,172,872,332,394,218,69,45,2154,0,0,0,11,15,34,42,50,19,180,0,8,6,31,17,24,43,27,19,168,9,90,66,658,280,213,147,81,41,1583,0,0,0,39,20,20,16,3,0,109,0,5,4,81,22,13,4,0,0,135,0,0,11,126,37,26,42,29,11,290,0,7,35,85,102,269,616,891,377,2388,3,7,20,108,18,14,13,0,0,191,30,84,159,1000,98,69,52,25,8,1531,0,9,21,130,33,17,9,8,3,226,0,8,8,128,20,11,5,7,5,183,0,3,8,51,19,18,14,3,4,118,0,4,5,123,29,25,13,9,8,211,3,8,12,139,53,270,696,1094,677,2948,0,3,9,159,73,14,9,0,0,273,0,0,6,97,14,0,4,4,0,133,0,5,3,94,144,160,153,69,26,655,0,14,38,334,64,70,66,22,0,611
CED209,0,0,0,12,10,6,8,0,0,28,0,11,31,176,62,38,20,8,0,352,0,0,0,8,18,18,36,16,4,96,0,0,0,7,0,7,9,6,0,38,14,108,135,452,362,601,693,464,198,3022,0,0,0,20,8,14,0,0,0,49,0,9,7,27,13,8,4,5,0,73,0,8,8,72,25,40,120,69,49,382,0,0,0,0,9,16,33,36,8,105,0,6,3,32,6,11,7,0,0,67,6,31,99,534,45,40,29,15,7,804,0,6,0,48,18,4,16,3,3,92,0,3,13,42,6,9,0,0,0,74,0,0,4,13,3,4,0,0,0,27,0,10,12,65,30,25,30,17,8,191,0,0,5,21,12,29,104,42,41,255,0,11,0,30,16,4,4,4,0,74,0,5,5,28,9,0,0,0,0,51,0,0,0,8,9,5,4,0,0,16,0,15,13,50,39,31,14,5,0,167
CED210,0,0,0,7,5,0,6,0,0,23,5,38,56,268,93,70,45,24,3,608,0,0,8,44,47,104,161,176,68,609,5,7,13,24,0,6,4,4,0,65,7,64,91,283,264,495,487,356,151,2200,0,0,0,28,4,9,5,0,0,53,4,4,8,28,11,8,0,0,3,60,0,4,3,46,25,36,163,90,68,435,0,4,0,11,9,18,39,58,24,155,0,15,9,32,9,13,5,0,0,89,12,67,133,908,55,32,38,8,4,1256,3,3,17,59,25,6,11,0,0,132,0,16,34,81,18,10,3,0,0,172,0,13,11,40,17,14,4,5,0,101,0,14,4,54,26,29,27,15,11,189,0,0,5,21,26,65,159,179,112,567,0,6,7,35,20,6,0,0,0,86,0,10,5,47,5,4,6,0,0,69,0,3,0,9,8,23,5,3,0,44,0,8,16,107,27,38,16,10,3,233
