CED_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED211,..,323,563,178,190,191,155,50,19,1667,..,128,688,732,870,1557,2182,2026,1170,9354,136,224,196,121,88,93,103,77,24,1065,14146,8778,10160,12084,11315,9834,8321,5329,1957,81935,..,159,7050,15794,13854,11901,9676,5555,1191,65185,..,808,4539,2417,1937,1118,537,188,20,11566,..,56,427,1355,2270,1412,589,452,273,6832,28779,..,..,..,..,..,..,..,..,28779,..,9921,..,..,..,..,..,..,..,9921,..,5148,3663,1008,728,349,72,3,0,10968,..,615,586,253,254,517,577,341,196,3333,..,393,518,183,135,97,40,17,3,1392,..,734,1394,442,392,416,326,119,23,3856,..,256,1378,1553,1892,2748,3138,2661,1535,15166,282,412,358,238,189,151,161,110,41,1943,29063,18494,19913,23244,21652,18722,15122,9452,3286,158944
CED212,..,276,401,156,196,270,184,71,15,1564,..,148,717,643,941,1730,2114,1700,842,8839,190,256,161,110,90,99,103,60,32,1104,13868,8041,9655,10732,10684,9515,7502,4279,1572,75846,..,118,5241,11423,11540,10271,8187,4265,880,51919,..,1107,5702,3693,2710,1631,651,220,37,15742,..,134,893,1854,2493,1480,605,360,269,8091,27985,..,..,..,..,..,..,..,..,27985,..,7789,..,..,..,..,..,..,..,7789,..,5327,3293,997,609,334,81,0,0,10648,..,546,519,216,313,525,539,311,188,3156,..,390,424,188,156,102,64,20,10,1359,..,538,926,418,476,572,385,157,33,3507,..,303,1522,1595,2270,3163,3335,2402,1169,15764,379,461,362,246,215,212,172,103,37,2185,28358,16707,18871,20636,20785,18288,14007,7847,2619,148129
CED213,..,141,227,81,147,204,203,88,20,1120,..,111,374,417,809,1797,2682,2561,1262,10017,158,216,150,89,124,213,172,101,44,1260,10823,6531,6484,7793,9755,10089,10374,6821,2200,70857,..,60,3480,8259,10183,11093,12336,7565,1635,54612,..,836,3986,2634,2589,1923,1146,415,70,13604,..,83,569,1317,2153,1174,525,387,237,6432,22071,..,..,..,..,..,..,..,..,22071,..,6460,..,..,..,..,..,..,..,6460,..,4559,2293,787,634,327,67,7,0,8673,..,397,286,137,220,382,408,285,201,2305,..,272,275,109,120,83,62,26,9,949,..,302,546,202,306,423,402,187,42,2406,..,215,850,974,1844,3223,4165,3652,1748,16686,304,417,329,249,272,419,343,179,68,2581,22378,13603,12610,14665,18323,19039,19454,12701,4009,136775
CED214,..,855,1647,406,230,256,139,39,17,3591,..,299,1493,1166,1068,1375,1522,1200,646,8768,134,211,333,140,108,127,113,64,36,1265,12818,9463,15995,12746,10432,8606,6695,3641,1474,81869,..,440,8721,13032,10274,8819,7166,3521,804,52770,..,878,6619,3804,2146,1152,392,87,26,15110,..,107,750,1844,2484,1654,902,595,373,8716,26366,..,..,..,..,..,..,..,..,26366,..,8361,..,..,..,..,..,..,..,8361,..,4130,4823,1689,1135,526,85,4,0,12396,..,1405,1645,571,615,1029,880,491,288,6915,..,912,1615,484,348,327,122,22,7,3823,..,2176,5180,1356,733,650,335,116,36,10576,..,569,3034,2650,2504,2751,2654,1785,915,16871,268,371,628,345,293,259,193,99,41,2495,26631,19344,33009,25775,20537,17163,12734,6724,2485,164406
CED215,..,337,673,205,157,165,104,33,10,1684,..,128,765,783,950,1226,1373,1175,609,7008,126,156,169,104,95,98,75,45,27,891,20303,8687,13881,17201,11636,8392,5861,3084,1193,90242,..,340,10899,24725,14544,9784,6732,3045,665,70733,..,754,5378,3873,2534,1298,440,101,6,14395,..,80,690,1613,2185,1262,547,352,250,6976,41653,..,..,..,..,..,..,..,..,41653,..,9551,..,..,..,..,..,..,..,9551,..,4362,3464,915,647,302,68,3,0,9763,..,962,1178,420,376,680,710,348,172,4846,..,535,939,262,142,101,60,18,3,2056,..,1085,2249,632,388,368,233,79,8,5050,..,310,1617,1775,2022,2298,2222,1580,846,12667,263,297,354,215,211,190,148,77,29,1788,41917,18273,26765,34442,23055,16290,11160,5603,1979,179483
CED216,..,319,341,114,179,263,224,76,18,1529,..,249,643,529,957,2000,2510,2020,954,9874,170,213,152,102,122,205,188,87,37,1284,11675,6888,7987,7845,8891,10717,9840,5349,1600,70796,..,157,4464,7886,8832,11691,12005,5939,988,51969,..,1532,4574,2572,2403,2064,1180,328,34,14682,..,220,1080,1567,1788,981,502,346,228,6709,23703,..,..,..,..,..,..,..,..,23703,..,5187,..,..,..,..,..,..,..,5187,..,4659,1987,795,578,320,58,0,0,8400,..,519,333,142,255,419,391,285,133,2476,..,394,308,149,118,96,65,28,8,1162,..,627,773,294,382,564,467,178,28,3320,..,483,1505,1378,2145,3971,4688,3076,1352,18595,362,419,357,239,284,391,400,174,51,2684,24073,14197,15374,15017,16782,20502,19761,10350,2825,138880
CED217,..,320,531,145,131,146,131,71,14,1487,..,157,722,790,850,1518,2198,1955,1352,9546,117,192,175,100,87,113,106,53,37,986,12808,8548,7315,9956,12307,9980,7939,4781,2179,75812,..,57,3635,12257,15962,12885,9486,4930,1156,60368,..,448,3944,2627,2255,1411,786,238,49,11753,..,17,158,944,2037,1278,433,295,289,5456,25865,..,..,..,..,..,..,..,..,25865,..,11921,..,..,..,..,..,..,..,11921,..,3471,2781,599,476,293,81,4,0,7703,..,380,316,117,158,251,334,290,199,2042,..,231,333,93,65,60,18,15,0,819,..,726,1361,366,280,309,238,133,31,3453,..,343,1393,1506,1736,2524,3213,2616,1747,15064,236,354,311,188,185,194,171,76,56,1771,26102,17946,14240,18701,23157,19200,14754,8598,3521,146216
CED218,..,94,250,89,107,151,85,27,4,812,..,97,416,408,553,835,1071,797,346,4525,113,145,153,86,79,76,83,55,9,783,17462,10605,12214,13478,11587,9225,6556,2795,834,84759,..,295,9480,18387,15328,12367,8720,3324,504,68404,..,608,3486,2248,1582,802,312,70,10,9113,..,77,765,1835,2386,1447,691,339,153,7692,35738,..,..,..,..,..,..,..,..,35738,..,12146,..,..,..,..,..,..,..,12146,..,6482,6167,1576,753,241,47,5,0,15268,..,1023,1201,448,458,814,859,513,243,5562,..,387,678,278,187,154,67,19,4,1778,..,344,921,346,278,336,201,64,14,2503,..,216,1037,1107,1298,1529,1666,1141,472,8473,250,263,336,195,180,148,128,70,9,1576,35983,21850,24061,26420,22463,17842,12690,5541,1408,168259
CED219,..,192,249,138,166,199,151,42,12,1148,..,143,559,545,740,1188,1511,1038,442,6167,176,266,177,82,116,103,86,42,18,1072,17190,9177,12217,11747,10023,8532,6629,2832,849,79207,..,257,8844,14239,11634,10082,7912,2907,457,56332,..,1316,5717,3284,2243,1221,480,130,10,14392,..,211,1315,2004,2249,1261,604,336,151,8127,34704,..,..,..,..,..,..,..,..,34704,..,8282,..,..,..,..,..,..,..,8282,..,6185,3748,1077,589,235,40,0,0,11869,..,878,887,314,368,592,645,352,159,4189,..,496,510,217,173,126,58,19,6,1604,..,421,733,379,343,407,337,102,19,2747,..,330,1428,1397,1749,2221,2430,1497,593,11643,344,424,390,237,237,177,151,80,25,2072,35056,18796,23569,23150,19575,16319,12657,5422,1421,155961
CED220,..,1701,2355,307,118,136,106,43,14,4790,..,775,3240,2192,1460,1674,2174,1866,990,14370,96,293,398,169,111,137,103,65,30,1413,9464,9345,15405,10701,9640,8088,6647,4290,1685,75264,..,110,5464,11145,11074,9243,7049,4155,982,49231,..,1288,9001,3233,1763,1108,616,174,29,17206,..,13,164,781,1504,1023,405,306,237,4429,19287,..,..,..,..,..,..,..,..,19287,..,8387,..,..,..,..,..,..,..,8387,..,2202,2077,518,491,263,56,4,0,5614,..,736,812,188,151,277,293,251,179,2884,..,297,625,103,45,42,21,11,7,1157,..,3051,5068,777,330,289,231,108,34,9884,..,1310,5877,4108,2838,2969,3277,2596,1322,24300,205,508,737,308,232,228,167,105,44,2542,19494,17897,29827,21157,18424,15449,12124,7709,2832,144918
CED221,..,252,350,132,137,194,101,38,11,1220,..,95,488,409,518,805,1036,686,280,4319,169,206,168,78,63,87,57,33,18,882,21170,11398,15214,14808,10564,7927,5125,2341,720,89264,..,557,12924,21495,14057,10022,6051,2426,452,67979,..,1376,5367,2854,1854,1080,385,109,10,13032,..,235,1153,1925,2185,1290,518,260,114,7677,43359,..,..,..,..,..,..,..,..,43359,..,10913,..,..,..,..,..,..,..,10913,..,6795,4626,1043,464,189,51,0,0,13175,..,1278,1438,476,432,859,811,468,198,5957,..,688,916,371,230,154,58,22,8,2453,..,635,1152,427,338,437,221,81,21,3320,..,206,1218,1177,1361,1594,1613,1017,388,8578,340,383,375,214,162,156,115,55,16,1827,43699,23059,29183,29988,21089,15782,9823,4438,1209,178272
CED222,..,1232,1441,381,226,251,208,71,10,3826,..,276,811,658,778,1290,1688,1664,995,8154,126,238,218,130,104,132,112,65,51,1167,14695,11484,15244,13353,11729,10035,8285,5205,2199,92221,..,578,10736,16706,13808,11553,9479,5473,1362,69693,..,1037,4641,2294,1524,1017,437,128,24,11103,..,104,629,1642,2451,1751,896,731,509,8718,30225,..,..,..,..,..,..,..,..,30225,..,10552,..,..,..,..,..,..,..,10552,..,4739,5444,1808,1375,652,116,4,0,14133,..,1684,1648,613,631,967,976,633,384,7532,..,1297,2154,683,402,305,124,33,8,5005,..,3214,5020,1134,653,628,461,142,21,11272,..,583,1926,1575,1842,2512,2772,2360,1385,14954,249,435,459,263,240,232,191,106,75,2248,30477,24228,32654,26717,22931,19622,15454,9606,3759,185436
CED223,..,272,330,92,163,281,175,72,12,1398,..,226,597,522,981,1992,2450,1980,1017,9763,142,222,149,107,134,193,188,87,33,1254,12277,6728,7508,8454,9549,10940,9627,5216,1709,72010,..,180,4506,8765,10029,12283,11920,5777,1054,54511,..,1392,4319,2865,2680,2127,1103,316,39,14847,..,160,874,1497,1812,936,474,406,236,6401,24633,..,..,..,..,..,..,..,..,24633,..,5653,..,..,..,..,..,..,..,5653,..,4197,1753,738,603,336,52,0,0,7681,..,470,295,131,192,402,411,272,160,2335,..,407,368,132,115,83,64,18,8,1199,..,573,826,264,361,562,409,149,25,3167,..,459,1360,1292,2202,3913,4413,3037,1410,18085,298,454,391,309,287,375,364,160,54,2690,24925,13943,14696,15987,18287,21013,19215,10138,2991,141199
CED224,..,270,457,132,166,194,154,52,5,1431,..,133,812,863,960,1612,2101,1814,1063,9356,141,150,160,98,82,100,85,47,31,908,13983,8352,9616,11968,11797,9427,7370,4490,1888,78885,..,186,5847,14836,14407,11108,8247,4316,1022,59980,..,589,4929,3105,2229,1276,576,175,30,12914,..,48,371,1317,2262,1383,552,411,307,6654,28250,..,..,..,..,..,..,..,..,28250,..,9663,..,..,..,..,..,..,..,9663,..,4655,3581,967,673,355,84,0,0,10313,..,530,604,217,221,496,528,399,241,3232,..,296,430,165,111,75,35,15,5,1134,..,581,1202,443,420,422,310,137,20,3537,..,278,1628,1756,2165,2931,3173,2530,1420,15884,272,262,320,210,200,163,158,84,43,1692,28518,17082,18924,23011,22676,18218,13658,8069,3096,153256
CED225,..,427,599,168,126,156,133,56,14,1682,..,138,706,654,827,1453,1951,1656,901,8285,128,177,173,105,96,125,84,58,34,988,13637,8283,9231,11105,10965,9883,8179,4613,1673,77571,..,77,5221,13953,13834,12026,10139,5144,1062,61464,..,544,4860,2963,2130,1338,677,151,21,12678,..,55,314,1150,1980,1386,607,429,270,6186,27528,..,..,..,..,..,..,..,..,27528,..,9744,..,..,..,..,..,..,..,9744,..,4580,3651,1035,731,381,66,3,0,10449,..,498,499,157,198,385,428,306,191,2656,..,284,412,138,78,77,33,7,7,1043,..,848,1496,431,348,374,273,111,26,3891,..,263,1316,1367,1717,2531,2953,2288,1199,13627,269,339,337,241,198,213,142,89,55,1891,27797,17231,18111,21437,21211,18703,15313,8531,2821,151167
CED226,..,1013,1216,209,112,120,101,63,19,2853,..,354,1430,1043,886,1426,1980,1895,1239,10252,102,270,226,132,99,121,109,55,29,1141,12178,10961,10046,10264,11890,9989,7953,4814,2109,80199,..,80,4337,12281,15552,13342,10035,5185,1256,62072,..,849,5113,2138,1455,995,534,177,38,11306,..,25,160,1076,2067,1199,430,295,266,5501,24565,..,..,..,..,..,..,..,..,24565,..,13492,..,..,..,..,..,..,..,13492,..,3201,3241,613,491,312,47,0,0,7904,..,725,657,177,147,357,405,297,244,3013,..,454,529,94,86,53,30,12,4,1262,..,2128,2838,493,270,274,223,119,45,6390,..,741,2540,1947,1663,2302,2836,2483,1636,16144,204,512,435,214,188,188,189,95,42,2067,24771,22201,19854,19029,21917,19024,14736,8659,3530,153717
CED227,..,198,348,104,114,151,106,39,12,1065,..,112,570,450,523,1002,1272,1062,462,5452,170,237,170,87,69,77,66,51,19,949,18720,9580,13065,12974,10165,7616,5737,3066,899,81812,..,286,10719,18450,13348,9485,6877,3368,579,63109,..,1414,5974,2742,2038,1217,438,164,23,14017,..,177,1016,1609,1992,999,385,237,109,6509,37812,..,..,..,..,..,..,..,..,37812,..,9541,..,..,..,..,..,..,..,9541,..,5887,3079,686,396,180,42,0,0,10266,..,820,908,281,295,570,605,372,165,4014,..,506,673,205,115,76,35,17,4,1639,..,434,880,306,289,303,206,64,16,2501,..,241,1273,1137,1320,1804,1904,1468,633,9779,323,446,381,202,162,145,117,81,26,1882,38134,19759,24907,25628,19950,14775,10606,5770,1548,161080
CED228,..,440,625,209,177,168,118,41,4,1780,..,180,706,587,691,1043,1111,810,333,5470,161,210,192,81,60,89,51,46,14,905,22679,10864,17720,16785,10106,8349,5414,2309,714,94955,..,526,15774,25342,12933,9883,6451,2354,349,73599,..,1316,4972,2717,1742,1032,402,74,10,12256,..,219,1263,2124,2241,1374,545,275,127,8157,46126,..,..,..,..,..,..,..,..,46126,..,10477,..,..,..,..,..,..,..,10477,..,5809,4291,1076,478,212,30,0,0,11894,..,1621,1817,535,439,872,817,355,181,6645,..,914,1357,363,184,125,55,17,5,3017,..,1416,2255,648,446,373,261,88,11,5496,..,396,1704,1619,1652,1987,1803,1160,461,10784,313,371,434,221,153,161,88,70,21,1836,46443,23061,33870,34635,20271,16030,10445,4385,1157,190296
CED229,..,1647,3374,583,203,154,145,58,16,6173,..,993,4145,3480,2553,2405,2258,1412,683,17931,98,317,474,244,161,165,121,58,20,1670,9103,8309,19559,13298,10191,8066,6225,3149,1115,79016,..,225,6702,11014,8948,7452,6119,2972,649,44071,..,1738,12005,5297,2867,1670,836,239,33,24691,..,25,215,952,1650,1014,380,234,147,4609,18364,..,..,..,..,..,..,..,..,18364,..,5739,..,..,..,..,..,..,..,5739,..,1606,1414,470,362,191,28,0,0,4073,..,838,907,224,146,194,220,152,88,2765,..,317,713,137,51,33,21,6,5,1279,..,3242,7076,1384,528,390,336,127,34,13119,..,1756,7876,6517,4923,4485,3755,2112,932,32353,207,486,808,493,335,317,213,93,33,2976,18575,15965,37708,26482,19812,15743,11907,5933,1919,154044
