CED_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
CED201,57,88,459,615,176,1638,121,880,55,4084,336,1117,1298,1070,821,1390,380,783,130,7322,1707,5163,2708,1663,2163,1140,664,981,302,16499,3054,5588,2479,1541,2496,1096,767,934,364,18322,2891,3754,2443,1796,2896,1192,1038,1223,297,17536,1944,2648,1895,1374,2588,910,1085,1206,223,13869,463,698,442,323,626,248,308,389,74,3577,38,76,45,17,49,21,16,41,4,310,3,3,0,0,6,0,0,0,4,12,10483,19146,11758,8397,11818,7638,4374,6452,1453,81521
CED202,100,75,629,741,149,1549,103,1012,73,4427,323,631,1282,1360,582,982,252,836,101,6350,1352,3652,2661,2055,1585,1046,746,1250,216,14564,2084,4084,2130,1640,1870,777,694,1104,191,14564,2462,3499,1849,1798,2099,878,920,1296,240,15040,1792,2570,1460,1446,1733,805,933,1282,174,12195,658,763,305,291,401,210,285,371,71,3361,190,72,23,15,28,24,5,36,33,428,16,3,0,6,6,0,0,6,9,44,8977,15344,10338,9353,8453,6273,3942,7195,1105,70971
CED203,71,34,549,636,152,1551,130,1110,76,4299,248,682,1167,1205,538,858,297,936,109,6039,1170,3759,2479,1906,1332,930,730,1564,213,14080,2063,4006,1976,1624,1666,762,719,1278,211,14308,2305,3545,1770,1767,2010,870,917,1256,235,14662,1753,2557,1427,1610,1785,796,983,1391,199,12502,653,864,329,336,484,228,268,364,66,3599,175,71,29,11,37,36,21,48,32,460,19,8,0,0,0,3,0,0,6,39,8452,15528,9729,9087,8011,6025,4064,7945,1144,69986
CED204,44,96,395,483,180,1456,161,833,74,3721,312,1034,1500,1106,892,1471,569,1077,229,8188,1582,4315,3417,1910,2286,1183,1495,1979,531,18705,2275,4008,3054,1797,2370,1035,1490,1598,418,18036,2125,2598,2540,1854,2445,954,1706,1719,346,16294,1494,1664,1838,1322,2060,778,1600,1617,226,12600,345,494,439,253,490,182,351,410,54,3021,33,56,32,13,40,30,18,34,18,272,0,0,3,0,0,4,0,0,0,14,8209,14270,13209,8734,10765,7101,7383,9279,1894,80845
CED205,60,66,411,328,158,1355,126,752,94,3339,325,890,1461,1195,945,1396,688,1050,276,8226,1749,4528,3389,2673,2711,1378,2199,2062,637,21324,2293,4035,2716,2527,2507,1034,2269,1635,475,19488,1525,1813,1862,1681,1768,761,1679,1580,288,12966,883,923,1205,988,1402,581,1372,1190,174,8722,160,234,199,151,232,120,208,230,34,1570,12,20,15,5,15,9,10,15,0,95,0,0,0,0,0,0,0,0,0,5,7006,12506,11256,9546,9741,6636,8549,8527,1971,75741
CED206,58,62,857,862,135,1355,97,1113,75,4611,305,617,1768,1269,624,1004,296,880,131,6890,1570,3818,3737,1967,1799,885,668,1165,307,15912,2794,4298,3023,1664,2152,840,770,1165,276,16977,3157,3574,2739,1879,2598,1043,1052,1319,328,17690,2232,2495,2148,1537,2274,892,1012,1215,211,14016,687,857,520,336,621,268,290,375,71,4026,122,100,36,29,53,33,23,58,16,473,7,7,0,0,0,0,0,0,8,26,10939,15829,14834,9538,10259,6315,4208,7286,1411,80620
CED207,51,218,209,794,257,1401,90,740,62,3834,411,2011,965,1693,1231,1869,441,1002,184,9794,2017,7796,2060,1656,2302,1433,717,1227,456,19667,3819,7567,1657,1204,2315,1082,475,695,413,19228,3732,6015,1648,1421,2464,1077,580,862,310,18112,2148,3829,1264,1018,1954,699,533,821,201,12454,501,1110,320,258,626,197,155,277,68,3504,93,157,40,34,104,29,12,45,39,549,3,6,11,0,5,3,5,0,13,46,12786,28709,8171,8077,11250,7791,3006,5673,1741,87202
CED208,32,72,166,519,131,1004,42,517,38,2522,276,1081,895,1450,797,1197,303,734,144,6875,2596,9694,2709,2599,2568,1414,812,1345,455,24186,3981,8494,1901,1454,2254,794,555,763,345,20538,3206,5656,1589,1281,2267,844,696,889,261,16690,1444,3023,989,868,1513,540,592,827,156,9952,270,711,231,197,320,123,153,250,37,2283,28,56,14,10,19,13,11,35,18,198,5,3,0,0,4,0,0,0,0,23,11831,28796,8491,8368,9868,5921,3166,5355,1464,83259
CED209,54,47,548,894,120,1603,118,1021,56,4469,284,670,1305,1460,492,1103,325,808,89,6545,1548,4372,2876,2148,1462,930,644,1099,203,15289,2715,5035,2584,1878,1989,892,611,983,274,16950,2677,3725,2038,1816,2120,972,746,1006,264,15367,1788,2576,1332,1418,1777,842,751,883,181,11557,586,844,337,281,530,255,208,289,80,3401,138,84,26,21,41,24,24,31,16,400,18,6,4,0,0,0,0,0,7,33,9801,17365,11056,9917,8527,6621,3429,6133,1164,73999
CED210,51,41,473,699,123,1565,129,982,60,4132,320,903,1321,1577,650,1180,473,959,154,7532,1555,5238,3118,2367,1763,1169,1175,1586,317,18293,2383,4444,2176,1702,1847,854,905,1226,293,15822,2337,3554,1861,1901,2001,848,1096,1338,275,15220,1465,2382,1368,1478,1635,722,1111,1297,178,11631,383,697,295,288,427,189,278,376,64,2998,70,63,28,14,32,17,15,51,36,331,11,9,0,0,3,4,0,3,8,25,8574,17327,10646,10030,8486,6552,5178,7820,1380,75988
