POW_SA3_CODE_2021,CI_II_2000_2999_Mng,CI_II_2000_2999_Pro,CI_II_2000_2999_TecTW,CI_II_2000_2999_CoPSW,CI_II_2000_2999_ClAW,CI_II_2000_2999_SWks,CI_II_2000_2999_MaOpDv,CI_II_2000_2999_Lab,CI_II_2000_2999_IDNS,CI_II_2000_2999_Tot,CI_II_3000_3499_Mng,CI_II_3000_3499_Pro,CI_II_3000_3499_TecTW,CI_II_3000_3499_CoPSW,CI_II_3000_3499_ClAW,CI_II_3000_3499_SWks,CI_II_3000_3499_MaOpDv,CI_II_3000_3499_Lab,CI_II_3000_3499_IDNS,CI_II_3000_3499_Tot,CI_II_3500mo_Mng,CI_II_3500mo_Pro,CI_II_3500mo_TecTW,CI_II_3500mo_CoPSW,CI_II_3500mo_ClAW,CI_II_3500mo_SWks,CI_II_3500mo_MaOpDv,CI_II_3500mo_Lab,CI_II_3500mo_IDNS,CI_II_3500mo_Tot,CI_II_PINS_Mng,CI_II_PINS_Pro,CI_II_PINS_TecTW,CI_II_PINS_CoPSW,CI_II_PINS_ClAW,CI_II_PINS_SWks,CI_II_PINS_MaOpDv,CI_II_PINS_Lab,CI_II_PINS_IDNS,CI_II_PINS_Tot,CI_II_Tot_Mng,CI_II_Tot_Pro,CI_II_Tot_TecTW,CI_II_Tot_CoPSW,CI_II_Tot_ClAW,CI_II_Tot_SWks,CI_II_Tot_MaOpDv,CI_II_Tot_Lab,CI_II_Tot_IDNS,CI_II_Tot_Tot,LE_IDNS_NNI_Mng,LE_IDNS_NNI_Pro,LE_IDNS_NNI_TecTW,LE_IDNS_NNI_CoPSW,LE_IDNS_NNI_ClAW,LE_IDNS_NNI_SWks,LE_IDNS_NNI_MaOpDv,LE_IDNS_NNI_Lab,LE_IDNS_NNI_IDNS,LE_IDNS_NNI_Tot,LE_IDNS_1_149_Mng,LE_IDNS_1_149_Pro,LE_IDNS_1_149_TecTW,LE_IDNS_1_149_CoPSW,LE_IDNS_1_149_ClAW,LE_IDNS_1_149_SWks,LE_IDNS_1_149_MaOpDv,LE_IDNS_1_149_Lab,LE_IDNS_1_149_IDNS,LE_IDNS_1_149_Tot,LE_IDNS_150_299_Mng,LE_IDNS_150_299_Pro,LE_IDNS_150_299_TecTW,LE_IDNS_150_299_CoPSW,LE_IDNS_150_299_ClAW,LE_IDNS_150_299_SWks,LE_IDNS_150_299_MaOpDv,LE_IDNS_150_299_Lab,LE_IDNS_150_299_IDNS,LE_IDNS_150_299_Tot,LE_IDNS_300_399_Mng,LE_IDNS_300_399_Pro,LE_IDNS_300_399_TecTW,LE_IDNS_300_399_CoPSW,LE_IDNS_300_399_ClAW,LE_IDNS_300_399_SWks,LE_IDNS_300_399_MaOpDv,LE_IDNS_300_399_Lab,LE_IDNS_300_399_IDNS,LE_IDNS_300_399_Tot,LE_IDNS_400_499_Mng,LE_IDNS_400_499_Pro,LE_IDNS_400_499_TecTW,LE_IDNS_400_499_CoPSW,LE_IDNS_400_499_ClAW,LE_IDNS_400_499_SWks,LE_IDNS_400_499_MaOpDv,LE_IDNS_400_499_Lab,LE_IDNS_400_499_IDNS,LE_IDNS_400_499_Tot,LE_IDNS_500_649_Mng,LE_IDNS_500_649_Pro,LE_IDNS_500_649_TecTW,LE_IDNS_500_649_CoPSW,LE_IDNS_500_649_ClAW,LE_IDNS_500_649_SWks,LE_IDNS_500_649_MaOpDv,LE_IDNS_500_649_Lab,LE_IDNS_500_649_IDNS,LE_IDNS_500_649_Tot,LE_IDNS_650_799_Mng,LE_IDNS_650_799_Pro,LE_IDNS_650_799_TecTW,LE_IDNS_650_799_CoPSW,LE_IDNS_650_799_ClAW,LE_IDNS_650_799_SWks,LE_IDNS_650_799_MaOpDv,LE_IDNS_650_799_Lab,LE_IDNS_650_799_IDNS,LE_IDNS_650_799_Tot,LE_IDNS_800_999_Mng,LE_IDNS_800_999_Pro,LE_IDNS_800_999_TecTW,LE_IDNS_800_999_CoPSW,LE_IDNS_800_999_ClAW,LE_IDNS_800_999_SWks,LE_IDNS_800_999_MaOpDv,LE_IDNS_800_999_Lab,LE_IDNS_800_999_IDNS,LE_IDNS_800_999_Tot,LE_IDNS_1000_1249_Mng,LE_IDNS_1000_1249_Pro,LE_IDNS_1000_1249_TecTW,LE_IDNS_1000_1249_CoPSW,LE_IDNS_1000_1249_ClAW,LE_IDNS_1000_1249_SWks,LE_IDNS_1000_1249_MaOpDv,LE_IDNS_1000_1249_Lab,LE_IDNS_1000_1249_IDNS,LE_IDNS_1000_1249_Tot,LE_IDNS_1250_1499_Mng,LE_IDNS_1250_1499_Pro,LE_IDNS_1250_1499_TecTW,LE_IDNS_1250_1499_CoPSW,LE_IDNS_1250_1499_ClAW,LE_IDNS_1250_1499_SWks,LE_IDNS_1250_1499_MaOpDv,LE_IDNS_1250_1499_Lab,LE_IDNS_1250_1499_IDNS,LE_IDNS_1250_1499_Tot,LE_IDNS_1500_1749_Mng,LE_IDNS_1500_1749_Pro,LE_IDNS_1500_1749_TecTW,LE_IDNS_1500_1749_CoPSW,LE_IDNS_1500_1749_ClAW,LE_IDNS_1500_1749_SWks,LE_IDNS_1500_1749_MaOpDv,LE_IDNS_1500_1749_Lab,LE_IDNS_1500_1749_IDNS,LE_IDNS_1500_1749_Tot,LE_IDNS_1750_1999_Mng,LE_IDNS_1750_1999_Pro,LE_IDNS_1750_1999_TecTW,LE_IDNS_1750_1999_CoPSW,LE_IDNS_1750_1999_ClAW,LE_IDNS_1750_1999_SWks,LE_IDNS_1750_1999_MaOpDv,LE_IDNS_1750_1999_Lab,LE_IDNS_1750_1999_IDNS,LE_IDNS_1750_1999_Tot,LE_IDNS_2000_2999_Mng,LE_IDNS_2000_2999_Pro,LE_IDNS_2000_2999_TecTW,LE_IDNS_2000_2999_CoPSW,LE_IDNS_2000_2999_ClAW,LE_IDNS_2000_2999_SWks,LE_IDNS_2000_2999_MaOpDv,LE_IDNS_2000_2999_Lab,LE_IDNS_2000_2999_IDNS,LE_IDNS_2000_2999_Tot,LE_IDNS_3000_3499_Mng,LE_IDNS_3000_3499_Pro,LE_IDNS_3000_3499_TecTW,LE_IDNS_3000_3499_CoPSW,LE_IDNS_3000_3499_ClAW,LE_IDNS_3000_3499_SWks,LE_IDNS_3000_3499_MaOpDv,LE_IDNS_3000_3499_Lab,LE_IDNS_3000_3499_IDNS,LE_IDNS_3000_3499_Tot,LE_IDNS_3500mo_Mng,LE_IDNS_3500mo_Pro,LE_IDNS_3500mo_TecTW,LE_IDNS_3500mo_CoPSW,LE_IDNS_3500mo_ClAW,LE_IDNS_3500mo_SWks,LE_IDNS_3500mo_MaOpDv,LE_IDNS_3500mo_Lab,LE_IDNS_3500mo_IDNS,LE_IDNS_3500mo_Tot
20101,8,0,0,3,0,0,0,4,0,21,0,0,0,0,0,3,0,0,0,5,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,73,34,68,116,169,148,61,110,5,783,3,0,0,0,0,0,0,0,7,11,0,0,0,3,0,3,4,3,3,19,0,0,0,0,0,5,0,7,4,24,0,0,3,5,4,6,0,4,0,24,3,5,9,6,5,9,4,15,3,47,7,6,10,16,14,8,4,14,3,79,12,11,9,20,16,12,6,16,8,113,13,11,23,31,21,20,12,11,9,142,14,23,19,18,25,7,17,11,8,145,12,26,16,12,19,5,7,8,6,110,11,24,6,13,3,3,0,3,3,74,6,17,3,4,4,0,0,0,0,46,22,21,3,8,6,5,0,0,0,60,6,8,4,0,0,0,3,0,0,18,0,17,0,0,0,0,0,0,0,25
20102,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,13,24,11,20,6,22,0,98,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,5,0,10,5,0,0,0,0,0,0,0,0,10,3,0,0,3,0,0,0,0,0,11,3,3,0,4,0,0,0,0,0,13,9,3,0,0,0,0,0,10,3,29,8,4,0,4,0,0,0,0,0,19,3,4,10,0,0,3,3,10,0,25,7,8,5,5,3,0,3,0,0,32,3,0,0,6,0,0,0,0,6,11,0,0,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,5,13,4,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9
20103,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,10,20,17,12,9,31,0,128,4,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,4,0,6,0,0,0,0,0,3,0,0,0,8,3,0,0,0,0,0,0,6,4,11,0,0,0,0,0,0,0,0,0,11,3,0,3,3,0,0,0,6,0,18,8,0,8,0,4,3,0,0,0,25,7,4,0,9,0,0,3,5,3,34,3,4,3,4,3,0,0,7,0,27,4,0,0,0,0,0,4,0,0,13,0,0,0,5,0,0,0,0,0,14,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
20201,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,51,24,72,105,147,113,33,123,12,664,0,0,0,0,0,0,0,0,0,6,0,0,3,5,5,12,0,0,0,22,0,3,0,0,3,11,3,0,0,30,0,3,0,3,5,4,0,13,8,33,6,3,4,11,0,10,3,12,7,44,0,7,10,13,9,10,4,18,13,87,8,3,11,21,11,16,7,11,4,100,11,19,12,21,19,15,12,12,5,116,10,20,19,17,21,4,12,7,5,117,4,28,12,12,18,0,11,3,0,84,6,22,3,11,7,3,3,0,6,68,4,21,5,7,7,6,0,0,5,54,15,12,10,7,8,0,0,4,0,53,5,4,0,0,0,0,0,0,0,14,0,11,0,0,0,0,0,0,3,21
20202,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,16,22,35,36,25,20,62,5,242,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,3,0,14,0,0,8,0,4,3,0,0,0,11,0,3,4,0,0,3,3,4,0,21,7,0,0,3,0,0,6,5,0,26,3,0,0,3,3,5,4,3,3,28,4,5,6,8,10,6,0,19,0,58,9,6,6,5,7,5,0,23,0,63,11,3,5,10,9,5,6,16,0,56,6,6,3,3,3,0,0,0,4,33,4,0,0,4,3,0,3,0,0,19,7,4,0,4,4,0,0,0,0,10,5,13,0,6,6,0,0,4,0,27,0,0,0,0,0,0,0,3,0,4,4,5,0,0,0,0,0,0,0,8
20203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0,7,6,0,15,0,49,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,6,7,0,0,0,0,3,4,0,0,11,5,0,0,0,4,0,0,6,0,13,8,0,0,0,5,0,0,3,0,10,3,0,0,0,0,0,0,0,4,11,7,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20301,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,14,3,3,6,11,6,6,13,0,55,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,3,0,0,0,3,0,0,0,0,0,12,0,0,0,3,0,0,0,5,0,7,5,0,4,0,0,0,0,6,0,22,0,0,0,0,0,0,0,0,0,9,0,4,3,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,4,0,10,3,0,0,0,0,4,0,0,0,4,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5
20302,12,7,0,3,6,3,5,0,0,46,6,3,0,0,0,0,3,0,0,6,7,6,0,0,0,4,0,4,0,10,0,0,0,0,0,0,0,0,0,9,102,61,118,189,241,179,121,189,11,1210,3,0,0,0,0,4,0,0,9,21,0,0,7,3,0,15,0,12,10,44,0,4,5,10,9,11,0,9,3,47,4,8,5,13,9,10,0,8,6,68,3,3,6,15,11,14,3,25,12,83,6,15,12,38,31,17,13,22,18,164,13,15,25,52,21,25,10,33,17,207,12,16,32,54,49,17,27,35,21,265,17,50,29,41,35,12,29,32,23,273,20,39,21,19,26,8,18,17,11,183,16,40,11,14,15,9,7,6,11,131,7,32,11,11,0,3,5,8,4,81,32,52,21,17,11,9,10,10,12,166,7,16,0,0,4,6,0,0,4,38,24,29,0,8,4,0,0,0,13,72
20303,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,23,15,26,49,30,52,7,44,0,254,0,0,4,0,0,0,0,0,5,12,0,0,0,8,0,3,0,3,4,19,0,0,0,5,4,4,0,7,0,20,5,0,0,3,0,4,3,3,0,20,0,5,0,13,0,9,0,4,0,29,3,0,3,12,5,9,0,16,3,48,0,8,4,17,10,3,0,9,0,58,11,6,13,10,6,7,0,11,0,62,9,3,7,10,6,0,3,0,4,47,8,9,3,6,6,0,0,3,0,38,7,12,0,0,0,5,0,0,6,29,0,4,0,0,6,0,0,5,4,15,11,8,7,4,0,0,0,0,0,35,5,5,0,0,0,3,0,0,0,8,4,4,0,0,0,0,0,0,0,14
20401,6,0,0,0,4,0,0,4,0,17,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,44,11,30,57,59,52,17,70,3,345,6,0,0,0,0,0,0,0,4,12,0,0,0,0,0,3,0,3,4,13,4,0,0,4,7,0,0,4,4,24,8,5,3,3,0,3,0,6,3,38,7,0,3,5,3,0,0,8,3,31,13,3,6,11,11,6,5,10,0,61,6,5,12,14,4,5,9,15,7,72,15,8,9,14,6,4,7,15,9,80,9,13,12,9,15,0,6,7,6,68,10,0,4,3,6,4,4,6,0,50,7,9,6,3,4,4,3,0,0,29,7,0,0,4,0,0,0,0,0,17,12,13,0,4,4,0,3,0,0,33,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,14
