POW_SA3_CODE_2021,Ag_For_Fish_ATSI,Ag_For_Fish_Non_Indig,Ag_For_Fish_Indig_Status_NS,Ag_For_Fish_Tot,Min_ATSI,Min_Non_Indig,Min_Indig_Status_NS,Min_Total,Mnf_ATSI,Mnf_Non_Indig,Mnf_Indig_Status_NS,Mnf_Tot,EGWWS_ATSI,EGWWS_Non_Indig,EGWWS_Indig_Status_NS,EGWWS_Tot,Const_ATSI,Const_Non_Indig,Const_Indig_Status_NS,Const_Tot,WST_ATSI,WST_Non_Indig,WST_Indig_Status_NS,WST_Tot,RetT_ATSI,RetT_Non_Indig,RetT_Indig_Status_NS,RetT_Tot,AcFd_ATSI,AcFd_Non_Indig,AcFd_Indig_Status_NS,AcFd_Tot,TPW_ATSI,TPW_Non_Indig,TPW_Indig_Status_NS,TPW_Tot,IMT_ATSI,IMT_Non_Indig,IMT_Indig_Status_NS,IMT_Tot,FinIns_ATSI,FinIns_Non_Indig,FinIns_Indig_Status_NS,FinIns_Tot,RHRE_ATSI,RHRE_Non_Indig,RHRE_Indig_Status_NS,RHRE_Tot,ProSTS_ATSI,ProSTS_Non_Indig,ProSTS_Indig_Status_NS,ProSTS_Tot,AdSup_ATSI,AdSup_Non_Indig,AdSup_Indig_Status_NS,AdSup_Tot,PubAS_ATSI,PubAS_Non_Indig,PubAS_Indig_Status_NS,PubAS_Tot,EdTrn_ATSI,EdTrn_Non_Indig,EdTrn_Indig_Status_NS,EdTrn_Tot,HltHC_SA_ATSI,HltHC_SA_Non_Indig,HltHC_SA_Indig_Status_NS,HltHC_SA_Tot,ArtsR_ATSI,ArtsR_Non_Indig,ArtsR_Indig_Status_NS,ArtsR_Tot,OthSvs_ATSI,OthSvs_Non_Indig,OthSvs_Indig_Status_NS,OthSvs_Tot,IDNS_ATSI,IDNS_Non_Indig,IDNS_Indig_Status_NS,IDNS_Tot,Tot_ATSI,Tot_Non_Indig,Tot_Indig_Status_NS,Tot_Tot
20101,12,471,0,481,7,405,3,416,32,4156,9,4203,3,524,0,526,65,4562,20,4646,8,1003,3,1011,73,5761,10,5851,52,3960,10,4025,19,1798,6,1821,3,721,3,725,4,762,0,765,10,656,0,664,20,2599,10,2626,32,1230,5,1259,45,2948,4,2999,72,5798,7,5875,123,11203,30,11355,19,1031,0,1055,29,1903,7,1941,39,1740,21,1796,665,53216,157,54038
20102,7,1327,10,1341,0,49,0,49,0,368,0,375,0,52,0,52,7,782,3,796,0,91,5,96,6,695,0,711,15,1044,0,1059,4,290,5,297,0,60,0,60,0,95,0,95,0,93,0,94,0,462,0,462,0,232,0,229,5,452,0,455,8,665,0,669,3,956,4,965,0,246,0,246,0,341,0,344,5,355,7,376,68,8653,40,8765
20103,0,1054,8,1061,0,66,0,64,8,704,4,718,0,98,0,98,0,415,0,414,0,83,0,85,12,691,3,714,12,439,4,455,0,307,0,313,0,46,0,48,0,60,3,66,0,29,0,29,0,181,0,181,0,115,0,117,13,613,3,625,7,611,0,617,12,1083,9,1108,0,118,0,123,3,245,0,246,8,303,13,328,86,7259,48,7391
20201,14,359,6,370,6,330,0,341,51,2925,13,2988,8,643,0,650,68,3693,19,3784,16,804,0,819,91,5127,18,5230,73,3494,13,3580,29,1418,6,1451,4,476,0,484,26,1855,0,1877,9,493,0,498,18,2065,0,2092,25,1216,6,1244,61,2718,11,2787,55,4450,7,4515,152,10206,32,10394,21,676,0,701,32,1812,9,1859,41,1488,30,1552,797,46253,173,47221
20202,4,888,6,906,3,332,0,341,44,3124,18,3184,3,104,0,114,17,1361,5,1384,0,241,0,241,11,1645,11,1670,14,1134,5,1150,4,509,7,520,0,144,0,145,4,172,0,172,7,151,0,157,8,863,4,870,3,360,0,366,31,1444,14,1490,14,1352,6,1374,20,2479,12,2503,3,372,0,379,5,564,0,575,6,682,20,713,207,17923,109,18235
20203,23,1412,14,1444,10,618,0,634,4,260,6,272,0,24,0,24,0,175,0,183,0,117,0,116,6,224,3,230,6,93,0,102,9,173,0,177,0,8,0,8,0,32,0,32,0,6,0,6,0,49,3,52,0,47,0,47,3,153,0,153,7,229,0,233,3,238,0,243,0,30,0,30,0,81,0,81,6,180,12,196,68,4159,38,4268
20301,9,1081,7,1105,0,50,0,55,4,346,0,352,0,30,0,30,0,537,4,542,3,83,0,85,0,308,0,313,3,268,0,280,0,144,5,145,0,29,0,29,0,46,0,46,0,35,0,35,0,226,0,228,0,100,0,100,0,273,0,275,8,461,0,472,0,483,4,486,0,59,0,60,0,167,3,170,0,142,0,148,34,4881,38,4952
20302,3,782,4,790,0,163,0,163,64,6962,20,7052,10,1369,0,1384,130,9723,24,9882,26,2908,0,2933,108,11916,32,12060,71,6838,14,6926,43,3523,15,3577,3,736,0,745,22,2905,3,2931,5,1139,3,1144,32,5709,7,5753,26,2377,0,2404,89,6474,5,6569,101,10766,18,10886,209,20880,36,21131,8,1300,6,1319,33,3638,10,3684,55,3714,41,3811,1044,103836,251,105131
20303,0,450,0,455,0,15,0,22,4,854,4,865,0,102,0,102,18,2734,11,2764,0,365,0,362,22,3258,8,3283,30,3531,5,3563,3,519,0,526,0,155,0,157,4,431,3,444,0,421,0,431,12,1671,9,1690,3,670,0,679,3,1132,0,1130,8,2388,5,2400,24,3055,10,3087,3,701,0,705,3,983,3,988,8,810,9,828,163,24250,74,24487
20401,22,2324,19,2367,4,168,0,181,14,1193,5,1216,4,144,0,148,25,2037,3,2069,14,376,7,394,35,2106,7,2142,36,2115,8,2160,13,965,6,983,0,108,0,109,5,194,0,197,0,236,0,236,5,727,3,732,8,470,0,476,64,2230,5,2302,24,2286,7,2322,41,2699,14,2748,5,396,0,403,6,691,0,703,13,838,15,870,341,22299,115,22754
20402,21,1663,5,1686,4,86,0,85,33,2349,19,2395,0,109,0,115,30,1793,14,1836,11,368,0,377,29,1913,9,1954,22,1435,14,1463,11,636,4,647,0,100,0,102,3,211,0,211,0,152,0,153,4,648,0,654,10,584,6,597,18,1275,5,1299,23,1765,10,1792,60,3851,20,3928,9,240,3,252,9,752,3,763,28,802,15,841,298,20733,121,21154
20403,20,1855,16,1884,0,49,0,55,50,3272,18,3344,5,255,0,257,62,2771,9,2844,14,650,0,668,64,3250,13,3328,63,2920,19,3002,25,1842,10,1881,6,133,0,135,10,352,0,358,5,344,6,353,9,1102,0,1113,23,804,4,826,95,3195,18,3303,50,3176,4,3231,75,4583,13,4670,3,455,0,462,26,1095,6,1131,42,1142,18,1205,644,33241,152,34033
20501,20,2120,18,2154,0,44,0,44,31,1223,5,1256,0,101,0,103,17,1886,0,1901,0,389,0,392,23,1864,13,1897,15,1399,9,1420,4,531,0,536,0,178,0,181,3,299,0,300,0,227,0,226,6,811,4,819,7,429,0,435,18,754,0,772,11,2164,0,2174,22,3133,9,3172,0,304,0,304,8,953,0,965,11,701,14,721,187,19512,72,19772
20502,31,1491,18,1535,3,63,0,59,28,1287,5,1322,0,205,0,210,31,1371,5,1400,5,387,0,389,47,1788,7,1845,41,1474,13,1536,14,589,10,605,0,78,0,79,0,162,0,162,0,185,0,186,14,570,4,583,12,393,0,410,43,1016,3,1060,46,1634,4,1685,96,2946,21,3062,9,223,0,235,24,660,7,693,38,683,15,737,476,17205,111,17799
20503,18,2662,18,2699,0,130,0,128,7,1438,4,1452,5,430,5,435,21,2186,13,2221,7,520,0,530,25,2584,15,2629,32,2057,7,2100,4,739,8,749,0,128,0,128,0,342,0,346,4,318,0,317,8,974,4,992,0,568,9,577,8,920,5,928,12,1950,11,1978,37,3560,19,3610,10,701,4,720,7,925,10,938,10,860,19,888,223,23993,141,24354
20504,5,624,8,638,11,411,0,425,15,2028,9,2052,25,2299,15,2337,26,2722,18,2762,7,542,0,554,47,3279,9,3343,38,2056,13,2102,12,1049,10,1070,5,461,0,471,4,516,4,526,5,390,0,394,5,1065,9,1075,10,747,6,758,60,2886,9,2951,33,2710,5,2747,102,6187,22,6308,3,344,0,352,14,1269,4,1289,29,1276,16,1318,443,32859,156,33455
20505,15,2159,8,2183,3,461,0,461,10,896,3,905,3,248,0,252,14,1489,9,1512,0,276,0,276,27,1624,9,1658,22,991,4,1017,11,494,0,504,0,59,0,66,0,156,0,157,0,174,0,175,4,586,0,590,0,295,0,300,39,1960,11,2012,19,1550,3,1569,38,2565,8,2612,6,155,0,160,7,625,3,636,14,648,19,679,237,17401,82,17714
