POW_SA3_CODE_2021,ClAW_2000_2999_H_0,ClAW_2000_2999_H_1_19,ClAW_2000_2999_H_20_29,ClAW_2000_2999_H_30_34,ClAW_2000_2999_H_35_39,ClAW_2000_2999_H_40_44,ClAW_2000_2999_H_45_49,ClAW_2000_2999_H_50ov,ClAW_2000_2999_H_NS,ClAW_2000_2999_H_Tot,ClAW_3000_3499_H_0,ClAW_3000_3499_H_1_19,ClAW_3000_3499_H_20_29,ClAW_3000_3499_H_30_34,ClAW_3000_3499_H_35_39,ClAW_3000_3499_H_40_44,ClAW_3000_3499_H_45_49,ClAW_3000_3499_H_50ov,ClAW_3000_3499_H_NS,ClAW_3000_3499_H_Tot,ClAW_3500mo_H_0,ClAW_3500mo_H_1_19,ClAW_3500mo_H_20_29,ClAW_3500mo_H_30_34,ClAW_3500mo_H_35_39,ClAW_3500mo_H_40_44,ClAW_3500mo_H_45_49,ClAW_3500mo_H_50ov,ClAW_3500mo_H_NS,ClAW_3500mo_H_Tot,ClAW_PINS_H_0,ClAW_PINS_H_1_19,ClAW_PINS_H_20_29,ClAW_PINS_H_30_34,ClAW_PINS_H_35_39,ClAW_PINS_H_40_44,ClAW_PINS_H_45_49,ClAW_PINS_H_50ov,ClAW_PINS_H_NS,ClAW_PINS_H_Tot,ClAW_Tot_H_0,ClAW_Tot_H_1_19,ClAW_Tot_H_20_29,ClAW_Tot_H_30_34,ClAW_Tot_H_35_39,ClAW_Tot_H_40_44,ClAW_Tot_H_45_49,ClAW_Tot_H_50ov,ClAW_Tot_H_NS,ClAW_Tot_H_Tot,SWs_NNI_H_0,SWs_NNI_H_1_19,SWs_NNI_H_20_29,SWs_NNI_H_30_34,SWs_NNI_H_35_39,SWs_NNI_H_40_44,SWs_NNI_H_45_49,SWs_NNI_H_50ov,SWs_NNI_H_NS,SWs_NNI_H_Tot,SWs_1_149_H_0,SWs_1_149_H_1_19,SWs_1_149_H_20_29,SWs_1_149_H_30_34,SWs_1_149_H_35_39,SWs_1_149_H_40_44,SWs_1_149_H_45_49,SWs_1_149_H_50ov,SWs_1_149_H_NS,SWs_1_149_H_Tot,SWs_150_299_H_0,SWs_150_299_H_1_19,SWs_150_299_H_20_29,SWs_150_299_H_30_34,SWs_150_299_H_35_39,SWs_150_299_H_40_44,SWs_150_299_H_45_49,SWs_150_299_H_50ov,SWs_150_299_H_NS,SWs_150_299_H_Tot,SWs_300_399_H_0,SWs_300_399_H_1_19,SWs_300_399_H_20_29,SWs_300_399_H_30_34,SWs_300_399_H_35_39,SWs_300_399_H_40_44,SWs_300_399_H_45_49,SWs_300_399_H_50ov,SWs_300_399_H_NS,SWs_300_399_H_Tot,SWs_400_499_H_0,SWs_400_499_H_1_19,SWs_400_499_H_20_29,SWs_400_499_H_30_34,SWs_400_499_H_35_39,SWs_400_499_H_40_44,SWs_400_499_H_45_49,SWs_400_499_H_50ov,SWs_400_499_H_NS,SWs_400_499_H_Tot,SWs_500_649_H_0,SWs_500_649_H_1_19,SWs_500_649_H_20_29,SWs_500_649_H_30_34,SWs_500_649_H_35_39,SWs_500_649_H_40_44,SWs_500_649_H_45_49,SWs_500_649_H_50ov,SWs_500_649_H_NS,SWs_500_649_H_Tot,SWs_650_799_H_0,SWs_650_799_H_1_19,SWs_650_799_H_20_29,SWs_650_799_H_30_34,SWs_650_799_H_35_39,SWs_650_799_H_40_44,SWs_650_799_H_45_49,SWs_650_799_H_50ov,SWs_650_799_H_NS,SWs_650_799_H_Tot,SWs_800_999_H_0,SWs_800_999_H_1_19,SWs_800_999_H_20_29,SWs_800_999_H_30_34,SWs_800_999_H_35_39,SWs_800_999_H_40_44,SWs_800_999_H_45_49,SWs_800_999_H_50ov,SWs_800_999_H_NS,SWs_800_999_H_Tot,SWs_1000_1249_H_0,SWs_1000_1249_H_1_19,SWs_1000_1249_H_20_29,SWs_1000_1249_H_30_34,SWs_1000_1249_H_35_39,SWs_1000_1249_H_40_44,SWs_1000_1249_H_45_49,SWs_1000_1249_H_50ov,SWs_1000_1249_H_NS,SWs_1000_1249_H_Tot,SWs_1250_1499_H_0,SWs_1250_1499_H_1_19,SWs_1250_1499_H_20_29,SWs_1250_1499_H_30_34,SWs_1250_1499_H_35_39,SWs_1250_1499_H_40_44,SWs_1250_1499_H_45_49,SWs_1250_1499_H_50ov,SWs_1250_1499_H_NS,SWs_1250_1499_H_Tot,SWs_1500_1749_H_0,SWs_1500_1749_H_1_19,SWs_1500_1749_H_20_29,SWs_1500_1749_H_30_34,SWs_1500_1749_H_35_39,SWs_1500_1749_H_40_44,SWs_1500_1749_H_45_49,SWs_1500_1749_H_50ov,SWs_1500_1749_H_NS,SWs_1500_1749_H_Tot,SWs_1750_1999_H_0,SWs_1750_1999_H_1_19,SWs_1750_1999_H_20_29,SWs_1750_1999_H_30_34,SWs_1750_1999_H_35_39,SWs_1750_1999_H_40_44,SWs_1750_1999_H_45_49,SWs_1750_1999_H_50ov,SWs_1750_1999_H_NS,SWs_1750_1999_H_Tot,SWs_2000_2999_H_0,SWs_2000_2999_H_1_19,SWs_2000_2999_H_20_29,SWs_2000_2999_H_30_34,SWs_2000_2999_H_35_39,SWs_2000_2999_H_40_44,SWs_2000_2999_H_45_49,SWs_2000_2999_H_50ov,SWs_2000_2999_H_NS,SWs_2000_2999_H_Tot,SWs_3000_3499_H_0,SWs_3000_3499_H_1_19,SWs_3000_3499_H_20_29,SWs_3000_3499_H_30_34,SWs_3000_3499_H_35_39,SWs_3000_3499_H_40_44,SWs_3000_3499_H_45_49,SWs_3000_3499_H_50ov,SWs_3000_3499_H_NS,SWs_3000_3499_H_Tot,SWs_3500mo_H_0,SWs_3500mo_H_1_19,SWs_3500mo_H_20_29,SWs_3500mo_H_30_34,SWs_3500mo_H_35_39,SWs_3500mo_H_40_44,SWs_3500mo_H_45_49,SWs_3500mo_H_50ov,SWs_3500mo_H_NS,SWs_3500mo_H_Tot
20101,14,16,17,14,84,75,65,56,4,342,0,10,5,8,7,14,10,10,0,62,4,6,4,6,13,9,0,17,0,60,0,8,9,4,4,8,0,0,5,36,333,981,1158,754,2003,1157,306,299,39,7028,13,18,3,0,0,0,0,0,0,43,95,663,15,0,0,0,0,0,5,780,42,402,51,7,0,0,0,0,7,517,39,267,95,13,4,0,0,3,0,421,32,218,146,12,11,5,3,0,7,430,74,171,286,85,38,10,5,7,6,677,35,112,170,132,143,51,11,9,4,670,26,40,65,109,261,111,23,19,7,663,11,32,35,29,186,138,29,28,0,491,13,8,17,16,59,86,21,18,3,236,8,3,6,16,39,47,16,21,0,153,3,0,3,6,26,32,9,14,0,90,4,5,10,4,24,35,27,24,0,135,0,0,0,0,5,0,4,10,0,22,0,4,4,0,11,18,4,34,0,72
20102,0,3,4,0,0,3,4,0,0,15,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,6,0,3,0,0,0,0,0,0,0,10,45,196,161,98,142,117,14,37,20,830,0,5,0,0,0,0,0,0,0,0,3,57,0,0,0,0,0,0,0,66,10,46,5,0,0,6,0,0,0,67,4,32,14,0,0,0,0,0,3,60,7,27,16,0,6,0,0,0,4,59,4,34,34,10,5,7,0,0,0,92,6,22,27,23,21,0,4,0,0,106,3,4,9,12,24,14,4,0,0,72,0,4,3,10,8,11,5,0,0,43,0,5,0,0,5,4,0,3,0,16,0,0,0,0,4,3,0,0,0,14,0,3,0,0,0,0,0,0,0,8,0,0,0,3,0,6,3,0,0,14,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,4,0,7
20103,0,3,0,0,7,5,0,5,0,12,0,0,0,3,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,12,33,134,114,85,161,90,22,31,9,669,0,5,0,0,0,0,0,0,0,8,11,68,0,0,0,0,0,0,3,79,8,44,8,0,0,0,0,0,0,57,6,37,9,3,0,0,0,0,5,54,0,14,20,0,5,0,0,0,0,42,8,27,39,15,4,4,0,0,0,107,5,13,24,15,20,4,6,3,0,89,0,8,11,11,39,16,4,0,0,85,0,3,6,3,7,14,3,0,0,40,0,0,0,0,0,4,0,4,0,12,0,0,0,0,0,0,5,0,0,14,0,0,5,0,3,0,0,0,0,7,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,5,0,8
20201,14,12,9,20,76,76,30,42,0,278,0,3,3,5,8,8,4,15,0,50,0,5,4,4,9,10,9,8,0,48,4,6,0,0,9,3,0,4,3,31,271,838,997,675,1788,1000,206,273,40,6096,8,17,0,0,0,0,0,5,0,27,69,570,13,0,0,0,0,0,6,660,50,384,58,7,4,0,0,0,5,505,33,205,72,13,3,0,0,4,3,327,31,177,138,36,10,9,0,0,10,409,34,178,240,60,39,6,3,3,6,582,51,91,152,115,138,40,8,5,9,595,29,48,64,79,219,103,20,25,8,576,10,28,23,27,160,126,22,27,3,424,10,14,10,10,63,47,18,17,3,186,8,5,5,10,33,45,20,21,0,148,0,8,0,7,22,28,5,17,0,90,5,5,0,6,25,37,7,30,0,110,0,0,5,0,0,3,4,11,0,25,5,5,0,0,4,8,4,27,0,47
20202,4,3,4,3,12,14,5,14,0,68,0,6,6,0,0,6,4,3,0,22,0,0,0,4,4,7,0,5,0,16,0,5,0,0,0,0,0,0,0,14,65,328,307,181,293,250,50,87,14,1585,0,6,0,0,0,0,0,0,0,3,19,180,0,0,0,0,0,0,4,202,11,118,13,0,0,0,0,0,0,148,6,65,16,0,0,0,0,4,0,102,8,69,39,3,3,4,0,0,3,135,12,43,67,18,6,12,0,5,6,169,5,26,38,27,40,13,3,7,0,165,3,16,21,22,39,20,9,8,5,132,0,12,8,6,14,32,11,15,0,98,6,3,8,3,10,19,8,7,0,61,0,4,0,0,13,10,4,4,0,38,0,0,4,0,3,5,3,8,0,20,0,0,0,0,8,3,7,14,0,27,0,0,0,0,5,0,3,0,0,8,0,0,0,0,6,4,0,11,0,27
20203,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,4,16,80,50,31,47,51,10,22,3,311,0,0,0,0,0,0,0,0,0,5,5,29,0,0,0,0,0,0,0,36,0,10,0,0,0,0,0,0,3,18,0,10,0,0,0,0,0,0,0,14,0,3,6,0,0,0,0,0,0,17,0,8,6,4,0,0,0,0,0,21,0,0,4,4,6,8,0,0,0,18,0,0,5,5,6,0,0,0,0,15,0,0,0,0,5,3,3,4,0,10,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20301,0,0,4,3,8,4,7,4,0,23,0,0,0,0,0,0,0,0,0,0,0,4,4,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,15,118,69,56,73,74,13,16,4,452,0,0,0,0,0,0,0,0,0,0,0,46,4,0,0,0,0,0,3,55,0,29,6,0,0,0,0,0,0,43,3,20,3,0,0,0,0,0,0,32,0,13,6,0,0,0,0,0,4,23,0,7,18,6,0,0,0,0,0,32,0,3,7,5,3,0,0,6,0,23,0,0,5,0,8,8,0,3,0,25,0,0,7,0,7,10,0,5,0,27,0,0,0,5,0,8,0,3,0,15,0,0,0,0,0,4,0,0,0,7,0,0,0,0,3,7,0,0,0,10,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
20302,27,23,31,41,259,246,75,107,6,814,0,7,5,5,21,34,9,17,0,100,3,16,9,11,15,30,15,37,0,138,0,8,7,8,21,7,7,3,19,83,606,1862,2018,1372,3610,2288,469,596,83,12897,16,30,4,0,7,0,0,6,5,70,184,1151,17,0,0,5,0,0,12,1361,108,792,84,12,0,0,0,5,11,1007,83,495,132,20,9,8,0,4,9,756,80,402,268,35,19,11,0,6,7,817,85,373,464,103,51,31,7,8,4,1128,67,179,297,224,206,66,14,11,9,1065,55,102,156,155,394,169,32,31,12,1103,32,42,69,65,332,209,45,39,7,835,24,19,30,38,149,166,50,57,0,541,15,13,15,12,96,109,29,48,0,338,10,4,8,10,56,68,24,28,0,207,8,7,6,8,53,102,25,64,0,275,0,3,3,3,12,20,5,15,0,62,5,7,3,9,7,17,3,43,0,94
20303,0,5,11,9,27,29,11,15,0,109,0,4,5,0,4,9,0,0,0,31,0,10,10,4,0,8,3,5,0,38,0,9,4,0,0,4,0,0,6,24,114,583,480,271,458,290,52,84,27,2357,9,7,0,0,0,0,0,0,0,20,54,402,5,0,0,0,0,0,4,471,25,240,23,0,0,0,0,0,3,292,29,148,40,3,0,0,0,0,3,230,22,114,105,9,5,0,0,0,0,263,22,121,140,37,8,5,0,4,6,341,19,44,87,59,58,13,6,4,3,294,21,38,35,31,81,32,8,5,0,257,14,21,22,20,59,47,10,10,0,202,4,7,12,4,28,33,4,12,0,110,8,7,4,13,26,32,4,16,0,103,0,5,10,3,7,20,3,13,0,59,3,4,0,5,7,20,7,15,4,65,0,3,0,0,0,13,0,3,0,22,0,7,5,3,9,9,7,22,0,66
20401,4,4,3,4,14,21,8,17,0,72,0,0,0,0,3,7,0,7,0,15,0,3,0,0,3,4,0,4,0,20,3,3,4,0,4,0,0,4,0,19,109,447,375,247,494,346,63,115,25,2229,3,8,0,0,0,0,0,0,0,17,20,182,4,5,4,0,0,0,10,217,15,127,19,0,3,5,0,0,3,174,11,70,28,0,0,0,0,6,3,122,4,65,43,9,12,3,0,0,4,150,19,58,103,40,8,8,0,7,3,246,21,42,71,59,64,28,3,10,5,304,4,12,35,31,93,48,9,11,3,249,4,6,22,16,43,50,10,10,0,158,5,0,3,7,15,12,7,8,0,66,4,3,5,0,12,14,8,15,0,57,3,0,0,0,10,11,5,6,0,29,0,3,0,0,12,14,0,13,0,41,0,0,0,0,0,4,0,9,0,16,0,5,0,0,0,4,0,8,0,23
