POW_SA3_CODE_2021,MaOpD_1250_1499_A_20_24,MaOpD_1250_1499_A_25_34,MaOpD_1250_1499_A_35_44,MaOpD_1250_1499_A_45_54,MaOpD_1250_1499_A_55_64,MaOpD_1250_1499_A_65_74,MaOpD_1250_1499_A_75ov,MaOpD_1250_1499_Tot,MaOpD_1500_1749_A_15_19,MaOpD_1500_1749_A_20_24,MaOpD_1500_1749_A_25_34,MaOpD_1500_1749_A_35_44,MaOpD_1500_1749_A_45_54,MaOpD_1500_1749_A_55_64,MaOpD_1500_1749_A_65_74,MaOpD_1500_1749_A_75ov,MaOpD_1500_1749_Tot,MaOpD_1750_1999_A_15_19,MaOpD_1750_1999_A_20_24,MaOpD_1750_1999_A_25_34,MaOpD_1750_1999_A_35_44,MaOpD_1750_1999_A_45_54,MaOpD_1750_1999_A_55_64,MaOpD_1750_1999_A_65_74,MaOpD_1750_1999_A_75ov,MaOpD_1750_1999_Tot,MaOpD_2000_2999_A_15_19,MaOpD_2000_2999_A_20_24,MaOpD_2000_2999_A_25_34,MaOpD_2000_2999_A_35_44,MaOpD_2000_2999_A_45_54,MaOpD_2000_2999_A_55_64,MaOpD_2000_2999_A_65_74,MaOpD_2000_2999_A_75ov,MaOpD_2000_2999_Tot,MaOpD_3000_3499_A_15_19,MaOpD_3000_3499_A_20_24,MaOpD_3000_3499_A_25_34,MaOpD_3000_3499_A_35_44,MaOpD_3000_3499_A_45_54,MaOpD_3000_3499_A_55_64,MaOpD_3000_3499_A_65_74,MaOpD_3000_3499_A_75ov,MaOpD_3000_3499_Tot,MaOpD_3500mo_A_15_19,MaOpD_3500mo_A_20_24,MaOpD_3500mo_A_25_34,MaOpD_3500mo_A_35_44,MaOpD_3500mo_A_45_54,MaOpD_3500mo_A_55_64,MaOpD_3500mo_A_65_74,MaOpD_3500mo_A_75ov,MaOpD_3500mo_Tot,MaOpD_PINS_A_15_19,MaOpD_PINS_A_20_24,MaOpD_PINS_A_25_34,MaOpD_PINS_A_35_44,MaOpD_PINS_A_45_54,MaOpD_PINS_A_55_64,MaOpD_PINS_A_65_74,MaOpD_PINS_A_75ov,MaOpD_PINS_Tot,MaOpD_Tot_A_15_19,MaOpD_Tot_A_20_24,MaOpD_Tot_A_25_34,MaOpD_Tot_A_35_44,MaOpD_Tot_A_45_54,MaOpD_Tot_A_55_64,MaOpD_Tot_A_65_74,MaOpD_Tot_A_75ov,MaOpD_Tot_Tot,Lab_NNI_A_15_19,Lab_NNI_A_20_24,Lab_NNI_A_25_34,Lab_NNI_A_35_44,Lab_NNI_A_45_54,Lab_NNI_A_55_64,Lab_NNI_A_65_74,Lab_NNI_A_75ov,Lab_NNI_Tot,Lab_1_149_A_15_19,Lab_1_149_A_20_24,Lab_1_149_A_25_34,Lab_1_149_A_35_44,Lab_1_149_A_45_54,Lab_1_149_A_55_64,Lab_1_149_A_65_74,Lab_1_149_A_75ov,Lab_1_149_Tot,Lab_150_299_A_15_19,Lab_150_299_A_20_24,Lab_150_299_A_25_34,Lab_150_299_A_35_44,Lab_150_299_A_45_54,Lab_150_299_A_55_64,Lab_150_299_A_65_74,Lab_150_299_A_75ov,Lab_150_299_Tot,Lab_300_399_A_15_19,Lab_300_399_A_20_24,Lab_300_399_A_25_34,Lab_300_399_A_35_44,Lab_300_399_A_45_54,Lab_300_399_A_55_64,Lab_300_399_A_65_74,Lab_300_399_A_75ov,Lab_300_399_Tot,Lab_400_499_A_15_19,Lab_400_499_A_20_24,Lab_400_499_A_25_34,Lab_400_499_A_35_44,Lab_400_499_A_45_54,Lab_400_499_A_55_64,Lab_400_499_A_65_74,Lab_400_499_A_75ov,Lab_400_499_Tot,Lab_500_649_A_15_19,Lab_500_649_A_20_24,Lab_500_649_A_25_34,Lab_500_649_A_35_44,Lab_500_649_A_45_54,Lab_500_649_A_55_64,Lab_500_649_A_65_74,Lab_500_649_A_75ov,Lab_500_649_Tot,Lab_650_799_A_15_19,Lab_650_799_A_20_24,Lab_650_799_A_25_34,Lab_650_799_A_35_44,Lab_650_799_A_45_54,Lab_650_799_A_55_64,Lab_650_799_A_65_74,Lab_650_799_A_75ov,Lab_650_799_Tot,Lab_800_999_A_15_19,Lab_800_999_A_20_24,Lab_800_999_A_25_34,Lab_800_999_A_35_44,Lab_800_999_A_45_54,Lab_800_999_A_55_64,Lab_800_999_A_65_74,Lab_800_999_A_75ov,Lab_800_999_Tot,Lab_1000_1249_A_15_19,Lab_1000_1249_A_20_24,Lab_1000_1249_A_25_34,Lab_1000_1249_A_35_44,Lab_1000_1249_A_45_54,Lab_1000_1249_A_55_64,Lab_1000_1249_A_65_74,Lab_1000_1249_A_75ov,Lab_1000_1249_Tot,Lab_1250_1499_A_15_19,Lab_1250_1499_A_20_24,Lab_1250_1499_A_25_34,Lab_1250_1499_A_35_44,Lab_1250_1499_A_45_54,Lab_1250_1499_A_55_64,Lab_1250_1499_A_65_74,Lab_1250_1499_A_75ov,Lab_1250_1499_Tot,Lab_1500_1749_A_15_19,Lab_1500_1749_A_20_24,Lab_1500_1749_A_25_34,Lab_1500_1749_A_35_44,Lab_1500_1749_A_45_54,Lab_1500_1749_A_55_64,Lab_1500_1749_A_65_74,Lab_1500_1749_A_75ov,Lab_1500_1749_Tot,Lab_1750_1999_A_15_19,Lab_1750_1999_A_20_24,Lab_1750_1999_A_25_34,Lab_1750_1999_A_35_44,Lab_1750_1999_A_45_54,Lab_1750_1999_A_55_64,Lab_1750_1999_A_65_74,Lab_1750_1999_A_75ov,Lab_1750_1999_Tot,Lab_2000_2999_A_15_19,Lab_2000_2999_A_20_24,Lab_2000_2999_A_25_34,Lab_2000_2999_A_35_44,Lab_2000_2999_A_45_54,Lab_2000_2999_A_55_64,Lab_2000_2999_A_65_74,Lab_2000_2999_A_75ov,Lab_2000_2999_Tot,Lab_3000_3499_A_15_19,Lab_3000_3499_A_20_24,Lab_3000_3499_A_25_34,Lab_3000_3499_A_35_44,Lab_3000_3499_A_45_54,Lab_3000_3499_A_55_64,Lab_3000_3499_A_65_74,Lab_3000_3499_A_75ov,Lab_3000_3499_Tot,Lab_3500mo_A_15_19,Lab_3500mo_A_20_24,Lab_3500mo_A_25_34
20101,19,68,79,109,99,20,0,382,3,5,52,52,68,93,6,0,273,0,5,48,45,51,41,5,0,189,0,3,52,61,44,35,8,0,198,0,0,0,9,14,4,0,0,27,0,0,8,10,3,5,0,0,32,0,0,4,0,11,5,0,0,28,85,201,582,524,685,698,203,5,2979,13,0,0,0,5,0,6,0,30,415,19,13,12,6,11,4,0,479,176,42,29,20,35,30,21,3,358,48,65,32,35,37,54,25,4,295,44,76,64,42,54,74,34,0,392,39,95,123,81,102,123,35,9,600,26,120,138,98,128,131,42,0,681,20,118,198,140,157,147,31,5,811,10,63,157,142,155,124,29,0,675,4,17,81,73,72,66,12,0,324,4,7,38,55,51,43,10,0,217,0,7,19,46,43,31,3,0,142,0,7,36,30,57,36,3,0,173,0,0,4,3,0,0,0,0,16,0,0,7
20102,5,13,13,22,16,0,0,65,0,0,8,5,11,14,4,0,48,0,0,8,10,5,7,0,0,30,0,0,11,8,10,3,0,0,30,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,8,19,71,75,114,106,34,0,429,14,0,0,4,0,0,5,0,24,76,3,9,4,0,3,3,0,101,36,14,5,6,9,12,9,0,93,13,5,8,13,8,25,4,0,76,9,14,11,15,23,19,4,0,100,10,16,24,18,31,32,10,3,148,7,16,31,24,41,45,21,3,175,0,20,36,29,44,34,5,3,168,0,13,29,28,22,21,4,0,119,0,3,9,12,10,15,0,0,44,0,0,7,11,4,11,0,0,30,0,0,6,4,3,8,0,3,21,0,0,3,3,0,0,0,0,3,0,0,0,3,0,0,0,0,4,0,0,0
20103,4,15,13,16,26,5,0,83,0,0,5,15,6,10,4,0,37,0,0,3,0,3,8,0,0,19,0,0,10,9,0,7,0,0,25,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,16,25,70,79,103,143,41,6,480,4,0,4,0,3,0,5,0,15,59,0,0,0,6,4,0,0,69,16,5,4,3,8,9,6,0,50,5,6,9,7,14,13,4,0,64,8,13,10,6,7,21,14,5,78,6,11,20,21,19,29,15,3,126,4,15,37,29,34,39,9,0,165,5,28,41,30,47,46,11,0,214,0,7,26,27,26,30,4,0,126,0,7,3,8,14,9,3,0,41,0,0,9,6,4,10,0,0,33,0,0,0,0,5,4,0,0,12,0,0,3,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
20201,12,49,66,71,72,25,0,295,3,8,30,37,70,57,11,0,217,0,8,26,23,31,23,3,0,109,0,6,35,30,29,24,6,0,128,0,0,0,3,5,10,0,0,23,0,0,0,6,3,3,0,0,12,0,0,4,6,3,9,0,0,20,109,194,436,439,536,597,171,10,2491,19,3,5,0,0,0,0,0,36,430,17,12,9,6,16,8,0,495,207,41,23,18,18,37,14,3,349,62,41,33,25,35,43,24,4,269,41,52,52,38,45,70,22,4,329,32,94,105,99,81,132,34,3,577,21,112,141,113,132,131,43,3,696,17,101,171,136,112,122,22,0,674,16,53,118,116,114,100,15,4,535,0,24,64,42,58,47,17,0,248,3,8,33,39,27,23,7,0,135,0,4,22,17,23,3,0,0,72,0,6,24,22,17,14,6,0,84,0,0,3,4,4,0,0,0,12,0,0,0
20202,8,30,23,33,34,9,0,141,0,3,29,32,22,28,0,0,118,0,0,16,12,15,12,0,0,64,0,3,21,20,19,14,3,0,75,0,0,0,5,5,0,0,0,11,0,0,0,6,0,0,0,0,5,0,0,0,0,6,4,0,0,14,20,70,185,171,223,276,81,5,1028,5,3,0,0,3,0,0,0,17,153,5,6,10,11,9,3,0,192,50,22,14,16,13,21,8,0,136,20,23,21,13,18,34,7,0,138,10,29,16,19,32,46,16,3,162,22,34,54,38,46,52,24,3,276,11,77,115,77,86,84,18,3,469,16,122,236,157,143,123,23,0,824,12,53,150,112,97,94,24,0,534,4,9,50,35,32,24,0,0,152,0,5,19,14,16,11,3,0,75,0,0,7,12,7,0,3,0,29,0,0,4,8,11,9,0,0,28,0,0,0,4,0,0,0,0,5,0,0,0
20203,6,13,17,16,26,6,0,76,0,4,17,20,18,10,7,0,82,0,0,26,22,9,15,0,0,68,0,7,30,38,28,12,0,0,113,0,0,3,4,4,0,0,0,12,0,0,0,9,5,0,0,0,17,0,0,0,3,6,0,0,0,9,10,40,123,144,140,124,32,0,609,3,0,0,0,0,3,0,0,11,13,0,4,0,0,0,0,0,21,4,7,0,5,3,7,0,0,22,5,4,3,4,6,0,0,3,25,3,3,6,4,8,9,7,0,42,3,7,3,7,13,8,9,0,41,6,11,14,12,17,20,8,0,88,3,19,31,18,16,18,3,0,114,0,5,27,23,17,16,0,0,95,0,6,8,10,14,16,3,0,51,0,0,5,8,5,13,4,0,31,0,4,3,9,0,0,0,0,22,0,0,4,5,6,0,0,0,14,0,0,3,0,0,0,0,0,3,0,0,0
20301,0,10,11,11,5,0,0,43,0,0,0,8,9,6,0,0,22,0,0,6,6,5,3,3,0,25,0,0,0,5,3,3,0,0,16,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,12,43,52,69,53,27,0,266,4,0,5,5,3,3,0,0,13,52,5,0,3,3,3,0,0,69,22,6,4,9,8,5,8,0,55,7,3,4,8,12,8,0,0,40,0,3,8,7,11,11,0,0,40,10,19,9,9,12,13,0,0,68,4,17,18,11,15,16,4,3,98,7,18,24,25,24,17,7,0,125,0,9,12,15,34,6,8,0,85,0,0,0,7,14,9,0,0,33,0,0,3,9,9,0,0,0,25,0,4,0,4,0,3,0,0,16,0,0,9,4,4,4,5,0,18,0,0,0,0,0,0,0,0,3,0,0,0
20302,41,162,149,186,204,46,0,791,3,15,90,117,141,129,19,0,513,0,6,61,51,89,70,15,0,305,0,7,65,77,90,83,13,0,336,0,4,11,21,16,19,0,0,67,0,0,7,16,13,17,0,0,54,4,3,12,5,11,26,7,6,69,209,671,1371,1151,1379,1448,390,23,6640,24,8,9,10,5,6,0,0,56,692,35,12,14,16,19,14,0,807,320,113,53,38,33,56,28,3,639,95,134,72,50,80,92,38,6,570,61,163,150,95,103,132,49,10,760,58,190,190,160,170,192,87,14,1058,37,170,254,208,204,218,76,10,1177,39,203,408,286,322,259,58,7,1586,10,111,354,268,278,240,46,0,1298,4,46,175,132,121,117,25,0,612,0,18,85,78,78,59,9,0,337,0,9,54,57,58,46,7,0,231,0,11,69,97,60,24,12,0,271,0,0,9,16,14,3,0,0,40,0,5,7
20303,0,10,10,12,17,3,0,53,0,0,10,4,13,9,0,0,46,0,0,0,8,5,7,0,0,25,0,0,3,8,10,5,3,0,27,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,8,36,60,99,83,109,144,39,9,579,8,0,0,7,0,4,0,0,19,329,14,9,6,3,6,3,0,368,114,39,16,19,14,23,20,5,241,35,44,37,18,28,34,13,0,214,15,52,41,34,35,44,17,0,233,13,55,61,36,46,54,25,0,291,10,63,61,49,57,51,14,3,306,9,49,73,46,63,56,18,0,312,0,22,53,48,38,44,8,4,217,0,5,24,31,27,15,11,0,111,0,3,17,14,19,8,0,0,77,0,0,5,17,14,5,0,0,45,0,0,6,14,16,15,6,0,48,0,0,0,3,0,0,0,0,0,0,0,0
20401,12,38,30,53,44,11,0,189,0,9,25,28,20,32,5,0,115,0,8,11,22,14,9,6,0,62,0,0,11,15,18,7,4,0,57,0,0,4,0,6,3,4,0,14,0,0,0,0,0,6,0,0,7,0,0,4,0,5,7,5,0,14,51,114,214,205,299,342,110,10,1340,18,5,0,0,4,7,3,0,39,179,5,8,10,17,15,10,0,229,84,19,16,17,22,39,17,5,219,30,22,21,20,27,51,14,0,184,18,24,27,30,37,53,26,7,228,27,29,57,55,59,87,23,0,344,33,78,77,53,83,74,38,8,440,16,59,103,71,71,98,20,0,447,10,44,75,66,74,85,22,5,381,0,18,39,37,45,40,8,6,185,0,9,26,25,25,26,8,4,126,0,4,13,15,15,10,4,0,59,0,3,12,11,12,10,3,0,55,0,0,0,0,0,0,0,0,3,0,3,0
