POW_SA3_CODE_2021,P_EWFT_35_39_ES_NS,P_EWFT_35_39_Tot,P_EWFT_40_44_E,P_EWFT_40_44_OM_IE,P_EWFT_40_44_OM_UIE,P_EWFT_40_44_CFW,P_EWFT_40_44_ES_NS,P_EWFT_40_44_Tot,P_EWFT_45_49_E,P_EWFT_45_49_OM_IE,P_EWFT_45_49_OM_UIE,P_EWFT_45_49_CFW,P_EWFT_45_49_ES_NS,P_EWFT_45_49_Tot,P_EWFT_50_54_E,P_EWFT_50_54_OM_IE,P_EWFT_50_54_OM_UIE,P_EWFT_50_54_CFW,P_EWFT_50_54_ES_NS,P_EWFT_50_54_Tot,P_EWFT_55_59_E,P_EWFT_55_59_OM_IE,P_EWFT_55_59_OM_UIE,P_EWFT_55_59_CFW,P_EWFT_55_59_ES_NS,P_EWFT_55_59_Tot,P_EWFT_60_64_E,P_EWFT_60_64_OM_IE,P_EWFT_60_64_OM_UIE,P_EWFT_60_64_CFW,P_EWFT_60_64_ES_NS,P_EWFT_60_64_Tot,P_EWFT_65_69_E,P_EWFT_65_69_OM_IE,P_EWFT_65_69_OM_UIE,P_EWFT_65_69_CFW,P_EWFT_65_69_ES_NS,P_EWFT_65_69_Tot,P_EWFT_70_74_E,P_EWFT_70_74_OM_IE,P_EWFT_70_74_OM_UIE,P_EWFT_70_74_CFW,P_EWFT_70_74_ES_NS,P_EWFT_70_74_Tot,P_EWFT_75ov_E,P_EWFT_75ov_OM_IE,P_EWFT_75ov_OM_UIE,P_EWFT_75ov_CFW,P_EWFT_75ov_ES_NS,P_EWFT_75ov_Tot,P_EWFT_Tot_E,P_EWFT_Tot_OM_IE,P_EWFT_Tot_OM_UIE,P_EWFT_Tot_CFW,P_EWFT_Tot_ES_NS,P_EWFT_Tot_Tot,P_EWPT_15_19_E,P_EWPT_15_19_OM_IE,P_EWPT_15_19_OM_UIE,P_EWPT_15_19_CFW,P_EWPT_15_19_ES_NS,P_EWPT_15_19_Tot,P_EWPT_20_24_E,P_EWPT_20_24_OM_IE,P_EWPT_20_24_OM_UIE,P_EWPT_20_24_CFW,P_EWPT_20_24_ES_NS,P_EWPT_20_24_Tot,P_EWPT_25_29_E,P_EWPT_25_29_OM_IE,P_EWPT_25_29_OM_UIE,P_EWPT_25_29_CFW,P_EWPT_25_29_ES_NS,P_EWPT_25_29_Tot,P_EWPT_30_34_E,P_EWPT_30_34_OM_IE,P_EWPT_30_34_OM_UIE,P_EWPT_30_34_CFW,P_EWPT_30_34_ES_NS,P_EWPT_30_34_Tot,P_EWPT_35_39_E,P_EWPT_35_39_OM_IE,P_EWPT_35_39_OM_UIE,P_EWPT_35_39_CFW,P_EWPT_35_39_ES_NS,P_EWPT_35_39_Tot,P_EWPT_40_44_E,P_EWPT_40_44_OM_IE,P_EWPT_40_44_OM_UIE,P_EWPT_40_44_CFW,P_EWPT_40_44_ES_NS,P_EWPT_40_44_Tot,P_EWPT_45_49_E,P_EWPT_45_49_OM_IE,P_EWPT_45_49_OM_UIE,P_EWPT_45_49_CFW,P_EWPT_45_49_ES_NS,P_EWPT_45_49_Tot,P_EWPT_50_54_E,P_EWPT_50_54_OM_IE,P_EWPT_50_54_OM_UIE,P_EWPT_50_54_CFW,P_EWPT_50_54_ES_NS,P_EWPT_50_54_Tot,P_EWPT_55_59_E,P_EWPT_55_59_OM_IE,P_EWPT_55_59_OM_UIE,P_EWPT_55_59_CFW,P_EWPT_55_59_ES_NS,P_EWPT_55_59_Tot,P_EWPT_60_64_E,P_EWPT_60_64_OM_IE,P_EWPT_60_64_OM_UIE,P_EWPT_60_64_CFW,P_EWPT_60_64_ES_NS,P_EWPT_60_64_Tot,P_EWPT_65_69_E,P_EWPT_65_69_OM_IE,P_EWPT_65_69_OM_UIE,P_EWPT_65_69_CFW,P_EWPT_65_69_ES_NS,P_EWPT_65_69_Tot,P_EWPT_70_74_E,P_EWPT_70_74_OM_IE,P_EWPT_70_74_OM_UIE,P_EWPT_70_74_CFW,P_EWPT_70_74_ES_NS,P_EWPT_70_74_Tot,P_EWPT_75ov_E,P_EWPT_75ov_OM_IE,P_EWPT_75ov_OM_UIE,P_EWPT_75ov_CFW,P_EWPT_75ov_ES_NS,P_EWPT_75ov_Tot,P_EWPT_Tot_E,P_EWPT_Tot_OM_IE,P_EWPT_Tot_OM_UIE,P_EWPT_Tot_CFW,P_EWPT_Tot_ES_NS,P_EWPT_Tot_Tot,P_EAFW_E,P_EAFW_OM_IE,P_EAFW_OM_UIE,P_EAFW_CFW,P_EAFW_ES_NS,P_EAFW_Tot,P_H_NS_E,P_H_NS_OM_IE,P_H_NS_OM_UIE,P_H_NS_CFW,P_H_NS_ES_NS,P_H_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
20101,12,3263,2810,322,176,24,11,3343,3002,363,210,23,16,3621,2882,368,182,27,17,3475,2349,305,162,26,14,2862,1576,220,123,30,20,1961,436,100,61,12,11,614,80,46,25,7,5,159,15,10,5,10,3,36,25445,2352,1416,185,125,29516,2608,9,3,14,8,2638,2391,5,52,7,4,2456,1716,21,97,9,9,1849,1639,51,125,17,4,1838,1725,89,138,35,10,1996,1558,90,123,43,6,1810,1501,105,140,32,8,1789,1399,101,144,29,9,1681,1423,102,146,34,11,1720,1303,85,150,36,19,1597,614,75,116,26,5,839,212,49,43,32,4,343,54,22,28,25,0,132,18136,806,1313,331,103,20687,2746,82,146,32,35,3043,586,35,42,39,90,792,46914,3278,2904,588,350,54038
20102,4,414,297,80,60,19,8,456,288,108,71,16,8,496,323,109,88,17,6,543,288,107,81,33,11,522,177,68,76,33,13,364,58,36,56,18,7,172,7,17,37,21,9,88,0,20,36,18,5,80,2657,677,654,202,72,4265,312,0,0,18,3,335,238,0,15,3,5,259,220,6,13,3,5,245,230,12,26,9,5,279,206,24,61,11,3,296,220,23,55,13,0,321,225,27,68,18,4,339,251,25,65,12,9,363,295,42,81,18,3,443,238,40,91,40,4,411,121,30,57,30,4,238,40,30,43,27,8,148,16,12,24,35,0,93,2615,275,597,233,45,3772,409,26,75,25,14,550,103,12,28,11,20,176,5792,994,1354,469,162,8765
20103,0,345,284,49,39,15,5,384,341,55,56,25,4,473,360,59,47,28,7,498,370,43,55,31,6,500,216,55,65,26,9,375,74,28,50,19,9,180,13,16,36,17,0,82,3,11,9,15,0,46,2900,388,448,186,56,3984,263,0,0,6,0,273,199,0,5,0,0,206,169,0,9,5,0,184,164,5,18,3,4,190,183,16,16,4,4,222,160,15,26,9,0,203,212,21,21,15,4,277,215,14,28,13,5,274,238,17,33,17,3,315,218,11,43,13,7,293,117,19,41,22,5,205,49,9,26,15,3,104,11,10,18,27,3,72,2202,148,287,146,45,2820,324,17,32,19,6,405,129,6,15,16,17,184,5558,565,779,366,129,7391
20201,16,2815,2395,252,149,12,11,2818,2658,308,163,21,6,3158,2472,280,151,23,18,2939,2101,240,137,14,16,2512,1381,148,111,14,9,1664,426,81,53,15,3,579,56,28,20,5,4,120,10,13,4,0,6,33,22296,1800,1139,131,102,25461,2445,7,9,15,0,2477,2018,3,37,6,7,2067,1425,16,65,10,5,1532,1503,45,110,15,4,1669,1653,52,134,29,5,1871,1437,82,104,17,6,1653,1280,64,107,14,6,1476,1247,89,116,16,8,1479,1319,71,133,26,12,1562,1230,75,145,22,16,1485,580,52,100,21,0,760,163,30,47,26,7,275,54,20,18,30,6,125,16359,612,1120,247,85,18427,2394,67,117,36,35,2640,532,30,31,29,71,687,41578,2504,2407,432,297,47221
20202,8,962,776,112,130,15,5,1039,891,142,136,21,17,1204,862,181,167,11,8,1227,758,124,135,28,12,1057,522,107,106,32,24,785,154,65,73,24,4,321,29,31,22,21,4,107,9,20,37,18,4,93,7280,947,999,190,95,9511,719,0,4,8,0,729,522,3,19,6,4,560,399,0,31,0,0,442,399,13,59,12,0,489,433,34,90,12,0,576,487,42,113,17,8,662,511,33,152,19,12,725,544,69,135,20,7,775,552,62,141,29,8,798,510,57,151,27,14,760,267,55,118,41,14,493,84,44,77,40,7,248,25,19,57,32,5,132,5466,429,1139,268,88,7388,829,27,80,40,16,992,238,29,28,24,36,342,13805,1429,2243,523,235,18235
20203,4,263,215,40,39,7,3,313,213,35,33,14,8,302,202,29,58,19,11,323,190,37,55,21,3,309,139,39,61,29,0,267,40,31,47,26,5,151,8,9,21,28,0,74,3,7,20,18,5,59,1843,290,405,172,44,2751,102,0,0,6,0,112,59,0,3,5,0,68,49,5,0,5,5,57,69,0,3,8,3,84,51,7,12,10,0,80,61,6,10,6,0,85,74,9,7,0,0,97,87,6,14,7,0,119,96,8,15,12,0,137,95,8,22,17,0,148,50,8,17,15,6,95,21,11,30,15,0,76,0,3,19,16,0,42,813,70,172,120,25,1197,152,14,17,15,4,197,63,0,13,29,15,122,2870,371,609,331,86,4268
20301,8,266,172,56,40,5,4,276,185,71,34,12,0,308,190,71,47,12,0,319,123,62,45,6,3,245,78,36,39,21,6,180,28,17,24,13,0,80,10,12,19,15,0,58,0,0,9,15,5,36,1667,438,350,114,30,2594,210,0,5,7,0,224,164,0,11,0,0,180,112,0,9,4,0,126,102,12,28,9,0,152,133,20,22,13,3,196,139,15,33,10,0,201,112,12,30,6,3,172,115,15,39,7,4,184,129,21,29,12,0,187,94,21,38,10,3,159,50,7,30,18,0,109,20,14,31,27,0,93,4,6,14,28,0,54,1390,153,329,150,23,2045,145,8,32,21,3,207,68,5,12,4,8,103,3273,603,722,286,62,4952
20302,32,7176,5702,564,296,29,29,6616,5972,678,308,39,25,7016,5568,610,321,31,28,6565,4651,496,260,38,31,5482,2847,334,225,21,19,3449,836,185,101,15,10,1153,142,76,48,22,4,284,42,39,24,13,5,124,50935,4189,2468,267,256,58113,4501,13,26,18,3,4565,4926,16,107,20,14,5081,3412,49,239,25,3,3730,3115,121,299,44,7,3586,3401,147,318,55,17,3939,3086,164,292,55,12,3607,2971,210,274,56,14,3523,2656,178,276,46,20,3176,2753,175,285,48,10,3275,2321,165,293,56,17,2855,1218,132,181,46,20,1598,375,87,124,41,9,640,131,39,48,27,7,253,34866,1491,2770,528,160,39818,5149,137,280,73,46,5689,1155,63,89,46,161,1513,92109,5885,5607,914,625,105131
20303,6,1282,830,266,141,21,8,1269,911,267,178,25,14,1395,767,261,144,13,13,1200,643,206,129,25,4,1013,420,146,100,19,11,700,131,72,43,13,5,261,12,41,17,4,0,79,4,17,12,12,3,46,7705,1715,1164,153,92,10835,1575,0,8,9,9,1598,1307,3,31,3,0,1348,756,9,67,3,3,842,658,44,125,17,4,852,749,84,175,29,3,1037,651,87,196,33,10,966,643,77,205,34,12,966,600,105,175,23,4,914,648,112,170,28,12,969,629,107,179,43,16,973,310,116,151,55,10,635,109,58,91,40,0,305,46,28,44,34,0,149,8687,833,1610,358,75,11562,1376,96,152,42,22,1689,273,36,32,25,36,396,18046,2684,2957,575,226,24487
20401,12,1160,913,144,94,29,18,1194,1057,153,137,31,14,1389,1020,196,147,37,13,1416,978,174,148,53,17,1359,638,148,146,49,14,991,232,79,113,48,9,485,63,47,72,61,5,238,11,28,70,39,8,150,9318,1201,1182,378,114,12201,913,0,8,13,9,940,670,5,11,4,5,691,539,11,28,4,6,588,550,21,43,5,5,631,590,29,79,22,6,732,527,41,77,22,4,678,599,51,88,28,9,771,603,57,84,26,0,768,606,49,110,28,14,795,666,76,101,54,17,917,364,47,119,70,14,611,147,40,76,81,0,354,49,15,70,72,8,222,6818,445,891,444,93,8694,1124,40,115,53,26,1357,339,20,45,47,49,507,17597,1713,2239,921,284,22754
