POW_SA3_CODE_2021,SWs_PINS_H_0,SWs_PINS_H_1_19,SWs_PINS_H_20_29,SWs_PINS_H_30_34,SWs_PINS_H_35_39,SWs_PINS_H_40_44,SWs_PINS_H_45_49,SWs_PINS_H_50ov,SWs_PINS_H_NS,SWs_PINS_H_Tot,SWs_Tot_H_0,SWs_Tot_H_1_19,SWs_Tot_H_20_29,SWs_Tot_H_30_34,SWs_Tot_H_35_39,SWs_Tot_H_40_44,SWs_Tot_H_45_49,SWs_Tot_H_50ov,SWs_Tot_H_NS,SWs_Tot_H_Tot,MaOpD_NNI_H_0,MaOpD_NNI_H_1_19,MaOpD_NNI_H_20_29,MaOpD_NNI_H_30_34,MaOpD_NNI_H_35_39,MaOpD_NNI_H_40_44,MaOpD_NNI_H_45_49,MaOpD_NNI_H_50ov,MaOpD_NNI_H_NS,MaOpD_NNI_H_Tot,MaOpD_1_149_H_0,MaOpD_1_149_H_1_19,MaOpD_1_149_H_20_29,MaOpD_1_149_H_30_34,MaOpD_1_149_H_35_39,MaOpD_1_149_H_40_44,MaOpD_1_149_H_45_49,MaOpD_1_149_H_50ov,MaOpD_1_149_H_NS,MaOpD_1_149_H_Tot,MaOpD_150_299_H_0,MaOpD_150_299_H_1_19,MaOpD_150_299_H_20_29,MaOpD_150_299_H_30_34,MaOpD_150_299_H_35_39,MaOpD_150_299_H_40_44,MaOpD_150_299_H_45_49,MaOpD_150_299_H_50ov,MaOpD_150_299_H_NS,MaOpD_150_299_H_Tot,MaOpD_300_399_H_0,MaOpD_300_399_H_1_19,MaOpD_300_399_H_20_29,MaOpD_300_399_H_30_34,MaOpD_300_399_H_35_39,MaOpD_300_399_H_40_44,MaOpD_300_399_H_45_49,MaOpD_300_399_H_50ov,MaOpD_300_399_H_NS,MaOpD_300_399_H_Tot,MaOpD_400_499_H_0,MaOpD_400_499_H_1_19,MaOpD_400_499_H_20_29,MaOpD_400_499_H_30_34,MaOpD_400_499_H_35_39,MaOpD_400_499_H_40_44,MaOpD_400_499_H_45_49,MaOpD_400_499_H_50ov,MaOpD_400_499_H_NS,MaOpD_400_499_H_Tot,MaOpD_500_649_H_0,MaOpD_500_649_H_1_19,MaOpD_500_649_H_20_29,MaOpD_500_649_H_30_34,MaOpD_500_649_H_35_39,MaOpD_500_649_H_40_44,MaOpD_500_649_H_45_49,MaOpD_500_649_H_50ov,MaOpD_500_649_H_NS,MaOpD_500_649_H_Tot,MaOpD_650_799_H_0,MaOpD_650_799_H_1_19,MaOpD_650_799_H_20_29,MaOpD_650_799_H_30_34,MaOpD_650_799_H_35_39,MaOpD_650_799_H_40_44,MaOpD_650_799_H_45_49,MaOpD_650_799_H_50ov,MaOpD_650_799_H_NS,MaOpD_650_799_H_Tot,MaOpD_800_999_H_0,MaOpD_800_999_H_1_19,MaOpD_800_999_H_20_29,MaOpD_800_999_H_30_34,MaOpD_800_999_H_35_39,MaOpD_800_999_H_40_44,MaOpD_800_999_H_45_49,MaOpD_800_999_H_50ov,MaOpD_800_999_H_NS,MaOpD_800_999_H_Tot,MaOpD_1000_1249_H_0,MaOpD_1000_1249_H_1_19,MaOpD_1000_1249_H_20_29,MaOpD_1000_1249_H_30_34,MaOpD_1000_1249_H_35_39,MaOpD_1000_1249_H_40_44,MaOpD_1000_1249_H_45_49,MaOpD_1000_1249_H_50ov,MaOpD_1000_1249_H_NS,MaOpD_1000_1249_H_Tot,MaOpD_1250_1499_H_0,MaOpD_1250_1499_H_1_19,MaOpD_1250_1499_H_20_29,MaOpD_1250_1499_H_30_34,MaOpD_1250_1499_H_35_39,MaOpD_1250_1499_H_40_44,MaOpD_1250_1499_H_45_49,MaOpD_1250_1499_H_50ov,MaOpD_1250_1499_H_NS,MaOpD_1250_1499_H_Tot,MaOpD_1500_1749_H_0,MaOpD_1500_1749_H_1_19,MaOpD_1500_1749_H_20_29,MaOpD_1500_1749_H_30_34,MaOpD_1500_1749_H_35_39,MaOpD_1500_1749_H_40_44,MaOpD_1500_1749_H_45_49,MaOpD_1500_1749_H_50ov,MaOpD_1500_1749_H_NS,MaOpD_1500_1749_H_Tot,MaOpD_1750_1999_H_0,MaOpD_1750_1999_H_1_19,MaOpD_1750_1999_H_20_29,MaOpD_1750_1999_H_30_34,MaOpD_1750_1999_H_35_39,MaOpD_1750_1999_H_40_44,MaOpD_1750_1999_H_45_49,MaOpD_1750_1999_H_50ov,MaOpD_1750_1999_H_NS,MaOpD_1750_1999_H_Tot,MaOpD_2000_2999_H_0,MaOpD_2000_2999_H_1_19,MaOpD_2000_2999_H_20_29,MaOpD_2000_2999_H_30_34,MaOpD_2000_2999_H_35_39,MaOpD_2000_2999_H_40_44,MaOpD_2000_2999_H_45_49,MaOpD_2000_2999_H_50ov,MaOpD_2000_2999_H_NS,MaOpD_2000_2999_H_Tot,MaOpD_3000_3499_H_0,MaOpD_3000_3499_H_1_19,MaOpD_3000_3499_H_20_29,MaOpD_3000_3499_H_30_34,MaOpD_3000_3499_H_35_39,MaOpD_3000_3499_H_40_44,MaOpD_3000_3499_H_45_49,MaOpD_3000_3499_H_50ov,MaOpD_3000_3499_H_NS,MaOpD_3000_3499_H_Tot,MaOpD_3500mo_H_0,MaOpD_3500mo_H_1_19,MaOpD_3500mo_H_20_29,MaOpD_3500mo_H_30_34,MaOpD_3500mo_H_35_39,MaOpD_3500mo_H_40_44,MaOpD_3500mo_H_45_49,MaOpD_3500mo_H_50ov,MaOpD_3500mo_H_NS,MaOpD_3500mo_H_Tot,MaOpD_PINS_H_0,MaOpD_PINS_H_1_19,MaOpD_PINS_H_20_29,MaOpD_PINS_H_30_34,MaOpD_PINS_H_35_39,MaOpD_PINS_H_40_44,MaOpD_PINS_H_45_49,MaOpD_PINS_H_50ov,MaOpD_PINS_H_NS,MaOpD_PINS_H_Tot,MaOpD_Tot_H_0,MaOpD_Tot_H_1_19,MaOpD_Tot_H_20_29,MaOpD_Tot_H_30_34,MaOpD_Tot_H_35_39,MaOpD_Tot_H_40_44,MaOpD_Tot_H_45_49,MaOpD_Tot_H_50ov,MaOpD_Tot_H_NS,MaOpD_Tot_H_Tot,Lab_NNI_H_0,Lab_NNI_H_1_19,Lab_NNI_H_20_29,Lab_NNI_H_30_34,Lab_NNI_H_35_39,Lab_NNI_H_40_44,Lab_NNI_H_45_49,Lab_NNI_H_50ov,Lab_NNI_H_NS,Lab_NNI_H_Tot
20101,3,12,6,3,3,5,0,0,9,47,393,1963,917,426,812,548,148,199,62,5459,0,4,4,0,0,0,0,0,0,7,0,18,0,0,0,0,0,0,0,27,0,26,8,0,0,0,0,0,0,43,8,37,9,3,0,0,0,0,0,61,8,44,23,5,6,8,0,4,0,91,10,41,53,27,17,11,9,10,3,174,10,31,54,27,72,46,13,10,6,273,15,29,37,43,201,130,36,48,5,542,18,22,32,28,161,204,84,79,9,640,16,7,7,11,56,127,60,101,0,382,11,3,5,3,36,81,31,91,9,273,13,0,4,0,14,43,25,82,3,189,17,0,4,0,11,32,13,116,4,198,4,0,0,0,0,8,7,8,0,27,3,0,0,0,9,3,6,16,0,32,0,6,0,0,9,4,0,9,6,28,136,274,238,158,594,694,277,561,43,2979,4,13,0,0,0,0,0,0,0,30
20102,0,0,0,0,0,0,0,0,4,3,42,237,116,54,71,60,12,21,14,633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,7,0,7,5,0,0,0,0,0,0,14,0,3,5,3,0,0,0,0,0,20,0,0,14,11,0,3,0,0,0,29,3,3,11,3,16,11,3,10,0,62,8,7,4,0,21,25,14,23,0,100,8,0,5,3,4,15,14,19,0,65,0,0,0,0,6,12,3,27,0,48,0,0,0,0,3,4,3,14,0,30,0,5,0,0,0,5,3,15,0,30,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,23,41,40,31,54,88,35,119,4,429,3,10,0,5,3,0,0,0,0,24
20103,0,3,0,3,0,3,0,0,0,10,42,220,118,52,81,53,22,19,13,623,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,10,4,4,4,0,0,0,0,0,0,10,0,3,4,0,0,0,0,0,0,15,0,6,8,3,0,3,0,0,0,21,7,4,6,7,14,0,0,0,0,43,3,9,10,10,31,21,5,9,4,89,7,0,5,0,31,36,9,15,0,106,0,4,0,0,13,18,12,30,0,83,6,0,0,0,3,13,0,13,0,37,0,0,0,0,4,4,0,12,0,19,3,0,0,0,5,6,0,11,0,25,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,28,45,41,33,98,99,33,96,13,480,0,7,0,0,0,0,0,3,0,15
20201,0,11,3,0,3,0,0,0,11,37,345,1734,787,354,731,466,110,172,62,4755,0,0,0,0,0,5,0,0,0,11,8,35,0,0,0,0,0,0,0,39,3,33,7,0,0,0,0,0,0,46,3,38,8,6,6,0,0,0,0,61,5,29,19,9,3,0,0,3,0,80,6,38,59,9,20,10,0,11,0,154,9,23,45,38,95,40,6,11,7,263,11,21,40,42,183,128,22,45,7,499,19,4,10,28,142,166,66,86,7,543,11,5,3,12,59,84,34,82,10,295,7,5,0,5,33,56,16,87,5,217,4,0,0,3,14,14,9,49,4,109,9,0,0,3,11,28,13,59,0,128,0,0,0,0,0,5,7,8,0,23,4,0,0,4,0,4,0,6,0,12,0,0,0,5,0,7,0,7,3,20,112,244,193,157,576,541,173,448,39,2491,6,15,12,0,0,0,0,0,0,36
20202,0,5,3,0,0,0,0,0,0,17,73,554,224,93,137,125,43,81,23,1347,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,8,0,4,0,0,0,0,0,16,0,11,8,0,0,0,0,0,0,17,4,13,7,0,0,0,0,0,0,32,0,13,18,12,6,0,0,0,4,56,0,11,18,8,9,16,0,9,0,79,10,14,13,15,49,45,4,17,0,165,9,10,10,5,45,74,24,34,11,226,13,5,3,6,15,32,21,51,0,141,3,4,3,4,6,20,19,58,0,118,0,0,0,3,5,7,0,34,5,64,8,6,5,4,4,9,0,48,0,75,0,0,0,0,0,0,0,7,0,11,0,0,0,0,0,0,0,5,0,5,0,0,0,0,5,0,0,3,5,14,52,96,88,61,143,207,79,265,31,1028,7,6,0,0,0,0,0,0,0,17
20203,0,0,0,0,0,0,0,0,0,7,9,66,30,13,16,12,5,13,9,180,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,13,0,0,3,0,3,0,0,0,0,15,3,4,4,0,0,0,0,0,0,20,0,3,0,9,0,6,3,5,0,30,0,0,4,3,18,10,4,14,0,47,9,0,4,0,18,22,13,28,0,97,5,0,0,0,13,17,7,35,3,76,6,3,0,0,10,12,12,32,0,82,5,0,0,0,0,6,6,48,0,68,11,0,0,0,0,16,10,72,0,113,0,0,0,0,0,0,0,8,0,12,0,0,0,0,3,0,0,6,0,17,0,0,0,0,0,0,3,3,0,9,41,36,27,13,63,100,59,261,11,609,0,3,3,0,0,0,0,0,0,11
20301,0,0,0,0,0,0,0,0,0,0,7,125,57,23,30,38,0,22,4,300,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,7,0,4,3,0,0,0,0,0,0,11,3,4,0,0,0,0,0,0,0,3,0,4,3,0,0,0,0,0,0,15,0,5,3,3,5,0,0,0,0,15,3,7,3,6,3,4,0,4,0,30,4,5,3,0,13,22,4,16,0,64,0,0,0,0,4,10,11,8,0,43,0,0,0,0,3,0,5,18,3,22,0,0,0,0,0,3,0,17,0,25,0,0,0,0,4,0,0,10,0,16,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5,14,28,20,8,30,53,23,75,9,266,4,3,0,0,0,0,0,0,0,13
20302,4,18,12,5,4,5,3,0,19,64,770,3636,1567,689,1390,966,228,373,95,9716,4,4,4,0,0,0,0,10,3,23,11,56,0,5,0,0,0,0,4,68,9,87,19,0,6,4,0,0,0,122,11,97,47,7,3,10,0,3,0,183,14,104,64,13,6,8,0,3,8,220,27,111,125,44,45,25,5,13,3,399,41,80,129,87,184,112,19,29,12,691,44,74,118,110,476,393,65,53,20,1341,39,32,68,89,360,515,140,188,15,1445,21,18,23,33,156,264,111,160,10,791,25,12,7,6,59,149,66,181,0,513,12,6,10,8,25,54,37,145,4,305,16,6,7,6,40,79,51,127,4,336,7,0,0,0,4,22,8,31,0,67,0,0,0,3,5,16,12,24,0,54,5,5,9,0,17,12,3,9,15,69,289,685,631,414,1392,1654,509,974,104,6640,16,24,3,0,0,4,0,7,0,56
20303,3,8,0,0,0,0,0,0,9,27,223,1179,489,198,304,233,55,106,41,2829,0,0,0,0,0,0,0,0,0,4,3,14,0,0,0,0,0,0,0,17,0,21,3,0,0,0,0,0,0,24,3,12,3,0,0,0,0,0,0,19,0,17,10,0,3,3,0,0,0,35,6,13,14,8,6,0,0,0,0,47,5,11,12,17,10,14,0,4,3,74,3,0,13,7,29,24,6,0,0,93,0,5,10,5,14,24,13,13,0,91,0,3,0,0,17,16,8,13,3,53,0,8,0,4,8,10,4,13,0,46,0,0,6,0,7,4,3,12,0,25,0,0,0,0,7,3,3,11,0,27,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,0,0,8,29,109,74,40,92,105,41,76,12,579,5,12,0,0,0,0,0,0,0,19
20401,0,12,4,0,0,3,0,0,6,25,113,591,349,175,280,201,51,89,38,1887,0,3,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,7,0,8,5,0,0,0,0,0,0,16,0,14,8,0,0,3,0,0,0,28,3,15,4,4,4,0,3,0,5,40,3,24,37,10,9,11,5,8,5,102,5,16,16,15,21,27,10,5,0,116,12,18,30,16,68,58,18,15,0,238,25,11,13,11,65,98,40,52,6,317,12,4,10,8,29,56,24,53,5,189,6,0,0,0,17,33,14,43,4,115,6,3,0,0,7,15,6,23,5,62,3,0,0,0,3,13,4,29,3,57,6,0,0,0,0,8,4,3,0,14,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,4,0,0,4,14,74,121,129,65,217,332,122,245,24,1340,11,19,7,3,0,0,0,0,0,39
