POW_SA3_CODE_2021,HNFA_15_19_EWFT,HNFA_15_19_EWPT,HNFA_15_19_EAFW,HNFA_15_19_EHW_NS,HNFA_15_19_Tot,HNFA_20_24_EWFT,HNFA_20_24_EWPT,HNFA_20_24_EAFW,HNFA_20_24_EHW_NS,HNFA_20_24_Tot,HNFA_25_29_EWFT,HNFA_25_29_EWPT,HNFA_25_29_EAFW,HNFA_25_29_EHW_NS,HNFA_25_29_Tot,HNFA_30_34_EWFT,HNFA_30_34_EWPT,HNFA_30_34_EAFW,HNFA_30_34_EHW_NS,HNFA_30_34_Tot,HNFA_35_39_EWFT,HNFA_35_39_EWPT,HNFA_35_39_EAFW,HNFA_35_39_EHW_NS,HNFA_35_39_Tot,HNFA_40_44_EWFT,HNFA_40_44_EWPT,HNFA_40_44_EAFW,HNFA_40_44_EHW_NS,HNFA_40_44_Tot,HNFA_45_49_EWFT,HNFA_45_49_EWPT,HNFA_45_49_EAFW,HNFA_45_49_EHW_NS,HNFA_45_49_Tot,HNFA_50_54_EWFT,HNFA_50_54_EWPT,HNFA_50_54_EAFW,HNFA_50_54_EHW_NS,HNFA_50_54_Tot,HNFA_55_59_EWFT,HNFA_55_59_EWPT,HNFA_55_59_EAFW,HNFA_55_59_EHW_NS,HNFA_55_59_Tot,HNFA_60_64_EWFT,HNFA_60_64_EWPT,HNFA_60_64_EAFW,HNFA_60_64_EHW_NS,HNFA_60_64_Tot,HNFA_65_69_EWFT,HNFA_65_69_EWPT,HNFA_65_69_EAFW,HNFA_65_69_EHW_NS,HNFA_65_69_Tot,HNFA_70_74_EWFT,HNFA_70_74_EWPT,HNFA_70_74_EAFW,HNFA_70_74_EHW_NS,HNFA_70_74_Tot,HNFA_75ov_EWFT,HNFA_75ov_EWPT,HNFA_75ov_EAFW,HNFA_75ov_EHW_NS,HNFA_75ov_Tot,HNFA_Tot_EWFT,HNFA_Tot_EWPT,HNFA_Tot_EAFW,HNFA_Tot_EHW_NS,HNFA_Tot_Tot,DNHNFA_15_19_EWFT,DNHNFA_15_19_EWPT,DNHNFA_15_19_EAFW,DNHNFA_15_19_EHW_NS,DNHNFA_15_19_Tot,DNHNFA_20_24_EWFT,DNHNFA_20_24_EWPT,DNHNFA_20_24_EAFW,DNHNFA_20_24_EHW_NS,DNHNFA_20_24_Tot,DNHNFA_25_29_EWFT,DNHNFA_25_29_EWPT,DNHNFA_25_29_EAFW,DNHNFA_25_29_EHW_NS,DNHNFA_25_29_Tot,DNHNFA_30_34_EWFT,DNHNFA_30_34_EWPT,DNHNFA_30_34_EAFW,DNHNFA_30_34_EHW_NS,DNHNFA_30_34_Tot,DNHNFA_35_39_EWFT,DNHNFA_35_39_EWPT,DNHNFA_35_39_EAFW,DNHNFA_35_39_EHW_NS,DNHNFA_35_39_Tot,DNHNFA_40_44_EWFT,DNHNFA_40_44_EWPT,DNHNFA_40_44_EAFW,DNHNFA_40_44_EHW_NS,DNHNFA_40_44_Tot,DNHNFA_45_49_EWFT,DNHNFA_45_49_EWPT,DNHNFA_45_49_EAFW,DNHNFA_45_49_EHW_NS,DNHNFA_45_49_Tot,DNHNFA_50_54_EWFT,DNHNFA_50_54_EWPT,DNHNFA_50_54_EAFW,DNHNFA_50_54_EHW_NS,DNHNFA_50_54_Tot,DNHNFA_55_59_EWFT,DNHNFA_55_59_EWPT,DNHNFA_55_59_EAFW,DNHNFA_55_59_EHW_NS,DNHNFA_55_59_Tot,DNHNFA_60_64_EWFT,DNHNFA_60_64_EWPT,DNHNFA_60_64_EAFW,DNHNFA_60_64_EHW_NS,DNHNFA_60_64_Tot,DNHNFA_65_69_EWFT,DNHNFA_65_69_EWPT,DNHNFA_65_69_EAFW,DNHNFA_65_69_EHW_NS,DNHNFA_65_69_Tot,DNHNFA_70_74_EWFT,DNHNFA_70_74_EWPT,DNHNFA_70_74_EAFW,DNHNFA_70_74_EHW_NS,DNHNFA_70_74_Tot,DNHNFA_75ov_EWFT,DNHNFA_75ov_EWPT,DNHNFA_75ov_EAFW,DNHNFA_75ov_EHW_NS,DNHNFA_75ov_Tot,DNHNFA_Tot_EWFT,DNHNFA_Tot_EWPT,DNHNFA_Tot_EAFW,DNHNFA_Tot_EHW_NS,DNHNFA_Tot_Tot,NFANS_15_19_EWFT,NFANS_15_19_EWPT,NFANS_15_19_EAFW,NFANS_15_19_EHW_NS,NFANS_15_19_Tot,NFANS_20_24_EWFT,NFANS_20_24_EWPT,NFANS_20_24_EAFW,NFANS_20_24_EHW_NS,NFANS_20_24_Tot,NFANS_25_29_EWFT,NFANS_25_29_EWPT,NFANS_25_29_EAFW,NFANS_25_29_EHW_NS,NFANS_25_29_Tot,NFANS_30_34_EWFT,NFANS_30_34_EWPT,NFANS_30_34_EAFW,NFANS_30_34_EHW_NS,NFANS_30_34_Tot,NFANS_35_39_EWFT,NFANS_35_39_EWPT,NFANS_35_39_EAFW,NFANS_35_39_EHW_NS,NFANS_35_39_Tot,NFANS_40_44_EWFT,NFANS_40_44_EWPT,NFANS_40_44_EAFW,NFANS_40_44_EHW_NS,NFANS_40_44_Tot,NFANS_45_49_EWFT,NFANS_45_49_EWPT,NFANS_45_49_EAFW,NFANS_45_49_EHW_NS,NFANS_45_49_Tot,NFANS_50_54_EWFT,NFANS_50_54_EWPT,NFANS_50_54_EAFW,NFANS_50_54_EHW_NS,NFANS_50_54_Tot,NFANS_55_59_EWFT,NFANS_55_59_EWPT,NFANS_55_59_EAFW,NFANS_55_59_EHW_NS,NFANS_55_59_Tot,NFANS_60_64_EWFT,NFANS_60_64_EWPT,NFANS_60_64_EAFW,NFANS_60_64_EHW_NS,NFANS_60_64_Tot,NFANS_65_69_EWFT,NFANS_65_69_EWPT,NFANS_65_69_EAFW,NFANS_65_69_EHW_NS,NFANS_65_69_Tot,NFANS_70_74_EWFT,NFANS_70_74_EWPT,NFANS_70_74_EAFW,NFANS_70_74_EHW_NS,NFANS_70_74_Tot
20101,8,52,12,0,76,16,68,19,3,107,11,53,8,0,76,27,51,10,0,86,11,35,13,0,63,22,31,3,0,56,16,29,4,0,53,28,32,13,5,72,24,38,11,0,75,15,39,16,0,59,5,25,0,3,30,0,9,0,0,14,0,6,8,11,21,185,462,115,31,792,628,2569,331,63,3594,2453,2378,309,86,5232,3605,1791,342,110,5848,3396,1786,406,87,5671,3242,1948,269,65,5527,3290,1769,164,47,5272,3573,1738,154,65,5530,3434,1638,197,59,5328,2815,1677,282,58,4825,1934,1548,273,39,3791,603,807,122,24,1558,157,330,38,16,544,39,117,20,12,187,29157,20108,2909,739,52914,7,13,6,3,29,8,11,0,3,24,13,4,0,0,18,12,6,0,0,23,7,8,4,0,25,30,11,0,0,43,28,20,0,0,49,18,6,0,7,32,25,4,4,4,32,13,13,0,4,32,6,6,3,0,21,0,0,0,0,3
20102,0,12,0,0,8,0,3,0,0,5,0,5,3,3,11,3,0,0,0,6,0,5,0,0,4,0,3,3,0,10,5,0,0,0,12,4,3,0,0,8,0,0,0,0,9,4,3,0,0,10,0,4,0,0,3,3,0,0,0,3,0,10,4,6,16,31,56,19,4,112,78,322,66,16,479,284,252,45,10,591,372,239,56,14,678,379,277,48,13,721,407,297,39,16,757,454,312,33,10,816,488,336,38,21,876,536,356,45,22,959,515,441,57,11,1021,360,398,54,13,826,173,229,28,3,434,80,146,10,5,246,73,85,11,9,180,4202,3681,523,165,8575,0,0,0,0,0,3,0,0,0,4,3,0,0,0,4,5,0,0,0,8,5,6,0,0,9,5,4,0,0,14,3,0,0,0,8,9,3,0,0,8,5,3,0,0,9,3,10,0,0,9,0,0,0,0,0,0,0,0,0,0
20103,0,7,0,0,8,0,9,0,0,13,0,9,6,0,11,5,6,0,0,9,3,0,3,0,3,4,5,0,0,14,0,0,0,0,10,4,7,6,0,13,3,3,0,0,11,0,4,3,0,14,3,10,0,0,12,0,4,0,0,7,0,3,0,0,5,23,65,24,8,121,88,265,43,25,416,290,200,22,21,535,358,181,30,18,591,346,187,28,19,574,335,220,23,7,587,381,199,28,15,618,469,270,34,12,791,491,272,27,18,807,497,308,39,15,852,369,284,39,12,703,176,192,37,11,416,78,100,15,6,201,45,70,4,4,129,3932,2746,373,173,7227,3,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,5,0,0,7,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3,7,5,0,0,4,3,3,0,0,8,0,3,0,0,3,0,0,0,0,0
20201,9,42,7,5,61,19,33,7,0,63,20,33,5,3,59,15,35,8,0,55,15,42,5,3,70,20,27,3,0,46,15,16,3,0,34,23,26,10,0,64,16,36,6,4,67,13,28,9,0,49,9,16,0,0,27,0,3,0,0,3,6,4,0,4,12,169,363,73,18,615,522,2420,269,59,3276,2169,2019,246,77,4502,3098,1489,274,86,4947,2925,1628,388,72,5007,2783,1815,246,75,4914,2791,1621,162,52,4627,3122,1448,132,56,4760,2894,1442,156,48,4532,2467,1505,249,35,4259,1645,1446,252,37,3377,569,737,136,19,1461,116,266,33,15,429,32,115,13,17,174,25123,17939,2558,650,46275,4,18,0,0,21,14,12,4,5,31,23,5,4,0,35,23,13,3,0,34,13,13,0,0,33,9,10,0,3,20,27,6,0,0,32,24,8,0,0,36,29,20,0,0,48,9,12,0,7,26,4,4,0,0,6,7,8,0,0,10
20202,0,5,0,0,8,4,9,0,0,16,3,8,0,0,14,3,12,3,0,15,5,7,4,0,18,3,9,0,0,13,4,16,3,0,29,9,16,6,4,33,9,14,3,0,26,5,10,0,0,14,0,11,0,0,13,0,13,0,0,13,4,4,0,0,11,58,133,31,9,231,188,714,107,31,1036,639,546,73,36,1296,938,429,61,18,1446,920,474,99,22,1520,951,559,85,27,1616,1034,650,52,27,1760,1185,698,87,36,2007,1207,753,86,31,2087,1035,781,99,25,1940,773,745,108,18,1649,323,476,57,16,871,101,236,22,7,366,89,130,12,20,245,9384,7196,956,321,17854,3,5,0,0,10,8,8,0,0,17,6,4,0,6,16,9,0,0,0,10,7,8,0,0,15,0,6,0,0,6,9,9,0,0,17,5,4,0,4,12,11,3,0,0,18,14,9,0,0,18,0,4,0,0,8,0,5,0,0,4
20203,0,0,0,0,0,0,0,0,0,3,0,4,0,0,3,0,0,0,0,4,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,8,0,0,8,0,4,0,0,4,0,0,0,0,0,0,5,0,0,9,0,4,0,0,7,11,29,7,6,52,33,106,14,7,165,147,64,9,5,226,251,56,12,5,324,259,75,21,13,366,259,78,18,11,366,306,86,23,11,426,300,95,11,10,414,317,114,19,19,469,307,129,18,8,466,267,145,22,12,449,144,96,13,9,265,70,69,4,0,147,55,35,8,16,108,2718,1149,191,113,4179,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,6,5,0,0,9,0,0,0,0,4,5,0,0,0,3,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4
20301,0,7,0,0,7,0,6,0,0,6,0,5,0,0,4,0,5,0,0,5,0,0,0,4,3,0,0,0,0,0,0,4,4,0,7,0,5,0,0,7,0,0,0,0,5,0,0,0,0,0,6,3,0,0,3,0,3,0,0,7,6,0,0,0,3,21,42,3,0,70,77,220,20,7,327,214,173,18,4,413,233,126,18,4,382,284,148,15,10,463,265,191,29,9,494,274,198,19,5,497,304,159,14,9,491,319,175,17,13,525,241,189,24,12,461,179,161,15,4,353,77,102,8,3,194,56,90,5,4,157,37,54,3,3,99,2557,1991,204,93,4850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,5,0,0,0,4,0,6,0,0,7,0,0,0,0,0,7,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
20302,14,83,14,3,113,22,91,15,0,132,42,69,12,7,125,38,45,15,5,104,45,62,14,3,122,32,62,11,0,100,39,55,14,4,112,39,72,19,0,130,51,63,18,3,133,20,42,24,0,88,8,36,9,0,57,0,17,9,0,27,0,19,0,12,27,347,718,164,38,1265,837,4462,564,76,5935,4350,4961,645,189,10145,7453,3646,609,239,11948,7402,3517,828,159,11903,7089,3849,597,166,11708,6550,3528,394,119,10591,6930,3453,313,108,10813,6479,3077,364,128,10038,5392,3190,439,88,9117,3396,2790,399,72,6656,1140,1548,236,39,2966,279,618,71,20,991,121,233,23,18,395,57417,38876,5491,1421,103208,10,23,8,0,32,22,24,0,7,51,32,15,4,6,49,37,21,0,6,62,42,24,4,3,73,43,22,3,0,62,46,15,0,3,65,46,28,0,13,82,47,17,4,0,71,28,22,4,5,56,10,17,0,0,23,0,5,0,0,9
20303,8,29,3,0,34,0,21,0,0,26,4,14,3,0,22,4,9,0,0,18,3,11,8,0,14,8,9,0,0,12,8,12,3,0,18,4,19,5,0,23,8,5,9,0,17,3,8,0,0,8,0,5,0,0,10,0,10,3,0,13,0,7,0,5,10,46,146,27,13,233,199,1562,306,39,2106,886,1318,234,53,2492,1218,822,144,38,2221,1255,826,174,38,2295,1266,1018,143,31,2464,1252,955,100,39,2349,1379,944,90,31,2452,1187,895,97,33,2207,1003,959,122,24,2106,689,961,120,25,1790,259,627,77,16,973,78,300,31,9,415,46,145,14,5,209,10725,11340,1650,374,24089,0,4,3,0,18,8,11,0,4,19,0,4,3,0,9,9,9,0,0,19,13,6,0,0,21,8,7,0,0,16,11,5,0,0,18,6,3,0,0,12,5,0,0,0,9,8,9,0,0,18,0,5,0,0,5,0,3,0,0,4
20401,0,20,0,0,20,5,12,6,0,23,6,10,3,0,23,0,14,8,0,21,9,9,3,0,22,11,10,4,4,22,4,10,7,0,18,10,13,4,0,27,9,11,5,0,28,10,8,8,0,25,7,11,0,0,22,6,10,0,0,20,3,11,7,4,23,78,153,43,14,291,356,913,159,46,1473,993,679,122,41,1831,1259,569,102,37,1966,1159,617,150,46,1964,1151,715,114,39,2009,1178,662,71,33,1950,1380,759,63,39,2245,1387,755,106,48,2300,1341,776,152,41,2310,974,898,143,22,2031,473,601,82,37,1189,228,339,23,17,603,143,204,18,21,387,12027,8468,1302,468,22259,3,11,0,0,14,10,4,0,0,11,7,5,0,0,12,12,4,0,0,11,9,11,0,4,19,6,6,0,0,15,9,0,0,3,13,18,7,0,3,28,9,11,0,3,26,8,14,0,0,23,4,3,0,0,9,4,0,0,0,6
20402,5,22,3,4,34,5,22,0,0,29,4,20,0,0,23,3,15,0,0,19,11,18,0,0,30,5,18,0,0,24,7,8,3,0,26,8,19,5,0,29,13,22,4,0,31,10,19,8,5,28,0,6,5,0,9,0,7,0,0,9,0,14,0,0,16,72,193,34,16,319,318,889,154,46,1408,832,505,61,39,1439,1113,473,112,37,1743,1065,552,117,35,1770,1121,616,83,27,1847,1201,606,79,26,1904,1377,630,98,27,2127,1519,690,86,43,2342,1355,772,132,28,2291,1051,788,139,29,2013,453,476,85,20,1045,168,264,21,10,463,125,127,20,22,296,11710,7391,1191,389,20675,4,3,3,0,9,3,0,4,3,7,7,0,0,0,7,14,3,0,0,18,6,5,0,0,10,0,5,0,0,8,8,10,0,0,15,10,6,0,6,20,5,5,0,0,12,11,3,4,0,18,10,0,0,0,12,0,3,0,0,3
