POW_SA3_CODE_2021,Pvte_1250_1499_Mng,Pvte_1250_1499_Pro,Pvte_1250_1499_TecTW,Pvte_1250_1499_CoPSW,Pvte_1250_1499_ClAW,Pvte_1250_1499_SWks,Pvte_1250_1499_MaOpDv,Pvte_1250_1499_Lab,Pvte_1250_1499_IDNS,Pvte_1250_1499_Tot,Pvte_1500_1749_Mng,Pvte_1500_1749_Pro,Pvte_1500_1749_TecTW,Pvte_1500_1749_CoPSW,Pvte_1500_1749_ClAW,Pvte_1500_1749_SWks,Pvte_1500_1749_MaOpDv,Pvte_1500_1749_Lab,Pvte_1500_1749_IDNS,Pvte_1500_1749_Tot,Pvte_1750_1999_Mng,Pvte_1750_1999_Pro,Pvte_1750_1999_TecTW,Pvte_1750_1999_CoPSW,Pvte_1750_1999_ClAW,Pvte_1750_1999_SWks,Pvte_1750_1999_MaOpDv,Pvte_1750_1999_Lab,Pvte_1750_1999_IDNS,Pvte_1750_1999_Tot,Pvte_2000_2999_Mng,Pvte_2000_2999_Pro,Pvte_2000_2999_TecTW,Pvte_2000_2999_CoPSW,Pvte_2000_2999_ClAW,Pvte_2000_2999_SWks,Pvte_2000_2999_MaOpDv,Pvte_2000_2999_Lab,Pvte_2000_2999_IDNS,Pvte_2000_2999_Tot,Pvte_3000_3499_Mng,Pvte_3000_3499_Pro,Pvte_3000_3499_TecTW,Pvte_3000_3499_CoPSW,Pvte_3000_3499_ClAW,Pvte_3000_3499_SWks,Pvte_3000_3499_MaOpDv,Pvte_3000_3499_Lab,Pvte_3000_3499_IDNS,Pvte_3000_3499_Tot,Pvte_3500mo_Mng,Pvte_3500mo_Pro,Pvte_3500mo_TecTW,Pvte_3500mo_CoPSW,Pvte_3500mo_ClAW,Pvte_3500mo_SWks,Pvte_3500mo_MaOpDv,Pvte_3500mo_Lab,Pvte_3500mo_IDNS,Pvte_3500mo_Tot,Pvte_PINS_Mng,Pvte_PINS_Pro,Pvte_PINS_TecTW,Pvte_PINS_CoPSW,Pvte_PINS_ClAW,Pvte_PINS_SWks,Pvte_PINS_MaOpDv,Pvte_PINS_Lab,Pvte_PINS_IDNS,Pvte_PINS_Tot,Pvte_Tot_Mng,Pvte_Tot_Pro,Pvte_Tot_TecTW,Pvte_Tot_CoPSW,Pvte_Tot_ClAW,Pvte_Tot_SWks,Pvte_Tot_MaOpDv,Pvte_Tot_Lab,Pvte_Tot_IDNS,Pvte_Tot_Tot,NS_NNI_Mng,NS_NNI_Pro,NS_NNI_TecTW,NS_NNI_CoPSW,NS_NNI_ClAW,NS_NNI_SWks,NS_NNI_MaOpDv,NS_NNI_Lab,NS_NNI_IDNS,NS_NNI_Tot,NS_1_149_Mng,NS_1_149_Pro,NS_1_149_TecTW,NS_1_149_CoPSW,NS_1_149_ClAW,NS_1_149_SWks,NS_1_149_MaOpDv,NS_1_149_Lab,NS_1_149_IDNS,NS_1_149_Tot,NS_150_299_Mng,NS_150_299_Pro,NS_150_299_TecTW,NS_150_299_CoPSW,NS_150_299_ClAW,NS_150_299_SWks,NS_150_299_MaOpDv,NS_150_299_Lab,NS_150_299_IDNS,NS_150_299_Tot,NS_300_399_Mng,NS_300_399_Pro,NS_300_399_TecTW,NS_300_399_CoPSW,NS_300_399_ClAW,NS_300_399_SWks,NS_300_399_MaOpDv,NS_300_399_Lab,NS_300_399_IDNS,NS_300_399_Tot,NS_400_499_Mng,NS_400_499_Pro,NS_400_499_TecTW,NS_400_499_CoPSW,NS_400_499_ClAW,NS_400_499_SWks,NS_400_499_MaOpDv,NS_400_499_Lab,NS_400_499_IDNS,NS_400_499_Tot,NS_500_649_Mng,NS_500_649_Pro,NS_500_649_TecTW,NS_500_649_CoPSW,NS_500_649_ClAW,NS_500_649_SWks,NS_500_649_MaOpDv,NS_500_649_Lab,NS_500_649_IDNS,NS_500_649_Tot,NS_650_799_Mng,NS_650_799_Pro,NS_650_799_TecTW,NS_650_799_CoPSW,NS_650_799_ClAW,NS_650_799_SWks,NS_650_799_MaOpDv,NS_650_799_Lab,NS_650_799_IDNS,NS_650_799_Tot,NS_800_999_Mng,NS_800_999_Pro,NS_800_999_TecTW,NS_800_999_CoPSW,NS_800_999_ClAW,NS_800_999_SWks,NS_800_999_MaOpDv,NS_800_999_Lab,NS_800_999_IDNS,NS_800_999_Tot,NS_1000_1249_Mng,NS_1000_1249_Pro,NS_1000_1249_TecTW,NS_1000_1249_CoPSW,NS_1000_1249_ClAW,NS_1000_1249_SWks,NS_1000_1249_MaOpDv,NS_1000_1249_Lab,NS_1000_1249_IDNS,NS_1000_1249_Tot,NS_1250_1499_Mng,NS_1250_1499_Pro,NS_1250_1499_TecTW,NS_1250_1499_CoPSW,NS_1250_1499_ClAW,NS_1250_1499_SWks,NS_1250_1499_MaOpDv,NS_1250_1499_Lab,NS_1250_1499_IDNS,NS_1250_1499_Tot,NS_1500_1749_Mng,NS_1500_1749_Pro,NS_1500_1749_TecTW,NS_1500_1749_CoPSW,NS_1500_1749_ClAW,NS_1500_1749_SWks,NS_1500_1749_MaOpDv,NS_1500_1749_Lab,NS_1500_1749_IDNS,NS_1500_1749_Tot,NS_1750_1999_Mng,NS_1750_1999_Pro,NS_1750_1999_TecTW,NS_1750_1999_CoPSW,NS_1750_1999_ClAW,NS_1750_1999_SWks,NS_1750_1999_MaOpDv,NS_1750_1999_Lab,NS_1750_1999_IDNS,NS_1750_1999_Tot
20101,545,1028,884,389,503,220,355,297,44,4268,538,992,550,218,313,145,260,202,32,3238,395,754,318,97,164,93,179,128,20,2142,760,1155,454,58,182,131,183,161,23,3107,227,223,77,20,44,22,20,16,5,656,353,461,66,19,50,75,29,18,15,1089,32,29,62,46,23,41,21,34,16,310,4773,7346,6805,5661,4685,5333,2782,4868,374,42631,0,0,0,0,0,0,0,0,18,23,0,0,0,0,0,0,0,0,11,17,0,0,4,4,0,0,0,3,12,24,0,0,0,0,0,0,0,4,30,39,0,0,5,5,0,0,0,9,24,39,0,0,6,0,0,0,0,7,21,43,3,7,10,0,3,5,4,12,24,60,0,0,6,7,4,0,9,5,26,56,0,10,13,0,0,0,3,9,32,63,0,5,8,3,0,0,0,0,23,47,3,5,4,9,0,0,0,0,13,28,0,0,0,0,3,0,0,0,9,15
20102,181,107,132,35,50,17,66,39,6,619,145,123,100,15,40,14,46,32,0,513,90,77,50,7,17,8,31,19,0,302,142,109,67,6,8,14,26,3,5,396,25,47,13,0,3,6,4,4,0,107,99,54,15,0,4,7,9,4,4,194,27,10,19,8,7,3,0,14,4,98,1726,1001,1223,834,640,630,395,1045,72,7567,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,7,14,0,0,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,3,0,11,3,0,3,0,0,0,0,0,3,6,0,0,4,0,0,0,0,0,4,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,4
20103,124,70,89,37,52,12,73,36,3,497,120,80,55,21,26,9,34,31,0,378,52,55,17,6,16,7,12,6,0,178,101,88,64,10,11,6,26,9,5,314,30,19,13,0,7,0,4,0,0,71,51,36,6,4,7,8,0,0,0,110,21,0,9,8,4,10,3,11,3,77,1269,635,915,646,507,611,439,940,42,6004,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,3,11,14,0,0,3,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,7,15,0,0,0,0,0,0,4,0,6,11,3,0,5,0,0,0,0,5,12,24,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,5,5
20201,431,856,689,358,554,182,262,225,33,3579,483,933,476,192,355,145,192,125,36,2947,387,630,283,101,176,87,96,69,28,1858,721,950,336,58,202,100,119,71,29,2585,189,180,70,12,45,25,23,12,0,554,290,351,43,18,46,47,10,15,9,813,28,34,46,30,24,32,18,29,25,266,4145,5986,5640,5073,4476,4653,2281,4252,361,36873,0,0,0,0,0,0,0,3,8,18,0,0,0,3,0,4,0,0,16,21,0,0,0,5,0,0,0,0,11,18,3,0,0,0,4,0,0,0,19,24,0,0,0,4,0,4,0,4,25,37,0,0,6,12,4,5,5,11,28,69,0,0,9,5,0,0,4,14,26,57,3,0,6,11,5,0,9,3,27,59,3,0,7,0,0,0,8,3,22,49,0,3,7,0,3,0,0,0,13,32,0,3,5,0,3,0,4,0,13,24,0,0,4,0,0,0,0,0,5,9
20202,232,267,247,95,105,62,132,142,23,1301,209,265,190,59,95,34,109,69,6,1038,156,203,116,29,41,20,55,29,13,659,286,364,171,20,52,20,72,28,7,1026,68,67,24,3,20,6,11,5,9,215,142,158,17,8,16,27,5,8,8,381,36,16,31,23,4,14,13,20,7,176,2363,2384,2305,1528,1222,1315,967,2907,170,15170,0,0,0,0,0,0,0,0,9,10,0,0,0,3,0,0,0,0,9,15,0,0,0,0,0,0,0,3,13,14,0,0,0,0,0,0,0,0,10,17,0,0,0,0,3,3,0,0,8,19,4,0,0,0,0,0,3,3,9,23,0,0,0,0,0,0,0,0,10,16,0,0,3,0,5,4,0,8,15,27,0,0,4,0,4,0,3,0,16,27,0,0,4,0,0,0,0,0,6,8,0,5,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,3,9
20203,113,24,64,5,31,5,70,47,0,362,121,33,50,3,15,0,77,23,0,326,83,20,24,12,13,10,68,22,4,248,100,88,99,5,3,6,113,10,3,427,17,9,26,0,0,0,12,3,0,73,37,14,11,0,3,0,17,7,0,89,28,4,9,0,5,7,9,12,0,76,1241,294,497,136,243,172,586,571,34,3770,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,8,0,0,0,6,0,0,0,3,3,10,5,0,0,0,0,0,4,3,3,12,3,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20301,106,77,89,15,47,15,35,35,3,420,84,69,54,8,28,7,22,23,3,299,52,39,31,6,15,10,17,16,4,196,107,73,39,4,20,7,13,18,4,278,30,13,7,0,0,0,3,3,0,62,48,35,12,0,8,6,0,4,0,122,16,11,15,5,7,0,3,9,5,63,1031,546,696,471,361,298,241,665,47,4364,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0
20302,1076,1915,1562,660,1023,524,753,566,103,8178,999,1858,1329,435,639,321,492,307,68,6441,754,1465,848,209,327,196,284,216,51,4351,1728,2448,1399,168,393,260,313,263,63,7029,478,430,244,24,72,60,61,40,19,1432,890,960,249,66,99,93,53,47,31,2489,71,69,122,74,59,60,59,87,65,663,9317,14171,13094,10483,8492,9543,6355,8848,894,81194,0,3,3,0,0,4,0,5,35,47,0,0,0,3,0,5,0,0,26,43,0,0,0,0,0,4,0,5,26,39,0,5,9,8,0,3,3,9,28,55,0,0,6,6,3,3,5,7,43,80,0,3,5,11,5,6,8,10,48,91,0,6,5,11,5,7,9,20,55,136,0,9,8,9,6,4,5,15,53,114,8,12,16,7,4,5,4,7,49,119,3,9,11,3,7,4,8,8,42,88,0,11,7,0,3,3,0,0,27,53,7,9,3,6,0,0,0,0,21,45
20303,367,405,481,139,182,105,49,109,21,1860,346,489,346,83,129,103,36,68,17,1599,222,335,203,52,73,56,16,39,10,1000,405,529,173,35,75,65,17,47,13,1369,129,127,40,10,27,22,6,0,7,368,234,301,37,12,36,66,6,10,15,725,22,24,44,33,19,31,6,13,11,200,3045,3686,3591,3433,1896,2799,527,2424,213,21607,0,0,0,0,0,0,0,0,17,15,0,0,0,0,0,0,0,0,7,14,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0,4,4,12,0,0,0,0,0,0,0,0,10,11,0,0,3,4,0,3,0,5,10,24,0,3,6,3,0,0,0,0,6,19,5,8,6,0,0,0,0,0,11,31,0,0,9,4,3,0,0,0,9,25,3,5,0,0,0,0,0,0,4,14,0,0,0,0,0,0,0,0,4,4,0,0,5,0,0,0,0,0,5,9
20401,360,272,331,131,167,65,160,162,19,1666,322,316,243,80,86,52,85,116,8,1311,222,207,139,51,47,32,52,54,10,809,357,349,144,41,50,37,46,53,9,1099,89,69,23,10,14,14,17,3,3,235,183,131,31,6,19,23,7,10,11,416,56,18,43,24,18,22,15,28,8,226,3421,2271,2808,2370,1680,1848,1156,2762,200,18518,0,0,0,0,0,0,0,0,17,18,0,0,3,0,0,0,0,0,14,18,4,0,0,0,0,0,0,0,12,25,0,4,5,0,0,0,0,4,10,21,3,0,3,0,0,0,0,6,11,17,5,3,0,0,3,0,0,4,11,31,0,0,0,0,0,0,0,3,19,35,3,0,8,3,0,0,4,5,27,49,4,0,3,0,0,0,0,5,28,38,0,0,4,5,0,0,0,4,9,26,3,0,0,3,0,0,0,0,4,15,0,0,0,0,0,0,0,0,3,9
