POW_SA3_CODE_2021,P_Pakistan_E,P_Pakistan_OM_IE,P_Pakistan_OM_UIE,P_Pakistan_CFW,P_Pakistan_ES_NS,P_Pakistan_Tot,P_Philippines_E,P_Philippines_OM_IE,P_Philippines_OM_UIE,P_Philippines_CFW,P_Philippines_ES_NS,P_Philippines_Tot,P_Poland_E,P_Poland_OM_IE,P_Poland_OM_UIE,P_Poland_CFW,P_Poland_ES_NS,P_Poland_Tot,P_Singapore_E,P_Singapore_OM_IE,P_Singapore_OM_UIE,P_Singapore_CFW,P_Singapore_ES_NS,P_Singapore_Tot,P_SthAfrica_E,P_SthAfrica_OM_IE,P_SthAfrica_OM_UIE,P_SthAfrica_CFW,P_SthAfrica_ES_NS,P_SthAfrica_Tot,P_SriLanka_E,P_SriLanka_OM_IE,P_SriLanka_OM_UIE,P_SriLanka_CFW,P_SriLanka_ES_NS,P_SriLanka_Tot,P_Taiwan_E,P_Taiwan_OM_IE,P_Taiwan_OM_UIE,P_Taiwan_CFW,P_Taiwan_ES_NS,P_Taiwan_Tot,P_Thailand_E,P_Thailand_OM_IE,P_Thailand_OM_UIE,P_Thailand_CFW,P_Thailand_ES_NS,P_Thailand_Tot,P_UK_E,P_UK_OM_IE,P_UK_OM_UIE,P_UK_CFW,P_UK_ES_NS,P_UK_Tot,P_USA_E,P_USA_OM_IE,P_USA_OM_UIE,P_USA_CFW,P_USA_ES_NS,P_USA_Tot,P_Vietnam_E,P_Vietnam_OM_IE,P_Vietnam_OM_UIE,P_Vietnam_CFW,P_Vietnam_ES_NS,P_Vietnam_Tot,P_Elsewhere_E,P_Elsewhere_OM_IE,P_Elsewhere_OM_UIE,P_Elsewhere_CFW,P_Elsewhere_ES_NS,P_Elsewhere_Tot,P_COB_NS_E,P_COB_NS_OM_IE,P_COB_NS_OM_UIE,P_COB_NS_CFW,P_COB_NS_ES_NS,P_COB_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
20101,89,12,6,0,0,103,354,9,5,0,0,374,20,0,0,0,0,26,45,5,5,0,0,56,131,11,7,0,0,156,151,3,13,0,3,173,27,9,0,0,0,37,79,7,13,0,0,99,1135,66,89,16,4,1311,118,10,10,3,0,147,119,15,9,5,0,145,707,43,50,14,10,820,295,19,19,3,14,348,46914,3278,2904,588,350,54038
20102,3,0,0,0,0,6,64,0,3,0,0,70,4,3,0,0,0,8,5,4,0,0,0,11,15,5,8,0,0,32,28,0,0,0,0,31,4,0,0,0,0,4,22,3,0,0,0,29,206,39,65,28,8,346,22,6,10,3,0,38,32,8,3,0,0,44,184,21,43,18,6,263,57,12,23,7,12,112,5792,994,1354,469,162,8765
20103,7,0,0,0,0,9,52,0,0,0,5,57,0,0,0,0,0,0,4,0,0,0,0,5,16,0,6,5,0,28,9,4,3,0,0,10,0,0,0,0,0,0,6,0,0,0,0,6,133,13,21,8,5,180,13,0,0,0,0,19,8,0,5,0,0,14,64,5,11,0,0,80,79,5,20,6,13,125,5558,565,779,366,129,7391
20201,59,13,0,0,0,73,364,8,5,0,3,378,9,0,0,0,0,9,28,0,3,0,0,32,157,6,8,0,0,180,146,16,11,0,0,169,28,3,0,0,0,28,174,7,8,0,0,197,777,59,69,6,6,912,85,5,5,0,0,95,61,11,3,0,0,74,646,27,38,7,3,711,274,29,22,5,16,344,41578,2504,2407,432,297,47221
20202,13,0,0,0,0,16,162,4,10,0,0,170,7,0,0,0,0,10,9,4,0,0,0,11,42,12,11,8,0,73,41,4,0,0,0,46,72,0,0,0,0,74,102,4,4,0,0,109,460,72,147,28,11,725,38,3,21,5,0,68,73,5,3,3,0,84,493,26,44,9,8,580,163,21,27,16,16,236,13805,1429,2243,523,235,18235
20203,4,0,0,0,0,4,57,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,21,7,4,0,0,0,8,3,0,0,0,0,3,12,0,0,0,0,13,46,4,7,0,3,64,0,0,0,0,0,9,0,0,0,0,0,8,29,3,5,0,0,46,42,4,17,12,0,74,2870,371,609,331,86,4268
20301,3,0,0,0,0,3,38,0,0,0,0,41,0,0,0,0,0,3,3,0,0,0,0,4,16,0,7,0,0,17,9,0,0,0,0,11,0,0,0,0,0,0,8,3,0,0,0,8,90,28,39,9,0,166,8,0,6,0,0,11,12,0,0,3,0,13,76,12,13,0,0,109,31,5,3,0,3,46,3273,603,722,286,62,4952
20302,337,26,64,3,7,435,1119,10,17,8,5,1150,98,14,4,0,0,124,123,3,6,0,0,139,441,24,30,0,0,496,444,24,17,3,6,490,65,3,0,0,0,70,333,22,13,0,8,376,3278,220,229,33,22,3785,302,12,27,8,0,348,396,34,50,16,3,502,2699,175,161,41,27,3109,520,35,16,6,38,602,92109,5885,5607,914,625,105131
20303,26,4,3,0,0,35,168,0,3,0,0,177,11,4,0,0,0,15,28,5,0,0,0,35,72,20,24,6,0,119,56,8,4,0,0,69,6,0,0,0,0,6,51,4,5,0,0,60,681,158,153,27,10,1030,64,28,14,3,0,108,49,8,8,6,0,66,413,43,61,15,6,531,121,31,30,15,11,210,18046,2684,2957,575,226,24487
20401,31,0,0,0,0,36,140,0,3,0,0,147,5,0,0,0,0,8,15,0,0,0,0,15,58,6,8,0,0,72,65,3,0,0,0,68,33,3,0,0,0,30,39,0,9,0,0,45,547,46,74,43,9,722,58,11,6,4,0,78,36,3,4,0,0,44,307,42,40,20,7,412,238,15,44,16,21,330,17597,1713,2239,921,284,22754
