POW_SA3_CODE_2021,AgFF_AgFF_nfd_M,AgFF_AgFF_nfd_F,AgFF_AgFF_nfd_P,AgFF_Agriculture_M,AgFF_Agriculture_F,AgFF_Agriculture_P,AgFF_Aquaculture_M,AgFF_Aquaculture_F,AgFF_Aquaculture_P,AgFF_Forestry_logging_M,AgFF_Forestry_logging_F,AgFF_Forestry_logging_P,AgFF_Fishing_hunt_trap_M,AgFF_Fishing_hunt_trap_F,AgFF_Fishing_hunt_trap_P,AgFF_AgFF_support_Svs_M,AgFF_AgFF_support_Svs_F,AgFF_AgFF_support_Svs_P,AgFF_Tot_M,AgFF_Tot_F,AgFF_Tot_P,Min_Min_nfd_M,Min_Min_nfd_F,Min_Min_nfd_P,Min_Coal_min_M,Min_Coal_min_F,Min_Coal_min_P,Min_Oil_gas_extrac_M,Min_Oil_gas_extrac_F,Min_Oil_gas_extrac_P,Min_Metal_ore_min_M,Min_Metal_ore_min_F,Min_Metal_ore_min_P,Min_NonMet_minral_min_quar_M,Min_NonMet_minral_min_quar_F,Min_NonMet_minral_min_quar_P,Min_Expl_oth_min_supt_Svs_M,Min_Expl_oth_min_supt_Svs_F,Min_Expl_oth_min_supt_Svs_P,Min_Tot_M,Min_Tot_F,Min_Tot_P,Mnf_Mnf_nfd_M,Mnf_Mnf_nfd_F,Mnf_Mnf_nfd_P,Mnf_Food_pdt_mnf_M,Mnf_Food_pdt_mnf_F,Mnf_Food_pdt_mnf_P,Mnf_Beverag_tobac_pdt_mnf_M,Mnf_Beverag_tobac_pdt_mnf_F,Mnf_Beverag_tobac_pdt_mnf_P,Mnf_Tex_leath_clo_footw_mnf_M,Mnf_Tex_leath_clo_footw_mnf_F,Mnf_Tex_leath_clo_footw_mnf_P,Mnf_Wood_pdt_mnf_M,Mnf_Wood_pdt_mnf_F,Mnf_Wood_pdt_mnf_P,Mnf_Pul_pap_cvertd_pap_mnf_M,Mnf_Pul_pap_cvertd_pap_mnf_F,Mnf_Pul_pap_cvertd_pap_mnf_P,Mnf_Print_inc_repdtn_RM_mnf_M,Mnf_Print_inc_repdtn_RM_mnf_F,Mnf_Print_inc_repdtn_RM_mnf_P,Mnf_Petroleum_coal_pdt_mnf_M,Mnf_Petroleum_coal_pdt_mnf_F,Mnf_Petroleum_coal_pdt_mnf_P,Mnf_Bas_che_and_chem_pr_mnf_M,Mnf_Bas_che_and_chem_pr_mnf_F,Mnf_Bas_che_and_chem_pr_mnf_P,Mnf_Polym_pd_rubber_pd_mnf_M,Mnf_Polym_pd_rubber_pd_mnf_F,Mnf_Polym_pd_rubber_pd_mnf_P,Mnf_NonMet_mineral_pdt_mnf_M,Mnf_NonMet_mineral_pdt_mnf_F,Mnf_NonMet_mineral_pdt_mnf_P,Mnf_Pri_met_and_met_pr_mnf_M,Mnf_Pri_met_and_met_pr_mnf_F,Mnf_Pri_met_and_met_pr_mnf_P,Mnf_Fab_metal_pdt_mnf_M,Mnf_Fab_metal_pdt_mnf_F,Mnf_Fab_metal_pdt_mnf_P,Mnf_Transpt_equip_mnf_M,Mnf_Transpt_equip_mnf_F,Mnf_Transpt_equip_mnf_P,Mnf_Machin_and_equip_mnf_M,Mnf_Machin_and_equip_mnf_F,Mnf_Machin_and_equip_mnf_P,Mnf_Furnitur_and_oth_mnf_M,Mnf_Furnitur_and_oth_mnf_F,Mnf_Furnitur_and_oth_mnf_P,Mnf_Tot_M,Mnf_Tot_F,Mnf_Tot_P,EGWWS_EGWWS_nfd_M,EGWWS_EGWWS_nfd_F,EGWWS_EGWWS_nfd_P,EGWWS_ElecSup_M,EGWWS_ElecSup_F,EGWWS_ElecSup_P,EGWWS_GasSup_M,EGWWS_GasSup_F,EGWWS_GasSup_P,EGWWS_WatSup_SDS_M,EGWWS_WatSup_SDS_F,EGWWS_WatSup_SDS_P,EGWWS_WasteCTDS_M,EGWWS_WasteCTDS_F,EGWWS_WasteCTDS_P,EGWWS_Tot_M,EGWWS_Tot_F,EGWWS_Tot_P,Const_Const_nfd_M,Const_Const_nfd_F,Const_Const_nfd_P,Const_Blding_Const_M,Const_Blding_Const_F,Const_Blding_Const_P,Const_HeavyCivl_eng_Const_M,Const_HeavyCivl_eng_Const_F,Const_HeavyCivl_eng_Const_P,Const_Const_Svs_M,Const_Const_Svs_F,Const_Const_Svs_P,Const_Tot_M,Const_Tot_F,Const_Tot_P,WST_WST_nfd_M,WST_WST_nfd_F,WST_WST_nfd_P,WST_Basic_matl_W_M,WST_Basic_matl_W_F,WST_Basic_matl_W_P,WST_Machin_and_equip_W_M,WST_Machin_and_equip_W_F,WST_Machin_and_equip_W_P,WST_MotV_and_motV_partsW_M,WST_MotV_and_motV_partsW_F,WST_MotV_and_motV_partsW_P,WST_GrocLiq_and_tob_pdtW_M,WST_GrocLiq_and_tob_pdtW_F,WST_GrocLiq_and_tob_pdtW_P,WST_Oth_gds_W_M,WST_Oth_gds_W_F,WST_Oth_gds_W_P,WST_Comm_based_W_M,WST_Comm_based_W_F,WST_Comm_based_W_P,WST_Tot_M,WST_Tot_F,WST_Tot_P,RetT_RetT_nfd_M,RetT_RetT_nfd_F,RetT_RetT_nfd_P,RetT_MotV_and_motV_partsR_M,RetT_MotV_and_motV_partsR_F,RetT_MotV_and_motV_partsR_P,RetT_Fuel_ret_M,RetT_Fuel_ret_F,RetT_Fuel_ret_P,RetT_Food_ret_M,RetT_Food_ret_F,RetT_Food_ret_P,RetT_Oth_store_based_ret_M,RetT_Oth_store_based_ret_F,RetT_Oth_store_based_ret_P,RetT_NonSR_and_RCB_buy_sell_M,RetT_NonSR_and_RCB_buy_sell_F,RetT_NonSR_and_RCB_buy_sell_P,RetT_Tot_M,RetT_Tot_F,RetT_Tot_P,AcFd_AcFd_nfd_M,AcFd_AcFd_nfd_F,AcFd_AcFd_nfd_P,AcFd_Accomm_M,AcFd_Accomm_F,AcFd_Accomm_P,AcFd_FoodBev_Svs_M,AcFd_FoodBev_Svs_F,AcFd_FoodBev_Svs_P,AcFd_Tot_M,AcFd_Tot_F,AcFd_Tot_P,TPW_TPW_nfd_M,TPW_TPW_nfd_F,TPW_TPW_nfd_P,TPW_RoadTspt_M,TPW_RoadTspt_F,TPW_RoadTspt_P,TPW_RailTspt_M,TPW_RailTspt_F,TPW_RailTspt_P,TPW_WaterTspt_M,TPW_WaterTspt_F,TPW_WaterTspt_P,TPW_Air_space_tspt_M,TPW_Air_space_tspt_F,TPW_Air_space_tspt_P,TPW_Oth_tspt_M,TPW_Oth_tspt_F
20101,8,0,12,193,105,294,0,0,3,29,12,43,3,0,3,103,27,129,340,144,481,27,4,34,3,0,3,0,0,0,199,22,223,26,10,38,99,16,114,359,53,416,268,65,332,883,615,1495,35,6,41,71,58,130,188,16,206,10,5,10,55,29,87,0,0,0,16,13,28,111,43,155,168,23,194,153,23,174,157,23,180,697,100,796,185,45,224,113,29,134,3109,1084,4203,0,0,0,142,38,182,8,0,6,143,84,230,92,21,114,390,141,526,192,24,224,1030,248,1278,322,33,357,2469,325,2792,4016,638,4646,15,6,23,346,103,448,160,42,201,73,15,91,100,65,163,44,34,72,9,8,20,740,268,1011,79,75,151,371,128,503,94,102,198,829,1064,1896,1085,1999,3086,5,10,14,2465,3389,5851,4,0,11,158,239,390,1625,1997,3619,1788,2234,4025,58,16,70,746,120,867,140,26,164,4,0,4,14,3,18,0,0
20102,10,5,17,832,397,1233,0,0,0,11,0,11,4,0,4,59,18,71,919,420,1341,0,0,0,0,0,0,0,0,0,3,0,3,38,6,37,3,0,10,45,4,49,23,9,32,82,79,156,36,27,62,6,11,20,10,0,13,0,0,0,0,5,5,0,0,0,0,4,3,0,0,0,3,0,8,22,4,21,4,0,8,12,0,20,6,0,6,21,5,23,223,149,375,0,0,0,16,0,19,0,0,0,12,4,12,16,3,21,45,8,52,37,9,42,163,27,193,64,13,78,403,87,489,664,132,796,0,0,0,31,14,47,4,8,5,0,0,0,10,19,31,6,0,12,0,0,0,50,40,96,13,29,48,5,5,5,12,24,31,127,205,333,88,196,285,4,3,7,250,460,711,3,0,3,144,218,357,308,390,700,450,612,1059,22,11,27,148,21,172,3,0,3,7,4,13,3,4,10,4,0
20103,0,0,5,724,260,984,0,0,0,5,0,5,0,0,0,46,12,60,779,278,1061,9,0,7,0,0,0,0,0,0,6,0,10,34,3,37,4,0,4,56,10,64,7,14,21,133,122,250,85,38,125,4,8,10,10,3,16,0,0,0,111,57,167,0,0,0,8,0,7,0,0,0,7,0,12,10,0,11,3,3,4,32,9,39,38,10,48,8,0,11,459,261,718,0,0,0,54,6,58,0,0,0,3,0,0,23,5,24,85,12,98,12,3,17,59,8,73,54,8,63,230,33,261,361,59,414,8,0,3,38,18,52,5,0,9,6,0,9,0,0,3,0,0,6,0,0,0,61,25,85,11,17,25,26,8,35,18,19,38,134,195,333,93,190,282,0,0,0,282,422,714,0,0,0,27,41,68,136,246,387,166,290,455,21,6,22,138,34,167,18,3,23,0,0,0,0,0,0,0,0
20201,3,0,3,210,88,298,0,0,0,14,0,14,0,0,0,46,19,60,270,102,370,25,10,32,0,0,0,0,0,0,82,16,100,34,7,37,149,22,171,289,49,341,159,53,212,458,369,833,22,8,35,96,92,196,102,16,119,0,6,0,40,18,59,5,0,3,38,46,82,65,6,75,108,17,125,205,38,240,161,27,185,448,62,510,191,31,227,69,22,93,2177,804,2988,7,0,3,168,66,228,13,0,17,163,96,262,116,16,135,465,184,650,157,17,173,836,229,1069,195,31,227,2018,300,2319,3205,576,3784,19,8,28,263,82,349,118,39,153,58,17,76,101,41,137,24,30,49,21,8,26,604,218,819,72,62,132,339,99,439,70,108,181,814,978,1791,925,1755,2686,7,4,7,2224,3011,5230,4,0,3,110,274,386,1424,1770,3194,1538,2046,3580,42,18,61,584,90,677,159,32,187,0,0,0,10,3,15,8,0
20202,10,3,14,552,275,831,0,0,0,7,0,10,0,0,0,43,12,54,608,300,906,7,4,12,0,0,0,0,0,0,192,34,225,71,6,71,25,8,30,286,49,341,75,20,98,1590,759,2355,117,67,184,5,16,18,17,4,20,0,0,0,11,13,22,4,0,4,5,7,15,5,0,12,34,11,43,57,13,71,24,3,29,140,19,158,83,14,98,49,16,69,2218,963,3184,0,0,0,28,4,32,3,0,4,23,11,36,35,3,36,91,23,114,48,9,61,267,48,315,91,15,106,784,115,899,1193,186,1384,6,5,10,72,33,106,18,4,29,18,9,28,22,24,37,11,11,23,13,7,23,151,86,241,29,47,75,62,16,79,33,51,80,350,431,779,199,442,646,6,0,3,681,987,1670,0,8,8,75,146,225,368,547,921,445,707,1150,22,11,35,225,39,267,36,9,48,0,0,0,0,0,0,0,0
20203,12,9,23,972,395,1370,0,0,0,3,0,3,0,0,0,34,14,44,1023,422,1444,10,0,10,3,0,3,0,0,0,480,65,549,34,0,31,43,0,43,564,69,634,6,4,14,131,51,178,13,10,21,4,7,10,0,0,0,0,0,0,0,0,0,0,0,0,9,3,8,0,0,0,7,0,8,3,3,7,6,0,6,5,0,5,0,0,0,5,0,5,192,81,272,0,0,0,5,0,5,0,0,0,15,0,18,3,0,3,25,0,24,4,0,4,31,3,32,25,3,27,100,17,114,160,25,183,0,0,0,65,21,82,9,0,8,5,0,4,13,4,17,0,0,3,4,0,5,92,26,116,4,9,12,3,4,5,14,19,32,37,80,118,26,37,59,0,0,0,83,146,230,0,0,0,13,19,37,18,46,62,34,62,102,19,3,24,101,13,109,0,0,0,0,0,0,0,0,0,0,0
20301,12,3,16,690,360,1046,0,0,0,0,0,0,3,0,3,18,20,38,727,383,1105,0,0,0,0,0,0,0,0,0,9,0,11,32,6,37,5,0,0,43,10,55,9,7,15,90,103,194,43,19,61,0,3,3,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4,8,3,5,16,0,14,7,0,6,11,3,10,8,0,15,20,0,17,208,149,352,0,0,0,9,0,13,3,0,3,5,0,10,3,0,3,24,8,30,20,10,31,90,10,102,17,0,15,335,54,386,460,77,542,3,0,3,32,14,51,10,3,9,3,3,3,4,4,8,0,0,0,4,0,4,55,33,85,0,3,3,8,4,11,11,24,39,54,105,162,25,70,95,0,0,0,101,207,313,0,0,0,15,15,32,76,169,244,97,186,280,11,5,16,75,12,88,0,0,0,0,0,0,0,4,4,0,0
20302,5,9,13,430,240,669,7,0,7,13,0,18,11,7,17,49,12,64,518,268,790,11,0,11,0,0,0,14,0,14,22,0,29,89,7,95,7,4,11,149,16,163,386,144,527,866,721,1586,144,63,206,321,262,582,221,52,274,23,7,33,119,73,189,162,28,190,194,78,273,78,20,98,372,59,426,259,42,301,529,71,604,918,152,1070,302,76,377,276,50,323,5168,1883,7052,13,14,25,273,153,428,35,64,98,288,155,444,332,54,382,944,444,1384,467,71,538,2059,405,2465,854,135,985,5236,649,5888,8622,1260,9882,59,22,85,1166,355,1520,166,68,232,331,45,370,211,89,302,185,217,404,14,7,20,2131,798,2933,120,161,282,591,135,727,227,196,421,1431,1704,3130,2542,4907,7451,25,25,48,4937,7123,12060,9,11,23,192,283,475,2813,3617,6430,3010,3912,6926,98,38,136,1394,188,1584,192,43,236,37,8,44,48,27,71,8,0
20303,5,0,4,212,124,340,32,13,48,7,3,11,17,9,19,23,12,37,292,164,455,0,0,0,0,0,0,0,0,0,7,0,7,7,5,7,3,0,8,16,7,22,40,15,54,129,203,330,96,74,173,12,26,40,13,0,15,0,0,4,15,15,34,0,0,0,0,5,7,25,9,29,13,3,20,7,3,10,17,6,24,31,8,33,24,11,34,53,16,69,476,384,865,0,0,0,12,3,19,0,8,11,36,8,40,26,7,35,80,22,102,74,21,97,750,167,920,54,13,67,1492,191,1679,2371,393,2764,10,9,15,120,45,162,31,7,36,8,0,13,20,14,40,53,49,99,0,3,4,236,127,362,21,67,89,15,3,20,45,53,94,787,905,1696,461,906,1363,6,16,17,1338,1945,3283,0,0,3,322,425,747,1298,1518,2814,1620,1941,3563,26,24,53,109,23,132,6,0,4,26,25,51,8,8,16,13,14
20401,15,14,26,1440,710,2149,18,7,26,35,12,45,0,3,5,83,32,115,1596,773,2367,3,0,4,0,0,0,0,0,0,61,10,70,74,14,91,11,7,12,144,33,181,43,13,54,241,242,485,138,119,251,4,7,9,22,9,28,19,4,23,0,3,8,0,0,0,7,12,22,7,5,12,55,8,64,31,7,43,20,4,27,103,15,119,34,10,42,27,8,41,748,466,1216,0,0,3,32,4,36,0,0,0,51,6,53,46,10,58,133,20,148,96,16,109,320,67,386,318,102,424,1012,136,1148,1746,323,2069,3,5,8,117,74,190,19,14,29,25,11,35,65,29,89,14,13,24,5,8,10,243,150,394,23,55,79,117,60,178,53,78,133,367,668,1038,235,476,712,0,3,3,806,1339,2142,6,5,7,305,450,753,566,830,1396,875,1281,2160,18,14,36,311,62,378,59,14,70,0,0,0,25,9,27,127,107
