POW_SA3_CODE_2021,LG_650_799_Mng,LG_650_799_Pro,LG_650_799_TecTW,LG_650_799_CoPSW,LG_650_799_ClAW,LG_650_799_SWks,LG_650_799_MaOpDv,LG_650_799_Lab,LG_650_799_IDNS,LG_650_799_Tot,LG_800_999_Mng,LG_800_999_Pro,LG_800_999_TecTW,LG_800_999_CoPSW,LG_800_999_ClAW,LG_800_999_SWks,LG_800_999_MaOpDv,LG_800_999_Lab,LG_800_999_IDNS,LG_800_999_Tot,LG_1000_1249_Mng,LG_1000_1249_Pro,LG_1000_1249_TecTW,LG_1000_1249_CoPSW,LG_1000_1249_ClAW,LG_1000_1249_SWks,LG_1000_1249_MaOpDv,LG_1000_1249_Lab,LG_1000_1249_IDNS,LG_1000_1249_Tot,LG_1250_1499_Mng,LG_1250_1499_Pro,LG_1250_1499_TecTW,LG_1250_1499_CoPSW,LG_1250_1499_ClAW,LG_1250_1499_SWks,LG_1250_1499_MaOpDv,LG_1250_1499_Lab,LG_1250_1499_IDNS,LG_1250_1499_Tot,LG_1500_1749_Mng,LG_1500_1749_Pro,LG_1500_1749_TecTW,LG_1500_1749_CoPSW,LG_1500_1749_ClAW,LG_1500_1749_SWks,LG_1500_1749_MaOpDv,LG_1500_1749_Lab,LG_1500_1749_IDNS,LG_1500_1749_Tot,LG_1750_1999_Mng,LG_1750_1999_Pro,LG_1750_1999_TecTW,LG_1750_1999_CoPSW,LG_1750_1999_ClAW,LG_1750_1999_SWks,LG_1750_1999_MaOpDv,LG_1750_1999_Lab,LG_1750_1999_IDNS,LG_1750_1999_Tot,LG_2000_2999_Mng,LG_2000_2999_Pro,LG_2000_2999_TecTW,LG_2000_2999_CoPSW,LG_2000_2999_ClAW,LG_2000_2999_SWks,LG_2000_2999_MaOpDv,LG_2000_2999_Lab,LG_2000_2999_IDNS,LG_2000_2999_Tot,LG_3000_3499_Mng,LG_3000_3499_Pro,LG_3000_3499_TecTW,LG_3000_3499_CoPSW,LG_3000_3499_ClAW,LG_3000_3499_SWks,LG_3000_3499_MaOpDv,LG_3000_3499_Lab,LG_3000_3499_IDNS,LG_3000_3499_Tot,LG_3500mo_Mng,LG_3500mo_Pro,LG_3500mo_TecTW,LG_3500mo_CoPSW,LG_3500mo_ClAW,LG_3500mo_SWks,LG_3500mo_MaOpDv,LG_3500mo_Lab,LG_3500mo_IDNS,LG_3500mo_Tot,LG_PINS_Mng,LG_PINS_Pro,LG_PINS_TecTW,LG_PINS_CoPSW,LG_PINS_ClAW,LG_PINS_SWks,LG_PINS_MaOpDv,LG_PINS_Lab,LG_PINS_IDNS,LG_PINS_Tot,LG_Tot_Mng,LG_Tot_Pro,LG_Tot_TecTW,LG_Tot_CoPSW,LG_Tot_ClAW,LG_Tot_SWks,LG_Tot_MaOpDv,LG_Tot_Lab,LG_Tot_IDNS,LG_Tot_Tot,Pvte_NNI_Mng,Pvte_NNI_Pro,Pvte_NNI_TecTW,Pvte_NNI_CoPSW,Pvte_NNI_ClAW,Pvte_NNI_SWks,Pvte_NNI_MaOpDv,Pvte_NNI_Lab,Pvte_NNI_IDNS,Pvte_NNI_Tot,Pvte_1_149_Mng,Pvte_1_149_Pro,Pvte_1_149_TecTW,Pvte_1_149_CoPSW,Pvte_1_149_ClAW,Pvte_1_149_SWks,Pvte_1_149_MaOpDv,Pvte_1_149_Lab,Pvte_1_149_IDNS,Pvte_1_149_Tot,Pvte_150_299_Mng,Pvte_150_299_Pro,Pvte_150_299_TecTW,Pvte_150_299_CoPSW,Pvte_150_299_ClAW,Pvte_150_299_SWks,Pvte_150_299_MaOpDv,Pvte_150_299_Lab,Pvte_150_299_IDNS,Pvte_150_299_Tot,Pvte_300_399_Mng,Pvte_300_399_Pro,Pvte_300_399_TecTW,Pvte_300_399_CoPSW,Pvte_300_399_ClAW,Pvte_300_399_SWks,Pvte_300_399_MaOpDv,Pvte_300_399_Lab,Pvte_300_399_IDNS,Pvte_300_399_Tot,Pvte_400_499_Mng,Pvte_400_499_Pro,Pvte_400_499_TecTW,Pvte_400_499_CoPSW,Pvte_400_499_ClAW,Pvte_400_499_SWks,Pvte_400_499_MaOpDv,Pvte_400_499_Lab,Pvte_400_499_IDNS,Pvte_400_499_Tot,Pvte_500_649_Mng,Pvte_500_649_Pro,Pvte_500_649_TecTW,Pvte_500_649_CoPSW,Pvte_500_649_ClAW,Pvte_500_649_SWks,Pvte_500_649_MaOpDv,Pvte_500_649_Lab,Pvte_500_649_IDNS,Pvte_500_649_Tot,Pvte_650_799_Mng,Pvte_650_799_Pro,Pvte_650_799_TecTW,Pvte_650_799_CoPSW,Pvte_650_799_ClAW,Pvte_650_799_SWks,Pvte_650_799_MaOpDv,Pvte_650_799_Lab,Pvte_650_799_IDNS,Pvte_650_799_Tot,Pvte_800_999_Mng,Pvte_800_999_Pro,Pvte_800_999_TecTW,Pvte_800_999_CoPSW,Pvte_800_999_ClAW,Pvte_800_999_SWks,Pvte_800_999_MaOpDv,Pvte_800_999_Lab,Pvte_800_999_IDNS,Pvte_800_999_Tot,Pvte_1000_1249_Mng,Pvte_1000_1249_Pro,Pvte_1000_1249_TecTW,Pvte_1000_1249_CoPSW,Pvte_1000_1249_ClAW,Pvte_1000_1249_SWks,Pvte_1000_1249_MaOpDv,Pvte_1000_1249_Lab,Pvte_1000_1249_IDNS,Pvte_1000_1249_Tot
20101,3,3,3,14,13,0,0,9,0,54,4,8,20,20,13,0,4,3,0,68,4,26,18,25,41,0,38,19,0,174,7,33,26,17,29,0,14,5,0,124,16,41,7,5,24,0,4,0,0,98,7,28,3,0,10,0,0,3,5,62,33,26,3,0,13,0,0,3,3,79,14,0,0,0,0,0,0,0,0,16,7,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,4,0,4,98,181,89,128,154,7,63,94,12,819,44,12,21,25,30,43,7,27,8,222,31,67,40,314,63,778,27,474,7,1803,55,100,96,298,94,513,43,339,9,1541,67,108,132,352,166,419,58,283,11,1588,109,165,274,458,221,430,87,371,13,2120,187,281,549,745,450,670,163,537,33,3611,288,375,765,864,591,656,253,625,35,4445,456,607,1177,982,856,645,507,750,40,6022,692,988,1357,785,928,463,587,607,60,6455
20102,0,0,0,8,9,0,3,6,0,26,0,6,4,10,18,0,8,6,0,42,3,11,7,6,17,0,12,3,0,66,4,10,8,4,13,0,0,5,0,43,5,28,0,9,13,0,0,0,0,61,3,10,0,0,0,0,0,0,0,23,20,9,0,0,3,0,0,0,0,30,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,48,67,31,51,86,0,24,33,4,342,49,7,9,3,10,0,0,18,3,108,20,13,7,60,9,69,4,94,4,288,61,29,25,60,34,63,5,84,0,373,75,34,41,58,50,60,7,71,9,399,67,54,64,80,49,59,14,95,3,485,147,73,113,112,77,91,18,127,7,776,165,64,129,124,101,101,27,164,3,871,194,93,244,147,87,72,58,155,13,1063,226,107,201,109,94,41,86,103,15,984
20103,0,0,4,7,3,0,0,0,0,19,0,0,0,7,11,0,5,3,0,31,0,8,6,7,19,0,13,9,0,60,0,3,4,5,12,0,14,3,0,42,3,16,0,4,7,0,0,5,0,37,9,12,0,0,0,0,0,0,0,18,15,7,0,0,0,0,0,0,0,29,3,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,35,50,21,47,60,0,31,34,7,278,52,7,0,3,7,8,0,11,0,98,29,8,15,34,13,79,0,69,0,256,37,7,28,29,16,55,10,48,6,238,64,21,42,45,25,54,10,54,0,312,73,9,57,46,36,42,13,70,7,360,98,31,75,89,65,106,27,120,7,606,119,46,109,113,71,85,47,155,0,747,132,53,170,100,82,83,84,198,4,902,172,104,154,102,75,37,92,112,3,852
20201,0,9,5,16,6,0,0,9,0,48,5,10,8,14,16,0,0,12,0,66,9,18,17,14,36,0,19,29,0,132,11,33,10,16,38,0,17,9,5,130,13,50,9,10,29,0,11,7,5,128,7,42,10,7,22,0,3,5,0,88,32,38,4,7,13,0,0,0,4,101,9,0,4,0,0,0,0,0,0,8,5,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,84,216,63,114,177,3,54,110,10,826,22,15,19,21,25,28,7,30,11,181,21,34,41,238,61,653,39,488,15,1581,43,78,76,261,87,503,49,336,10,1444,39,81,107,282,123,323,63,255,11,1280,73,94,236,362,207,399,75,308,9,1772,165,198,505,652,405,553,148,525,21,3165,231,287,653,826,533,592,239,648,44,4049,435,466,1019,977,798,570,459,637,42,5405,592,806,1042,688,835,417,491,483,54,5403
20202,6,7,0,11,9,0,0,0,0,40,4,8,3,17,11,0,7,5,0,59,6,21,8,11,21,0,14,11,0,90,3,10,10,9,17,0,5,6,0,55,13,29,4,5,24,0,5,0,0,83,10,16,0,0,11,0,0,0,0,42,10,7,4,4,3,0,0,0,0,34,3,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,8,0,0,0,4,6,0,0,0,0,12,62,106,32,76,118,0,30,54,9,496,54,4,14,7,13,3,0,17,6,133,37,25,32,94,28,203,5,187,7,620,43,47,46,97,30,148,16,129,7,564,86,84,68,111,71,95,17,129,8,664,108,76,131,126,88,138,29,150,4,841,125,139,211,212,159,163,58,250,12,1326,188,170,250,248,156,151,80,442,16,1704,257,212,349,224,185,124,152,794,25,2324,324,282,415,177,168,100,208,506,22,2200
20203,0,0,0,0,9,0,0,0,0,8,0,5,0,7,8,0,0,7,0,20,0,8,3,0,5,0,5,0,0,25,0,4,0,0,0,0,6,0,0,17,4,5,0,0,6,0,0,4,0,17,4,3,0,0,0,0,0,0,0,8,13,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,22,12,13,31,0,10,14,0,115,58,0,3,0,0,5,3,9,3,83,21,6,4,13,4,36,5,21,3,104,33,3,17,4,8,17,4,26,4,113,57,12,15,9,9,14,13,25,0,142,53,5,16,13,19,17,15,39,0,181,92,9,38,30,30,21,19,36,0,278,113,15,27,20,22,18,30,84,0,331,153,21,53,23,36,15,45,110,4,456,153,32,61,8,38,10,88,95,4,490
20301,4,3,0,4,0,0,0,3,0,10,0,3,0,3,5,0,0,0,0,18,0,8,0,0,11,0,10,9,0,40,0,11,0,0,10,0,0,6,0,31,5,15,4,3,3,0,0,0,0,38,3,14,0,0,3,0,0,0,0,21,10,5,0,5,10,0,0,0,0,28,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,63,7,30,44,0,14,26,0,216,40,0,5,0,5,0,4,13,0,68,19,10,7,30,5,55,5,64,0,205,23,12,16,27,28,43,7,55,6,202,48,16,34,36,22,28,9,38,0,232,48,7,50,50,20,22,3,41,5,247,69,28,69,81,42,32,15,70,3,399,92,39,75,89,38,22,13,93,0,466,107,46,90,67,35,25,27,120,8,530,146,62,104,45,55,27,52,72,8,580
20302,3,12,21,66,24,0,0,22,0,142,4,23,23,60,34,0,3,9,0,167,6,40,43,56,55,0,29,29,9,265,10,70,35,41,82,0,17,16,3,281,16,100,30,27,61,0,6,4,5,249,31,110,9,13,33,0,4,4,11,215,62,120,14,12,23,0,0,0,6,240,20,10,0,0,0,0,0,0,0,28,24,4,3,0,0,0,0,0,0,35,0,5,0,5,4,0,0,3,0,15,186,513,197,400,348,5,57,173,34,1919,61,47,49,57,55,61,23,54,25,439,41,116,111,562,107,1358,68,794,31,3184,90,167,210,615,207,1007,121,610,26,3067,127,183,262,669,313,744,181,526,32,3043,176,275,525,820,403,811,210,700,43,3961,321,478,897,1383,728,1117,388,951,57,6321,495,730,1250,1602,933,1039,667,1053,49,7818,784,1080,1829,1742,1416,1078,1305,1455,103,10792,1215,1949,2203,1386,1733,811,1372,1178,140,11995
20303,0,4,3,20,10,3,0,8,0,44,3,13,0,16,19,0,0,7,0,69,8,17,17,14,13,0,4,11,0,88,13,27,4,13,24,0,4,0,5,84,6,38,5,8,26,0,0,0,0,89,12,23,7,3,9,0,0,5,0,68,18,33,3,4,9,0,0,0,0,72,4,0,0,0,0,0,0,0,0,7,7,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,81,171,45,122,137,0,18,53,8,642,30,28,17,14,20,20,4,19,5,154,32,36,36,300,28,469,20,364,7,1294,55,64,67,232,75,292,24,227,9,1044,65,97,108,273,111,224,19,210,10,1118,94,105,156,308,121,263,34,229,5,1309,145,183,277,502,212,338,45,281,10,1999,192,246,439,559,240,286,67,295,13,2349,276,308,507,543,290,257,85,297,19,2578,427,413,669,342,263,200,78,204,27,2629
20401,3,6,5,9,16,0,3,4,0,45,7,12,7,5,32,0,6,9,0,73,12,23,21,9,45,0,6,24,0,152,10,29,10,7,39,0,8,15,4,110,10,38,8,7,17,0,0,0,4,85,8,30,3,7,7,0,0,0,0,54,29,28,7,0,7,0,0,0,6,76,11,0,0,0,0,0,0,0,0,12,11,0,0,0,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,6,105,175,66,89,180,0,27,77,13,730,86,13,23,13,16,17,6,33,6,213,45,12,44,136,36,212,8,224,10,732,96,35,55,130,65,167,16,204,5,775,130,52,69,155,88,122,28,166,12,814,116,68,138,173,108,143,44,205,12,1014,220,114,252,327,191,241,100,317,11,1769,247,143,317,430,230,301,93,409,15,2192,375,186,431,395,264,244,218,419,26,2561,516,280,524,275,282,154,270,349,31,2683
