POW_SA3_CODE_2021,P_M3_Trn_and_2_oth_Ms_15_24,P_M3_Trn_and_2_oth_Ms_25_34,P_M3_Trn_and_2_oth_Ms_35_44,P_M3_Trn_and_2_oth_Ms_45_54,P_M3_Trn_and_2_oth_Ms_55_64,P_M3_Trn_and_2_oth_Ms_65_74,P_M3_Trn_and_2_oth_Ms_75ov,P_M3_Trn_and_2_oth_Ms_Tot,P_M3_Bus2othMs_ex_tn_15_24,P_M3_Bus2othMs_ex_tn_25_34,P_M3_Bus2othMs_ex_tn_35_44,P_M3_Bus2othMs_ex_tn_45_54,P_M3_Bus2othMs_ex_tn_55_64,P_M3_Bus2othMs_ex_tn_65_74,P_M3_Bus2othMs_ex_tn_75ov,P_M3_Bus2othMs_ex_tn_Tot,P_M3_Other_M3_15_24,P_M3_Other_M3_25_34,P_M3_Other_M3_35_44,P_M3_Other_M3_45_54,P_M3_Other_M3_55_64,P_M3_Other_M3_65_74,P_M3_Other_M3_75ov,P_M3_Other_M3_Tot,P_M3_Tot_M3_15_24,P_M3_Tot_M3_25_34,P_M3_Tot_M3_35_44,P_M3_Tot_M3_45_54,P_M3_Tot_M3_55_64,P_M3_Tot_M3_65_74,P_M3_Tot_M3_75ov,P_M3_Tot_M3_Tot,P_Wkd_at_home_15_24,P_Wkd_at_home_25_34,P_Wkd_at_home_35_44,P_Wkd_at_home_45_54,P_Wkd_at_home_55_64,P_Wkd_at_home_65_74,P_Wkd_at_home_75ov,P_Wkd_at_home_Tot,P_Did_not_go_to_work_15_24,P_Did_not_go_to_work_25_34,P_Did_not_go_to_work_35_44,P_Did_not_go_to_work_45_54,P_Did_not_go_to_work_55_64,P_Did_not_go_to_work_65_74,P_Did_not_go_to_work_75ov,P_Did_not_go_to_work_Tot,P_MT_NS_15_24,P_MT_NS_25_34,P_MT_NS_35_44,P_MT_NS_45_54,P_MT_NS_55_64,P_MT_NS_65_74,P_MT_NS_75ov,P_MT_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75ov,P_Tot_Tot
20101,0,3,8,3,0,0,0,13,11,3,0,0,0,0,0,9,67,59,33,27,15,4,0,202,73,67,37,30,12,4,0,225,248,1282,1992,1900,1233,403,61,7116,1775,1391,1096,961,971,291,30,6520,58,59,40,37,51,25,15,287,9054,11722,10982,11068,8830,2172,215,54038
20102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,7,3,0,5,3,0,0,0,13,45,134,363,469,508,282,109,1906,235,200,187,158,214,70,3,1061,8,9,9,10,12,8,12,68,1098,1425,1603,1869,1884,685,202,8765
20103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,4,0,0,0,0,11,9,3,4,0,0,0,0,18,25,90,168,238,258,152,43,976,153,132,111,139,150,65,12,772,20,8,14,14,20,10,6,85,979,1193,1237,1621,1593,630,136,7391
20201,3,0,0,0,0,0,0,5,7,3,0,4,0,0,0,14,13,36,17,16,6,3,0,87,24,35,17,11,3,3,0,103,230,1181,1676,1715,1109,359,51,6320,1492,1234,975,777,904,303,22,5712,40,42,47,35,45,25,17,251,7951,10137,9711,9464,7825,1947,191,47221
20202,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,3,0,0,5,0,0,0,15,11,3,9,5,0,0,0,25,53,255,676,877,743,424,137,3177,499,316,328,399,428,156,16,2143,26,14,9,22,16,14,8,112,2380,3022,3434,4188,3674,1284,259,18235
20203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,3,0,0,0,0,0,0,6,17,52,128,168,183,147,60,760,60,88,76,74,63,29,8,391,9,5,5,5,7,0,6,42,404,704,806,892,928,419,114,4268
20301,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,44,121,231,268,249,155,61,1123,124,78,80,71,62,18,7,442,5,10,11,4,3,0,0,30,758,858,1002,1039,825,357,103,4952
20302,24,24,11,10,0,0,0,65,18,17,5,4,0,0,0,42,97,94,78,36,22,3,0,335,134,138,93,50,26,5,0,443,651,3669,5202,4379,2696,825,117,17539,3208,2681,2280,1759,1768,599,37,12341,85,94,80,81,65,28,34,473,16412,24194,22659,21250,16116,4072,435,105131
20303,3,7,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,7,9,0,4,0,0,28,9,8,9,0,4,4,0,37,97,612,1236,1289,1073,584,109,4996,1157,596,524,408,473,184,24,3365,36,22,22,17,14,9,10,137,4693,4584,4886,4742,3950,1424,222,24487
20401,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,4,9,6,7,0,0,32,9,9,9,6,7,0,0,37,99,366,581,770,709,573,228,3340,639,451,401,353,478,184,31,2548,37,17,26,33,30,28,12,184,3375,4004,4043,4627,4434,1847,423,22754
20402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,12,3,9,3,0,57,9,15,12,3,9,3,0,57,59,283,468,601,624,418,155,2599,514,414,360,357,486,173,22,2324,44,28,26,26,15,23,22,177,2923,3586,3824,4559,4399,1544,318,21154
20403,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12,13,6,9,5,4,0,56,12,13,6,6,5,4,0,55,107,438,838,1053,926,518,145,4033,904,738,582,566,617,254,32,3694,39,36,43,36,19,30,24,222,5490,6590,6496,6923,6102,2048,397,34033
20501,4,4,6,0,0,0,0,13,0,0,0,0,0,0,0,0,3,6,0,4,4,0,0,30,14,12,3,8,4,0,0,48,78,374,574,622,612,376,162,2787,625,448,356,307,376,137,14,2259,27,27,15,20,15,14,11,129,3245,4009,3688,3944,3393,1203,296,19772
20502,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,7,6,0,9,9,0,0,30,11,6,0,9,9,0,0,33,48,239,348,470,549,391,140,2183,389,326,289,287,437,182,22,1937,38,21,31,29,37,16,21,190,2320,3004,3101,3696,3924,1452,296,17799
20503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,8,0,3,4,0,0,0,0,11,101,433,755,925,934,682,185,4019,733,501,465,473,609,220,26,3015,57,28,32,39,53,23,23,249,3321,3902,4459,5333,5046,1924,371,24354
20504,5,6,0,0,0,0,0,10,7,5,0,0,0,0,0,7,13,11,5,4,4,6,0,37,18,13,7,5,4,6,0,57,157,776,1023,930,681,250,63,3882,839,836,675,630,738,204,18,3932,38,45,40,25,42,33,8,232,4981,7154,6857,6811,6021,1451,184,33455
20505,4,0,0,0,0,0,0,5,3,0,0,0,0,0,0,6,5,3,4,8,8,3,3,30,10,10,4,8,7,3,3,39,56,264,407,449,467,293,106,2054,405,408,305,325,380,126,13,1962,24,19,19,22,29,25,16,151,2575,3420,3434,3579,3354,1132,218,17714
20601,36,47,22,15,4,3,0,127,9,0,6,0,0,0,0,12,35,52,20,11,9,0,0,122,74,95,45,32,15,5,0,267,295,1757,1975,1608,882,264,38,6823,1004,970,628,458,365,128,28,3582,22,29,26,6,9,7,4,104,4133,7513,6118,5073,3663,1069,141,27701
20602,22,23,13,0,0,0,0,59,3,9,0,0,0,0,0,11,10,23,9,8,0,5,0,53,40,49,15,10,0,3,0,121,177,1070,1221,1206,703,246,28,4644,601,522,352,276,225,85,6,2069,13,21,18,16,8,6,4,87,2421,4468,3668,3479,2450,772,96,17352
