POW_SA3_CODE_2021,M_USA_OM_UIE,M_USA_CFW,M_USA_ES_NS,M_USA_Tot,M_Vietnam_E,M_Vietnam_OM_IE,M_Vietnam_OM_UIE,M_Vietnam_CFW,M_Vietnam_ES_NS,M_Vietnam_Tot,M_Elsewhere_E,M_Elsewhere_OM_IE,M_Elsewhere_OM_UIE,M_Elsewhere_CFW,M_Elsewhere_ES_NS,M_Elsewhere_Tot,M_COB_NS_E,M_COB_NS_OM_IE,M_COB_NS_OM_UIE,M_COB_NS_CFW,M_COB_NS_ES_NS,M_COB_NS_Tot,M_Tot_E,M_Tot_OM_IE,M_Tot_OM_UIE,M_Tot_CFW,M_Tot_ES_NS,M_Tot_Tot,F_Australia_E,F_Australia_OM_IE,F_Australia_OM_UIE,F_Australia_CFW,F_Australia_ES_NS,F_Australia_Tot,F_Afghanistan_E,F_Afghanistan_OM_IE,F_Afghanistan_OM_UIE,F_Afghanistan_CFW,F_Afghanistan_ES_NS,F_Afghanistan_Tot,F_Bangladesh_E,F_Bangladesh_OM_IE,F_Bangladesh_OM_UIE,F_Bangladesh_CFW,F_Bangladesh_ES_NS,F_Bangladesh_Tot,F_Canada_E,F_Canada_OM_IE,F_Canada_OM_UIE,F_Canada_CFW,F_Canada_ES_NS,F_Canada_Tot,F_China_E,F_China_OM_IE,F_China_OM_UIE,F_China_CFW,F_China_ES_NS,F_China_Tot,F_Croatia_E,F_Croatia_OM_IE,F_Croatia_OM_UIE,F_Croatia_CFW,F_Croatia_ES_NS,F_Croatia_Tot,F_Egypt_E,F_Egypt_OM_IE,F_Egypt_OM_UIE,F_Egypt_CFW,F_Egypt_ES_NS,F_Egypt_Tot,F_Fiji_E,F_Fiji_OM_IE,F_Fiji_OM_UIE,F_Fiji_CFW,F_Fiji_ES_NS,F_Fiji_Tot,F_Germany_E,F_Germany_OM_IE,F_Germany_OM_UIE,F_Germany_CFW,F_Germany_ES_NS,F_Germany_Tot,F_Greece_E,F_Greece_OM_IE,F_Greece_OM_UIE,F_Greece_CFW,F_Greece_ES_NS,F_Greece_Tot,F_HongKong_E,F_HongKong_OM_IE,F_HongKong_OM_UIE,F_HongKong_CFW,F_HongKong_ES_NS,F_HongKong_Tot,F_India_E,F_India_OM_IE,F_India_OM_UIE,F_India_CFW,F_India_ES_NS,F_India_Tot,F_Indonesia_E,F_Indonesia_OM_IE,F_Indonesia_OM_UIE,F_Indonesia_CFW,F_Indonesia_ES_NS,F_Indonesia_Tot,F_Iran_E,F_Iran_OM_IE,F_Iran_OM_UIE,F_Iran_CFW,F_Iran_ES_NS,F_Iran_Tot,F_Iraq_E,F_Iraq_OM_IE,F_Iraq_OM_UIE,F_Iraq_CFW,F_Iraq_ES_NS,F_Iraq_Tot,F_Ireland_E,F_Ireland_OM_IE,F_Ireland_OM_UIE,F_Ireland_CFW,F_Ireland_ES_NS,F_Ireland_Tot,F_Italy_E,F_Italy_OM_IE,F_Italy_OM_UIE,F_Italy_CFW,F_Italy_ES_NS,F_Italy_Tot,F_Japan_E,F_Japan_OM_IE,F_Japan_OM_UIE,F_Japan_CFW,F_Japan_ES_NS,F_Japan_Tot,F_KoreaSouth_E,F_KoreaSouth_OM_IE,F_KoreaSouth_OM_UIE,F_KoreaSouth_CFW,F_KoreaSouth_ES_NS,F_KoreaSouth_Tot,F_Lebanon_E,F_Lebanon_OM_IE,F_Lebanon_OM_UIE,F_Lebanon_CFW,F_Lebanon_ES_NS,F_Lebanon_Tot,F_Malaysia_E,F_Malaysia_OM_IE,F_Malaysia_OM_UIE,F_Malaysia_CFW,F_Malaysia_ES_NS,F_Malaysia_Tot,F_Nepal_E,F_Nepal_OM_IE,F_Nepal_OM_UIE,F_Nepal_CFW,F_Nepal_ES_NS,F_Nepal_Tot,F_Netherlands_E,F_Netherlands_OM_IE,F_Netherlands_OM_UIE,F_Netherlands_CFW,F_Netherlands_ES_NS,F_Netherlands_Tot,F_NZ_E,F_NZ_OM_IE,F_NZ_OM_UIE,F_NZ_CFW,F_NZ_ES_NS,F_NZ_Tot,F_Pakistan_E,F_Pakistan_OM_IE,F_Pakistan_OM_UIE,F_Pakistan_CFW,F_Pakistan_ES_NS,F_Pakistan_Tot,F_Philippines_E,F_Philippines_OM_IE,F_Philippines_OM_UIE,F_Philippines_CFW,F_Philippines_ES_NS,F_Philippines_Tot,F_Poland_E,F_Poland_OM_IE,F_Poland_OM_UIE,F_Poland_CFW,F_Poland_ES_NS,F_Poland_Tot,F_Singapore_E,F_Singapore_OM_IE,F_Singapore_OM_UIE,F_Singapore_CFW,F_Singapore_ES_NS,F_Singapore_Tot,F_SthAfrica_E,F_SthAfrica_OM_IE,F_SthAfrica_OM_UIE,F_SthAfrica_CFW
20101,5,0,0,56,38,11,4,0,0,53,311,26,21,8,6,370,129,9,14,0,11,162,21286,2354,1665,263,196,25759,22348,781,1053,266,134,24579,3,0,0,0,0,3,12,3,0,0,0,23,35,0,3,0,0,40,155,23,14,11,0,211,11,0,0,0,0,13,7,0,0,0,0,10,17,4,0,0,0,22,55,6,0,0,0,55,0,0,3,0,0,5,17,0,0,0,0,21,518,25,14,6,3,568,28,0,0,0,0,31,16,0,3,0,0,20,12,0,0,0,0,11,45,0,0,0,0,50,7,0,0,0,0,9,29,0,5,0,0,34,18,0,0,0,0,18,0,0,0,0,0,0,65,7,3,0,0,80,73,0,0,0,0,73,34,6,5,3,0,44,276,7,15,6,5,310,28,3,6,0,0,35,229,6,3,0,0,242,19,0,0,0,0,21,29,0,5,0,0,31,65,0,11,0
20102,3,0,0,16,3,0,0,0,0,14,90,15,26,9,0,135,27,13,16,5,7,68,2609,667,788,260,97,4425,2611,269,465,166,45,3554,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,10,24,0,0,0,0,26,5,0,4,0,0,5,0,0,0,0,0,4,4,0,0,0,0,4,13,0,6,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,52,5,3,4,0,66,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,10,6,0,0,0,0,3,11,0,0,3,0,11,4,0,0,0,0,4,0,0,0,0,0,0,9,0,0,0,0,15,15,0,0,0,0,15,5,0,4,3,0,10,55,5,13,4,0,76,0,0,0,0,0,0,30,0,0,0,0,30,5,0,0,0,0,5,0,0,0,0,0,4,12,4,6,0
20103,0,0,0,13,3,0,0,0,0,7,30,0,6,0,0,45,39,4,14,6,10,60,2570,390,503,198,83,3751,2667,143,238,153,34,3226,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,4,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,19,3,0,0,0,26,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,8,12,0,0,0,0,12,0,0,3,0,0,5,36,3,6,3,0,49,0,0,0,0,0,0,43,0,0,0,5,46,0,0,0,0,0,0,0,0,0,0,0,5,4,0,5,0
20201,0,0,0,41,20,4,3,0,0,29,311,14,19,0,0,349,123,15,13,4,7,166,18330,1727,1389,186,163,21799,20660,651,890,219,110,22522,9,0,0,0,0,11,16,0,0,0,0,15,31,3,0,0,0,28,106,19,10,6,0,140,3,0,0,0,0,3,9,3,0,0,0,20,16,0,0,0,0,16,36,0,6,0,0,39,4,0,0,0,0,7,15,0,4,0,0,15,333,16,14,0,0,370,35,0,0,0,0,36,9,0,0,0,0,9,13,0,0,0,0,13,23,5,0,0,0,28,15,0,0,0,0,12,3,0,3,0,0,12,22,0,0,0,0,23,3,0,0,0,0,7,71,5,10,0,0,81,49,0,0,0,0,48,21,4,6,0,0,24,203,6,11,0,0,217,20,0,0,0,0,26,232,3,9,0,3,239,8,0,0,0,0,8,12,0,3,0,0,15,82,0,0,0
20202,11,0,0,36,36,3,0,3,0,41,295,22,23,4,5,345,76,15,14,3,9,126,6812,940,1221,246,146,9359,5826,405,834,232,67,7367,4,0,0,0,0,4,3,0,0,0,0,0,23,0,0,0,0,25,29,5,0,4,0,38,8,0,0,0,0,9,3,0,0,0,0,3,9,0,0,0,0,9,17,0,6,6,0,31,0,0,3,0,0,4,6,0,0,0,0,6,71,5,6,0,0,78,27,0,0,0,0,26,3,0,0,0,0,3,0,0,0,0,0,0,11,0,4,0,0,16,4,0,4,0,0,9,9,0,11,0,0,20,7,0,0,0,0,7,3,0,0,0,0,5,31,0,7,0,0,45,12,0,0,0,0,13,19,3,3,0,0,24,96,14,25,4,0,142,0,0,0,0,0,0,104,0,3,0,0,112,4,0,0,0,0,6,4,4,0,0,0,9,23,0,6,4
20203,0,0,0,3,0,0,0,0,0,0,18,6,4,0,0,27,31,3,8,4,0,52,1822,266,418,184,57,2742,929,94,173,138,25,1352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,13,0,0,0,0,0,0,18,0,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
20301,4,0,0,4,3,0,0,3,0,9,34,7,12,0,0,51,18,5,3,0,0,30,1436,417,436,152,38,2483,1617,154,233,120,23,2156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,17,0,0,0,0,24,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,4,7,0,0,0,0,7,0,0,0,0,0,7,21,8,5,0,0,29,0,0,0,0,0,0,13,0,0,0,0,15,0,0,0,0,0,0,3,0,0,0,0,4,3,0,0,0
20302,8,9,0,150,169,19,26,8,3,225,1266,124,91,20,13,1518,241,28,13,0,17,298,42110,4213,3209,403,384,50316,40716,1296,1935,391,180,44523,46,0,0,0,0,42,51,0,0,0,0,54,137,5,6,0,0,150,329,42,36,24,0,433,117,4,6,0,0,135,30,0,4,0,0,33,57,0,0,0,0,57,124,6,8,0,0,143,26,0,8,5,0,35,66,8,0,3,0,77,1306,44,23,14,5,1396,80,4,7,0,0,92,92,5,9,0,0,99,34,8,0,0,0,44,131,7,9,0,0,147,106,5,13,0,0,126,53,0,0,0,0,53,51,4,9,0,0,63,12,3,4,0,0,18,206,17,14,0,0,233,124,0,0,0,0,123,77,6,3,3,0,91,632,16,39,4,0,693,76,5,0,0,0,83,717,0,10,3,0,734,63,7,3,0,0,81,61,3,3,0,0,67,220,3,6,0
20303,5,0,0,52,9,3,0,0,0,16,183,23,35,3,5,243,50,21,23,3,7,100,7633,1812,1546,235,127,11356,8730,717,1179,273,78,10969,0,0,0,0,0,0,5,0,0,0,0,5,32,4,3,0,0,45,55,11,14,4,0,79,11,0,0,5,0,13,3,0,0,0,0,3,10,0,0,0,0,11,32,5,13,0,0,50,5,0,0,0,0,9,4,0,0,0,0,4,205,8,0,3,0,218,20,0,0,0,0,27,8,0,0,0,0,9,0,0,0,0,0,5,21,5,0,0,0,28,15,0,0,0,0,14,10,0,3,0,0,11,8,0,0,0,0,14,0,0,0,0,0,3,17,0,3,0,0,25,25,0,0,0,0,25,27,0,3,0,0,31,149,16,20,3,0,195,9,0,0,0,0,9,114,0,0,0,3,119,12,0,0,0,0,10,18,0,0,0,0,21,43,7,20,4
20401,3,0,0,44,8,3,3,0,0,15,153,22,18,8,5,209,108,15,27,10,12,173,8105,1141,1369,483,163,11261,8123,471,742,382,104,9818,4,0,0,0,0,4,3,0,0,0,0,3,28,4,3,0,0,32,48,5,3,0,0,59,0,0,0,0,0,0,7,0,0,0,0,7,11,0,0,0,0,11,33,4,3,7,0,45,6,5,0,0,0,7,7,4,0,0,0,7,167,9,3,0,0,181,10,0,0,0,0,10,3,0,0,0,0,3,3,0,0,0,0,3,18,0,0,0,0,24,10,0,3,0,0,17,8,0,0,3,0,14,5,0,0,0,0,5,3,0,0,0,0,3,20,3,0,0,0,23,11,0,0,0,0,11,19,0,3,5,0,21,130,17,15,0,0,170,5,0,0,0,0,6,93,0,3,0,0,100,4,0,0,0,0,4,8,0,0,0,0,8,35,0,0,0
