POW_SA3_CODE_2021,Tot_65_69_HW_0,Tot_65_69_HW_1_19,Tot_65_69_HW_20_29,Tot_65_69_HW_30_34,Tot_65_69_HW_35_39,Tot_65_69_HW_40_44,Tot_65_69_HW_45_49,Tot_65_69_HW_50mor,Tot_65_69_HW_NS,Tot_65_69_Tot,Tot_70_74_HW_0,Tot_70_74_HW_1_19,Tot_70_74_HW_20_29,Tot_70_74_HW_30_34,Tot_70_74_HW_35_39,Tot_70_74_HW_40_44,Tot_70_74_HW_45_49,Tot_70_74_HW_50mor,Tot_70_74_HW_NS,Tot_70_74_Tot,Tot_75ov_HW_0,Tot_75ov_HW_1_19,Tot_75ov_HW_20_29,Tot_75ov_HW_30_34,Tot_75ov_HW_35_39,Tot_75ov_HW_40_44,Tot_75ov_HW_45_49,Tot_75ov_HW_50mor,Tot_75ov_HW_NS,Tot_75ov_Tot,Tot_Tot_HW_0,Tot_Tot_HW_1_19,Tot_Tot_HW_20_29,Tot_Tot_HW_30_34,Tot_Tot_HW_35_39,Tot_Tot_HW_40_44,Tot_Tot_HW_45_49,Tot_Tot_HW_50mor,Tot_Tot_HW_NS,Tot_Tot_Tot
20101,131,417,266,155,230,193,57,139,24,1604,45,195,106,42,60,44,19,45,18,564,22,84,29,16,21,8,4,9,20,215,3043,8624,7021,5034,10968,10186,3060,5294,792,54038
20102,28,125,71,38,39,56,14,68,3,435,10,89,39,19,14,26,3,41,5,247,9,36,42,18,13,20,11,39,11,202,550,1740,1244,790,1161,1434,426,1253,176,8765
20103,39,106,48,51,40,51,16,65,11,427,15,54,28,18,17,21,11,33,6,204,10,35,24,16,8,22,0,17,6,136,405,1234,861,724,1285,1332,375,995,184,7391
20201,139,367,224,162,228,181,54,119,24,1498,36,156,77,40,43,29,7,38,16,444,16,73,32,18,16,9,0,11,15,191,2640,7614,6180,4632,10214,8390,2382,4475,687,47221
20202,58,273,137,85,91,99,34,107,20,896,26,134,81,37,24,37,10,33,9,385,14,84,33,21,18,29,7,43,20,259,992,3305,2353,1729,2904,3552,924,2130,342,18235
20203,13,44,29,18,11,42,15,81,9,261,4,34,33,9,5,20,3,40,0,153,7,15,15,11,5,18,3,27,14,114,197,533,398,264,446,785,299,1225,122,4268
20301,8,60,34,15,17,28,9,31,3,200,5,50,29,19,7,18,0,27,4,160,6,28,12,15,3,8,0,17,3,103,207,966,626,450,680,893,239,782,103,4952
20302,249,788,526,286,407,395,106,240,45,3045,78,360,190,88,82,105,17,84,23,1027,21,172,63,22,32,45,11,30,33,435,5689,16974,13558,9288,21388,20920,5682,10120,1513,105131
20303,76,357,178,103,71,92,31,69,21,992,30,197,75,39,28,20,5,28,9,427,14,101,30,15,3,23,0,16,8,222,1689,5767,3656,2140,3765,3972,998,2102,396,24487
20401,84,299,183,136,113,156,41,172,41,1224,22,186,107,59,45,87,19,89,16,626,28,106,65,49,25,50,15,60,27,423,1357,3773,2897,2023,3750,4214,1206,3034,507,22754
20402,91,244,146,96,121,155,35,156,20,1064,25,149,79,42,35,58,16,65,11,480,20,64,57,30,21,38,10,54,29,318,1244,3055,2574,2002,4018,4071,1132,2644,421,21154
20403,130,326,231,128,183,195,42,194,26,1450,30,176,81,56,44,79,20,90,13,594,22,102,60,25,29,43,15,60,31,397,1879,4873,4024,3053,6283,6904,2038,4317,652,34033
20501,64,193,150,89,86,98,30,129,16,844,18,112,64,27,19,36,15,58,13,358,12,99,47,20,17,28,4,51,19,296,1050,3565,2676,1817,3458,3315,960,2519,411,19772
20502,70,250,166,91,95,109,34,153,29,1005,28,147,68,36,32,51,6,67,10,446,17,77,50,30,11,27,16,48,18,296,1057,3017,2421,1766,3222,2968,870,2056,428,17799
20503,91,374,231,119,109,137,45,168,35,1311,30,192,108,48,38,63,13,94,25,609,31,109,51,42,14,36,12,47,28,371,1621,4596,3396,2259,3677,4104,1156,2966,576,24354
20504,93,236,162,95,161,121,43,110,31,1051,32,126,67,29,31,42,13,41,17,402,15,79,18,6,14,17,0,19,14,184,1898,4840,4061,2957,7269,6311,1986,3457,674,33455
20505,59,181,111,82,87,105,42,113,20,792,18,97,45,25,20,42,14,66,8,336,9,39,30,22,11,31,4,45,26,218,1031,2595,2052,1453,2916,3519,1031,2761,355,17714
20601,50,160,136,84,120,96,27,67,9,741,17,95,63,34,44,32,16,30,0,329,10,57,14,14,14,16,3,10,6,141,1387,5308,4214,2675,5319,4811,1147,2382,456,27701
20602,27,134,93,64,91,64,21,61,3,555,15,78,35,20,20,19,6,21,3,220,4,27,22,10,8,14,0,10,3,96,831,3095,2349,1640,3253,3328,874,1725,253,17352
20603,43,190,103,70,83,91,25,70,8,685,18,85,50,24,34,31,6,19,10,266,6,36,15,7,10,7,3,12,5,102,1185,4205,3191,1806,4155,3797,957,2060,353,21703
20604,643,1240,1057,684,1653,1624,488,955,113,8457,219,768,454,262,445,448,115,304,69,3082,133,386,171,101,89,106,27,93,114,1210,25244,35209,37422,28937,118865,141500,32770,62301,6346,488582
20605,109,406,291,195,330,372,103,261,33,2111,49,271,162,92,88,143,43,81,15,941,29,161,73,36,30,49,9,40,20,453,3758,9264,8983,5703,20257,24725,6357,12536,1322,92908
20606,69,257,180,96,126,149,38,94,18,1019,28,193,111,61,52,78,21,60,14,607,33,122,74,22,31,28,9,23,6,356,1900,5919,4886,2827,6336,7307,1950,3939,522,35586
20607,121,407,348,197,346,333,87,204,25,2058,60,238,153,85,91,117,21,68,13,849,27,156,84,43,28,35,4,28,17,419,4589,10994,10081,7655,21401,22324,5879,10670,1263,94862
20701,158,718,481,263,321,370,86,264,28,2685,60,512,220,110,100,140,38,91,22,1301,39,329,110,53,36,58,12,31,30,707,3372,13557,10089,5991,13960,16853,4347,9052,1002,78222
20702,72,241,173,93,106,123,33,61,18,921,24,156,86,34,25,31,13,15,4,385,26,125,37,18,9,24,12,3,12,249,1727,6163,4187,2178,4446,4122,1200,2114,384,26526
20703,100,330,255,156,205,221,55,113,8,1444,37,206,95,59,51,54,18,36,11,562,18,140,45,20,10,16,4,15,15,299,2345,8055,6492,4475,10700,10019,2548,4318,662,49600
20801,57,403,243,125,154,184,45,131,15,1351,32,282,122,76,51,71,16,58,0,711,28,173,67,30,18,32,12,14,11,381,1646,6646,4780,2858,5248,5949,1615,3658,483,32884
20802,82,438,336,170,185,225,53,156,18,1655,50,296,156,68,58,94,23,54,14,813,24,161,64,27,21,28,9,18,6,364,1921,8371,6281,3817,7384,8002,1966,4123,638,42510
20803,138,470,343,217,412,389,110,216,23,2311,47,296,149,94,127,108,23,83,11,944,32,158,89,40,41,33,11,24,12,437,3228,10891,8439,5441,16080,15244,3933,7184,1076,71510
20804,49,173,148,87,111,94,21,69,9,760,19,148,73,40,27,31,13,29,8,390,12,86,37,18,13,20,4,9,9,192,1849,5318,3746,2108,5129,3697,978,2008,373,25202
20901,120,400,299,195,246,241,55,144,23,1713,39,218,103,57,60,74,18,38,7,615,23,109,45,25,20,24,7,10,19,284,2516,8173,6762,5022,8183,9325,2275,4272,648,47174
20902,68,212,165,83,194,153,38,101,7,1029,28,113,61,30,53,35,9,18,8,355,20,43,20,12,12,22,0,8,11,150,1872,5872,4973,2949,8464,6898,1835,3074,680,36609
20903,47,208,118,71,63,75,16,57,8,665,13,104,51,27,20,31,12,36,11,300,7,89,32,14,4,18,9,11,0,178,953,3666,2242,1382,2313,2831,701,1560,216,15870
20904,104,367,291,160,358,288,78,183,26,1861,37,174,90,29,66,76,26,38,13,549,22,103,30,23,21,26,13,23,19,275,3311,11758,9557,6124,15911,14842,3753,6837,1456,73549
21001,70,211,160,100,188,187,34,101,15,1059,26,96,55,36,48,37,16,22,12,347,18,45,31,8,23,15,6,15,8,167,1708,4866,4007,2498,8690,8610,2338,4306,731,37754
21002,20,85,62,38,36,39,5,36,3,321,4,49,32,18,17,14,6,19,5,171,0,28,13,13,12,8,4,13,5,107,466,1788,1182,699,1240,1502,437,947,158,8406
21003,34,92,63,42,82,62,15,32,10,435,8,58,30,17,18,14,4,13,0,169,4,25,9,5,4,18,0,0,0,70,762,2684,2427,1415,3375,3140,785,1592,302,16490
21004,22,101,49,25,41,36,18,23,0,322,7,34,24,14,10,10,5,8,0,121,0,24,9,0,3,6,3,9,3,57,594,2040,1506,885,1807,1749,502,938,159,10171
21005,134,290,248,154,521,380,116,201,37,2089,54,151,86,51,96,79,27,43,17,611,13,77,34,21,32,17,5,16,8,225,4247,10891,9984,6170,22614,19903,5693,9302,2063,90874
21101,120,512,352,255,459,347,89,197,27,2355,42,285,135,83,93,89,14,66,7,804,30,131,52,37,30,31,9,24,19,362,3031,10500,8180,5525,16971,15750,4122,6994,1014,72089
21102,16,76,52,23,28,45,6,15,0,261,7,51,27,8,9,9,5,15,0,126,0,46,17,11,0,8,3,8,3,95,299,1174,847,486,745,855,221,618,71,5311
21103,93,367,261,160,216,216,65,128,9,1514,41,200,93,44,46,57,9,64,11,562,27,124,34,26,17,18,3,10,7,276,2366,8003,6124,4004,9404,9082,2467,4511,650,46602
21104,60,218,172,90,113,121,39,69,10,895,26,147,65,39,30,31,8,24,9,373,15,72,35,10,8,8,6,3,0,165,1170,4483,3609,2130,5187,4921,1113,2140,374,25117
21105,109,446,291,169,209,198,59,166,20,1670,56,281,118,74,57,82,18,69,16,770,25,143,52,29,17,28,0,24,15,340,2787,9084,6290,3917,7927,7774,2172,4515,740,45211
21201,51,226,131,97,90,120,31,120,13,884,26,137,58,29,21,34,11,36,7,365,18,74,33,23,5,32,3,30,11,230,1571,5694,3991,2538,5916,5835,1707,3630,619,31507
21202,71,283,182,100,221,179,37,98,16,1195,21,113,73,39,38,45,11,19,11,371,16,79,38,16,14,14,0,14,14,194,2293,8134,6431,3917,9321,8532,2238,4228,802,45896
21203,56,198,135,77,104,95,36,82,19,809,16,87,39,28,15,24,3,19,3,243,13,43,18,11,6,7,6,7,12,112,1692,6723,5431,3273,7246,6002,1758,3506,723,36363
21204,187,575,451,349,956,720,210,352,47,3842,74,321,195,111,204,169,47,88,21,1239,29,170,93,27,48,63,13,31,27,493,4225,12658,12552,8631,33963,29398,8315,13333,2342,125415
21205,186,703,508,300,618,523,151,303,36,3319,78,400,210,126,154,139,22,90,32,1242,40,206,99,45,36,49,12,29,33,547,4834,15361,12932,8860,26331,26615,6737,11817,1772,115259
21301,124,320,209,147,322,304,75,135,20,1654,38,133,95,40,57,68,12,37,6,484,18,65,32,22,6,25,0,14,8,187,2887,8817,7886,5248,14730,13520,3587,6350,1434,64456
21302,67,198,126,88,182,161,44,108,9,993,13,95,51,32,38,38,8,27,7,312,6,56,21,10,14,7,0,13,9,135,1539,4724,4010,2484,7371,7793,2249,4636,630,35433
21303,85,194,148,105,234,153,44,97,14,1081,38,93,59,20,47,44,7,32,5,331,7,37,17,12,3,6,7,10,7,110,2354,6912,5594,3805,9080,8019,1968,4148,782,42663
21304,46,195,146,77,149,134,34,82,13,883,28,96,53,18,35,30,12,18,11,299,3,42,18,6,4,10,0,3,9,102,2085,7456,5788,3394,8595,8818,2312,4480,974,43902
21305,88,319,220,140,359,275,99,187,34,1726,19,164,77,29,71,55,15,50,8,488,17,64,23,14,20,18,3,8,23,194,3909,12689,10933,6868,20470,18164,4960,8914,1911,88819
21401,113,350,275,166,237,224,63,134,15,1582,41,202,88,54,49,63,18,44,10,573,22,113,42,25,19,14,9,14,13,273,2889,8353,7058,5227,10310,10070,2532,4761,846,52045
21402,155,677,403,230,241,272,73,189,37,2269,83,450,197,94,67,93,25,70,22,1105,51,245,90,40,28,48,4,42,28,575,3829,11400,8358,5266,9808,10274,2870,5602,1061,58473
21501,95,249,179,123,150,195,60,230,24,1305,34,167,95,48,31,83,20,107,27,627,29,127,68,43,24,55,19,70,44,486,1415,3803,2907,2399,4697,5439,1428,3969,531,26594
21502,39,165,129,57,149,133,27,138,20,859,19,108,41,27,37,34,12,60,9,347,10,46,8,6,17,22,7,25,17,160,1139,3213,2699,2048,5370,4649,1250,2872,649,23895
21503,52,164,141,76,92,134,39,154,18,874,22,104,50,30,30,39,15,45,17,356,14,63,34,21,13,27,9,41,28,247,733,2249,1836,1410,2969,3361,983,2631,420,16600
21601,55,159,108,90,82,120,24,121,18,775,21,91,52,27,17,35,18,42,17,316,12,62,31,11,9,29,3,30,25,210,916,2411,2001,1425,2888,2980,968,2427,425,16445
21602,47,109,71,41,60,76,27,85,16,539,11,73,37,25,14,33,7,34,10,241,10,39,25,7,5,23,8,19,17,144,570,1640,1295,1022,1925,2190,735,1751,286,11409
21603,58,260,173,95,189,188,57,147,19,1184,35,157,75,34,37,51,16,53,12,474,26,72,45,17,16,37,5,22,20,248,1533,4267,3466,2732,6457,6486,1911,3620,650,31126
21701,43,178,142,78,81,140,42,189,23,916,16,107,55,34,29,52,25,84,8,415,25,53,34,24,17,33,14,59,37,286,855,2444,1943,1328,2535,3193,864,2413,333,15912
21703,80,191,136,69,100,107,41,159,24,903,22,128,66,35,26,50,13,86,32,467,11,86,49,20,19,38,13,50,35,307,962,2858,2048,1364,2840,3207,1068,3048,446,17836
21704,69,234,159,90,94,138,26,153,23,980,30,134,46,31,22,45,7,76,26,412,19,64,42,17,16,28,10,44,27,265,1333,3961,2937,2077,4345,4515,1370,3099,472,24109
29797,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,8,3,3,12,22,9,114,0,194
29999,554,1741,806,469,410,551,119,342,79,5077,270,911,340,145,87,168,38,126,62,2149,215,539,165,80,36,73,11,88,83,1298,9454,25035,16766,10677,19053,31147,7014,14943,3389,137478
