POW_SA3_CODE_2021,SG_300_399_Mng,SG_300_399_Pro,SG_300_399_TecTW,SG_300_399_CoPSW,SG_300_399_ClAW,SG_300_399_SWks,SG_300_399_MaOpDv,SG_300_399_Lab,SG_300_399_IDNS,SG_300_399_Tot,SG_400_499_Mng,SG_400_499_Pro,SG_400_499_TecTW,SG_400_499_CoPSW,SG_400_499_ClAW,SG_400_499_SWks,SG_400_499_MaOpDv,SG_400_499_Lab,SG_400_499_IDNS,SG_400_499_Tot,SG_500_649_Mng,SG_500_649_Pro,SG_500_649_TecTW,SG_500_649_CoPSW,SG_500_649_ClAW,SG_500_649_SWks,SG_500_649_MaOpDv,SG_500_649_Lab,SG_500_649_IDNS,SG_500_649_Tot,SG_650_799_Mng,SG_650_799_Pro,SG_650_799_TecTW,SG_650_799_CoPSW,SG_650_799_ClAW,SG_650_799_SWks,SG_650_799_MaOpDv,SG_650_799_Lab,SG_650_799_IDNS,SG_650_799_Tot,SG_800_999_Mng,SG_800_999_Pro,SG_800_999_TecTW,SG_800_999_CoPSW,SG_800_999_ClAW,SG_800_999_SWks,SG_800_999_MaOpDv,SG_800_999_Lab,SG_800_999_IDNS,SG_800_999_Tot,SG_1000_1249_Mng,SG_1000_1249_Pro,SG_1000_1249_TecTW,SG_1000_1249_CoPSW,SG_1000_1249_ClAW,SG_1000_1249_SWks,SG_1000_1249_MaOpDv,SG_1000_1249_Lab,SG_1000_1249_IDNS,SG_1000_1249_Tot,SG_1250_1499_Mng,SG_1250_1499_Pro,SG_1250_1499_TecTW,SG_1250_1499_CoPSW,SG_1250_1499_ClAW,SG_1250_1499_SWks,SG_1250_1499_MaOpDv,SG_1250_1499_Lab,SG_1250_1499_IDNS,SG_1250_1499_Tot,SG_1500_1749_Mng,SG_1500_1749_Pro,SG_1500_1749_TecTW,SG_1500_1749_CoPSW,SG_1500_1749_ClAW,SG_1500_1749_SWks,SG_1500_1749_MaOpDv,SG_1500_1749_Lab,SG_1500_1749_IDNS,SG_1500_1749_Tot,SG_1750_1999_Mng,SG_1750_1999_Pro,SG_1750_1999_TecTW,SG_1750_1999_CoPSW,SG_1750_1999_ClAW,SG_1750_1999_SWks,SG_1750_1999_MaOpDv,SG_1750_1999_Lab,SG_1750_1999_IDNS,SG_1750_1999_Tot,SG_2000_2999_Mng,SG_2000_2999_Pro,SG_2000_2999_TecTW,SG_2000_2999_CoPSW,SG_2000_2999_ClAW,SG_2000_2999_SWks,SG_2000_2999_MaOpDv,SG_2000_2999_Lab,SG_2000_2999_IDNS,SG_2000_2999_Tot,SG_3000_3499_Mng,SG_3000_3499_Pro,SG_3000_3499_TecTW,SG_3000_3499_CoPSW,SG_3000_3499_ClAW,SG_3000_3499_SWks,SG_3000_3499_MaOpDv,SG_3000_3499_Lab,SG_3000_3499_IDNS,SG_3000_3499_Tot,SG_3500mo_Mng,SG_3500mo_Pro,SG_3500mo_TecTW,SG_3500mo_CoPSW,SG_3500mo_ClAW,SG_3500mo_SWks,SG_3500mo_MaOpDv,SG_3500mo_Lab,SG_3500mo_IDNS,SG_3500mo_Tot,SG_PINS_Mng,SG_PINS_Pro,SG_PINS_TecTW,SG_PINS_CoPSW,SG_PINS_ClAW,SG_PINS_SWks,SG_PINS_MaOpDv,SG_PINS_Lab,SG_PINS_IDNS,SG_PINS_Tot,SG_Tot_Mng,SG_Tot_Pro,SG_Tot_TecTW,SG_Tot_CoPSW,SG_Tot_ClAW,SG_Tot_SWks,SG_Tot_MaOpDv,SG_Tot_Lab,SG_Tot_IDNS,SG_Tot_Tot,LG_NNI_Mng,LG_NNI_Pro,LG_NNI_TecTW,LG_NNI_CoPSW,LG_NNI_ClAW,LG_NNI_SWks,LG_NNI_MaOpDv,LG_NNI_Lab,LG_NNI_IDNS,LG_NNI_Tot,LG_1_149_Mng,LG_1_149_Pro,LG_1_149_TecTW,LG_1_149_CoPSW,LG_1_149_ClAW,LG_1_149_SWks,LG_1_149_MaOpDv,LG_1_149_Lab,LG_1_149_IDNS,LG_1_149_Tot,LG_150_299_Mng,LG_150_299_Pro,LG_150_299_TecTW,LG_150_299_CoPSW,LG_150_299_ClAW,LG_150_299_SWks,LG_150_299_MaOpDv,LG_150_299_Lab,LG_150_299_IDNS,LG_150_299_Tot,LG_300_399_Mng,LG_300_399_Pro,LG_300_399_TecTW,LG_300_399_CoPSW,LG_300_399_ClAW,LG_300_399_SWks,LG_300_399_MaOpDv,LG_300_399_Lab,LG_300_399_IDNS,LG_300_399_Tot,LG_400_499_Mng,LG_400_499_Pro,LG_400_499_TecTW,LG_400_499_CoPSW,LG_400_499_ClAW,LG_400_499_SWks,LG_400_499_MaOpDv,LG_400_499_Lab,LG_400_499_IDNS,LG_400_499_Tot,LG_500_649_Mng,LG_500_649_Pro,LG_500_649_TecTW,LG_500_649_CoPSW,LG_500_649_ClAW,LG_500_649_SWks,LG_500_649_MaOpDv,LG_500_649_Lab,LG_500_649_IDNS,LG_500_649_Tot
20101,0,33,0,35,32,0,0,7,0,109,0,26,8,52,61,0,0,11,4,152,0,80,18,108,90,6,6,31,4,338,6,142,23,188,163,9,12,32,3,570,12,249,27,245,221,15,21,45,0,838,18,463,42,212,374,26,8,37,6,1189,37,599,38,139,225,12,11,18,6,1085,38,700,35,152,178,8,0,12,8,1143,55,552,24,136,131,4,4,8,12,930,238,750,31,256,132,4,18,7,9,1443,56,73,3,28,6,0,3,0,0,182,58,175,5,13,5,0,0,0,4,266,0,14,0,7,3,0,0,4,0,39,520,3869,250,1611,1662,90,89,212,58,8358,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,9,0,0,0,9,0,0,0,20,0,29,0,0,0,0,0,0,0,10,0,13,0,5,0,4,0,0,0,9,0,16,0,6,4,23,7,0,0,15,0,63
20102,0,0,0,7,0,0,0,0,0,7,0,4,0,20,0,0,0,0,0,23,0,11,0,13,9,0,0,9,0,45,0,18,3,29,11,0,0,8,0,69,0,21,4,25,12,0,0,4,0,66,0,43,5,14,16,0,0,4,0,84,0,60,3,13,6,0,0,0,0,84,3,62,4,5,13,0,0,0,0,87,8,27,0,10,4,0,0,0,0,50,19,39,0,27,5,0,0,0,0,90,7,0,0,0,0,0,0,0,0,13,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,49,293,17,171,69,0,4,35,3,647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,3,0,7,3,0,0,0,0,0,0,4,0,8,0,4,0,3,10,0,0,3,0,20
20103,0,9,0,3,0,0,0,0,0,17,0,5,0,5,0,0,0,4,0,21,0,9,4,15,7,0,0,8,4,42,0,19,3,24,14,0,0,5,0,67,0,29,6,21,12,0,0,5,3,85,6,55,3,36,13,0,0,5,0,130,4,50,0,54,9,0,0,0,0,114,4,64,0,58,10,0,0,0,0,141,7,44,0,51,9,0,0,0,3,111,26,51,0,67,3,0,0,0,4,148,7,5,0,6,0,0,0,0,0,15,4,0,5,0,0,0,0,0,0,12,0,0,0,3,0,0,0,0,0,4,64,348,30,348,78,7,5,31,10,924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,10,0,6,0,6,0,0,0,4,0,20
20201,0,27,0,33,16,8,0,7,0,91,0,31,9,40,27,0,6,5,5,135,3,93,12,117,64,19,0,24,0,331,3,155,13,162,100,0,6,31,3,475,14,295,21,165,159,4,16,24,3,690,25,586,36,156,230,9,13,16,8,1073,31,685,35,118,160,3,9,12,3,1054,46,859,32,118,116,4,8,5,0,1186,72,688,16,98,73,3,4,0,6,958,220,835,16,230,48,7,13,6,3,1380,69,79,0,25,0,0,0,0,0,180,62,159,0,13,3,0,0,0,0,238,0,12,0,4,6,0,0,0,0,25,535,4524,200,1314,1001,60,80,138,37,7889,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,5,0,0,0,0,5,0,0,13,0,19,0,0,0,0,5,0,0,4,0,14,0,0,0,12,0,0,0,7,0,21,0,5,6,22,5,0,0,12,0,53
20202,0,10,0,13,5,0,0,5,0,30,0,9,0,20,5,0,0,0,0,41,4,28,8,33,13,0,0,11,0,91,0,42,3,57,19,0,5,22,0,144,3,83,4,58,31,0,0,17,0,192,11,100,8,135,41,0,0,11,0,311,7,159,10,138,33,0,3,5,0,348,13,159,6,170,22,0,4,0,0,371,19,111,0,119,9,0,6,0,0,270,57,110,3,146,5,0,0,0,0,326,18,9,0,4,0,0,0,0,0,29,13,5,0,9,0,0,0,0,0,23,0,0,0,0,3,0,0,4,0,13,138,817,50,900,189,9,19,83,8,2208,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,3,0,0,0,4,0,8,0,3,0,6,3,0,0,0,0,15,0,0,0,5,0,0,0,3,0,12,3,3,0,8,11,0,0,5,0,36
20203,0,5,0,9,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,11,0,4,0,10,3,0,0,4,0,21,0,11,0,10,0,0,0,0,0,15,0,9,0,8,3,0,0,0,0,21,0,18,0,6,4,0,0,0,0,32,0,25,0,0,6,0,0,0,0,35,0,26,0,0,3,0,0,0,0,32,0,18,0,3,0,0,0,0,0,20,9,19,0,11,0,0,0,3,0,51,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,130,4,70,27,0,9,14,3,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20301,0,3,0,6,0,0,0,0,0,5,0,6,0,3,0,0,0,0,0,15,0,3,0,4,0,0,0,0,0,15,0,10,0,6,3,0,0,0,0,25,0,8,0,12,4,0,0,0,0,24,7,19,0,3,5,0,0,0,0,33,0,22,0,0,3,0,0,0,0,31,0,22,0,6,5,0,0,3,0,29,3,23,0,0,0,0,0,0,0,30,9,21,0,16,0,0,5,0,0,48,7,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,143,7,60,30,0,0,10,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,4,5,0,0,0,0,3,0,0,0,3,0,0,0,0,0,7
20302,4,50,6,61,25,0,0,15,0,161,7,73,14,96,55,0,5,31,4,280,3,160,17,164,109,0,5,67,7,539,9,282,30,245,197,5,12,79,5,863,23,488,54,294,280,12,21,105,0,1274,31,879,75,374,371,10,27,71,12,1854,57,1137,64,352,329,12,14,23,8,1995,93,1330,55,429,252,14,9,18,24,2220,114,1143,39,317,157,9,7,10,16,1811,513,1703,55,500,268,11,15,3,29,3106,155,157,9,44,24,0,8,0,0,394,170,396,8,27,23,0,4,4,0,644,0,32,0,15,7,0,0,0,6,63,1191,7885,430,2977,2121,77,125,439,122,15369,0,0,0,3,0,0,0,0,0,3,0,0,0,14,7,0,0,5,0,27,0,5,3,13,3,0,0,20,0,46,0,0,0,16,0,0,0,14,0,35,0,0,4,30,7,0,0,21,0,59,0,8,9,48,11,0,0,31,0,104
20303,0,5,0,13,4,0,0,0,0,24,0,9,0,21,4,0,0,0,0,38,0,20,0,37,4,0,0,0,0,67,0,52,0,40,13,0,0,0,0,107,0,61,3,30,27,0,0,3,0,130,3,81,6,31,30,0,0,0,4,151,3,135,8,19,26,0,0,0,0,189,10,145,4,28,21,0,0,0,5,210,6,111,0,38,15,0,4,0,0,177,71,171,0,83,15,0,3,0,0,343,15,13,0,8,0,0,0,0,0,33,15,3,0,3,0,0,0,0,0,26,0,6,0,0,0,0,0,0,0,9,140,812,37,352,165,0,11,10,11,1534,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,4,0,0,0,5,3,0,0,11,0,11,0,4,0,3,5,0,0,0,0,11,0,0,0,4,8,0,0,0,0,21,0,7,0,16,3,0,0,6,0,42
20401,4,9,4,12,5,0,0,11,0,38,0,3,0,18,8,0,0,12,0,41,0,21,0,43,22,0,3,15,0,110,0,34,4,51,26,0,0,19,0,140,5,76,10,51,20,0,0,12,0,173,13,130,13,52,39,0,3,7,5,255,13,142,3,50,19,0,4,7,0,242,16,163,8,63,29,0,6,0,0,282,3,98,0,40,8,0,4,0,0,164,71,151,0,127,7,3,6,0,3,373,14,9,0,6,0,0,0,0,0,34,13,9,0,10,0,0,0,0,0,37,0,5,0,0,0,0,0,0,0,9,162,858,52,536,195,5,33,95,10,1940,0,0,0,0,4,0,0,0,0,4,0,0,0,5,0,0,0,3,0,13,0,0,0,3,0,0,0,3,0,12,0,0,0,8,5,0,0,5,0,17,0,3,0,7,0,0,0,5,0,23,0,0,3,17,11,0,0,8,0,38
20402,0,9,0,11,0,0,0,7,0,24,0,14,0,23,7,0,0,8,5,53,0,29,4,51,24,0,0,15,0,133,0,48,13,72,27,0,3,16,0,179,8,111,20,81,53,0,10,23,0,302,8,204,19,84,58,5,5,17,3,406,13,281,18,53,66,0,5,11,5,447,24,292,7,63,34,0,10,7,3,439,29,209,10,72,22,0,5,0,0,344,100,269,7,152,25,0,4,0,4,568,21,17,0,13,3,0,0,0,0,59,22,33,0,5,5,0,0,0,0,67,0,8,0,5,0,0,0,4,0,17,227,1544,103,685,330,9,40,106,18,3072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,12,0,0,0,4,0,0,0,5,0,8,0,0,0,0,0,0,0,6,0,7,0,0,3,10,6,0,0,12,0,39
20403,0,14,3,10,4,0,0,8,0,48,0,24,3,36,9,0,0,3,0,83,0,46,14,64,34,0,0,30,4,191,3,79,13,102,50,0,0,26,0,277,10,129,23,115,71,0,10,39,8,398,17,277,28,107,119,4,7,18,3,578,24,359,16,80,49,0,12,8,0,561,33,415,8,61,49,0,13,3,8,589,44,316,7,74,28,0,8,0,0,480,156,350,0,169,33,0,7,0,3,717,36,22,0,14,3,0,0,0,0,73,41,33,0,10,3,0,0,0,0,90,0,3,0,3,0,0,0,0,0,15,361,2072,127,865,470,9,45,141,26,4119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,9,0,14,0,0,0,0,0,0,0,4,0,8,6,0,0,0,6,0,0,6,0,17,5,9,10,7,7,0,0,8,0,37
20501,0,17,0,4,0,0,0,0,0,26,0,10,0,24,15,0,0,7,0,56,0,34,9,64,18,0,0,10,0,143,7,51,9,75,37,0,0,14,0,201,8,96,5,57,39,0,4,22,0,232,11,145,5,59,49,6,3,12,4,295,9,222,6,32,23,3,0,3,0,301,11,221,3,41,19,0,3,0,0,303,6,151,5,36,12,0,0,4,0,210,52,195,4,68,10,0,3,0,3,341,19,12,0,6,0,0,0,0,0,37,14,23,0,0,0,0,0,0,0,35,0,3,0,0,4,0,0,0,5,16,152,1199,50,483,228,10,24,76,10,2239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,0,0,4,0,0,0,3,0,12,0,0,0,0,4,0,0,10,0,14,0,0,0,3,3,0,0,12,0,19
20502,0,12,4,19,10,0,5,8,0,50,0,10,9,27,10,0,0,13,0,61,0,34,11,73,29,0,0,19,0,163,0,45,11,104,44,0,3,17,0,234,16,81,8,87,50,3,4,16,7,281,12,161,22,76,69,0,4,18,0,357,16,195,6,57,40,0,3,11,4,337,29,207,12,50,56,0,7,8,0,362,24,147,0,58,18,0,0,0,0,250,71,153,0,98,8,0,4,0,0,340,22,10,0,10,0,0,0,0,0,47,17,16,0,11,0,0,0,0,0,40,0,3,0,0,0,0,0,0,0,11,209,1076,88,678,332,8,33,105,27,2562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,14,0,0,0,0,4,0,0,0,0,8,4,0,0,0,5,0,5,7,3,17,0,0,0,3,8,0,0,4,0,17
20503,0,15,0,16,4,0,0,6,0,44,4,19,0,35,16,0,3,12,0,96,4,47,3,68,27,0,0,19,0,166,3,66,10,104,55,4,7,20,0,266,6,81,13,91,53,0,0,31,0,279,11,196,18,68,73,0,7,20,11,410,15,246,9,30,35,0,7,6,0,356,9,268,9,46,22,0,10,4,4,363,17,179,4,36,10,0,9,0,3,267,66,241,11,120,12,0,5,4,4,470,22,13,0,12,0,0,0,0,0,54,22,22,0,5,0,0,0,0,0,50,4,5,0,0,0,0,0,0,0,13,193,1410,95,645,324,5,49,135,24,2879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,14,0,0,0,0,5,0,0,4,0,8,0,0,0,0,8,0,0,7,0,11,3,0,0,0,10,0,0,7,0,22
