POW_SA3_CODE_2021,P_OthSvs_H_0,P_OthSvs_H_1_19,P_OthSvs_H_20_29,P_OthSvs_H_30_34,P_OthSvs_H_35_39,P_OthSvs_H_40_44,P_OthSvs_H_45_49,P_OthSvs_H_50ov,P_OthSvs_H_NS,P_OthSvs_H_Tot,P_IDNS_H_0,P_IDNS_H_1_19,P_IDNS_H_20_29,P_IDNS_H_30_34,P_IDNS_H_35_39,P_IDNS_H_40_44,P_IDNS_H_45_49,P_IDNS_H_50ov,P_IDNS_H_NS,P_IDNS_H_Tot,P_Tot_H_0,P_Tot_H_1_19,P_Tot_H_20_29,P_Tot_H_30_34,P_Tot_H_35_39,P_Tot_H_40_44,P_Tot_H_45_49,P_Tot_H_50ov,P_Tot_H_NS,P_Tot_H_Tot
20101,120,327,261,156,413,358,92,199,26,1941,87,215,124,98,333,314,92,174,368,1796,3043,8624,7021,5034,10968,10186,3060,5294,792,54038
20102,39,63,53,22,46,44,25,43,3,344,20,67,41,14,48,63,11,47,57,376,550,1740,1244,790,1161,1434,426,1253,176,8765
20103,11,51,31,14,42,38,16,42,3,246,17,34,25,14,55,54,15,29,78,328,405,1234,861,724,1285,1332,375,995,184,7391
20201,110,331,241,138,398,365,84,177,14,1859,60,204,136,83,279,284,49,152,311,1552,2640,7614,6180,4632,10214,8390,2382,4475,687,47221
20202,33,114,75,57,76,116,29,67,8,575,43,109,60,52,108,128,24,63,116,713,992,3305,2353,1729,2904,3552,924,2130,342,18235
20203,3,19,8,0,12,11,9,11,0,81,6,16,20,12,35,24,10,28,48,196,197,533,398,264,446,785,299,1225,122,4268
20301,10,38,19,4,19,35,8,23,0,170,8,27,10,17,17,19,7,12,31,148,207,966,626,450,680,893,239,782,103,4952
20302,261,672,542,267,707,715,161,319,42,3684,139,447,344,260,664,763,170,349,679,3811,5689,16974,13558,9288,21388,20920,5682,10120,1513,105131
20303,102,255,180,67,148,119,35,77,11,988,52,150,87,44,100,146,19,82,147,828,1689,5767,3656,2140,3765,3972,998,2102,396,24487
20401,50,132,91,61,98,134,31,82,17,703,51,106,96,64,106,146,26,88,192,870,1357,3773,2897,2023,3750,4214,1206,3034,507,22754
20402,39,110,77,56,156,193,45,80,6,763,45,81,76,47,142,152,37,98,167,841,1244,3055,2574,2002,4018,4071,1132,2644,421,21154
20403,75,189,142,69,196,235,68,138,22,1131,61,165,110,61,198,208,61,99,245,1205,1879,4873,4024,3053,6283,6904,2038,4317,652,34033
20501,62,163,114,90,197,168,45,101,17,965,41,101,67,28,113,117,34,87,136,721,1050,3565,2676,1817,3458,3315,960,2519,411,19772
20502,27,111,88,78,128,141,40,72,14,693,51,97,75,47,124,81,19,75,173,737,1057,3017,2421,1766,3222,2968,870,2056,428,17799
20503,62,198,119,70,172,159,39,98,21,938,64,128,78,57,114,136,32,69,213,888,1621,4596,3396,2259,3677,4104,1156,2966,576,24354
20504,78,197,155,77,264,296,68,140,18,1289,69,130,92,69,210,245,60,139,304,1318,1898,4840,4061,2957,7269,6311,1986,3457,674,33455
20505,47,107,85,38,105,143,32,59,5,636,50,73,52,35,80,120,25,92,155,679,1031,2595,2052,1453,2916,3519,1031,2761,355,17714
20601,128,192,173,109,224,190,50,85,12,1171,49,178,154,102,258,223,44,128,213,1345,1387,5308,4214,2675,5319,4811,1147,2382,456,27701
20602,76,166,121,68,184,149,29,60,12,873,31,104,110,79,174,169,29,77,136,911,831,3095,2349,1640,3253,3328,874,1725,253,17352
20603,126,197,207,101,132,117,24,56,12,978,26,93,90,41,137,115,25,60,174,756,1185,4205,3191,1806,4155,3797,957,2060,353,21703
20604,585,939,1200,792,2625,1884,522,905,53,9497,736,1206,1105,637,2694,2939,568,1235,3309,14433,25244,35209,37422,28937,118865,141500,32770,62301,6346,488582
20605,245,465,507,321,818,695,164,301,29,3550,154,401,367,256,1020,1174,263,538,646,4810,3758,9264,8983,5703,20257,24725,6357,12536,1322,92908
20606,226,327,337,150,256,188,56,78,17,1639,65,184,164,102,274,385,100,204,240,1718,1900,5919,4886,2827,6336,7307,1950,3939,522,35586
