POW_SA3_CODE_2021,M_EW_FT_ATSI,M_EW_FT_NI,M_EW_FT_Isns,M_EW_FT_Total,M_EW_PT_ATSI,M_EW_PT_NI,M_EW_PT_Isns,M_EW_PT_Total,M_EW_Em_afw_ATSI,M_EW_Em_afw_NI,M_EW_Em_afw_Isns,M_EW_Em_afw_Total,M_Tot_ATSI,M_Tot_NI,M_Tot_Isns,M_Tot_Total,F_EW_FT_ATSI,F_EW_FT_NI,F_EW_FT_Isns,F_EW_FT_Total,F_EW_PT_ATSI,F_EW_PT_NI,F_EW_PT_Isns,F_EW_PT_Total,F_EW_Em_afw_ATSI,F_EW_Em_afw_NI,F_EW_Em_afw_Isns,F_EW_Em_afw_Total,F_Tot_ATSI,F_Tot_NI,F_Tot_Isns,F_Tot_Total,P_EW_FT_ATSI,P_EW_FT_NI,P_EW_FT_Isns,P_EW_FT_Total,P_EW_PT_ATSI,P_EW_PT_NI,P_EW_PT_Isns,P_EW_PT_Total,P_EW_Em_afw_ATSI,P_EW_Em_afw_NI,P_EW_Em_afw_Isns,P_EW_Em_afw_Total,P_Tot_ATSI,P_Tot_NI,P_Tot_Isns,P_Tot_Total
20101,236,17782,52,18066,60,6065,28,6154,40,1482,20,1537,328,25335,97,25759,155,11276,20,11447,150,14364,27,14534,32,2249,13,2295,335,27887,56,28277,393,29058,68,29516,208,20427,50,20687,68,3728,32,3826,665,53216,157,54038
20102,23,2758,12,2790,11,1317,7,1342,3,289,4,298,33,4373,24,4425,14,1459,3,1476,15,2406,11,2435,7,419,6,426,34,4284,17,4336,30,4217,13,4265,31,3724,21,3772,9,710,9,725,68,8653,40,8765
20103,22,2547,15,2577,15,896,4,912,4,250,4,262,36,3691,22,3751,19,1380,9,1410,29,1874,8,1912,4,315,6,323,47,3568,28,3642,35,3923,21,3984,40,2769,12,2820,10,567,13,584,86,7259,48,7391
20201,264,14874,43,15181,96,5268,19,5384,25,1196,18,1238,383,21336,82,21799,185,10074,28,10284,189,12800,51,13043,40,2041,10,2093,415,24915,92,25424,450,24945,70,25461,285,18064,72,18427,65,3240,24,3331,797,46253,173,47221
20202,77,6096,34,6204,24,2516,13,2550,10,586,10,610,115,9193,52,9359,34,3258,16,3311,45,4762,25,4834,8,711,9,730,91,8727,54,8877,111,9353,51,9511,77,7277,40,7388,21,1296,19,1334,207,17923,109,18235
20203,36,2076,16,2130,6,421,7,433,5,181,3,184,48,2678,21,2742,14,611,3,628,12,744,7,761,0,132,0,138,22,1483,13,1523,46,2687,22,2751,20,1162,14,1197,4,311,3,322,68,4159,38,4268
20301,6,1700,11,1720,3,619,7,626,0,133,0,135,15,2448,16,2483,10,862,4,876,9,1403,8,1421,4,170,4,176,20,2433,18,2470,18,2561,16,2594,11,2016,14,2045,7,300,3,310,34,4881,38,4952
20302,324,35147,72,35546,133,11812,41,11983,37,2720,26,2786,494,49682,137,50316,245,22274,47,22567,253,27525,54,27837,51,4356,10,4420,553,54158,117,54818,574,57419,119,58113,388,39332,94,39818,87,7080,41,7204,1044,103836,251,105131
20303,46,6603,32,6678,23,3805,12,3836,15,827,4,843,85,11228,42,11356,27,4121,10,4161,43,7665,22,7721,12,1231,4,1246,79,13023,31,13126,72,10724,38,10835,60,11467,30,11562,22,2057,5,2089,163,24250,74,24487
20401,129,7454,30,7615,36,2820,23,2872,17,751,5,773,179,11027,61,11261,62,4500,16,4587,78,5707,28,5820,15,1064,4,1090,168,11275,54,11494,188,11957,48,12201,116,8526,53,8694,35,1813,11,1866,341,22299,115,22754
