POW_SA3_CODE_2021,P_40_44_OM_UIE,P_40_44_CFW,P_40_44_ES_NS,P_40_44_Total,P_45_49_E,P_45_49_OM_IE,P_45_49_OM_UIE,P_45_49_CFW,P_45_49_ES_NS,P_45_49_Total,P_50_54_E,P_50_54_OM_IE,P_50_54_OM_UIE,P_50_54_CFW,P_50_54_ES_NS,P_50_54_Total,P_55_59_E,P_55_59_OM_IE,P_55_59_OM_UIE,P_55_59_CFW,P_55_59_ES_NS,P_55_59_Total,P_60_64_E,P_60_64_OM_IE,P_60_64_OM_UIE,P_60_64_CFW,P_60_64_ES_NS,P_60_64_Total,P_65_69_E,P_65_69_OM_IE,P_65_69_OM_UIE,P_65_69_CFW,P_65_69_ES_NS,P_65_69_Total,P_70_74_E,P_70_74_OM_IE,P_70_74_OM_UIE,P_70_74_CFW,P_70_74_ES_NS,P_70_74_Total,P_75ov_E,P_75ov_OM_IE,P_75ov_OM_UIE,P_75ov_CFW,P_75ov_ES_NS,P_75ov_Total,P_Total_E,P_Total_OM_IE,P_Total_OM_UIE,P_Total_CFW,P_Total_ES_NS,P_Total_Total
20101,315,73,22,5373,4686,477,378,58,31,5627,4524,479,336,61,38,5434,4079,423,332,68,42,4943,3141,324,304,75,45,3889,1163,184,186,46,18,1604,330,98,77,48,13,564,77,34,38,43,16,215,46914,3278,2904,588,350,54038
20102,122,37,13,835,552,137,150,40,20,891,618,138,173,29,23,982,630,155,173,56,19,1036,445,113,194,78,16,844,198,69,118,51,7,435,55,49,81,51,13,247,23,30,70,65,7,202,5792,994,1354,469,162,8765
20103,60,16,7,633,583,78,88,40,11,799,610,82,80,42,16,824,649,57,93,53,14,870,471,72,113,42,24,727,225,51,89,39,20,427,66,30,64,39,8,204,27,29,29,46,10,136,5558,565,779,366,129,7391
20201,269,36,27,4693,4100,391,280,43,15,4828,3904,372,275,46,33,4631,3674,319,291,42,46,4374,2864,240,261,53,33,3457,1131,149,162,46,21,1498,256,64,82,33,18,444,73,36,21,34,17,191,41578,2504,2407,432,297,47221
20202,247,39,18,1784,1506,178,300,45,27,2058,1503,259,310,36,21,2135,1430,194,282,63,24,1985,1130,172,270,76,33,1679,473,129,199,69,21,896,125,75,103,65,12,385,42,39,100,60,16,259,13805,1429,2243,523,235,18235
20203,52,15,7,428,301,46,45,18,4,416,318,34,84,30,7,476,305,46,69,38,12,473,254,49,95,51,0,451,107,44,66,42,9,261,33,16,54,47,4,153,4,19,37,47,16,114,2870,371,609,331,86,4268
20301,77,18,3,500,312,90,76,20,3,501,328,92,89,22,10,537,277,85,77,23,3,467,183,63,83,28,8,358,80,24,56,31,0,200,34,29,55,49,6,160,8,10,32,44,7,103,3273,603,722,286,62,4952
20302,635,97,63,10758,9308,906,619,107,52,10988,8648,809,636,101,66,10261,7884,692,584,94,67,9313,5597,521,545,87,51,6804,2289,338,317,72,33,3045,582,178,175,66,26,1027,186,82,75,47,39,435,92109,5885,5607,914,625,105131
20303,352,58,27,2380,1646,363,400,65,25,2495,1447,384,349,45,22,2240,1395,331,320,59,20,2131,1141,276,303,67,31,1819,506,195,206,73,13,992,150,108,119,51,3,427,58,48,54,50,11,222,18046,2684,2957,575,226,24487
20401,181,55,33,1989,1731,209,237,65,36,2279,1740,258,250,74,30,2352,1733,226,272,88,33,2354,1440,230,261,117,33,2074,669,142,254,135,32,1224,221,85,157,156,14,626,64,45,155,135,23,423,17597,1713,2239,921,284,22754
20402,163,32,12,1938,1771,157,173,42,21,2164,1888,221,193,65,35,2394,1836,202,205,61,30,2338,1504,196,250,81,37,2062,618,120,196,102,25,1064,172,60,150,83,6,480,59,32,102,97,28,318,16994,1421,1815,657,260,21154
20403,225,51,21,3220,2737,323,281,53,26,3415,2757,332,313,69,27,3504,2559,306,302,100,34,3296,2040,256,372,104,32,2802,888,151,268,105,35,1450,227,71,162,103,21,594,81,58,123,100,38,397,28084,2170,2673,782,325,34033
20501,168,43,17,1746,1431,219,213,48,34,1944,1501,224,214,46,21,2001,1341,203,217,51,25,1838,1083,134,238,73,23,1561,460,118,187,64,17,844,117,59,107,61,13,358,57,32,97,88,20,296,15395,1598,1971,588,220,19772
20502,137,32,20,1552,1383,125,156,37,21,1738,1512,185,189,36,27,1959,1575,157,221,65,31,2046,1317,186,250,82,40,1878,592,98,169,105,39,1005,182,75,111,62,15,446,43,38,89,93,29,296,13990,1187,1704,604,323,17799
