POW_SA3_CODE_2021,Mng_NNI_H_0,Mng_NNI_H_1_19,Mng_NNI_H_20_29,Mng_NNI_H_30_34,Mng_NNI_H_35_39,Mng_NNI_H_40_44,Mng_NNI_H_45_49,Mng_NNI_H_50ov,Mng_NNI_H_NS,Mng_NNI_H_Tot,Mng_1_149_H_0,Mng_1_149_H_1_19,Mng_1_149_H_20_29,Mng_1_149_H_30_34,Mng_1_149_H_35_39,Mng_1_149_H_40_44,Mng_1_149_H_45_49,Mng_1_149_H_50ov,Mng_1_149_H_NS,Mng_1_149_H_Tot,Mng_150_299_H_0,Mng_150_299_H_1_19,Mng_150_299_H_20_29,Mng_150_299_H_30_34,Mng_150_299_H_35_39,Mng_150_299_H_40_44,Mng_150_299_H_45_49,Mng_150_299_H_50ov,Mng_150_299_H_NS,Mng_150_299_H_Tot,Mng_300_399_H_0,Mng_300_399_H_1_19,Mng_300_399_H_20_29,Mng_300_399_H_30_34,Mng_300_399_H_35_39,Mng_300_399_H_40_44,Mng_300_399_H_45_49,Mng_300_399_H_50ov,Mng_300_399_H_NS,Mng_300_399_H_Tot,Mng_400_499_H_0,Mng_400_499_H_1_19,Mng_400_499_H_20_29,Mng_400_499_H_30_34,Mng_400_499_H_35_39,Mng_400_499_H_40_44,Mng_400_499_H_45_49,Mng_400_499_H_50ov,Mng_400_499_H_NS,Mng_400_499_H_Tot,Mng_500_649_H_0,Mng_500_649_H_1_19,Mng_500_649_H_20_29,Mng_500_649_H_30_34,Mng_500_649_H_35_39,Mng_500_649_H_40_44,Mng_500_649_H_45_49,Mng_500_649_H_50ov,Mng_500_649_H_NS,Mng_500_649_H_Tot,Mng_650_799_H_0,Mng_650_799_H_1_19,Mng_650_799_H_20_29,Mng_650_799_H_30_34,Mng_650_799_H_35_39,Mng_650_799_H_40_44,Mng_650_799_H_45_49,Mng_650_799_H_50ov,Mng_650_799_H_NS,Mng_650_799_H_Tot,Mng_800_999_H_0,Mng_800_999_H_1_19,Mng_800_999_H_20_29,Mng_800_999_H_30_34,Mng_800_999_H_35_39,Mng_800_999_H_40_44,Mng_800_999_H_45_49,Mng_800_999_H_50ov,Mng_800_999_H_NS,Mng_800_999_H_Tot,Mng_1000_1249_H_0,Mng_1000_1249_H_1_19,Mng_1000_1249_H_20_29,Mng_1000_1249_H_30_34,Mng_1000_1249_H_35_39,Mng_1000_1249_H_40_44,Mng_1000_1249_H_45_49,Mng_1000_1249_H_50ov,Mng_1000_1249_H_NS,Mng_1000_1249_H_Tot,Mng_1250_1499_H_0,Mng_1250_1499_H_1_19,Mng_1250_1499_H_20_29,Mng_1250_1499_H_30_34,Mng_1250_1499_H_35_39,Mng_1250_1499_H_40_44,Mng_1250_1499_H_45_49,Mng_1250_1499_H_50ov,Mng_1250_1499_H_NS,Mng_1250_1499_H_Tot,Mng_1500_1749_H_0,Mng_1500_1749_H_1_19,Mng_1500_1749_H_20_29,Mng_1500_1749_H_30_34,Mng_1500_1749_H_35_39,Mng_1500_1749_H_40_44,Mng_1500_1749_H_45_49,Mng_1500_1749_H_50ov,Mng_1500_1749_H_NS,Mng_1500_1749_H_Tot,Mng_1750_1999_H_0,Mng_1750_1999_H_1_19,Mng_1750_1999_H_20_29,Mng_1750_1999_H_30_34,Mng_1750_1999_H_35_39,Mng_1750_1999_H_40_44,Mng_1750_1999_H_45_49,Mng_1750_1999_H_50ov,Mng_1750_1999_H_NS,Mng_1750_1999_H_Tot,Mng_2000_2999_H_0,Mng_2000_2999_H_1_19,Mng_2000_2999_H_20_29,Mng_2000_2999_H_30_34,Mng_2000_2999_H_35_39,Mng_2000_2999_H_40_44,Mng_2000_2999_H_45_49,Mng_2000_2999_H_50ov,Mng_2000_2999_H_NS,Mng_2000_2999_H_Tot,Mng_3000_3499_H_0,Mng_3000_3499_H_1_19,Mng_3000_3499_H_20_29,Mng_3000_3499_H_30_34,Mng_3000_3499_H_35_39,Mng_3000_3499_H_40_44,Mng_3000_3499_H_45_49,Mng_3000_3499_H_50ov,Mng_3000_3499_H_NS,Mng_3000_3499_H_Tot,Mng_3500mo_H_0,Mng_3500mo_H_1_19,Mng_3500mo_H_20_29,Mng_3500mo_H_30_34,Mng_3500mo_H_35_39,Mng_3500mo_H_40_44,Mng_3500mo_H_45_49,Mng_3500mo_H_50ov,Mng_3500mo_H_NS,Mng_3500mo_H_Tot,Mng_PINS_H_0,Mng_PINS_H_1_19,Mng_PINS_H_20_29,Mng_PINS_H_30_34,Mng_PINS_H_35_39,Mng_PINS_H_40_44,Mng_PINS_H_45_49,Mng_PINS_H_50ov,Mng_PINS_H_NS,Mng_PINS_H_Tot,Mng_Tot_H_0,Mng_Tot_H_1_19,Mng_Tot_H_20_29,Mng_Tot_H_30_34,Mng_Tot_H_35_39,Mng_Tot_H_40_44,Mng_Tot_H_45_49,Mng_Tot_H_50ov,Mng_Tot_H_NS,Mng_Tot_H_Tot,Pro_NNI_H_0,Pro_NNI_H_1_19,Pro_NNI_H_20_29,Pro_NNI_H_30_34,Pro_NNI_H_35_39,Pro_NNI_H_40_44,Pro_NNI_H_45_49,Pro_NNI_H_50ov,Pro_NNI_H_NS,Pro_NNI_H_Tot,Pro_1_149_H_0,Pro_1_149_H_1_19,Pro_1_149_H_20_29,Pro_1_149_H_30_34,Pro_1_149_H_35_39,Pro_1_149_H_40_44,Pro_1_149_H_45_49,Pro_1_149_H_50ov,Pro_1_149_H_NS,Pro_1_149_H_Tot,Pro_150_299_H_0,Pro_150_299_H_1_19,Pro_150_299_H_20_29,Pro_150_299_H_30_34,Pro_150_299_H_35_39,Pro_150_299_H_40_44,Pro_150_299_H_45_49,Pro_150_299_H_50ov,Pro_150_299_H_NS,Pro_150_299_H_Tot
20101,4,4,8,3,0,6,3,10,3,48,0,18,0,4,0,3,0,5,0,31,9,21,11,0,5,0,0,5,0,55,3,20,7,9,4,9,0,10,0,69,6,34,22,10,7,10,7,13,0,109,14,32,38,25,23,25,9,20,0,192,15,42,60,38,45,47,15,26,6,297,20,29,72,47,153,79,19,54,0,468,19,39,55,57,208,216,42,89,3,720,24,16,22,39,157,185,67,92,5,608,13,25,28,34,136,161,69,136,9,611,24,11,17,13,109,131,65,123,0,495,40,20,17,19,178,312,160,353,5,1101,13,3,0,16,34,69,41,125,0,309,12,13,6,10,28,81,63,235,6,449,0,0,0,6,6,11,0,8,9,39,207,337,375,320,1097,1349,557,1313,42,5598,3,3,3,0,0,4,0,3,0,18,4,55,5,0,0,0,0,4,0,73,16,78,16,5,0,3,4,0,0,114
20102,0,7,4,7,4,7,0,22,0,49,0,9,3,0,3,3,0,3,0,22,4,17,9,6,3,0,4,15,0,67,0,11,13,5,8,9,0,30,0,79,7,10,17,3,6,7,3,26,0,75,7,32,22,15,11,19,4,46,0,156,9,20,20,15,22,36,13,34,3,167,11,14,25,19,27,44,6,42,9,196,9,17,21,15,41,53,24,56,4,231,4,8,13,11,31,37,10,75,0,193,6,7,10,16,21,28,11,52,0,154,4,3,9,5,7,20,10,41,3,102,9,8,9,9,17,49,20,61,0,184,0,0,0,0,7,12,3,19,0,38,5,4,0,7,3,18,14,64,0,115,5,3,0,0,0,5,0,15,3,28,75,176,173,123,205,337,134,602,28,1851,0,0,0,0,0,0,0,0,0,7,5,11,0,0,0,0,0,0,0,15,0,25,4,3,0,6,0,0,0,38
20103,3,5,7,8,0,5,4,23,3,52,0,7,0,0,0,4,0,15,0,29,0,10,6,4,0,5,0,11,0,37,0,15,3,7,0,9,0,19,3,64,3,6,14,5,4,10,5,18,4,77,7,14,15,12,10,13,3,38,0,105,4,7,10,13,14,22,9,35,5,124,0,10,9,12,18,29,14,45,0,136,8,13,9,9,28,45,16,51,0,177,3,13,4,3,27,24,10,47,0,128,0,10,4,5,11,33,9,50,0,133,0,0,0,4,14,13,7,19,4,66,9,6,3,7,15,32,18,59,6,147,0,0,4,0,3,6,0,19,0,34,0,3,4,0,0,8,8,32,0,55,4,5,0,0,0,0,0,13,7,26,33,111,95,92,142,277,101,503,24,1391,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,6,0,8,3,3,4,0,0,0,0,0,0,8
20201,4,5,0,0,0,9,0,7,0,27,0,7,0,0,0,0,0,3,0,21,4,16,9,6,0,5,3,0,0,42,4,16,8,3,4,6,0,3,0,39,6,19,14,8,7,5,5,15,3,74,10,34,42,21,19,17,0,22,4,168,8,19,51,20,51,28,9,41,0,235,9,27,60,58,128,103,25,45,4,455,29,25,55,42,178,156,47,84,5,624,11,21,25,38,120,134,44,79,6,475,11,9,20,33,155,150,61,104,9,552,17,6,7,26,132,125,53,98,3,482,41,11,18,30,188,261,153,316,3,1019,13,4,3,3,31,70,37,104,3,276,12,9,9,15,22,74,39,178,0,361,5,3,0,0,4,0,4,5,3,28,176,250,333,299,1044,1147,483,1115,46,4884,6,5,0,6,0,0,0,0,0,22,5,29,8,0,0,0,0,0,0,42,10,72,11,0,0,0,0,0,0,95
20202,5,6,4,3,0,10,4,22,0,54,0,8,4,3,0,7,0,7,0,35,3,19,0,3,0,5,0,3,0,49,3,24,17,4,3,9,4,19,3,89,3,20,20,8,3,17,6,24,0,111,3,22,31,14,11,19,4,24,7,129,6,30,24,20,19,39,12,46,0,188,9,29,34,34,55,46,15,42,5,265,7,20,25,36,66,82,19,86,3,336,0,16,17,23,51,65,23,52,4,243,8,13,11,12,45,58,25,67,6,238,13,6,11,6,32,42,11,64,0,188,9,18,8,15,43,102,53,104,5,359,4,3,3,3,11,20,14,21,0,88,0,6,3,7,9,43,14,79,4,162,0,0,3,0,4,5,4,12,8,39,78,242,223,198,355,573,191,680,45,2580,0,0,0,0,0,3,0,0,0,4,0,16,3,0,0,0,0,0,0,24,0,32,7,9,7,5,0,0,0,54
20203,3,5,7,0,0,7,3,28,6,57,0,4,10,0,0,4,0,9,0,21,0,5,3,3,3,5,0,15,4,34,3,12,3,5,0,11,0,18,0,63,0,4,12,0,3,7,4,22,4,54,4,12,4,8,4,16,0,41,3,94,4,11,10,0,10,20,6,50,0,113,0,10,13,13,14,30,10,72,7,161,0,6,5,10,19,28,7,81,3,156,3,9,5,4,12,28,10,50,0,116,3,5,8,4,10,27,9,56,0,129,0,4,3,0,6,25,4,45,0,89,4,4,6,7,10,18,17,55,4,122,0,0,0,0,4,5,0,12,0,21,0,0,0,0,0,9,0,21,0,37,3,0,3,0,0,4,0,17,9,30,38,90,89,60,90,229,83,587,32,1298,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,3
20301,0,6,4,0,0,10,0,16,4,40,3,3,3,0,0,6,0,6,0,19,0,0,0,0,0,3,0,7,4,23,3,12,0,4,9,5,0,8,0,45,3,8,10,5,0,9,0,8,0,48,0,12,8,4,8,4,4,23,0,76,4,14,15,15,11,13,3,23,0,94,0,6,9,5,11,34,4,36,0,112,0,11,10,20,23,37,10,41,0,152,0,6,9,3,17,24,10,32,0,104,4,3,6,6,12,26,6,37,0,95,0,6,0,0,7,11,4,28,0,56,7,4,10,6,18,23,12,53,0,131,0,3,3,0,3,8,8,17,0,44,0,4,3,3,6,10,0,26,0,54,0,0,0,0,0,5,0,4,3,19,30,109,99,80,126,226,59,356,17,1104,4,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,10,0,14,0,0,0,0,0,0,0,18
20302,3,8,4,4,7,17,5,15,0,64,11,12,4,4,0,3,3,14,0,47,11,50,13,5,5,11,4,11,0,98,9,62,16,11,9,3,5,14,0,132,8,59,41,14,6,25,3,28,3,190,15,84,87,35,33,29,14,30,8,327,28,74,126,76,81,67,12,50,6,517,32,57,114,110,233,167,31,79,7,823,41,61,121,117,374,350,53,165,6,1293,47,51,67,72,318,346,112,187,5,1194,33,36,57,76,277,366,111,222,11,1183,29,15,27,55,233,290,118,227,7,1003,101,45,54,90,536,776,359,705,15,2671,22,14,11,18,78,195,99,260,3,712,27,35,33,26,89,248,128,566,3,1155,4,3,0,0,14,12,3,22,20,82,412,671,777,705,2286,2907,1051,2594,92,11492,24,14,10,3,6,4,0,9,3,73,13,92,11,3,7,4,0,3,0,134,28,160,20,7,4,0,0,0,0,233
20303,7,3,6,6,0,3,0,8,0,38,3,18,3,0,0,5,0,0,0,32,3,23,5,4,0,8,4,7,0,55,9,28,4,5,3,10,5,0,0,68,8,22,18,10,4,14,0,12,3,95,7,34,29,12,8,26,7,12,0,146,12,29,41,21,25,36,0,30,0,195,21,22,46,38,67,46,14,27,4,284,25,35,52,32,106,100,27,65,3,443,14,33,29,27,93,99,31,60,0,387,14,28,27,20,72,99,27,81,0,372,8,14,20,10,54,71,17,50,3,251,20,26,10,23,93,158,57,140,0,518,3,8,4,10,22,29,16,67,0,155,10,14,21,13,16,50,15,119,5,263,4,3,7,0,0,7,0,8,0,28,154,335,324,232,570,775,214,685,32,3322,8,7,0,0,0,6,0,0,0,27,0,28,9,0,0,0,0,0,0,41,0,45,7,4,0,5,0,0,0,67
20401,5,11,9,9,4,13,5,30,3,87,3,14,10,0,0,6,4,15,0,52,0,24,13,15,3,12,5,20,0,98,3,44,17,7,8,19,0,24,3,135,5,23,20,19,9,17,6,25,0,119,11,40,45,25,15,32,6,50,0,226,8,39,51,21,31,34,9,67,6,260,6,32,40,41,74,96,24,82,8,400,7,27,60,37,95,128,44,127,5,544,14,24,23,22,68,100,46,92,8,394,9,14,18,22,63,103,47,112,11,382,11,13,16,13,48,89,33,97,0,313,30,21,14,21,60,140,69,216,6,570,8,3,0,3,10,23,11,60,3,128,0,19,9,13,10,35,22,95,4,215,6,5,0,0,3,11,3,12,16,60,132,333,350,275,514,864,337,1128,65,3988,0,3,0,0,0,0,0,4,0,10,6,14,5,0,0,0,0,0,0,19,4,22,10,4,0,0,0,0,0,39
