POW_SA3_CODE_2021,FTS_NNI_Mng,FTS_NNI_Pro,FTS_NNI_TecTW,FTS_NNI_CoPSW,FTS_NNI_ClAW,FTS_NNI_SWks,FTS_NNI_MaOpDv,FTS_NNI_Lab,FTS_NNI_IDNS,FTS_NNI_Tot,FTS_1_149_Mng,FTS_1_149_Pro,FTS_1_149_TecTW,FTS_1_149_CoPSW,FTS_1_149_ClAW,FTS_1_149_SWks,FTS_1_149_MaOpDv,FTS_1_149_Lab,FTS_1_149_IDNS,FTS_1_149_Tot,FTS_150_299_Mng,FTS_150_299_Pro,FTS_150_299_TecTW,FTS_150_299_CoPSW,FTS_150_299_ClAW,FTS_150_299_SWks,FTS_150_299_MaOpDv,FTS_150_299_Lab,FTS_150_299_IDNS,FTS_150_299_Tot,FTS_300_399_Mng,FTS_300_399_Pro,FTS_300_399_TecTW,FTS_300_399_CoPSW,FTS_300_399_ClAW,FTS_300_399_SWks,FTS_300_399_MaOpDv,FTS_300_399_Lab,FTS_300_399_IDNS,FTS_300_399_Tot,FTS_400_499_Mng,FTS_400_499_Pro,FTS_400_499_TecTW,FTS_400_499_CoPSW,FTS_400_499_ClAW,FTS_400_499_SWks,FTS_400_499_MaOpDv,FTS_400_499_Lab,FTS_400_499_IDNS,FTS_400_499_Tot,FTS_500_649_Mng,FTS_500_649_Pro,FTS_500_649_TecTW,FTS_500_649_CoPSW,FTS_500_649_ClAW,FTS_500_649_SWks,FTS_500_649_MaOpDv,FTS_500_649_Lab,FTS_500_649_IDNS,FTS_500_649_Tot,FTS_650_799_Mng,FTS_650_799_Pro,FTS_650_799_TecTW,FTS_650_799_CoPSW,FTS_650_799_ClAW,FTS_650_799_SWks,FTS_650_799_MaOpDv,FTS_650_799_Lab,FTS_650_799_IDNS,FTS_650_799_Tot,FTS_800_999_Mng,FTS_800_999_Pro,FTS_800_999_TecTW,FTS_800_999_CoPSW,FTS_800_999_ClAW,FTS_800_999_SWks,FTS_800_999_MaOpDv,FTS_800_999_Lab,FTS_800_999_IDNS,FTS_800_999_Tot,FTS_1000_1249_Mng,FTS_1000_1249_Pro,FTS_1000_1249_TecTW,FTS_1000_1249_CoPSW,FTS_1000_1249_ClAW,FTS_1000_1249_SWks,FTS_1000_1249_MaOpDv,FTS_1000_1249_Lab,FTS_1000_1249_IDNS,FTS_1000_1249_Tot,FTS_1250_1499_Mng,FTS_1250_1499_Pro,FTS_1250_1499_TecTW,FTS_1250_1499_CoPSW,FTS_1250_1499_ClAW,FTS_1250_1499_SWks,FTS_1250_1499_MaOpDv,FTS_1250_1499_Lab,FTS_1250_1499_IDNS,FTS_1250_1499_Tot,FTS_1500_1749_Mng,FTS_1500_1749_Pro,FTS_1500_1749_TecTW,FTS_1500_1749_CoPSW,FTS_1500_1749_ClAW,FTS_1500_1749_SWks,FTS_1500_1749_MaOpDv,FTS_1500_1749_Lab,FTS_1500_1749_IDNS,FTS_1500_1749_Tot,FTS_1750_1999_Mng,FTS_1750_1999_Pro,FTS_1750_1999_TecTW,FTS_1750_1999_CoPSW,FTS_1750_1999_ClAW,FTS_1750_1999_SWks,FTS_1750_1999_MaOpDv,FTS_1750_1999_Lab,FTS_1750_1999_IDNS,FTS_1750_1999_Tot,FTS_2000_2999_Mng,FTS_2000_2999_Pro,FTS_2000_2999_TecTW,FTS_2000_2999_CoPSW,FTS_2000_2999_ClAW,FTS_2000_2999_SWks,FTS_2000_2999_MaOpDv,FTS_2000_2999_Lab,FTS_2000_2999_IDNS,FTS_2000_2999_Tot,FTS_3000_3499_Mng,FTS_3000_3499_Pro,FTS_3000_3499_TecTW,FTS_3000_3499_CoPSW,FTS_3000_3499_ClAW,FTS_3000_3499_SWks,FTS_3000_3499_MaOpDv,FTS_3000_3499_Lab,FTS_3000_3499_IDNS,FTS_3000_3499_Tot,FTS_3500mo_Mng,FTS_3500mo_Pro,FTS_3500mo_TecTW,FTS_3500mo_CoPSW,FTS_3500mo_ClAW,FTS_3500mo_SWks,FTS_3500mo_MaOpDv,FTS_3500mo_Lab,FTS_3500mo_IDNS,FTS_3500mo_Tot,FTS_PINS_Mng,FTS_PINS_Pro,FTS_PINS_TecTW,FTS_PINS_CoPSW,FTS_PINS_ClAW,FTS_PINS_SWks,FTS_PINS_MaOpDv,FTS_PINS_Lab,FTS_PINS_IDNS,FTS_PINS_Tot,FTS_Tot_Mng,FTS_Tot_Pro,FTS_Tot_TecTW,FTS_Tot_CoPSW,FTS_Tot_ClAW,FTS_Tot_SWks,FTS_Tot_MaOpDv,FTS_Tot_Lab,FTS_Tot_IDNS,FTS_Tot_Tot,PTS_NNI_Mng,PTS_NNI_Pro,PTS_NNI_TecTW,PTS_NNI_CoPSW,PTS_NNI_ClAW,PTS_NNI_SWks,PTS_NNI_MaOpDv,PTS_NNI_Lab,PTS_NNI_IDNS,PTS_NNI_Tot,PTS_1_149_Mng,PTS_1_149_Pro,PTS_1_149_TecTW,PTS_1_149_CoPSW,PTS_1_149_ClAW,PTS_1_149_SWks,PTS_1_149_MaOpDv,PTS_1_149_Lab,PTS_1_149_IDNS,PTS_1_149_Tot,PTS_150_299_Mng,PTS_150_299_Pro,PTS_150_299_TecTW,PTS_150_299_CoPSW,PTS_150_299_ClAW,PTS_150_299_SWks,PTS_150_299_MaOpDv,PTS_150_299_Lab,PTS_150_299_IDNS,PTS_150_299_Tot
20101,0,0,3,16,0,26,0,12,8,64,8,31,18,280,36,717,15,395,13,1507,8,17,18,157,27,337,14,166,10,747,5,14,9,103,34,136,7,51,5,365,3,12,8,102,35,102,10,38,3,315,13,21,24,105,38,91,5,40,4,331,3,10,48,74,19,39,3,17,0,220,7,13,30,46,19,11,0,10,0,140,5,7,11,24,6,7,0,4,0,68,0,4,0,7,3,0,0,0,0,21,0,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,5,0,13,4,7,3,35,62,131,164,927,219,1478,56,740,46,3837,0,0,0,4,0,0,0,0,0,5,0,0,3,3,0,12,0,9,0,35,3,0,14,9,0,17,5,15,0,63
20102,0,0,3,4,0,0,0,10,0,14,3,3,0,46,3,60,4,70,6,195,4,9,8,22,0,33,0,31,0,108,0,4,3,11,3,14,0,9,0,43,0,0,0,8,4,0,0,3,0,20,0,0,5,7,3,8,0,8,0,25,0,0,6,4,0,0,0,0,0,14,3,0,4,3,5,0,0,0,0,11,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,17,27,112,13,114,9,132,9,446,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,5,0,0,0,3,0,0,0,0,0,13
20103,0,0,0,0,0,0,0,4,0,8,0,0,5,25,0,72,0,55,8,172,0,0,5,10,6,30,0,12,0,56,0,0,0,6,0,9,0,0,0,23,0,0,0,5,0,0,0,3,0,12,0,0,0,7,0,4,0,0,0,19,0,5,0,3,3,0,0,0,0,9,0,0,0,3,0,0,0,7,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12,62,9,121,8,76,11,311,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3
20201,0,0,0,0,0,18,0,15,10,44,11,14,18,199,33,600,21,418,16,1327,9,13,15,142,16,330,24,189,3,739,0,11,4,99,22,99,16,46,0,298,3,9,12,74,12,77,16,33,0,245,14,3,36,75,26,59,5,27,7,240,3,12,32,55,17,27,4,10,0,157,12,12,18,32,21,11,3,4,0,110,6,12,4,14,7,3,0,3,0,48,0,6,3,3,4,0,0,0,0,13,0,0,4,0,4,0,0,0,0,5,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,9,0,3,0,29,46,95,149,692,159,1236,85,763,40,3266,0,0,0,0,0,0,0,0,0,4,0,0,0,6,3,12,0,3,0,23,0,0,4,19,6,19,4,8,3,60
20202,0,0,0,0,0,5,0,9,0,15,4,0,13,83,5,183,6,150,14,456,3,0,4,37,0,81,0,46,11,185,4,0,3,24,3,16,0,21,6,80,0,0,8,12,0,19,0,14,0,51,3,5,6,17,4,10,0,11,0,53,0,6,6,17,3,0,0,3,0,37,0,0,4,5,0,0,0,5,0,19,0,0,0,4,0,0,0,4,0,13,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,18,6,50,207,22,319,11,253,29,919,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,7,0,7,0,0,4,10,0,0,0,5,0,18
20203,5,0,0,0,0,5,0,3,0,12,5,0,0,9,0,28,5,13,3,63,0,0,6,3,0,5,0,7,0,24,0,0,0,0,0,0,0,3,0,14,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,3,5,21,0,40,8,34,3,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
20301,0,0,0,0,0,0,0,3,0,4,0,4,4,27,0,45,0,54,0,129,0,0,3,13,0,25,0,22,0,62,5,0,3,10,4,7,0,5,0,31,0,0,6,15,0,6,0,0,0,25,0,0,0,7,0,0,0,6,0,25,0,0,0,4,0,0,0,0,0,7,0,0,3,3,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,20,78,9,83,0,93,3,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,3,0,6
20302,0,4,3,12,6,34,0,16,4,82,6,31,49,456,64,1248,48,677,33,2603,15,40,59,348,62,646,54,333,16,1574,12,28,35,215,55,311,35,126,3,820,18,42,46,199,45,231,32,96,7,707,11,41,42,209,56,204,35,100,3,701,12,24,66,116,36,89,16,41,0,401,15,24,34,79,23,29,13,22,3,235,12,15,18,42,19,11,8,8,0,125,3,7,7,12,4,5,8,3,0,48,0,3,0,5,0,0,0,4,0,14,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,3,0,6,3,26,0,3,10,50,104,256,361,1699,368,2824,247,1442,76,7384,0,0,0,0,0,3,0,0,0,9,0,0,9,13,0,18,0,12,0,49,3,4,17,27,0,40,5,17,0,117
20303,0,0,0,6,0,18,0,8,0,32,9,3,16,271,7,431,10,331,12,1093,3,3,16,126,7,187,8,113,4,460,0,4,12,91,11,81,5,45,0,247,4,0,6,80,6,66,6,33,0,210,0,3,12,89,7,52,0,25,4,200,0,4,20,53,7,15,5,17,0,116,3,5,10,19,4,10,0,8,0,57,0,5,0,10,3,0,0,0,0,21,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,7,0,7,3,20,22,34,88,746,61,865,40,587,24,2474,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,5,0,0,0,24,0,0,3,12,0,16,6,10,0,35
20401,0,0,0,4,0,7,0,15,7,34,7,4,22,114,16,198,3,165,12,530,3,3,7,49,12,94,0,77,4,260,0,3,4,35,4,24,0,14,0,89,4,4,5,26,4,19,3,5,4,73,0,3,6,13,10,9,0,8,0,59,0,3,8,15,5,3,0,4,0,48,0,9,7,16,0,0,0,5,0,38,5,3,3,3,0,0,0,0,0,20,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,9,23,38,67,283,53,368,8,298,31,1163,0,0,0,0,0,0,0,4,0,4,0,0,3,0,0,3,0,3,0,18,5,0,7,3,0,7,0,9,0,31
