POW_SA3_CODE_2021,M_NegNilInc_E,M_NegNilInc_OM_IE,M_NegNilInc_OM_UIE,M_NegNilInc_CFW,M_NegNilInc_ES_NS,M_NegNilInc_Tot,M_1_149_E,M_1_149_OM_IE,M_1_149_OM_UIE,M_1_149_CFW,M_1_149_ES_NS,M_1_149_Tot,M_150_299_E,M_150_299_OM_IE,M_150_299_OM_UIE,M_150_299_CFW,M_150_299_ES_NS,M_150_299_Tot,M_300_399_E,M_300_399_OM_IE,M_300_399_OM_UIE,M_300_399_CFW,M_300_399_ES_NS,M_300_399_Tot,M_400_499_E,M_400_499_OM_IE,M_400_499_OM_UIE,M_400_499_CFW,M_400_499_ES_NS,M_400_499_Tot,M_500_649_E,M_500_649_OM_IE,M_500_649_OM_UIE,M_500_649_CFW,M_500_649_ES_NS,M_500_649_Tot,M_650_799_E,M_650_799_OM_IE,M_650_799_OM_UIE,M_650_799_CFW,M_650_799_ES_NS,M_650_799_Tot,M_800_999_E,M_800_999_OM_IE,M_800_999_OM_UIE,M_800_999_CFW,M_800_999_ES_NS,M_800_999_Tot,M_1000_1249_E,M_1000_1249_OM_IE,M_1000_1249_OM_UIE,M_1000_1249_CFW,M_1000_1249_ES_NS,M_1000_1249_Tot,M_1250_1499_E,M_1250_1499_OM_IE,M_1250_1499_OM_UIE,M_1250_1499_CFW,M_1250_1499_ES_NS,M_1250_1499_Tot,M_1500_1749_E,M_1500_1749_OM_IE,M_1500_1749_OM_UIE,M_1500_1749_CFW,M_1500_1749_ES_NS,M_1500_1749_Tot,M_1750_1999_E,M_1750_1999_OM_IE,M_1750_1999_OM_UIE,M_1750_1999_CFW,M_1750_1999_ES_NS,M_1750_1999_Tot,M_2000_2999_E,M_2000_2999_OM_IE,M_2000_2999_OM_UIE,M_2000_2999_CFW,M_2000_2999_ES_NS,M_2000_2999_Tot,M_3000_3499_E,M_3000_3499_OM_IE,M_3000_3499_OM_UIE,M_3000_3499_CFW,M_3000_3499_ES_NS,M_3000_3499_Tot,M_3500mo_E,M_3500mo_OM_IE,M_3500mo_OM_UIE,M_3500mo_CFW,M_3500mo_ES_NS,M_3500mo_Tot,M_PersInc_NS_E,M_PersInc_NS_OM_IE,M_PersInc_NS_OM_UIE,M_PersInc_NS_CFW,M_PersInc_NS_ES_NS,M_PersInc_NS_Tot,M_Tot_E,M_Tot_OM_IE,M_Tot_OM_UIE,M_Tot_CFW,M_Tot_ES_NS,M_Tot_Tot,F_NegNilInc_E,F_NegNilInc_OM_IE,F_NegNilInc_OM_UIE,F_NegNilInc_CFW,F_NegNilInc_ES_NS,F_NegNilInc_Tot,F_1_149_E,F_1_149_OM_IE,F_1_149_OM_UIE,F_1_149_CFW,F_1_149_ES_NS,F_1_149_Tot,F_150_299_E,F_150_299_OM_IE,F_150_299_OM_UIE,F_150_299_CFW,F_150_299_ES_NS,F_150_299_Tot,F_300_399_E,F_300_399_OM_IE,F_300_399_OM_UIE,F_300_399_CFW,F_300_399_ES_NS,F_300_399_Tot,F_400_499_E,F_400_499_OM_IE,F_400_499_OM_UIE,F_400_499_CFW,F_400_499_ES_NS,F_400_499_Tot,F_500_649_E,F_500_649_OM_IE,F_500_649_OM_UIE,F_500_649_CFW,F_500_649_ES_NS,F_500_649_Tot,F_650_799_E,F_650_799_OM_IE,F_650_799_OM_UIE,F_650_799_CFW,F_650_799_ES_NS,F_650_799_Tot,F_800_999_E,F_800_999_OM_IE,F_800_999_OM_UIE,F_800_999_CFW,F_800_999_ES_NS,F_800_999_Tot,F_1000_1249_E,F_1000_1249_OM_IE,F_1000_1249_OM_UIE,F_1000_1249_CFW,F_1000_1249_ES_NS,F_1000_1249_Tot,F_1250_1499_E,F_1250_1499_OM_IE,F_1250_1499_OM_UIE,F_1250_1499_CFW,F_1250_1499_ES_NS,F_1250_1499_Tot,F_1500_1749_E,F_1500_1749_OM_IE,F_1500_1749_OM_UIE,F_1500_1749_CFW,F_1500_1749_ES_NS,F_1500_1749_Tot,F_1750_1999_E,F_1750_1999_OM_IE,F_1750_1999_OM_UIE,F_1750_1999_CFW,F_1750_1999_ES_NS,F_1750_1999_Tot,F_2000_2999_E,F_2000_2999_OM_IE,F_2000_2999_OM_UIE,F_2000_2999_CFW,F_2000_2999_ES_NS,F_2000_2999_Tot,F_3000_3499_E,F_3000_3499_OM_IE,F_3000_3499_OM_UIE,F_3000_3499_CFW,F_3000_3499_ES_NS,F_3000_3499_Tot,F_3500mo_E,F_3500mo_OM_IE,F_3500mo_OM_UIE,F_3500mo_CFW,F_3500mo_ES_NS,F_3500mo_Tot,F_PersInc_NS_E,F_PersInc_NS_OM_IE,F_PersInc_NS_OM_UIE,F_PersInc_NS_CFW,F_PersInc_NS_ES_NS,F_PersInc_NS_Tot,F_Tot_E,F_Tot_OM_IE
20101,54,7,16,33,9,118,709,7,15,5,4,742,519,11,29,17,0,581,438,31,60,25,20,571,637,41,96,24,4,806,1138,90,138,24,12,1405,1585,136,176,20,20,1933,2759,215,189,32,20,3213,3499,256,209,21,26,4012,2569,249,169,16,20,3022,2031,272,143,12,15,2470,1619,192,106,5,9,1934,2583,326,124,11,11,3051,436,128,42,3,0,617,527,353,126,9,0,1029,186,28,17,4,15,252,21286,2354,1665,263,196,25759,62,0,7,60,0,130,1030,3,54,25,7,1118,971,16,69,24,11,1087,1019,37,95,36,13,1199,1353,35,101,34,17,1549,2436,67,155,28,28,2714,3010,93,140,21,10,3282,3674,89,117,22,19,3918,3808,107,139,22,22,4095,2547,89,86,16,7,2751,2106,85,63,10,3,2268,1318,54,49,8,3,1423,1671,108,68,10,0,1860,199,40,43,0,0,279,241,90,51,6,0,397,180,11,8,12,16,220,25629,922
20102,8,6,16,31,5,67,91,3,7,11,3,118,94,10,23,23,6,153,56,16,57,34,3,162,90,21,50,17,8,184,162,52,77,26,15,333,228,45,77,23,6,383,402,72,101,18,8,607,428,86,91,13,7,628,296,59,79,14,5,454,246,70,68,16,10,404,146,53,46,10,3,256,222,80,39,8,7,350,50,21,14,3,3,88,65,61,32,5,5,164,24,17,14,10,5,72,2609,667,788,260,97,4425,11,3,3,23,6,45,148,0,11,20,3,187,171,14,33,25,7,254,182,16,43,22,7,272,259,18,57,17,12,352,380,21,74,24,5,512,464,38,73,28,9,600,449,37,69,13,5,573,407,37,63,6,4,521,230,31,29,10,5,306,196,31,29,0,4,261,90,14,27,0,0,130,127,23,20,3,4,181,21,4,11,0,0,42,22,21,9,0,0,57,28,0,8,4,6,48,3181,322
20103,12,0,7,34,0,51,84,3,12,11,7,118,59,6,15,28,5,115,64,8,35,17,7,129,96,24,33,14,7,167,145,31,48,23,6,250,232,39,60,12,7,349,429,51,60,18,12,562,422,48,67,13,16,564,289,44,50,15,11,397,234,47,41,8,7,338,150,13,18,0,0,181,257,31,23,11,3,325,46,13,3,0,0,66,33,32,18,0,0,85,32,9,10,3,9,56,2570,390,503,198,83,3751,13,0,7,30,0,53,130,5,9,11,0,155,106,5,9,16,4,145,155,14,35,7,4,215,162,19,29,19,3,226,360,18,38,12,4,436,427,23,40,13,8,506,422,21,33,11,9,487,434,13,24,15,5,495,238,11,15,7,6,274,202,11,6,4,3,229,116,9,10,3,0,142,143,9,4,8,3,170,16,6,5,0,0,31,17,15,5,0,0,34,36,8,3,4,0,55,2986,170
20201,61,5,6,26,3,99,657,5,15,11,5,694,471,9,27,5,3,518,366,15,56,9,13,456,516,33,85,12,7,662,982,65,123,29,14,1211,1400,73,136,12,18,1642,2421,130,169,14,19,2755,2894,217,163,11,20,3303,2086,181,153,5,8,2443,1944,194,123,11,12,2283,1401,148,87,5,7,1647,2191,271,107,10,5,2590,365,117,37,5,5,527,428,237,79,9,5,760,153,15,14,6,20,201,18330,1727,1389,186,163,21799,77,6,6,35,0,115,879,7,41,14,3,940,895,16,77,33,3,1023,838,14,77,23,6,960,1188,28,77,16,13,1320,2243,55,108,26,26,2461,2822,56,123,17,17,3034,3317,87,132,13,14,3561,3267,90,113,18,4,3492,2407,70,67,11,8,2564,2010,74,53,4,6,2152,1291,53,45,3,3,1399,1497,98,62,7,3,1660,177,38,14,3,5,237,201,84,24,8,0,316,150,7,9,7,11,182,23248,775
20202,18,10,7,33,4,73,224,6,10,12,0,255,142,9,36,19,4,206,128,16,73,22,11,250,187,28,88,25,12,334,320,39,119,21,9,518,576,65,118,21,13,794,1129,87,145,15,9,1398,1193,124,167,21,20,1515,733,112,109,11,10,972,685,103,97,16,9,905,451,58,60,7,3,579,699,129,114,11,10,960,115,40,13,3,0,173,130,116,36,3,0,286,77,15,15,8,20,137,6812,940,1221,246,146,9359,13,6,14,46,0,79,317,4,33,32,3,384,307,4,63,22,6,394,337,16,73,34,7,467,424,23,92,28,14,582,759,41,142,17,7,968,907,50,124,26,13,1122,1041,43,103,13,15,1219,916,68,107,14,10,1123,624,46,65,7,7,748,486,56,52,10,0,605,320,34,43,6,0,407,342,44,60,4,0,452,53,21,12,0,0,87,65,34,29,7,0,131,83,5,9,5,5,110,6995,494
20203,4,5,10,33,0,55,23,0,10,6,0,35,20,4,15,12,0,51,28,4,23,18,6,75,39,8,33,8,8,97,62,25,36,7,4,137,118,21,45,11,4,196,192,42,51,23,12,311,257,40,58,16,7,372,208,40,39,3,7,301,203,28,30,12,8,281,157,17,23,8,0,208,349,25,23,9,0,417,64,3,4,0,0,70,65,6,5,0,0,78,23,3,12,9,3,52,1822,266,418,184,57,2742,3,0,6,25,0,34,55,0,3,8,5,76,35,6,15,11,4,65,44,9,9,18,0,82,63,6,16,12,0,99,110,11,28,11,5,171,123,9,30,11,0,173,164,14,21,9,6,209,141,11,24,8,0,188,96,9,10,4,0,121,64,9,7,8,0,98,50,4,7,5,0,67,59,4,8,3,0,80,6,0,0,0,0,9,5,3,0,3,0,14,17,6,0,12,6,37,1049,103
20301,6,0,13,21,0,35,47,4,3,9,0,62,47,5,8,11,0,67,33,10,23,14,0,80,40,17,28,14,4,100,68,29,44,12,3,156,135,25,29,12,9,209,187,30,55,13,6,290,257,45,54,10,6,367,188,48,43,7,6,283,131,50,40,8,0,232,96,41,24,0,0,166,138,50,34,13,5,237,24,22,6,0,0,58,26,37,14,4,0,86,18,11,10,3,0,40,1436,417,436,152,38,2483,7,0,8,24,0,39,113,0,16,9,0,147,106,3,18,8,0,142,110,14,26,16,5,163,122,17,20,13,5,175,218,13,24,13,0,269,252,9,26,14,3,306,228,12,42,6,8,295,238,18,26,7,3,294,155,21,21,11,0,203,102,18,16,0,0,134,62,11,10,0,0,83,85,21,13,7,0,118,12,5,4,0,0,16,8,17,13,4,0,42,25,0,3,0,0,30,1836,188
20302,115,20,32,61,3,233,1216,15,48,21,5,1301,1042,12,86,35,7,1187,882,37,114,36,22,1090,1227,81,162,23,24,1513,2011,131,238,29,27,2426,2741,199,276,21,28,3266,4753,321,355,28,33,5488,6286,470,474,38,36,7298,4737,414,323,31,40,5544,4296,492,307,16,21,5134,3454,369,182,18,22,4041,6338,709,273,23,24,7370,1111,239,75,5,15,1439,1496,655,246,10,14,2429,406,56,25,3,64,546,42110,4213,3209,403,384,50316,156,7,33,91,4,296,1871,22,83,36,5,2011,1874,38,153,43,8,2120,1988,48,167,45,11,2262,2660,56,173,49,21,2954,4382,104,252,42,35,4812,5459,124,273,42,28,5924,6704,162,265,28,27,7187,7034,208,250,33,24,7537,5374,166,198,25,15,5768,4306,164,148,22,14,4653,2887,107,86,13,9,3097,3855,186,139,15,10,4206,449,75,45,10,0,578,627,188,110,16,8,952,383,16,25,7,28,456,50003,1666
20303,23,5,9,27,3,62,534,0,18,8,0,568,323,16,35,8,0,389,287,23,56,16,5,387,302,37,69,18,11,423,502,63,97,20,15,695,672,90,126,25,7,921,840,114,165,20,9,1149,1028,198,228,13,16,1487,763,201,191,14,17,1180,669,252,159,21,10,1106,478,184,122,6,0,795,740,294,149,19,5,1210,152,95,36,0,8,288,230,221,80,16,3,552,79,25,9,4,15,136,7633,1812,1546,235,127,11356,32,3,18,50,3,115,665,3,53,20,8,751,572,10,84,28,4,699,634,28,98,21,3,790,753,37,120,42,9,962,1192,60,151,36,5,1446,1377,70,144,22,7,1626,1408,83,165,21,14,1688,1182,100,147,20,11,1461,820,82,104,15,11,1026,638,92,107,22,3,859,381,57,56,13,3,513,485,96,87,13,4,686,72,40,20,4,0,142,95,87,49,10,0,230,108,12,8,4,5,137,10415,864
20401,29,10,9,67,5,125,270,11,16,22,6,317,182,21,50,35,8,283,201,21,52,31,8,316,248,35,57,39,7,388,443,67,106,47,14,682,671,72,152,33,15,939,1010,107,192,42,16,1374,1428,160,194,45,25,1847,970,120,145,23,19,1278,836,140,117,23,8,1123,588,84,76,17,0,768,868,112,102,16,11,1101,134,55,16,10,0,215,136,120,61,22,3,340,87,19,28,18,19,165,8105,1141,1369,483,163,11261,35,0,9,73,0,127,395,3,33,26,8,463,425,18,58,45,14,559,459,19,51,44,14,586,565,33,80,33,13,720,1071,45,118,31,14,1279,1352,60,83,30,10,1536,1368,63,111,27,14,1586,1258,67,94,30,12,1466,816,45,58,27,7,958,665,45,43,12,4,769,362,37,23,12,0,427,523,56,47,11,0,636,44,19,10,7,0,91,62,42,31,12,5,143,99,10,10,23,11,156,9496,570
