POW_SA3_CODE_2021,NFANS_75ov_EWFT,NFANS_75ov_EWPT,NFANS_75ov_EAFW,NFANS_75ov_EHW_NS,NFANS_75ov_Tot,NFANS_Tot_EWFT,NFANS_Tot_EWPT,NFANS_Tot_EAFW,NFANS_Tot_EHW_NS,NFANS_Tot_Tot,Tot_15_19_EWFT,Tot_15_19_EWPT,Tot_15_19_EAFW,Tot_15_19_EHW_NS,Tot_15_19_Tot,Tot_20_24_EWFT,Tot_20_24_EWPT,Tot_20_24_EAFW,Tot_20_24_EHW_NS,Tot_20_24_Tot,Tot_25_29_EWFT,Tot_25_29_EWPT,Tot_25_29_EAFW,Tot_25_29_EHW_NS,Tot_25_29_Tot,Tot_30_34_EWFT,Tot_30_34_EWPT,Tot_30_34_EAFW,Tot_30_34_EHW_NS,Tot_30_34_Tot,Tot_35_39_EWFT,Tot_35_39_EWPT,Tot_35_39_EAFW,Tot_35_39_EHW_NS,Tot_35_39_Tot,Tot_40_44_EWFT,Tot_40_44_EWPT,Tot_40_44_EAFW,Tot_40_44_EHW_NS,Tot_40_44_Tot,Tot_45_49_EWFT,Tot_45_49_EWPT,Tot_45_49_EAFW,Tot_45_49_EHW_NS,Tot_45_49_Tot,Tot_50_54_EWFT,Tot_50_54_EWPT,Tot_50_54_EAFW,Tot_50_54_EHW_NS,Tot_50_54_Tot,Tot_55_59_EWFT,Tot_55_59_EWPT,Tot_55_59_EAFW,Tot_55_59_EHW_NS,Tot_55_59_Tot,Tot_60_64_EWFT,Tot_60_64_EWPT,Tot_60_64_EAFW,Tot_60_64_EHW_NS,Tot_60_64_Tot,Tot_65_69_EWFT,Tot_65_69_EWPT,Tot_65_69_EAFW,Tot_65_69_EHW_NS,Tot_65_69_Tot,Tot_70_74_EWFT,Tot_70_74_EWPT,Tot_70_74_EAFW,Tot_70_74_EHW_NS,Tot_70_74_Tot,Tot_75ov_EWFT,Tot_75ov_EWPT,Tot_75ov_EAFW,Tot_75ov_EHW_NS,Tot_75ov_Tot,Tot_Tot_EWFT,Tot_Tot_EWPT,Tot_Tot_EAFW,Tot_Tot_EHW_NS,Tot_Tot_Tot
20101,0,6,0,0,6,174,112,20,24,329,643,2638,345,70,3690,2479,2456,330,97,5363,3633,1849,354,111,5948,3430,1838,419,87,5778,3263,1996,284,71,5608,3343,1810,169,47,5373,3621,1789,157,66,5627,3475,1681,207,71,5434,2862,1720,299,59,4943,1961,1597,287,46,3889,614,839,131,24,1604,159,343,45,18,564,36,132,22,20,215,29516,20687,3043,792,54038
20102,0,0,0,0,0,37,33,0,6,72,81,335,71,16,492,289,259,45,13,601,376,245,56,15,693,388,279,48,18,732,414,296,39,19,767,456,321,43,10,835,496,339,41,21,891,543,363,47,22,982,522,443,56,11,1036,364,411,57,13,844,172,238,28,3,435,88,148,10,5,247,80,93,9,11,202,4265,3772,550,176,8765
20103,0,0,0,3,0,25,16,0,3,52,88,273,48,25,438,296,206,18,21,542,361,184,36,16,605,348,190,34,21,591,345,222,30,6,601,384,203,27,15,633,473,277,34,12,799,498,274,32,18,824,500,315,41,15,870,375,293,38,15,727,180,205,39,11,427,82,104,15,6,204,46,72,10,6,136,3984,2820,405,184,7391
20201,0,0,0,0,4,175,122,15,19,334,530,2477,276,65,3354,2199,2067,258,82,4598,3137,1532,280,92,5040,2959,1669,402,73,5103,2815,1871,253,78,5016,2818,1653,163,53,4693,3158,1476,136,56,4828,2939,1479,168,46,4631,2512,1562,258,43,4374,1664,1485,264,47,3457,579,760,139,24,1498,120,275,36,16,444,33,125,16,15,191,25461,18427,2640,687,47221
20202,0,0,0,0,0,72,59,0,15,150,192,729,107,31,1054,647,560,80,41,1322,949,442,63,25,1477,926,489,105,22,1549,962,576,84,24,1647,1039,662,53,26,1784,1204,725,93,35,2058,1227,775,98,39,2135,1057,798,105,33,1985,785,760,109,19,1679,321,493,58,20,896,107,248,26,9,385,93,132,14,20,259,9511,7388,992,342,18235
20203,0,0,0,0,0,18,13,0,4,40,33,112,14,8,169,154,68,9,5,232,252,57,15,5,331,260,84,22,13,377,263,80,20,13,373,313,85,23,11,428,302,97,11,10,416,323,119,21,19,476,309,137,20,16,473,267,148,24,12,451,151,95,13,9,261,74,76,4,0,153,59,42,7,14,114,2751,1197,197,122,4268
20301,0,0,0,0,0,19,7,0,5,30,77,224,20,8,339,220,180,18,4,423,236,126,18,4,384,287,152,15,18,473,266,196,29,10,507,276,201,19,5,500,308,172,19,7,501,319,184,17,15,537,245,187,24,13,467,180,159,15,4,358,80,109,8,3,200,58,93,5,4,160,36,54,6,3,103,2594,2045,207,103,4952
20302,0,3,0,4,12,345,229,31,57,662,863,4565,584,78,6082,4389,5081,655,197,10327,7522,3730,620,250,12123,7474,3586,841,168,12072,7176,3939,614,178,11900,6616,3607,409,120,10758,7016,3523,334,117,10988,6565,3176,379,138,10261,5482,3275,462,94,9313,3449,2855,422,77,6804,1153,1598,249,45,3045,284,640,78,23,1027,124,253,21,33,435,58113,39818,5689,1513,105131
20303,0,0,0,0,0,67,76,13,7,169,205,1598,309,38,2151,898,1348,237,55,2535,1226,842,148,40,2254,1260,852,176,38,2325,1282,1037,150,31,2504,1269,966,103,41,2380,1395,966,93,35,2495,1200,914,98,33,2240,1013,969,129,24,2131,700,973,123,26,1819,261,635,76,21,992,79,305,30,9,427,46,149,14,8,222,10835,11562,1689,396,24487
20401,3,5,0,4,7,93,80,12,23,208,361,940,157,46,1506,1009,691,121,48,1867,1277,588,101,43,2003,1167,631,156,45,1999,1160,732,118,41,2053,1194,678,74,44,1989,1389,771,66,45,2279,1416,768,115,49,2352,1359,795,161,44,2354,991,917,149,20,2074,485,611,84,41,1224,238,354,22,16,626,150,222,28,27,423,12201,8694,1357,507,22754
