POW_SA3_CODE_2021,Tot_16_Other_FT,Tot_16_Other_PT,Tot_16_Other_NS,Tot_16_Other_Tot,Tot_16_Not_Stated,Tot_16_Tot,Tot_17_TertVE_TPTP_FT,Tot_17_TertVE_TPTP_PT,Tot_17_TertVE_TPTP_NS,Tot_17_TertVE_TPTP_Tot,Tot_17_TertUni_or_OHE_FT,Tot_17_TertUni_or_OHE_PT,Tot_17_TertUni_or_OHE_NS,Tot_17_TertUni_or_OHE_Tot,Tot_17_Other_FT,Tot_17_Other_PT,Tot_17_Other_NS,Tot_17_Other_Tot,Tot_17_Not_Stated,Tot_17_Tot,Tot_18_TertVE_TPTP_FT,Tot_18_TertVE_TPTP_PT,Tot_18_TertVE_TPTP_NS,Tot_18_TertVE_TPTP_Tot,Tot_18_TertUni_or_OHE_FT,Tot_18_TertUni_or_OHE_PT,Tot_18_TertUni_or_OHE_NS,Tot_18_TertUni_or_OHE_Tot,Tot_18_Other_FT,Tot_18_Other_PT,Tot_18_Other_NS,Tot_18_Other_Tot,Tot_18_Not_Stated,Tot_18_Tot,Tot_19_TertVE_TPTP_FT,Tot_19_TertVE_TPTP_PT,Tot_19_TertVE_TPTP_NS,Tot_19_TertVE_TPTP_Tot,Tot_19_TertUni_or_OHE_FT,Tot_19_TertUni_or_OHE_PT,Tot_19_TertUni_or_OHE_NS,Tot_19_TertUni_or_OHE_Tot,Tot_19_Other_FT,Tot_19_Other_PT,Tot_19_Other_NS,Tot_19_Other_Tot,Tot_19_Not_Stated,Tot_19_Tot,Tot_20_24_TertVE_TPTP_FT,Tot_20_24_TertVE_TPTP_PT,Tot_20_24_TertVE_TPTP_NS,Tot_20_24_TertVE_TPTP_Tot,Tot_20_24_TertUni_or_OHE_FT,Tot_20_24_TertUni_or_OHE_PT,Tot_20_24_TertUni_or_OHE_NS,Tot_20_24_TertUni_or_OHE_Tot,Tot_20_24_Other_FT,Tot_20_24_Other_PT,Tot_20_24_Other_NS,Tot_20_24_Other_Tot,Tot_20_24_Not_Stated,Tot_20_24_Tot,Tot_25_29_TertVE_TPTP_FT,Tot_25_29_TertVE_TPTP_PT,Tot_25_29_TertVE_TPTP_NS,Tot_25_29_TertVE_TPTP_Tot,Tot_25_29_TertUni_or_OHE_FT,Tot_25_29_TertUni_or_OHE_PT,Tot_25_29_TertUni_or_OHE_NS,Tot_25_29_TertUni_or_OHE_Tot,Tot_25_29_Other_FT,Tot_25_29_Other_PT,Tot_25_29_Other_NS,Tot_25_29_Other_Tot,Tot_25_29_Not_Stated,Tot_25_29_Tot,Tot_30ov_TertVE_TPTP_FT,Tot_30ov_TertVE_TPTP_PT,Tot_30ov_TertVE_TPTP_NS,Tot_30ov_TertVE_TPTP_Tot,Tot_30ov_TertUni_or_OHE_FT,Tot_30ov_TertUni_or_OHE_PT,Tot_30ov_TertUni_or_OHE_NS,Tot_30ov_TertUni_or_OHE_Tot,Tot_30ov_Other_FT,Tot_30ov_Other_PT,Tot_30ov_Other_NS,Tot_30ov_Other_Tot,Tot_30ov_Not_Stated,Tot_30ov_Tot,Tot_Tot_TertVE_TPTP_FT,Tot_Tot_TertVE_TPTP_PT,Tot_Tot_TertVE_TPTP_NS,Tot_Tot_TertVE_TPTP_Tot,Tot_Tot_TertUni_or_OHE_FT,Tot_Tot_TertUni_or_OHE_PT,Tot_Tot_TertUni_or_OHE_NS,Tot_Tot_TertUni_or_OHE_Tot,Tot_Tot_Other_FT,Tot_Tot_Other_PT,Tot_Tot_Other_NS,Tot_Tot_Other_Tot,Tot_Tot_Not_Stated,Tot_Tot_Tot
20101,661,0,0,661,4,686,23,43,0,68,4,0,0,4,617,4,0,624,5,701,22,79,0,96,148,8,0,155,252,10,0,257,0,513,30,100,0,132,290,25,0,319,8,5,0,21,10,472,172,340,0,517,1162,236,4,1400,38,47,0,90,22,2031,103,204,0,306,320,277,0,601,12,50,0,64,5,973,111,641,5,762,295,916,0,1205,54,211,0,269,112,2353,472,1429,6,1911,2211,1464,3,3691,2061,331,3,2398,159,8161
20102,86,0,0,86,0,85,0,11,0,13,0,0,0,0,86,0,0,84,0,100,3,17,0,26,10,4,0,14,36,0,0,36,0,76,9,5,0,14,34,0,0,31,3,0,0,3,0,50,24,41,0,67,88,15,0,108,6,7,0,10,0,183,20,27,0,45,35,19,0,50,0,3,0,5,0,105,25,108,0,131,36,111,5,140,4,42,0,50,37,357,87,208,0,295,202,143,5,344,284,52,0,336,37,1020
20103,63,0,0,63,0,73,0,7,0,10,0,0,0,0,72,0,0,72,0,84,0,7,0,12,7,0,0,11,30,0,0,30,0,51,3,15,0,17,16,4,0,19,0,0,0,0,0,35,11,36,0,46,49,22,0,78,0,0,0,0,9,127,14,12,0,19,10,15,0,21,0,5,0,5,0,50,11,76,0,85,28,94,0,120,6,28,0,31,52,282,40,150,0,192,109,133,0,245,229,32,0,264,61,757
20201,552,0,0,551,0,577,12,29,0,40,0,0,0,0,587,0,0,591,0,630,31,77,0,107,83,4,0,87,294,9,0,301,3,503,55,106,0,160,209,19,0,227,14,5,0,19,0,410,172,328,0,496,838,186,0,1029,31,43,0,74,21,1617,82,180,0,267,190,197,0,389,13,40,0,56,20,727,157,576,0,743,218,751,0,968,32,180,0,216,106,2031,520,1299,7,1829,1537,1154,0,2694,1926,276,0,2197,160,6883
20202,185,0,0,188,0,192,7,7,0,12,0,0,0,0,167,0,0,167,0,181,8,11,0,22,33,0,0,39,101,0,0,105,6,167,8,33,0,42,70,4,0,77,0,0,0,6,0,121,41,104,0,145,197,41,0,239,6,12,0,23,9,409,20,54,0,75,44,41,0,81,4,10,0,16,6,182,50,212,0,266,85,247,0,330,21,80,6,103,71,779,135,429,0,564,428,341,0,766,594,105,3,707,100,2142
20203,29,0,0,29,3,30,0,4,0,4,0,0,0,0,32,0,0,32,0,32,4,3,0,4,0,0,0,3,8,0,0,8,0,16,5,5,0,7,5,0,0,5,0,0,0,0,0,15,4,13,0,13,27,6,0,34,0,4,0,4,0,54,8,8,0,19,3,8,0,12,0,4,0,4,0,34,8,49,0,55,15,28,0,43,5,4,0,10,29,137,23,75,0,105,48,47,0,99,90,11,0,105,34,341
20301,49,0,0,49,0,55,0,9,0,9,0,0,0,0,62,0,0,62,0,72,5,11,0,14,8,0,0,8,21,0,0,24,0,50,7,10,0,19,23,0,0,26,0,0,0,3,0,42,15,36,0,54,89,15,0,100,0,9,0,10,4,166,6,24,0,25,19,13,0,29,6,5,0,4,3,59,5,61,0,66,22,52,0,68,6,25,0,33,19,186,40,154,0,197,146,83,0,229,169,38,0,211,27,657
20302,1034,0,0,1033,9,1071,22,57,0,75,4,0,0,3,1023,3,0,1026,9,1109,45,118,0,162,299,26,0,323,522,5,0,528,11,1025,86,175,0,260,661,44,0,708,27,12,0,40,3,1004,361,720,6,1086,2609,556,5,3171,82,90,0,167,32,4462,211,418,0,633,710,591,3,1305,99,119,0,222,24,2187,313,1252,5,1570,578,1618,8,2202,103,450,8,557,226,4558,1058,2750,12,3821,4860,2840,7,7710,3478,677,6,4171,309,16013
20303,369,0,0,369,0,382,6,16,0,25,3,0,0,6,438,0,0,441,0,468,20,38,0,57,88,6,0,95,205,6,0,212,0,362,27,69,0,93,188,19,0,212,6,6,0,7,0,311,102,202,0,302,730,137,0,867,22,29,0,52,9,1230,65,97,0,167,172,86,0,256,16,16,0,27,7,453,91,342,0,433,130,290,9,434,12,99,5,113,79,1054,308,782,4,1087,1310,541,5,1859,1343,149,7,1496,97,4541
20401,219,0,0,219,0,224,9,19,0,28,0,0,0,0,228,0,0,231,3,261,4,30,0,34,33,3,0,42,106,3,0,113,4,189,6,47,0,57,61,12,0,73,14,4,0,18,4,149,52,120,0,177,239,70,0,303,7,16,0,24,14,524,38,70,4,110,62,84,0,145,9,16,0,21,7,282,49,286,4,341,79,292,5,380,18,112,0,133,127,985,162,579,9,748,477,459,6,940,789,155,0,941,168,2807
