POW_SA3_CODE_2021,Pro_300_399_H_0,Pro_300_399_H_1_19,Pro_300_399_H_20_29,Pro_300_399_H_30_34,Pro_300_399_H_35_39,Pro_300_399_H_40_44,Pro_300_399_H_45_49,Pro_300_399_H_50ov,Pro_300_399_H_NS,Pro_300_399_H_Tot,Pro_400_499_H_0,Pro_400_499_H_1_19,Pro_400_499_H_20_29,Pro_400_499_H_30_34,Pro_400_499_H_35_39,Pro_400_499_H_40_44,Pro_400_499_H_45_49,Pro_400_499_H_50ov,Pro_400_499_H_NS,Pro_400_499_H_Tot,Pro_500_649_H_0,Pro_500_649_H_1_19,Pro_500_649_H_20_29,Pro_500_649_H_30_34,Pro_500_649_H_35_39,Pro_500_649_H_40_44,Pro_500_649_H_45_49,Pro_500_649_H_50ov,Pro_500_649_H_NS,Pro_500_649_H_Tot,Pro_650_799_H_0,Pro_650_799_H_1_19,Pro_650_799_H_20_29,Pro_650_799_H_30_34,Pro_650_799_H_35_39,Pro_650_799_H_40_44,Pro_650_799_H_45_49,Pro_650_799_H_50ov,Pro_650_799_H_NS,Pro_650_799_H_Tot,Pro_800_999_H_0,Pro_800_999_H_1_19,Pro_800_999_H_20_29,Pro_800_999_H_30_34,Pro_800_999_H_35_39,Pro_800_999_H_40_44,Pro_800_999_H_45_49,Pro_800_999_H_50ov,Pro_800_999_H_NS,Pro_800_999_H_Tot,Pro_1000_1249_H_0,Pro_1000_1249_H_1_19,Pro_1000_1249_H_20_29,Pro_1000_1249_H_30_34,Pro_1000_1249_H_35_39,Pro_1000_1249_H_40_44,Pro_1000_1249_H_45_49,Pro_1000_1249_H_50ov,Pro_1000_1249_H_NS,Pro_1000_1249_H_Tot,Pro_1250_1499_H_0,Pro_1250_1499_H_1_19,Pro_1250_1499_H_20_29,Pro_1250_1499_H_30_34,Pro_1250_1499_H_35_39,Pro_1250_1499_H_40_44,Pro_1250_1499_H_45_49,Pro_1250_1499_H_50ov,Pro_1250_1499_H_NS,Pro_1250_1499_H_Tot,Pro_1500_1749_H_0,Pro_1500_1749_H_1_19,Pro_1500_1749_H_20_29,Pro_1500_1749_H_30_34,Pro_1500_1749_H_35_39,Pro_1500_1749_H_40_44,Pro_1500_1749_H_45_49,Pro_1500_1749_H_50ov,Pro_1500_1749_H_NS,Pro_1500_1749_H_Tot,Pro_1750_1999_H_0,Pro_1750_1999_H_1_19,Pro_1750_1999_H_20_29,Pro_1750_1999_H_30_34,Pro_1750_1999_H_35_39,Pro_1750_1999_H_40_44,Pro_1750_1999_H_45_49,Pro_1750_1999_H_50ov,Pro_1750_1999_H_NS,Pro_1750_1999_H_Tot,Pro_2000_2999_H_0,Pro_2000_2999_H_1_19,Pro_2000_2999_H_20_29,Pro_2000_2999_H_30_34,Pro_2000_2999_H_35_39,Pro_2000_2999_H_40_44,Pro_2000_2999_H_45_49,Pro_2000_2999_H_50ov,Pro_2000_2999_H_NS,Pro_2000_2999_H_Tot,Pro_3000_3499_H_0,Pro_3000_3499_H_1_19,Pro_3000_3499_H_20_29,Pro_3000_3499_H_30_34,Pro_3000_3499_H_35_39,Pro_3000_3499_H_40_44,Pro_3000_3499_H_45_49,Pro_3000_3499_H_50ov,Pro_3000_3499_H_NS,Pro_3000_3499_H_Tot,Pro_3500mo_H_0,Pro_3500mo_H_1_19,Pro_3500mo_H_20_29,Pro_3500mo_H_30_34,Pro_3500mo_H_35_39,Pro_3500mo_H_40_44,Pro_3500mo_H_45_49,Pro_3500mo_H_50ov,Pro_3500mo_H_NS,Pro_3500mo_H_Tot,Pro_PINS_H_0,Pro_PINS_H_1_19,Pro_PINS_H_20_29,Pro_PINS_H_30_34,Pro_PINS_H_35_39,Pro_PINS_H_40_44,Pro_PINS_H_45_49,Pro_PINS_H_50ov,Pro_PINS_H_NS,Pro_PINS_H_Tot,Pro_Tot_H_0,Pro_Tot_H_1_19,Pro_Tot_H_20_29,Pro_Tot_H_30_34,Pro_Tot_H_35_39,Pro_Tot_H_40_44,Pro_Tot_H_45_49,Pro_Tot_H_50ov,Pro_Tot_H_NS,Pro_Tot_H_Tot,TaTW_NNI_H_0,TaTW_NNI_H_1_19,TaTW_NNI_H_20_29,TaTW_NNI_H_30_34,TaTW_NNI_H_35_39,TaTW_NNI_H_40_44,TaTW_NNI_H_45_49,TaTW_NNI_H_50ov,TaTW_NNI_H_NS,TaTW_NNI_H_Tot,TaTW_1_149_H_0,TaTW_1_149_H_1_19,TaTW_1_149_H_20_29,TaTW_1_149_H_30_34,TaTW_1_149_H_35_39,TaTW_1_149_H_40_44,TaTW_1_149_H_45_49,TaTW_1_149_H_50ov,TaTW_1_149_H_NS,TaTW_1_149_H_Tot,TaTW_150_299_H_0,TaTW_150_299_H_1_19,TaTW_150_299_H_20_29,TaTW_150_299_H_30_34,TaTW_150_299_H_35_39,TaTW_150_299_H_40_44,TaTW_150_299_H_45_49,TaTW_150_299_H_50ov,TaTW_150_299_H_NS,TaTW_150_299_H_Tot,TaTW_300_399_H_0,TaTW_300_399_H_1_19,TaTW_300_399_H_20_29,TaTW_300_399_H_30_34,TaTW_300_399_H_35_39,TaTW_300_399_H_40_44,TaTW_300_399_H_45_49,TaTW_300_399_H_50ov,TaTW_300_399_H_NS,TaTW_300_399_H_Tot,TaTW_400_499_H_0,TaTW_400_499_H_1_19,TaTW_400_499_H_20_29,TaTW_400_499_H_30_34,TaTW_400_499_H_35_39,TaTW_400_499_H_40_44,TaTW_400_499_H_45_49,TaTW_400_499_H_50ov,TaTW_400_499_H_NS,TaTW_400_499_H_Tot,TaTW_500_649_H_0,TaTW_500_649_H_1_19,TaTW_500_649_H_20_29,TaTW_500_649_H_30_34,TaTW_500_649_H_35_39,TaTW_500_649_H_40_44,TaTW_500_649_H_45_49,TaTW_500_649_H_50ov,TaTW_500_649_H_NS,TaTW_500_649_H_Tot
20101,17,86,8,10,5,8,0,9,0,146,12,110,35,15,12,10,3,4,0,199,36,186,95,30,13,21,3,7,0,391,42,168,165,69,40,27,10,23,6,549,56,151,268,130,146,93,26,31,4,906,89,150,333,276,329,249,39,63,10,1537,86,68,229,298,462,406,85,101,5,1739,102,41,149,278,488,473,129,166,8,1825,59,33,72,154,341,470,130,200,4,1464,83,48,73,115,443,633,245,446,18,2092,12,10,15,12,46,86,47,85,0,325,20,26,35,43,97,172,60,210,5,662,0,12,6,4,6,3,9,5,13,55,633,1215,1514,1437,2442,2660,781,1342,80,12103,0,4,7,0,0,8,0,3,0,21,3,33,3,0,0,0,0,0,0,42,15,58,9,7,8,6,0,0,9,104,7,49,20,10,16,12,3,7,4,129,17,67,44,20,54,60,11,14,3,282,32,81,94,62,144,110,23,25,13,574
20102,3,17,6,5,0,4,0,0,0,34,4,34,8,0,3,3,6,6,0,60,0,31,17,6,5,15,0,3,0,79,12,31,18,8,3,7,0,0,0,80,5,24,37,9,15,15,3,6,3,122,11,20,36,28,34,27,5,8,0,167,12,22,25,16,40,33,11,17,0,175,14,13,12,33,47,55,12,20,0,218,0,3,14,21,23,28,14,24,0,121,0,8,11,16,18,57,18,35,0,167,0,0,5,3,5,7,7,16,0,52,0,0,0,4,5,14,5,17,0,57,0,0,0,0,0,0,0,0,0,8,70,244,202,159,199,277,91,156,11,1412,3,3,0,0,0,0,0,0,0,9,0,5,0,0,0,0,0,0,0,12,8,15,0,3,0,0,0,4,0,25,5,17,3,5,3,5,0,0,0,37,0,22,8,3,7,15,3,6,0,64,5,28,25,5,19,19,7,8,0,114
20103,5,10,0,0,0,3,0,3,0,22,0,8,0,0,3,0,0,0,0,13,3,16,7,3,0,6,0,0,0,40,5,18,15,9,3,4,0,3,0,68,3,15,23,22,15,13,0,7,4,95,8,14,31,27,40,40,9,4,0,169,6,10,8,21,39,21,11,15,0,126,14,7,12,29,42,42,9,14,0,164,7,4,5,17,18,29,12,18,4,113,7,4,3,15,28,46,10,33,0,151,0,0,0,0,3,8,5,7,0,27,0,0,7,4,0,8,0,11,0,34,0,0,0,0,0,0,0,0,0,4,56,125,115,143,194,217,62,112,12,1043,0,0,0,0,0,0,0,0,0,4,4,10,0,0,0,0,0,0,0,15,4,15,3,0,0,5,0,0,0,29,0,15,3,8,0,3,0,6,0,42,4,20,14,0,6,11,0,3,0,64,3,16,13,7,15,18,0,3,0,79
20201,12,75,17,0,0,0,0,0,0,111,10,84,17,6,4,4,0,3,0,135,23,130,82,19,16,15,4,13,4,309,51,163,133,58,39,10,6,12,3,463,58,140,243,126,134,50,20,21,4,788,71,99,304,296,352,218,40,55,8,1442,93,69,221,271,475,295,82,111,8,1626,109,58,159,293,554,460,124,145,6,1900,68,35,85,168,399,378,122,176,3,1428,87,34,67,136,500,507,221,369,4,1927,8,9,15,11,48,82,33,64,0,267,24,20,24,36,80,114,48,179,6,520,4,13,6,6,9,5,3,8,8,59,628,1033,1393,1433,2612,2147,696,1158,50,11142,0,3,0,0,0,3,0,3,0,19,4,32,3,0,0,0,0,4,0,44,15,38,17,0,0,7,0,0,0,83,15,46,16,7,11,16,6,4,0,118,20,58,35,6,53,51,5,8,3,252,31,77,105,37,117,100,30,20,13,530
20202,0,54,11,8,4,5,0,4,0,95,5,42,10,10,4,3,0,3,0,88,13,88,36,15,12,4,3,4,0,174,13,74,56,25,13,22,3,13,0,222,25,75,93,34,26,35,9,9,5,308,21,34,92,86,57,64,17,28,3,409,21,33,73,80,68,88,34,38,0,438,22,25,44,80,101,106,32,43,6,456,13,19,17,32,66,101,25,48,4,330,10,25,35,46,75,145,55,113,6,499,0,8,6,9,13,12,13,12,3,77,3,9,15,15,30,46,9,39,0,164,0,3,4,0,8,0,0,3,14,28,150,543,508,445,481,639,196,368,39,3371,0,0,0,0,0,5,0,9,0,11,0,20,0,0,0,0,0,0,0,31,8,32,6,0,3,4,0,4,0,54,11,25,9,3,7,8,0,9,0,62,12,48,28,9,14,14,5,0,0,137,14,41,36,20,46,49,4,12,3,222
20203,0,6,4,0,0,0,0,0,0,11,0,6,0,0,0,0,0,4,0,6,0,9,3,3,0,0,0,0,0,14,0,4,14,0,0,0,0,0,0,22,0,8,11,4,5,3,0,0,0,32,0,4,9,12,10,15,0,4,0,58,3,0,8,11,10,16,9,4,0,53,0,3,6,12,10,14,3,11,0,62,5,0,0,0,9,23,7,3,0,43,7,0,3,3,6,31,19,35,0,108,0,0,0,0,0,3,0,8,0,9,0,0,0,0,0,0,3,8,0,14,0,0,0,0,0,0,0,0,0,0,26,43,58,43,48,103,35,85,5,457,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,4,0,4,5,0,0,0,0,0,0,17,0,5,0,0,4,4,0,0,0,12,0,5,3,0,6,0,0,0,0,16,0,7,9,0,9,6,4,5,0,39
20301,5,10,3,0,0,0,0,0,0,15,0,10,3,0,0,0,0,0,0,17,0,14,9,3,3,3,0,0,0,30,6,12,17,6,4,3,0,6,6,52,0,12,18,6,0,8,0,7,0,58,3,8,20,17,19,20,6,7,0,93,10,3,12,27,35,20,4,6,0,119,0,9,5,9,24,30,4,23,0,99,4,4,12,3,14,25,6,15,0,74,3,4,8,3,18,27,9,24,0,99,0,0,0,0,0,4,4,9,0,17,4,0,6,0,0,12,3,11,0,35,0,0,0,0,0,4,0,0,0,13,34,105,106,77,125,148,43,107,6,766,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,4,0,12,0,8,0,0,0,0,0,0,0,16,0,13,9,0,3,0,0,6,0,34,5,18,12,0,10,7,0,3,0,50,4,9,4,4,16,18,0,8,5,72
20302,29,178,33,5,4,6,3,6,3,264,32,219,70,22,10,17,5,8,3,380,70,356,181,48,28,28,5,10,5,735,95,389,320,100,79,53,7,30,13,1086,104,354,523,258,212,137,44,41,20,1692,127,258,691,509,704,535,83,106,14,3037,148,157,524,542,938,690,152,186,17,3359,185,125,310,569,1036,831,227,316,18,3620,158,82,177,344,878,856,274,325,15,3105,189,86,192,290,1215,1573,488,839,25,4900,16,20,31,44,100,230,76,176,9,694,36,42,112,114,165,376,160,466,6,1471,4,13,14,13,22,18,3,9,29,123,1262,2558,3218,2873,5412,5369,1524,2520,180,24900,6,9,5,0,8,11,4,9,0,47,10,76,4,5,0,5,0,9,3,111,29,128,22,11,15,9,0,0,5,214,32,115,58,15,22,8,4,15,5,282,35,141,139,28,90,85,13,13,9,551,68,170,147,65,169,226,38,41,5,932
20303,9,63,19,10,3,3,0,5,0,111,12,57,24,9,5,10,0,4,0,117,19,102,48,11,11,7,5,9,0,213,31,113,81,37,19,21,0,5,0,305,12,99,116,58,43,36,0,13,5,382,26,60,109,79,121,78,22,20,0,525,17,56,102,69,145,99,29,59,5,579,31,50,57,93,177,141,57,94,6,690,18,31,38,31,112,132,48,77,4,492,26,38,42,58,159,227,77,174,4,794,3,5,19,10,23,38,8,35,0,148,13,33,25,19,31,71,35,82,9,318,3,7,0,4,5,9,7,3,3,30,221,770,702,494,856,884,296,583,41,4838,0,5,3,0,0,0,0,4,0,17,0,25,7,0,0,3,0,0,0,35,6,47,6,3,0,3,0,4,0,69,9,52,21,3,7,6,0,6,4,110,6,48,37,12,28,18,0,3,3,154,17,63,65,22,47,60,7,12,7,285
20401,8,38,6,0,6,0,0,7,3,66,9,29,26,9,5,5,0,5,0,78,7,61,39,6,7,3,5,11,4,141,16,50,55,31,14,12,4,10,3,188,17,43,90,41,42,34,3,5,7,290,22,44,78,70,107,81,20,28,4,448,15,27,66,69,107,98,23,51,3,461,35,25,41,69,137,127,38,85,5,557,10,9,16,32,68,97,41,75,3,356,19,16,22,30,94,134,54,171,4,554,0,5,0,9,8,17,8,19,0,80,5,9,8,14,10,33,20,50,5,141,0,6,9,0,0,9,0,0,7,32,167,393,459,388,608,653,220,519,36,3459,6,4,6,5,3,0,0,3,3,24,6,26,5,0,4,0,0,5,0,51,4,32,10,8,0,6,0,3,0,59,6,28,15,3,9,9,0,9,5,80,14,41,29,10,21,15,7,6,0,139,13,42,49,21,41,58,12,17,4,261
