POW_SA3_CODE_2021,CoPSW_1250_1499_H_0,CoPSW_1250_1499_H_1_19,CoPSW_1250_1499_H_20_29,CoPSW_1250_1499_H_30_34,CoPSW_1250_1499_H_35_39,CoPSW_1250_1499_H_40_44,CoPSW_1250_1499_H_45_49,CoPSW_1250_1499_H_50ov,CoPSW_1250_1499_H_NS,CoPSW_1250_1499_H_Tot,CoPSW_1500_1749_H_0,CoPSW_1500_1749_H_1_19,CoPSW_1500_1749_H_20_29,CoPSW_1500_1749_H_30_34,CoPSW_1500_1749_H_35_39,CoPSW_1500_1749_H_40_44,CoPSW_1500_1749_H_45_49,CoPSW_1500_1749_H_50ov,CoPSW_1500_1749_H_NS,CoPSW_1500_1749_H_Tot,CoPSW_1750_1999_H_0,CoPSW_1750_1999_H_1_19,CoPSW_1750_1999_H_20_29,CoPSW_1750_1999_H_30_34,CoPSW_1750_1999_H_35_39,CoPSW_1750_1999_H_40_44,CoPSW_1750_1999_H_45_49,CoPSW_1750_1999_H_50ov,CoPSW_1750_1999_H_NS,CoPSW_1750_1999_H_Tot,CoPSW_2000_2999_H_0,CoPSW_2000_2999_H_1_19,CoPSW_2000_2999_H_20_29,CoPSW_2000_2999_H_30_34,CoPSW_2000_2999_H_35_39,CoPSW_2000_2999_H_40_44,CoPSW_2000_2999_H_45_49,CoPSW_2000_2999_H_50ov,CoPSW_2000_2999_H_NS,CoPSW_2000_2999_H_Tot,CoPSW_3000_3499_H_0,CoPSW_3000_3499_H_1_19,CoPSW_3000_3499_H_20_29,CoPSW_3000_3499_H_30_34,CoPSW_3000_3499_H_35_39,CoPSW_3000_3499_H_40_44,CoPSW_3000_3499_H_45_49,CoPSW_3000_3499_H_50ov,CoPSW_3000_3499_H_NS,CoPSW_3000_3499_H_Tot,CoPSW_3500mo_H_0,CoPSW_3500mo_H_1_19,CoPSW_3500mo_H_20_29,CoPSW_3500mo_H_30_34,CoPSW_3500mo_H_35_39,CoPSW_3500mo_H_40_44,CoPSW_3500mo_H_45_49,CoPSW_3500mo_H_50ov,CoPSW_3500mo_H_NS,CoPSW_3500mo_H_Tot,CoPSW_PINS_H_0,CoPSW_PINS_H_1_19,CoPSW_PINS_H_20_29,CoPSW_PINS_H_30_34,CoPSW_PINS_H_35_39,CoPSW_PINS_H_40_44,CoPSW_PINS_H_45_49,CoPSW_PINS_H_50ov,CoPSW_PINS_H_NS,CoPSW_PINS_H_Tot,CoPSW_Tot_H_0,CoPSW_Tot_H_1_19,CoPSW_Tot_H_20_29,CoPSW_Tot_H_30_34,CoPSW_Tot_H_35_39,CoPSW_Tot_H_40_44,CoPSW_Tot_H_45_49,CoPSW_Tot_H_50ov,CoPSW_Tot_H_NS,CoPSW_Tot_H_Tot,ClAW_NNI_H_0,ClAW_NNI_H_1_19,ClAW_NNI_H_20_29,ClAW_NNI_H_30_34,ClAW_NNI_H_35_39,ClAW_NNI_H_40_44,ClAW_NNI_H_45_49,ClAW_NNI_H_50ov,ClAW_NNI_H_NS,ClAW_NNI_H_Tot,ClAW_1_149_H_0,ClAW_1_149_H_1_19,ClAW_1_149_H_20_29,ClAW_1_149_H_30_34,ClAW_1_149_H_35_39,ClAW_1_149_H_40_44,ClAW_1_149_H_45_49,ClAW_1_149_H_50ov,ClAW_1_149_H_NS,ClAW_1_149_H_Tot,ClAW_150_299_H_0,ClAW_150_299_H_1_19,ClAW_150_299_H_20_29,ClAW_150_299_H_30_34,ClAW_150_299_H_35_39,ClAW_150_299_H_40_44,ClAW_150_299_H_45_49,ClAW_150_299_H_50ov,ClAW_150_299_H_NS,ClAW_150_299_H_Tot,ClAW_300_399_H_0,ClAW_300_399_H_1_19,ClAW_300_399_H_20_29,ClAW_300_399_H_30_34,ClAW_300_399_H_35_39,ClAW_300_399_H_40_44,ClAW_300_399_H_45_49,ClAW_300_399_H_50ov,ClAW_300_399_H_NS,ClAW_300_399_H_Tot,ClAW_400_499_H_0,ClAW_400_499_H_1_19,ClAW_400_499_H_20_29,ClAW_400_499_H_30_34,ClAW_400_499_H_35_39,ClAW_400_499_H_40_44,ClAW_400_499_H_45_49,ClAW_400_499_H_50ov,ClAW_400_499_H_NS,ClAW_400_499_H_Tot,ClAW_500_649_H_0,ClAW_500_649_H_1_19,ClAW_500_649_H_20_29,ClAW_500_649_H_30_34,ClAW_500_649_H_35_39,ClAW_500_649_H_40_44,ClAW_500_649_H_45_49,ClAW_500_649_H_50ov,ClAW_500_649_H_NS,ClAW_500_649_H_Tot,ClAW_650_799_H_0,ClAW_650_799_H_1_19,ClAW_650_799_H_20_29,ClAW_650_799_H_30_34,ClAW_650_799_H_35_39,ClAW_650_799_H_40_44,ClAW_650_799_H_45_49,ClAW_650_799_H_50ov,ClAW_650_799_H_NS,ClAW_650_799_H_Tot,ClAW_800_999_H_0,ClAW_800_999_H_1_19,ClAW_800_999_H_20_29,ClAW_800_999_H_30_34,ClAW_800_999_H_35_39,ClAW_800_999_H_40_44,ClAW_800_999_H_45_49,ClAW_800_999_H_50ov,ClAW_800_999_H_NS,ClAW_800_999_H_Tot,ClAW_1000_1249_H_0,ClAW_1000_1249_H_1_19,ClAW_1000_1249_H_20_29,ClAW_1000_1249_H_30_34,ClAW_1000_1249_H_35_39,ClAW_1000_1249_H_40_44,ClAW_1000_1249_H_45_49,ClAW_1000_1249_H_50ov,ClAW_1000_1249_H_NS,ClAW_1000_1249_H_Tot,ClAW_1250_1499_H_0,ClAW_1250_1499_H_1_19,ClAW_1250_1499_H_20_29,ClAW_1250_1499_H_30_34,ClAW_1250_1499_H_35_39,ClAW_1250_1499_H_40_44,ClAW_1250_1499_H_45_49,ClAW_1250_1499_H_50ov,ClAW_1250_1499_H_NS,ClAW_1250_1499_H_Tot,ClAW_1500_1749_H_0,ClAW_1500_1749_H_1_19,ClAW_1500_1749_H_20_29,ClAW_1500_1749_H_30_34,ClAW_1500_1749_H_35_39,ClAW_1500_1749_H_40_44,ClAW_1500_1749_H_45_49,ClAW_1500_1749_H_50ov,ClAW_1500_1749_H_NS,ClAW_1500_1749_H_Tot,ClAW_1750_1999_H_0,ClAW_1750_1999_H_1_19,ClAW_1750_1999_H_20_29,ClAW_1750_1999_H_30_34,ClAW_1750_1999_H_35_39,ClAW_1750_1999_H_40_44,ClAW_1750_1999_H_45_49,ClAW_1750_1999_H_50ov,ClAW_1750_1999_H_NS,ClAW_1750_1999_H_Tot
20101,26,25,68,85,186,87,29,37,8,561,28,15,15,46,116,117,27,37,5,393,20,7,19,15,44,69,26,27,0,236,41,11,5,14,44,123,38,60,4,326,8,0,0,3,3,6,3,20,0,48,4,7,0,0,0,3,0,13,0,32,11,11,5,0,0,5,0,0,13,57,685,1749,1481,1080,1237,709,189,319,109,7552,5,18,0,3,4,0,0,0,0,35,14,56,0,0,0,0,0,0,0,74,7,88,11,0,0,3,0,0,0,116,15,134,33,9,6,3,0,0,0,203,17,171,70,5,18,3,3,0,0,287,34,150,258,45,51,26,0,3,6,569,40,124,275,144,135,54,5,14,0,797,45,86,215,201,384,176,18,31,8,1165,53,64,149,190,562,348,54,42,5,1462,32,27,63,73,375,214,53,52,4,882,35,32,28,41,232,145,42,49,5,596,14,4,23,23,133,76,53,33,4,350
20102,3,10,12,8,13,6,0,0,0,56,5,0,3,0,4,3,0,10,0,30,3,3,3,0,3,9,0,4,0,25,3,0,0,0,3,20,4,4,0,36,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,140,313,213,130,104,96,19,40,15,1067,0,3,6,0,0,0,0,0,0,10,4,8,0,0,0,0,0,0,0,13,4,28,4,0,0,0,0,0,0,39,4,36,8,3,5,0,0,0,0,55,0,34,13,3,0,0,0,4,6,57,0,33,35,14,6,4,0,5,0,97,13,19,37,17,14,10,0,5,6,116,0,13,20,29,32,24,5,0,0,118,7,10,12,22,40,36,3,8,0,130,0,0,9,8,22,18,0,0,0,67,6,3,10,3,21,16,5,3,3,61,3,5,0,0,6,3,0,4,0,23
20103,14,9,7,10,15,38,7,5,0,92,0,0,3,9,8,47,3,3,0,83,7,0,5,0,12,20,5,5,0,54,3,3,0,0,9,36,3,11,0,75,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,3,13,93,210,155,142,146,204,32,42,20,1050,0,3,4,0,0,0,0,0,0,7,3,11,4,0,0,0,0,0,0,18,0,18,3,0,0,0,0,0,0,23,3,17,3,0,0,0,0,0,0,33,0,21,6,5,0,0,0,0,0,38,11,16,23,9,5,4,0,0,0,71,0,12,26,18,16,8,4,4,0,86,5,8,11,23,34,21,3,0,3,105,0,9,14,8,41,13,3,8,0,109,0,7,8,9,26,18,10,4,0,76,0,0,6,0,18,8,0,5,0,45,0,5,6,0,15,7,0,6,0,28
20201,30,26,53,93,164,84,13,24,3,501,18,13,23,33,118,71,14,37,0,323,10,3,20,26,49,57,15,27,0,208,28,7,10,15,30,115,26,63,0,302,3,0,0,0,4,8,6,15,0,33,0,3,0,3,0,4,3,7,0,28,0,4,3,3,8,6,0,0,15,36,575,1507,1316,916,1126,632,143,276,90,6587,8,16,0,0,0,0,0,0,0,30,5,55,0,0,0,0,0,0,0,60,8,74,8,3,0,0,0,0,0,97,15,95,19,3,5,3,0,0,3,143,19,158,62,5,5,3,0,0,0,252,29,152,229,38,27,11,0,4,7,504,29,82,234,127,108,49,7,12,3,654,32,75,199,182,333,158,18,30,5,1024,41,46,128,146,490,250,39,36,9,1173,37,27,59,95,367,213,40,47,6,880,19,22,26,40,236,131,34,62,0,563,12,12,10,18,104,88,33,30,0,304
20202,13,14,23,18,61,64,9,23,4,240,15,6,12,20,41,79,19,35,0,228,10,3,0,5,36,61,10,21,0,157,24,5,3,3,21,68,15,34,0,167,3,0,0,0,0,3,0,0,0,9,0,0,5,0,0,0,3,3,0,15,0,4,3,0,4,3,3,0,10,28,252,563,409,280,370,369,80,173,42,2527,0,8,0,3,0,4,0,0,0,15,3,23,3,0,0,0,0,0,3,29,5,25,0,0,0,0,0,0,0,36,7,46,15,4,0,0,0,0,0,78,0,53,30,4,3,0,0,0,0,100,13,54,85,8,4,13,5,0,0,184,0,40,71,39,20,22,0,4,0,195,11,27,47,48,55,36,5,9,0,227,9,18,24,35,80,60,5,16,0,246,7,13,8,19,49,46,10,5,0,153,6,12,7,14,40,34,5,17,0,143,0,0,6,3,20,22,7,10,0,68
20203,0,0,0,0,0,0,0,4,0,8,0,0,0,3,3,0,0,0,0,7,0,0,0,0,0,0,0,3,0,11,6,0,0,0,0,11,6,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,62,48,23,22,20,6,13,5,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,8,5,16,7,0,0,0,0,0,0,27,0,20,8,0,0,0,0,0,0,35,4,9,13,3,5,0,0,0,0,34,3,7,7,9,8,13,0,0,0,47,0,0,6,14,12,15,0,9,0,57,0,0,5,8,10,13,4,0,0,43,0,4,6,0,5,6,4,7,0,26,0,0,0,0,0,10,0,0,0,10
20301,0,0,3,3,5,5,0,0,4,21,0,0,0,6,4,3,0,0,0,16,0,0,0,0,0,0,0,0,0,12,0,0,0,0,7,7,4,7,0,22,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,41,175,126,71,67,47,0,10,10,569,0,7,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,8,3,20,0,0,0,0,0,0,0,22,0,14,3,0,3,0,0,0,0,22,0,16,4,0,0,0,0,0,0,25,0,16,18,0,0,0,0,0,0,39,6,12,8,7,3,5,0,0,0,45,0,3,5,12,9,8,0,0,0,44,0,9,8,16,15,15,0,4,0,76,4,4,5,6,18,17,4,0,0,58,0,5,0,0,12,10,5,7,0,39,0,4,0,4,4,7,3,0,0,21
20302,61,60,117,154,288,271,55,77,10,1090,56,31,56,96,212,319,66,85,7,918,54,16,25,35,110,194,53,70,5,573,61,14,20,27,72,279,92,118,7,692,8,5,0,3,8,18,5,22,0,70,7,5,12,7,11,21,15,15,0,97,8,10,21,10,10,9,0,4,23,94,1236,3440,2806,1701,2029,1741,379,588,167,14091,9,24,7,3,3,5,0,7,0,67,13,101,9,0,0,0,0,0,0,124,18,194,12,3,3,4,0,0,6,244,16,260,49,18,10,8,0,0,0,363,30,270,143,23,22,12,0,4,0,505,52,307,389,78,60,30,5,6,0,936,74,225,515,200,162,78,8,16,7,1293,88,165,401,327,545,292,47,42,15,1924,103,121,235,323,968,557,83,103,16,2513,66,54,97,175,797,473,95,91,10,1851,70,50,66,116,479,319,63,95,0,1255,25,26,36,39,238,192,55,67,0,677
20303,14,14,12,33,43,27,15,13,5,174,6,9,5,8,27,35,11,14,0,119,8,5,6,11,18,22,14,12,0,93,13,6,4,4,9,50,15,18,0,126,0,3,0,0,0,11,3,4,0,12,6,9,6,0,0,3,0,5,0,23,6,7,3,4,4,3,0,0,10,36,512,1233,769,442,443,316,78,105,46,3947,0,14,0,0,0,0,0,0,3,19,7,19,0,0,0,0,0,0,0,31,6,59,9,0,0,0,0,0,0,82,15,83,19,0,0,3,0,0,0,120,10,78,41,6,0,3,0,4,0,138,21,91,93,13,5,7,0,3,0,228,12,65,111,45,29,14,0,5,3,283,11,62,73,76,88,42,0,0,0,355,11,34,49,51,102,65,5,20,4,334,7,16,27,34,112,52,0,9,4,263,7,20,16,19,59,46,11,12,3,194,0,15,11,10,24,16,9,15,0,101
20401,21,18,21,27,65,68,29,34,0,273,8,9,17,13,39,58,18,37,8,219,12,6,4,3,22,54,15,12,0,125,21,9,6,4,18,78,25,51,3,208,4,4,0,0,5,5,0,0,0,19,5,0,0,0,0,0,3,10,0,21,0,0,3,7,0,3,0,0,7,26,373,699,549,364,483,467,138,261,61,3392,0,11,5,0,0,0,0,0,0,15,11,26,4,4,0,0,0,0,0,41,9,53,9,0,0,3,0,4,0,74,8,68,18,3,0,5,0,0,0,104,7,73,25,8,7,4,0,0,0,120,9,73,85,24,13,7,0,4,0,229,5,51,85,56,35,32,0,0,4,274,16,30,61,66,92,42,8,10,0,327,20,25,30,50,155,100,10,13,3,409,10,13,22,22,104,62,12,29,3,271,11,8,5,9,52,36,9,15,6,154,3,3,3,5,22,25,4,6,0,77
