POW_SA3_CODE_2021,BDLA_NNI_Mng,BDLA_NNI_Pro,BDLA_NNI_TecTW,BDLA_NNI_CoPSW,BDLA_NNI_ClAW,BDLA_NNI_SWks,BDLA_NNI_MaOpDv,BDLA_NNI_Lab,BDLA_NNI_IDNS,BDLA_NNI_Tot,BDLA_1_149_Mng,BDLA_1_149_Pro,BDLA_1_149_TecTW,BDLA_1_149_CoPSW,BDLA_1_149_ClAW,BDLA_1_149_SWks,BDLA_1_149_MaOpDv,BDLA_1_149_Lab,BDLA_1_149_IDNS,BDLA_1_149_Tot,BDLA_150_299_Mng,BDLA_150_299_Pro,BDLA_150_299_TecTW,BDLA_150_299_CoPSW,BDLA_150_299_ClAW,BDLA_150_299_SWks,BDLA_150_299_MaOpDv,BDLA_150_299_Lab,BDLA_150_299_IDNS,BDLA_150_299_Tot,BDLA_300_399_Mng,BDLA_300_399_Pro,BDLA_300_399_TecTW,BDLA_300_399_CoPSW,BDLA_300_399_ClAW,BDLA_300_399_SWks,BDLA_300_399_MaOpDv,BDLA_300_399_Lab,BDLA_300_399_IDNS,BDLA_300_399_Tot,BDLA_400_499_Mng,BDLA_400_499_Pro,BDLA_400_499_TecTW,BDLA_400_499_CoPSW,BDLA_400_499_ClAW,BDLA_400_499_SWks,BDLA_400_499_MaOpDv,BDLA_400_499_Lab,BDLA_400_499_IDNS,BDLA_400_499_Tot,BDLA_500_649_Mng,BDLA_500_649_Pro,BDLA_500_649_TecTW,BDLA_500_649_CoPSW,BDLA_500_649_ClAW,BDLA_500_649_SWks,BDLA_500_649_MaOpDv,BDLA_500_649_Lab,BDLA_500_649_IDNS,BDLA_500_649_Tot,BDLA_650_799_Mng,BDLA_650_799_Pro,BDLA_650_799_TecTW,BDLA_650_799_CoPSW,BDLA_650_799_ClAW,BDLA_650_799_SWks,BDLA_650_799_MaOpDv,BDLA_650_799_Lab,BDLA_650_799_IDNS,BDLA_650_799_Tot,BDLA_800_999_Mng,BDLA_800_999_Pro,BDLA_800_999_TecTW,BDLA_800_999_CoPSW,BDLA_800_999_ClAW,BDLA_800_999_SWks,BDLA_800_999_MaOpDv,BDLA_800_999_Lab,BDLA_800_999_IDNS,BDLA_800_999_Tot,BDLA_1000_1249_Mng,BDLA_1000_1249_Pro,BDLA_1000_1249_TecTW,BDLA_1000_1249_CoPSW,BDLA_1000_1249_ClAW,BDLA_1000_1249_SWks,BDLA_1000_1249_MaOpDv,BDLA_1000_1249_Lab,BDLA_1000_1249_IDNS,BDLA_1000_1249_Tot,BDLA_1250_1499_Mng,BDLA_1250_1499_Pro,BDLA_1250_1499_TecTW,BDLA_1250_1499_CoPSW,BDLA_1250_1499_ClAW,BDLA_1250_1499_SWks,BDLA_1250_1499_MaOpDv,BDLA_1250_1499_Lab,BDLA_1250_1499_IDNS,BDLA_1250_1499_Tot,BDLA_1500_1749_Mng,BDLA_1500_1749_Pro,BDLA_1500_1749_TecTW,BDLA_1500_1749_CoPSW,BDLA_1500_1749_ClAW,BDLA_1500_1749_SWks,BDLA_1500_1749_MaOpDv,BDLA_1500_1749_Lab,BDLA_1500_1749_IDNS,BDLA_1500_1749_Tot,BDLA_1750_1999_Mng,BDLA_1750_1999_Pro,BDLA_1750_1999_TecTW,BDLA_1750_1999_CoPSW,BDLA_1750_1999_ClAW,BDLA_1750_1999_SWks,BDLA_1750_1999_MaOpDv,BDLA_1750_1999_Lab,BDLA_1750_1999_IDNS,BDLA_1750_1999_Tot,BDLA_2000_2999_Mng,BDLA_2000_2999_Pro,BDLA_2000_2999_TecTW,BDLA_2000_2999_CoPSW,BDLA_2000_2999_ClAW,BDLA_2000_2999_SWks,BDLA_2000_2999_MaOpDv,BDLA_2000_2999_Lab,BDLA_2000_2999_IDNS,BDLA_2000_2999_Tot,BDLA_3000_3499_Mng,BDLA_3000_3499_Pro,BDLA_3000_3499_TecTW,BDLA_3000_3499_CoPSW,BDLA_3000_3499_ClAW,BDLA_3000_3499_SWks,BDLA_3000_3499_MaOpDv,BDLA_3000_3499_Lab,BDLA_3000_3499_IDNS,BDLA_3000_3499_Tot,BDLA_3500mo_Mng,BDLA_3500mo_Pro,BDLA_3500mo_TecTW,BDLA_3500mo_CoPSW,BDLA_3500mo_ClAW,BDLA_3500mo_SWks,BDLA_3500mo_MaOpDv,BDLA_3500mo_Lab,BDLA_3500mo_IDNS,BDLA_3500mo_Tot,BDLA_PINS_Mng,BDLA_PINS_Pro,BDLA_PINS_TecTW,BDLA_PINS_CoPSW,BDLA_PINS_ClAW,BDLA_PINS_SWks,BDLA_PINS_MaOpDv,BDLA_PINS_Lab,BDLA_PINS_IDNS,BDLA_PINS_Tot,BDLA_Tot_Mng,BDLA_Tot_Pro,BDLA_Tot_TecTW,BDLA_Tot_CoPSW,BDLA_Tot_ClAW,BDLA_Tot_SWks,BDLA_Tot_MaOpDv,BDLA_Tot_Lab,BDLA_Tot_IDNS,BDLA_Tot_Tot,Ad_Dip_NNI_Mng,Ad_Dip_NNI_Pro,Ad_Dip_NNI_TecTW,Ad_Dip_NNI_CoPSW,Ad_Dip_NNI_ClAW,Ad_Dip_NNI_SWks,Ad_Dip_NNI_MaOpDv,Ad_Dip_NNI_Lab,Ad_Dip_NNI_IDNS,Ad_Dip_NNI_Tot,Ad_Dip_1_149_Mng,Ad_Dip_1_149_Pro,Ad_Dip_1_149_TecTW,Ad_Dip_1_149_CoPSW,Ad_Dip_1_149_ClAW,Ad_Dip_1_149_SWks,Ad_Dip_1_149_MaOpDv,Ad_Dip_1_149_Lab,Ad_Dip_1_149_IDNS,Ad_Dip_1_149_Tot,Ad_Dip_150_299_Mng,Ad_Dip_150_299_Pro,Ad_Dip_150_299_TecTW,Ad_Dip_150_299_CoPSW,Ad_Dip_150_299_ClAW,Ad_Dip_150_299_SWks,Ad_Dip_150_299_MaOpDv,Ad_Dip_150_299_Lab,Ad_Dip_150_299_IDNS,Ad_Dip_150_299_Tot
20101,5,8,0,10,12,0,0,0,0,33,4,34,0,15,7,7,0,4,0,73,12,65,7,39,23,18,6,17,0,183,14,89,11,74,28,28,8,19,0,276,19,119,15,85,40,46,10,25,7,363,48,250,30,152,84,69,17,52,11,721,62,386,69,170,133,70,20,45,11,960,80,647,112,246,188,62,35,57,10,1434,137,1160,100,214,254,55,31,26,15,1989,155,1353,66,127,183,28,20,18,14,1965,166,1512,56,110,151,13,17,16,7,2048,157,1226,36,84,119,10,8,3,19,1659,585,1857,29,119,122,30,10,7,13,2779,178,282,0,24,22,4,5,0,0,523,281,591,0,6,26,14,4,0,9,943,8,44,0,4,4,0,0,0,7,73,1919,9635,545,1473,1382,451,190,294,131,16025,14,4,0,0,4,0,0,0,5,29,3,3,3,7,4,4,0,6,0,38,6,12,9,31,13,15,4,10,0,91
20102,7,3,0,0,0,0,0,3,0,14,7,3,0,0,3,4,0,0,0,23,14,24,3,3,13,10,0,3,0,77,18,21,9,16,19,12,3,7,0,97,13,34,4,19,9,0,0,15,0,102,29,50,9,29,17,9,0,12,0,155,26,50,16,28,21,17,7,14,3,189,40,85,39,38,24,11,5,15,0,254,53,119,22,35,34,9,0,7,5,290,42,144,13,8,15,0,0,8,0,238,49,176,13,5,19,0,6,10,0,280,39,100,9,5,8,3,0,3,0,162,97,140,13,21,4,8,3,0,0,284,18,46,0,0,3,0,0,0,0,78,56,53,3,0,6,0,0,0,0,117,0,7,3,0,5,0,0,0,0,16,519,1053,157,201,187,94,25,107,23,2371,5,0,0,0,0,0,0,0,0,12,9,3,0,0,0,0,0,0,0,15,7,3,0,10,3,5,0,10,0,42
20103,4,0,0,4,4,0,0,0,0,15,3,3,0,4,0,0,0,0,0,7,0,6,3,0,4,0,0,0,0,15,9,8,3,3,6,0,4,3,0,35,17,7,4,8,0,0,0,5,0,48,15,30,4,15,9,0,0,4,0,75,15,43,8,17,10,7,0,11,0,109,8,60,3,8,23,5,0,10,0,121,30,115,5,17,20,3,0,8,4,203,21,97,5,12,10,0,3,5,0,153,28,130,0,11,13,0,4,0,0,184,15,90,0,8,3,0,0,0,0,119,65,121,5,24,4,0,0,0,4,226,24,20,0,6,0,0,0,0,0,48,23,31,3,3,0,0,0,0,0,61,0,3,0,3,0,0,0,0,0,10,283,769,37,136,100,27,8,63,9,1435,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,3,0,0,0,0,4,0,0,0,19
20201,10,10,0,0,0,0,0,0,0,30,3,24,0,9,4,0,6,4,7,50,6,49,4,28,20,22,3,11,3,154,8,71,8,37,26,31,8,9,0,191,18,81,8,62,40,31,7,23,4,278,32,201,29,123,77,53,11,41,3,568,41,309,43,159,82,53,11,32,0,736,83,560,57,189,160,66,20,43,10,1182,121,1048,67,164,184,28,17,29,14,1673,117,1283,43,104,175,10,8,20,14,1777,162,1540,40,91,146,18,11,3,14,2022,175,1173,26,54,97,16,4,5,15,1565,498,1668,20,107,93,14,6,12,13,2426,171,233,3,13,17,4,0,0,0,445,214,460,5,10,22,8,0,0,3,723,5,34,0,4,3,4,0,0,0,49,1677,8732,352,1150,1146,363,116,234,103,13868,7,0,0,4,11,0,0,0,3,27,0,0,3,8,0,0,0,8,0,21,8,18,6,38,6,14,5,9,0,89
20202,11,7,3,0,3,0,0,0,0,27,10,17,6,7,6,3,0,9,0,53,17,41,4,13,7,5,5,6,3,100,26,56,12,33,10,4,0,12,8,174,24,53,21,35,23,22,4,17,0,216,44,117,25,40,34,27,0,33,7,326,47,159,15,61,42,13,6,39,6,382,55,236,45,57,31,10,12,76,4,529,80,303,34,79,38,14,11,60,10,624,63,341,11,51,29,12,0,16,3,535,70,365,10,45,34,10,4,10,5,555,72,270,12,35,17,10,0,0,5,424,189,418,15,47,27,7,0,8,4,726,49,70,0,8,6,5,0,0,0,136,98,139,8,4,12,7,0,0,3,281,4,15,0,3,0,0,0,3,0,29,865,2613,230,525,330,150,40,290,56,5101,17,0,0,0,4,0,0,0,0,21,8,0,3,4,3,0,0,3,0,24,3,4,5,5,6,9,0,9,0,51
20203,8,0,0,0,0,0,0,0,0,7,6,6,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,12,8,3,4,3,0,0,0,5,0,22,9,10,0,0,4,0,0,9,0,25,11,9,4,3,4,0,0,0,0,39,7,11,0,7,5,0,0,3,0,34,25,26,0,8,0,0,0,10,0,63,28,40,3,4,9,0,5,12,0,98,17,42,6,0,6,0,3,4,0,82,15,54,3,5,8,0,3,3,0,85,9,34,0,0,0,0,0,0,4,57,40,92,3,4,0,0,3,0,0,143,12,11,6,0,0,0,0,0,0,23,18,10,5,0,0,0,0,0,0,39,3,0,0,0,0,0,0,0,0,8,219,345,32,29,46,12,17,46,8,755,4,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,7
20301,5,0,0,0,0,0,0,4,0,12,8,10,0,0,3,0,0,4,0,19,5,11,3,0,5,4,0,6,0,35,11,9,6,4,4,5,0,0,0,41,13,13,10,6,4,0,0,6,0,52,11,21,0,20,4,4,0,7,0,72,23,36,6,12,10,6,0,9,0,99,26,39,6,18,9,8,0,8,0,118,27,74,5,13,12,3,0,8,0,153,29,107,4,0,11,5,0,5,0,171,29,81,3,7,11,0,0,4,0,130,15,65,0,0,9,0,0,0,0,91,52,88,3,8,11,0,4,0,0,153,25,9,0,0,0,0,0,0,0,32,21,37,0,0,4,0,0,0,0,63,5,3,0,0,0,0,0,0,0,12,295,599,50,96,102,29,9,59,7,1250,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,4,0,0,0,11,4,0,0,0,0,6,0,7,0,15
20302,22,51,6,18,11,0,4,3,6,123,15,68,12,49,19,12,4,11,3,185,22,115,29,79,66,60,9,36,12,416,41,166,37,118,66,90,35,67,10,609,50,238,54,169,105,102,51,105,7,883,69,497,74,274,184,172,73,126,15,1481,119,754,128,372,233,162,86,133,15,2007,195,1249,189,452,344,165,153,166,22,2934,316,2267,252,402,527,129,146,146,34,4206,333,2649,185,258,430,98,49,61,32,4094,385,2963,145,253,359,62,20,42,38,4275,399,2604,80,174,247,37,16,24,31,3611,1416,4240,145,219,399,66,12,7,53,6554,438,597,31,31,37,16,4,7,7,1179,743,1315,28,21,71,30,0,3,17,2226,16,83,6,6,15,0,0,3,30,159,4569,19846,1398,2890,3104,1193,664,939,341,34944,15,10,4,10,10,9,0,0,0,57,4,14,7,24,14,14,3,8,0,86,9,37,17,72,24,38,4,27,6,230
20303,17,22,4,4,10,0,3,0,0,54,0,16,3,16,8,4,0,0,0,54,18,38,10,28,16,12,3,18,5,138,14,74,15,53,34,20,4,26,3,250,25,68,11,47,18,37,8,32,0,258,39,140,24,87,56,53,8,48,4,467,55,209,46,125,67,43,12,45,3,606,65,299,58,127,75,40,8,47,11,737,130,396,69,120,66,36,8,26,7,862,107,471,39,47,82,29,4,15,5,792,125,578,40,40,59,31,4,8,5,887,94,415,19,41,41,19,0,4,5,633,263,668,24,59,45,21,0,9,4,1096,93,123,0,7,21,7,0,0,3,254,164,260,3,8,21,17,0,0,14,494,4,22,0,3,5,3,0,0,5,41,1218,3804,383,814,614,361,66,283,78,7627,4,0,0,0,3,0,0,0,0,15,4,8,0,8,3,5,0,5,0,31,4,16,12,35,22,12,0,12,4,108
20401,20,5,0,3,0,0,0,5,0,38,5,10,7,5,7,0,0,0,0,34,19,14,0,15,17,8,0,13,4,87,31,32,10,18,17,6,0,14,0,133,22,32,8,32,16,17,0,17,4,144,34,91,10,59,23,23,0,21,0,267,50,115,20,86,38,17,0,32,5,363,73,189,31,95,36,21,13,20,0,485,93,329,45,71,58,22,5,33,6,648,84,370,21,49,32,12,3,10,0,578,85,434,11,40,30,12,0,7,9,624,86,279,7,36,13,0,0,4,0,431,252,471,16,76,19,7,4,6,3,857,68,67,3,10,6,0,0,0,0,156,103,118,3,8,9,5,0,3,11,261,4,12,5,0,0,0,0,0,0,30,1036,2567,191,596,331,144,36,194,37,5135,18,0,3,0,8,0,0,0,0,29,10,3,0,6,11,0,0,7,0,38,10,10,5,20,10,4,0,8,0,74
