POW_SA3_CODE_2021,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_NegNilInc_E,P_NegNilInc_OM_IE,P_NegNilInc_OM_UIE,P_NegNilInc_CFW,P_NegNilInc_ES_NS,P_NegNilInc_Tot,P_1_149_E,P_1_149_OM_IE,P_1_149_OM_UIE,P_1_149_CFW,P_1_149_ES_NS,P_1_149_Tot,P_150_299_E,P_150_299_OM_IE,P_150_299_OM_UIE,P_150_299_CFW,P_150_299_ES_NS,P_150_299_Tot,P_300_399_E,P_300_399_OM_IE,P_300_399_OM_UIE,P_300_399_CFW,P_300_399_ES_NS,P_300_399_Tot,P_400_499_E,P_400_499_OM_IE,P_400_499_OM_UIE,P_400_499_CFW,P_400_499_ES_NS,P_400_499_Tot,P_500_649_E,P_500_649_OM_IE,P_500_649_OM_UIE,P_500_649_CFW,P_500_649_ES_NS,P_500_649_Tot,P_650_799_E,P_650_799_OM_IE,P_650_799_OM_UIE,P_650_799_CFW,P_650_799_ES_NS,P_650_799_Tot,P_800_999_E,P_800_999_OM_IE,P_800_999_OM_UIE,P_800_999_CFW,P_800_999_ES_NS,P_800_999_Tot,P_1000_1249_E,P_1000_1249_OM_IE,P_1000_1249_OM_UIE,P_1000_1249_CFW,P_1000_1249_ES_NS,P_1000_1249_Tot,P_1250_1499_E,P_1250_1499_OM_IE,P_1250_1499_OM_UIE,P_1250_1499_CFW,P_1250_1499_ES_NS,P_1250_1499_Tot,P_1500_1749_E,P_1500_1749_OM_IE,P_1500_1749_OM_UIE,P_1500_1749_CFW,P_1500_1749_ES_NS,P_1500_1749_Tot,P_1750_1999_E,P_1750_1999_OM_IE,P_1750_1999_OM_UIE,P_1750_1999_CFW,P_1750_1999_ES_NS,P_1750_1999_Tot,P_2000_2999_E,P_2000_2999_OM_IE,P_2000_2999_OM_UIE,P_2000_2999_CFW,P_2000_2999_ES_NS,P_2000_2999_Tot,P_3000_3499_E,P_3000_3499_OM_IE,P_3000_3499_OM_UIE,P_3000_3499_CFW,P_3000_3499_ES_NS,P_3000_3499_Tot,P_3500mo_E,P_3500mo_OM_IE,P_3500mo_OM_UIE,P_3500mo_CFW,P_3500mo_ES_NS,P_3500mo_Tot,P_PersInc_NS_E,P_PersInc_NS_OM_IE,P_PersInc_NS_OM_UIE,P_PersInc_NS_CFW,P_PersInc_NS_ES_NS,P_PersInc_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
20101,1243,326,160,28277,117,6,27,94,9,245,1738,15,68,26,12,1855,1490,34,93,42,5,1667,1455,67,158,58,28,1770,1986,86,205,54,25,2355,3574,153,292,57,36,4118,4597,231,314,43,33,5212,6434,303,301,50,36,7130,7306,363,351,39,50,8109,5113,340,254,28,27,5771,4139,353,204,22,14,4740,2942,241,151,18,12,3362,4256,433,196,13,13,4905,638,168,84,3,0,895,769,445,183,24,5,1422,366,35,30,18,26,475,46914,3278,2904,588,350,54038
20102,564,212,60,4336,23,6,19,57,9,113,240,4,20,32,9,303,269,23,55,48,12,409,234,32,101,54,12,434,338,39,105,35,12,536,539,79,153,57,18,845,690,81,145,46,13,980,855,115,165,32,13,1179,830,120,160,26,18,1149,524,94,110,24,15,762,442,102,93,15,8,664,237,69,69,12,3,389,350,112,56,7,7,530,77,30,23,4,3,134,80,79,48,10,6,217,56,16,26,15,10,121,5792,994,1354,469,162,8765
20103,273,162,43,3642,20,0,16,63,0,100,212,3,19,22,7,269,165,12,25,40,3,251,214,26,73,28,12,342,257,36,64,28,13,394,503,50,89,33,10,685,655,54,96,25,14,854,852,68,89,21,19,1052,864,63,94,24,16,1055,527,55,62,24,12,670,443,53,49,16,12,566,260,26,25,4,0,320,401,43,29,15,9,497,65,18,12,3,0,97,49,38,28,0,0,124,68,13,15,13,7,111,5558,565,779,366,129,7391
20201,1021,249,129,25424,132,9,13,64,0,220,1532,10,52,22,10,1634,1366,26,99,37,8,1537,1204,32,131,34,18,1420,1701,57,157,31,20,1980,3228,121,233,59,36,3673,4222,133,259,30,31,4677,5740,219,300,29,35,6322,6155,303,275,27,23,6791,4499,252,220,18,18,5010,3953,270,178,18,20,4431,2694,202,136,6,14,3045,3688,367,172,16,10,4255,545,155,50,10,4,764,627,321,107,14,6,1077,303,23,17,13,29,388,41578,2504,2407,432,297,47221
20202,1024,275,87,8877,32,13,19,82,4,147,538,8,46,43,9,643,445,13,98,37,9,601,465,29,147,61,18,721,620,52,178,47,21,917,1083,75,259,39,21,1485,1487,111,247,48,30,1922,2173,136,252,34,26,2617,2104,190,275,35,24,2638,1355,155,173,19,18,1718,1170,152,149,26,12,1512,771,95,103,11,5,990,1041,174,173,19,10,1414,166,57,30,4,0,260,191,146,63,12,5,418,163,16,31,10,20,244,13805,1429,2243,523,235,18235
20203,195,145,27,1523,5,5,19,56,0,87,77,0,12,19,5,107,58,6,25,27,8,118,77,9,34,32,8,155,107,17,44,25,8,196,177,38,65,22,11,310,240,25,69,22,8,367,356,56,71,29,10,517,404,53,82,21,5,559,304,47,50,9,10,420,268,38,42,20,6,381,212,20,37,12,0,284,405,33,38,12,0,495,70,3,4,0,0,78,72,8,10,10,0,97,44,10,12,20,6,93,2870,371,609,331,86,4268
20301,285,141,24,2470,17,0,16,45,0,78,160,4,24,21,6,213,149,9,25,18,0,211,148,24,49,31,3,247,160,30,43,27,4,272,279,41,73,22,6,426,382,36,60,27,6,516,415,44,94,16,9,586,495,65,85,17,10,664,339,71,61,13,5,489,229,72,52,13,3,365,160,53,33,10,0,252,224,65,47,15,5,355,36,30,12,0,0,80,38,54,32,9,3,126,43,13,14,7,0,79,3273,603,722,286,62,4952
20302,2402,514,241,54818,267,30,61,159,10,527,3080,33,126,54,17,3319,2917,55,242,82,17,3300,2871,81,285,84,30,3356,3883,138,328,71,41,4468,6387,230,492,72,61,7240,8201,323,548,62,52,9194,11455,487,614,56,62,12671,13320,676,722,70,57,14839,10112,579,520,57,50,11315,8602,658,462,40,37,9790,6343,477,272,23,27,7139,10194,894,413,31,35,11569,1561,310,119,18,12,2019,2125,848,359,29,23,3380,783,68,44,19,89,1007,92109,5885,5607,914,625,105131
20303,1403,341,107,13126,58,14,25,78,10,175,1202,6,70,26,12,1321,901,27,119,41,6,1089,922,52,153,43,16,1179,1060,73,187,54,20,1388,1698,122,248,56,23,2143,2056,161,268,50,10,2543,2252,203,328,44,20,2842,2209,302,376,33,31,2943,1580,283,292,25,22,2204,1308,344,263,40,18,1970,863,239,176,21,9,1311,1224,390,236,30,11,1893,223,134,55,6,5,424,321,301,130,26,3,782,188,33,25,8,23,269,18046,2684,2957,575,226,24487
20401,869,439,123,11494,66,10,19,143,4,247,666,16,49,47,11,781,602,35,108,77,18,840,657,37,112,78,21,902,811,63,140,72,22,1108,1515,111,221,81,30,1962,2019,136,236,62,24,2476,2385,172,302,65,31,2956,2684,226,286,73,37,3312,1785,171,198,49,27,2236,1502,186,158,35,14,1894,943,123,95,28,7,1196,1388,168,156,19,11,1740,187,72,32,12,0,307,196,157,89,35,6,487,188,25,38,38,29,326,17597,1713,2239,921,284,22754
