POW_SA3_CODE_2021,F_EWFT_25_29_OM_UIE,F_EWFT_25_29_CFW,F_EWFT_25_29_ES_NS,F_EWFT_25_29_Tot,F_EWFT_30_34_E,F_EWFT_30_34_OM_IE,F_EWFT_30_34_OM_UIE,F_EWFT_30_34_CFW,F_EWFT_30_34_ES_NS,F_EWFT_30_34_Tot,F_EWFT_35_39_E,F_EWFT_35_39_OM_IE,F_EWFT_35_39_OM_UIE,F_EWFT_35_39_CFW,F_EWFT_35_39_ES_NS,F_EWFT_35_39_Tot,F_EWFT_40_44_E,F_EWFT_40_44_OM_IE,F_EWFT_40_44_OM_UIE,F_EWFT_40_44_CFW,F_EWFT_40_44_ES_NS,F_EWFT_40_44_Tot,F_EWFT_45_49_E,F_EWFT_45_49_OM_IE,F_EWFT_45_49_OM_UIE,F_EWFT_45_49_CFW,F_EWFT_45_49_ES_NS,F_EWFT_45_49_Tot,F_EWFT_50_54_E,F_EWFT_50_54_OM_IE,F_EWFT_50_54_OM_UIE,F_EWFT_50_54_CFW,F_EWFT_50_54_ES_NS,F_EWFT_50_54_Tot,F_EWFT_55_59_E,F_EWFT_55_59_OM_IE,F_EWFT_55_59_OM_UIE,F_EWFT_55_59_CFW,F_EWFT_55_59_ES_NS,F_EWFT_55_59_Tot,F_EWFT_60_64_E,F_EWFT_60_64_OM_IE,F_EWFT_60_64_OM_UIE,F_EWFT_60_64_CFW,F_EWFT_60_64_ES_NS,F_EWFT_60_64_Tot,F_EWFT_65_69_E,F_EWFT_65_69_OM_IE,F_EWFT_65_69_OM_UIE,F_EWFT_65_69_CFW,F_EWFT_65_69_ES_NS,F_EWFT_65_69_Tot,F_EWFT_70_74_E,F_EWFT_70_74_OM_IE,F_EWFT_70_74_OM_UIE,F_EWFT_70_74_CFW,F_EWFT_70_74_ES_NS,F_EWFT_70_74_Tot,F_EWFT_75ov_E,F_EWFT_75ov_OM_IE,F_EWFT_75ov_OM_UIE,F_EWFT_75ov_CFW,F_EWFT_75ov_ES_NS,F_EWFT_75ov_Tot,F_EWFT_Tot_E,F_EWFT_Tot_OM_IE,F_EWFT_Tot_OM_UIE,F_EWFT_Tot_CFW,F_EWFT_Tot_ES_NS,F_EWFT_Tot_Tot,F_EWPT_15_19_E,F_EWPT_15_19_OM_IE,F_EWPT_15_19_OM_UIE,F_EWPT_15_19_CFW,F_EWPT_15_19_ES_NS,F_EWPT_15_19_Tot,F_EWPT_20_24_E,F_EWPT_20_24_OM_IE,F_EWPT_20_24_OM_UIE,F_EWPT_20_24_CFW,F_EWPT_20_24_ES_NS,F_EWPT_20_24_Tot,F_EWPT_25_29_E,F_EWPT_25_29_OM_IE,F_EWPT_25_29_OM_UIE,F_EWPT_25_29_CFW,F_EWPT_25_29_ES_NS,F_EWPT_25_29_Tot,F_EWPT_30_34_E,F_EWPT_30_34_OM_IE,F_EWPT_30_34_OM_UIE,F_EWPT_30_34_CFW,F_EWPT_30_34_ES_NS,F_EWPT_30_34_Tot,F_EWPT_35_39_E,F_EWPT_35_39_OM_IE,F_EWPT_35_39_OM_UIE,F_EWPT_35_39_CFW,F_EWPT_35_39_ES_NS,F_EWPT_35_39_Tot,F_EWPT_40_44_E,F_EWPT_40_44_OM_IE,F_EWPT_40_44_OM_UIE,F_EWPT_40_44_CFW,F_EWPT_40_44_ES_NS,F_EWPT_40_44_Tot,F_EWPT_45_49_E,F_EWPT_45_49_OM_IE,F_EWPT_45_49_OM_UIE,F_EWPT_45_49_CFW,F_EWPT_45_49_ES_NS,F_EWPT_45_49_Tot,F_EWPT_50_54_E,F_EWPT_50_54_OM_IE,F_EWPT_50_54_OM_UIE,F_EWPT_50_54_CFW,F_EWPT_50_54_ES_NS,F_EWPT_50_54_Tot,F_EWPT_55_59_E,F_EWPT_55_59_OM_IE,F_EWPT_55_59_OM_UIE,F_EWPT_55_59_CFW,F_EWPT_55_59_ES_NS,F_EWPT_55_59_Tot,F_EWPT_60_64_E,F_EWPT_60_64_OM_IE,F_EWPT_60_64_OM_UIE,F_EWPT_60_64_CFW,F_EWPT_60_64_ES_NS,F_EWPT_60_64_Tot,F_EWPT_65_69_E,F_EWPT_65_69_OM_IE,F_EWPT_65_69_OM_UIE,F_EWPT_65_69_CFW,F_EWPT_65_69_ES_NS,F_EWPT_65_69_Tot,F_EWPT_70_74_E,F_EWPT_70_74_OM_IE,F_EWPT_70_74_OM_UIE,F_EWPT_70_74_CFW,F_EWPT_70_74_ES_NS,F_EWPT_70_74_Tot,F_EWPT_75ov_E,F_EWPT_75ov_OM_IE,F_EWPT_75ov_OM_UIE,F_EWPT_75ov_CFW,F_EWPT_75ov_ES_NS,F_EWPT_75ov_Tot,F_EWPT_Tot_E,F_EWPT_Tot_OM_IE,F_EWPT_Tot_OM_UIE,F_EWPT_Tot_CFW,F_EWPT_Tot_ES_NS,F_EWPT_Tot_Tot,F_EAFW_E,F_EAFW_OM_IE,F_EAFW_OM_UIE,F_EAFW_CFW,F_EAFW_ES_NS,F_EAFW_Tot,F_H_NS_E,F_H_NS_OM_IE,F_H_NS_OM_UIE,F_H_NS_CFW,F_H_NS_ES_NS,F_H_NS_Tot,F_Tot_E,F_Tot_OM_IE,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_EWFT_15_19_E,P_EWFT_15_19_OM_IE,P_EWFT_15_19_OM_UIE,P_EWFT_15_19_CFW,P_EWFT_15_19_ES_NS,P_EWFT_15_19_Tot,P_EWFT_20_24_E,P_EWFT_20_24_OM_IE,P_EWFT_20_24_OM_UIE,P_EWFT_20_24_CFW,P_EWFT_20_24_ES_NS,P_EWFT_20_24_Tot,P_EWFT_25_29_E,P_EWFT_25_29_OM_IE,P_EWFT_25_29_OM_UIE,P_EWFT_25_29_CFW,P_EWFT_25_29_ES_NS,P_EWFT_25_29_Tot,P_EWFT_30_34_E,P_EWFT_30_34_OM_IE,P_EWFT_30_34_OM_UIE,P_EWFT_30_34_CFW,P_EWFT_30_34_ES_NS,P_EWFT_30_34_Tot,P_EWFT_35_39_E,P_EWFT_35_39_OM_IE,P_EWFT_35_39_OM_UIE,P_EWFT_35_39_CFW
20101,21,0,8,1554,1122,25,50,3,3,1211,1024,53,48,3,0,1130,1149,62,55,12,3,1286,1296,73,81,12,3,1468,1293,80,60,9,6,1448,1024,59,38,10,6,1137,667,42,36,10,6,761,162,14,14,5,4,198,26,8,3,4,0,41,4,3,0,0,0,7,10474,442,422,70,41,11447,1531,3,0,3,4,1544,1474,3,20,4,5,1508,1130,11,41,8,0,1193,1235,30,77,18,4,1370,1404,58,88,31,7,1593,1324,61,97,30,3,1512,1232,64,95,16,9,1413,1173,54,82,22,4,1337,1134,54,86,24,7,1316,964,38,69,23,9,1107,366,30,60,13,4,462,97,15,13,9,4,145,28,7,11,7,0,44,13088,439,733,215,62,14534,1793,41,75,20,23,1945,269,9,14,22,36,350,25629,922,1243,326,160,28277,634,0,6,0,0,643,2417,11,43,0,10,2479,3416,97,106,4,12,3633,3059,211,148,12,9,3430,2763,304,165,22
20102,6,0,0,135,91,11,10,5,0,117,80,8,22,3,0,116,119,22,19,5,0,158,135,30,21,12,8,194,164,24,31,7,0,230,117,39,23,10,3,195,65,18,22,11,4,122,21,5,16,7,0,50,0,0,10,7,0,19,0,3,11,8,0,14,1035,168,190,71,18,1476,171,0,0,3,3,181,157,0,5,0,0,167,152,5,9,0,3,162,163,11,10,7,0,194,153,13,41,3,0,212,162,20,33,6,0,223,180,14,42,11,4,254,198,13,27,4,0,245,226,24,50,13,3,323,167,15,52,27,7,261,68,6,23,20,0,116,14,11,20,19,0,64,3,8,8,9,0,28,1825,134,324,120,25,2435,273,19,43,12,4,353,43,6,12,5,13,78,3181,322,564,212,60,4336,79,0,0,3,0,81,272,0,13,6,0,289,320,20,32,3,4,376,285,52,48,4,3,388,272,70,66,9
20103,5,0,0,151,97,3,9,0,0,109,105,3,6,0,0,124,121,9,7,3,0,140,157,7,14,8,0,188,163,16,12,9,0,198,156,9,8,7,0,186,77,8,17,5,6,112,24,9,11,10,3,52,3,0,8,7,0,23,0,6,0,6,0,12,1157,76,104,61,6,1410,157,0,0,0,4,161,123,0,3,0,0,131,115,0,7,3,0,122,120,3,15,3,0,149,143,13,6,4,4,173,126,11,12,4,0,155,158,12,18,9,5,202,174,8,16,8,0,210,183,12,18,11,8,229,158,5,19,9,3,199,71,12,17,14,0,113,23,4,10,7,0,52,9,9,6,9,0,29,1558,91,153,86,20,1912,202,6,14,13,8,241,71,0,8,5,4,84,2986,170,273,162,43,3642,81,0,0,0,5,88,284,3,6,0,4,296,319,17,28,6,0,361,284,31,31,8,0,348,277,28,32,11
20201,28,4,0,1389,1036,25,19,0,0,1081,936,48,26,0,7,1022,1036,56,45,7,6,1146,1279,79,51,9,3,1422,1093,63,38,15,7,1216,953,65,40,6,7,1070,545,28,24,6,5,609,164,17,10,3,0,194,20,4,0,5,0,29,6,4,0,0,6,7,9493,398,303,51,36,10284,1418,7,3,9,0,1440,1262,3,25,4,0,1298,986,9,37,13,0,1050,1162,33,68,15,0,1277,1356,39,83,21,3,1503,1165,53,76,13,9,1309,1057,42,66,15,0,1182,1023,53,66,13,3,1156,1065,30,76,18,13,1204,904,30,72,14,8,1037,363,22,43,12,3,439,75,8,14,7,3,112,22,9,4,10,0,44,11867,335,641,160,46,13043,1629,30,71,19,13,1755,263,16,10,16,31,334,23248,775,1021,249,129,25424,527,0,0,0,0,530,2148,12,34,3,6,2199,2989,45,90,6,3,3137,2699,132,107,6,7,2959,2435,242,123,9
20202,4,0,4,332,230,10,12,3,0,260,223,24,20,3,0,269,288,34,53,3,3,381,362,36,58,11,0,468,371,58,68,4,0,498,320,45,42,13,0,421,204,20,39,9,6,283,55,13,15,8,0,96,6,11,6,13,0,33,3,3,9,9,0,20,2624,250,336,77,24,3311,422,0,0,3,0,427,306,3,15,0,0,330,255,3,11,0,0,272,277,6,37,10,0,325,327,17,67,11,0,432,370,19,74,15,4,485,413,22,98,11,0,556,429,38,76,14,0,560,435,28,70,22,5,559,344,31,67,22,0,465,156,25,49,16,4,247,45,15,35,24,3,122,10,3,20,10,0,46,3786,220,627,160,41,4834,488,19,46,18,12,580,106,4,11,11,16,152,6995,494,1024,275,87,8877,187,0,4,0,5,192,627,3,11,4,5,647,880,24,40,4,3,949,801,53,65,6,7,926,781,90,76,8
20203,0,0,0,66,44,5,0,0,0,46,26,0,10,7,0,33,44,5,8,0,3,60,50,8,3,7,0,70,46,3,15,7,0,75,55,10,14,4,0,93,29,5,17,10,0,62,12,11,10,6,0,42,3,0,5,6,0,14,0,0,5,3,0,13,406,60,99,52,11,628,59,0,0,4,0,62,35,0,0,4,0,36,28,0,0,5,0,35,52,0,3,3,3,62,35,4,10,6,0,60,48,5,11,0,0,69,51,9,3,0,0,68,65,8,6,3,0,80,69,0,10,6,0,90,64,5,10,6,0,85,29,5,7,8,0,52,6,4,19,10,0,39,0,0,5,7,0,11,549,43,84,71,12,761,66,4,6,5,0,83,23,0,5,11,6,53,1049,103,195,145,27,1523,36,0,0,0,0,33,143,3,7,3,0,154,230,4,13,0,0,252,216,23,20,3,0,260,195,29,29,10
20301,4,0,0,97,69,8,11,0,0,86,62,8,7,6,0,87,70,15,14,0,0,101,76,19,11,5,0,110,80,14,13,5,0,112,53,18,12,5,0,82,31,3,11,10,0,53,3,4,6,5,0,14,5,0,5,8,0,11,0,0,0,4,0,12,650,98,84,42,10,876,141,0,6,3,0,148,106,0,5,0,0,107,80,0,3,0,0,91,89,8,16,4,0,124,115,13,22,10,5,163,120,13,24,10,0,162,88,7,26,4,3,127,96,11,26,4,4,137,109,7,16,3,0,139,78,12,11,9,0,108,26,4,14,14,0,52,10,4,13,11,0,31,0,0,8,7,0,19,1052,80,180,88,9,1421,101,3,14,6,3,126,35,0,4,8,4,47,1836,188,285,141,24,2470,77,0,0,0,0,77,212,3,6,0,0,220,201,21,13,0,0,236,206,41,30,5,4,287,183,46,30,10
20302,52,0,8,3297,2666,75,76,4,9,2825,2309,103,90,13,10,2519,2279,104,91,13,4,2498,2643,158,99,17,10,2915,2419,134,98,16,5,2672,1929,93,79,15,10,2125,1126,61,53,3,9,1244,294,28,13,4,0,339,43,17,10,5,0,77,12,3,5,3,0,22,20919,808,679,98,59,22567,2628,0,16,8,4,2655,2989,4,55,8,4,3066,2153,18,119,20,3,2319,2389,71,203,40,9,2699,2747,89,198,41,7,3081,2610,93,191,38,9,2944,2479,121,163,41,6,2808,2187,113,167,31,13,2512,2180,93,156,32,4,2472,1719,75,132,39,9,1973,758,55,79,23,3,916,197,36,45,15,0,300,45,9,13,8,6,81,25092,784,1532,345,78,27837,3444,53,159,35,31,3730,543,18,29,29,68,688,50003,1666,2402,514,241,54818,846,7,3,0,4,863,4271,37,63,3,15,4389,7098,185,208,8,27,7522,6737,405,289,18,23,7474,6213,569,323,35
20303,21,0,3,516,397,29,34,6,0,457,344,36,37,6,0,428,358,57,50,9,8,483,414,77,60,13,4,564,385,71,64,4,9,535,309,60,46,7,3,423,183,22,23,3,7,243,38,12,12,4,0,69,8,8,6,4,0,19,0,3,5,3,0,10,3320,395,355,59,31,4161,879,0,4,3,0,887,788,0,19,0,0,805,426,5,43,0,0,473,505,25,91,13,4,642,614,49,129,26,0,820,544,48,142,22,6,762,545,41,120,27,4,742,524,68,103,21,0,713,537,60,92,22,10,721,465,51,92,31,3,643,193,46,68,30,0,337,54,17,32,22,0,128,23,9,19,12,0,56,6079,417,940,238,35,7721,877,43,96,23,16,1052,138,10,17,20,19,200,10415,864,1403,341,107,13126,199,0,0,0,0,205,856,7,32,0,5,898,1072,61,85,0,7,1226,957,144,147,7,7,1260,896,232,131,11
20401,11,0,0,514,375,21,18,3,0,415,344,28,23,10,0,411,368,38,23,14,10,451,466,47,45,11,7,576,452,59,51,14,9,590,418,41,40,26,3,533,269,44,45,20,0,385,85,17,32,20,0,151,17,8,17,12,0,58,4,5,14,10,0,33,3747,327,325,150,33,4587,504,0,6,5,3,519,403,0,0,4,3,413,353,6,17,3,6,386,404,12,25,3,0,447,490,14,58,21,6,589,441,29,55,17,0,540,485,29,59,17,4,595,486,28,49,18,0,585,475,25,53,19,10,579,475,33,50,35,6,600,221,15,49,32,3,328,81,20,29,37,0,158,19,6,26,21,0,70,4842,229,467,232,49,5820,733,10,60,23,14,846,170,5,14,31,20,242,9496,570,869,439,123,11494,357,0,0,0,0,361,960,8,28,5,5,1009,1165,39,64,0,5,1277,1006,80,78,7,0,1167,930,118,92,14
