POW_SA3_CODE_2021,CoPSW_PINS_A_65_74,CoPSW_PINS_A_75ov,CoPSW_PINS_Tot,CoPSW_Tot_A_15_19,CoPSW_Tot_A_20_24,CoPSW_Tot_A_25_34,CoPSW_Tot_A_35_44,CoPSW_Tot_A_45_54,CoPSW_Tot_A_55_64,CoPSW_Tot_A_65_74,CoPSW_Tot_A_75ov,CoPSW_Tot_Tot,ClAW_NNI_A_15_19,ClAW_NNI_A_20_24,ClAW_NNI_A_25_34,ClAW_NNI_A_35_44,ClAW_NNI_A_45_54,ClAW_NNI_A_55_64,ClAW_NNI_A_65_74,ClAW_NNI_A_75ov,ClAW_NNI_Tot,ClAW_1_149_A_15_19,ClAW_1_149_A_20_24,ClAW_1_149_A_25_34,ClAW_1_149_A_35_44,ClAW_1_149_A_45_54,ClAW_1_149_A_55_64,ClAW_1_149_A_65_74,ClAW_1_149_A_75ov,ClAW_1_149_Tot,ClAW_150_299_A_15_19,ClAW_150_299_A_20_24,ClAW_150_299_A_25_34,ClAW_150_299_A_35_44,ClAW_150_299_A_45_54,ClAW_150_299_A_55_64,ClAW_150_299_A_65_74,ClAW_150_299_A_75ov,ClAW_150_299_Tot,ClAW_300_399_A_15_19,ClAW_300_399_A_20_24,ClAW_300_399_A_25_34,ClAW_300_399_A_35_44,ClAW_300_399_A_45_54,ClAW_300_399_A_55_64,ClAW_300_399_A_65_74,ClAW_300_399_A_75ov,ClAW_300_399_Tot,ClAW_400_499_A_15_19,ClAW_400_499_A_20_24,ClAW_400_499_A_25_34,ClAW_400_499_A_35_44,ClAW_400_499_A_45_54,ClAW_400_499_A_55_64,ClAW_400_499_A_65_74,ClAW_400_499_A_75ov,ClAW_400_499_Tot,ClAW_500_649_A_15_19,ClAW_500_649_A_20_24,ClAW_500_649_A_25_34,ClAW_500_649_A_35_44,ClAW_500_649_A_45_54,ClAW_500_649_A_55_64,ClAW_500_649_A_65_74,ClAW_500_649_A_75ov,ClAW_500_649_Tot,ClAW_650_799_A_15_19,ClAW_650_799_A_20_24,ClAW_650_799_A_25_34,ClAW_650_799_A_35_44,ClAW_650_799_A_45_54,ClAW_650_799_A_55_64,ClAW_650_799_A_65_74,ClAW_650_799_A_75ov,ClAW_650_799_Tot,ClAW_800_999_A_15_19,ClAW_800_999_A_20_24,ClAW_800_999_A_25_34,ClAW_800_999_A_35_44,ClAW_800_999_A_45_54,ClAW_800_999_A_55_64,ClAW_800_999_A_65_74,ClAW_800_999_A_75ov,ClAW_800_999_Tot,ClAW_1000_1249_A_15_19,ClAW_1000_1249_A_20_24,ClAW_1000_1249_A_25_34,ClAW_1000_1249_A_35_44,ClAW_1000_1249_A_45_54,ClAW_1000_1249_A_55_64,ClAW_1000_1249_A_65_74,ClAW_1000_1249_A_75ov,ClAW_1000_1249_Tot,ClAW_1250_1499_A_15_19,ClAW_1250_1499_A_20_24,ClAW_1250_1499_A_25_34,ClAW_1250_1499_A_35_44,ClAW_1250_1499_A_45_54,ClAW_1250_1499_A_55_64,ClAW_1250_1499_A_65_74,ClAW_1250_1499_A_75ov,ClAW_1250_1499_Tot,ClAW_1500_1749_A_15_19,ClAW_1500_1749_A_20_24,ClAW_1500_1749_A_25_34,ClAW_1500_1749_A_35_44,ClAW_1500_1749_A_45_54,ClAW_1500_1749_A_55_64,ClAW_1500_1749_A_65_74,ClAW_1500_1749_A_75ov,ClAW_1500_1749_Tot,ClAW_1750_1999_A_15_19,ClAW_1750_1999_A_20_24,ClAW_1750_1999_A_25_34,ClAW_1750_1999_A_35_44,ClAW_1750_1999_A_45_54,ClAW_1750_1999_A_55_64,ClAW_1750_1999_A_65_74,ClAW_1750_1999_A_75ov,ClAW_1750_1999_Tot,ClAW_2000_2999_A_15_19,ClAW_2000_2999_A_20_24,ClAW_2000_2999_A_25_34,ClAW_2000_2999_A_35_44,ClAW_2000_2999_A_45_54,ClAW_2000_2999_A_55_64,ClAW_2000_2999_A_65_74,ClAW_2000_2999_A_75ov,ClAW_2000_2999_Tot,ClAW_3000_3499_A_15_19,ClAW_3000_3499_A_20_24,ClAW_3000_3499_A_25_34,ClAW_3000_3499_A_35_44,ClAW_3000_3499_A_45_54,ClAW_3000_3499_A_55_64,ClAW_3000_3499_A_65_74,ClAW_3000_3499_A_75ov,ClAW_3000_3499_Tot,ClAW_3500mo_A_15_19,ClAW_3500mo_A_20_24,ClAW_3500mo_A_25_34,ClAW_3500mo_A_35_44,ClAW_3500mo_A_45_54,ClAW_3500mo_A_55_64,ClAW_3500mo_A_65_74,ClAW_3500mo_A_75ov,ClAW_3500mo_Tot,ClAW_PINS_A_15_19,ClAW_PINS_A_20_24,ClAW_PINS_A_25_34,ClAW_PINS_A_35_44,ClAW_PINS_A_45_54,ClAW_PINS_A_55_64,ClAW_PINS_A_65_74,ClAW_PINS_A_75ov,ClAW_PINS_Tot,ClAW_Tot_A_15_19,ClAW_Tot_A_20_24,ClAW_Tot_A_25_34,ClAW_Tot_A_35_44,ClAW_Tot_A_45_54,ClAW_Tot_A_55_64,ClAW_Tot_A_65_74,ClAW_Tot_A_75ov,ClAW_Tot_Tot,SW_NNI_A_15_19,SW_NNI_A_20_24,SW_NNI_A_25_34,SW_NNI_A_35_44,SW_NNI_A_45_54,SW_NNI_A_55_64,SW_NNI_A_65_74,SW_NNI_A_75ov,SW_NNI_Tot,SW_1_149_A_15_19,SW_1_149_A_20_24,SW_1_149_A_25_34,SW_1_149_A_35_44,SW_1_149_A_45_54,SW_1_149_A_55_64,SW_1_149_A_65_74,SW_1_149_A_75ov,SW_1_149_Tot,SW_150_299_A_15_19,SW_150_299_A_20_24,SW_150_299_A_25_34,SW_150_299_A_35_44,SW_150_299_A_45_54,SW_150_299_A_55_64,SW_150_299_A_65_74,SW_150_299_A_75ov,SW_150_299_Tot,SW_300_399_A_15_19,SW_300_399_A_20_24,SW_300_399_A_25_34,SW_300_399_A_35_44,SW_300_399_A_45_54,SW_300_399_A_55_64,SW_300_399_A_65_74,SW_300_399_A_75ov
20101,4,0,57,623,1151,1704,1330,1387,1124,224,12,7552,0,0,4,5,8,9,0,0,35,27,11,5,10,10,4,3,0,74,16,15,19,18,10,21,11,4,116,25,22,35,43,27,37,15,4,203,16,30,57,58,47,48,29,4,287,22,66,104,112,104,116,41,5,569,11,92,169,177,164,143,40,3,797,13,134,271,248,253,213,38,0,1165,5,93,315,330,377,286,52,0,1462,5,39,169,193,242,210,25,0,882,0,13,83,155,175,151,21,0,596,0,4,66,96,116,62,14,0,350,0,7,57,84,126,63,8,0,342,0,0,4,13,20,19,5,0,62,0,0,0,19,27,12,4,0,60,0,4,0,6,15,10,0,0,36,138,537,1361,1550,1712,1404,306,24,7028,19,5,10,0,3,0,0,0,43,739,20,14,7,0,5,0,0,780,330,94,33,15,16,20,3,0,517,116,123,65,35,27,49,15,0
20102,0,0,8,94,148,229,162,196,204,35,4,1067,5,0,0,3,0,0,0,0,10,3,0,0,0,0,0,7,0,13,0,3,9,5,6,7,9,0,39,0,5,4,14,11,9,11,0,55,4,5,12,14,9,13,0,0,57,0,9,13,17,19,26,10,5,97,0,8,14,18,24,38,6,0,116,0,3,14,22,37,33,8,4,118,0,9,20,24,44,28,9,0,130,0,4,9,10,17,15,7,0,67,0,0,12,15,15,15,5,0,61,0,0,3,6,8,8,0,0,23,0,0,0,4,0,6,4,0,15,0,0,0,0,4,5,0,0,9,0,0,0,0,0,6,3,0,6,0,0,0,0,8,5,0,0,10,12,36,116,156,209,215,75,9,830,0,0,0,0,0,5,0,0,0,60,0,0,0,0,0,0,0,66,37,8,3,3,4,6,3,0,67,11,17,12,6,3,9,8,0
20103,0,0,13,67,102,196,173,252,221,42,3,1050,0,0,0,0,3,0,0,0,7,0,0,0,0,3,4,0,0,18,0,0,0,0,8,8,0,0,23,0,3,4,12,8,5,0,0,33,0,4,6,7,0,14,4,3,38,0,0,11,13,15,20,8,5,71,0,3,12,13,21,20,15,0,86,0,4,20,27,33,22,0,0,105,0,7,10,21,34,27,11,0,109,0,3,7,18,24,19,6,0,76,0,0,3,9,12,15,3,0,45,0,0,0,6,7,14,4,0,28,0,0,0,4,3,9,0,0,12,0,0,0,0,3,3,0,0,6,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,4,0,12,7,34,82,126,183,175,56,6,669,0,0,0,0,3,4,0,0,8,80,0,0,0,0,0,3,0,79,34,11,4,3,0,5,0,0,57,16,15,4,4,5,10,4,0
20201,0,0,36,498,977,1473,1195,1197,1033,207,9,6587,3,0,3,5,10,7,3,0,30,25,6,10,3,0,7,0,0,60,11,15,9,22,8,23,9,0,97,10,23,20,24,21,31,16,0,143,15,23,46,44,38,64,17,4,252,12,57,81,97,85,133,41,6,504,22,74,120,134,151,121,35,5,654,18,119,225,198,225,192,40,0,1024,7,94,227,238,305,251,50,6,1173,5,47,164,201,246,190,30,5,880,0,15,89,147,160,132,20,0,563,0,3,42,74,105,69,7,0,304,0,0,36,65,105,63,12,0,278,0,0,0,18,17,14,3,0,50,0,0,4,14,19,12,0,4,48,0,0,6,3,7,5,0,0,31,130,472,1078,1275,1511,1315,288,19,6096,17,0,5,0,0,0,0,0,27,623,23,3,6,0,5,0,0,660,347,70,31,24,17,12,7,0,505,89,88,44,24,31,34,8,0
20202,0,0,28,193,241,438,451,576,499,113,6,2527,0,0,6,5,8,4,4,0,15,7,0,0,4,0,11,9,0,29,0,0,7,4,9,4,3,0,36,0,3,12,13,12,16,16,0,78,5,3,15,13,19,33,11,3,100,0,9,23,30,51,46,23,0,184,5,14,34,37,54,43,8,0,195,0,13,30,49,56,62,17,0,227,3,17,37,47,60,67,19,0,246,0,7,17,33,50,39,8,0,153,0,3,13,28,52,35,19,0,143,0,0,8,17,19,22,3,0,68,0,0,5,8,24,29,6,0,68,0,0,0,5,9,5,0,0,22,0,0,0,4,3,4,0,0,16,0,0,5,0,5,3,0,0,14,21,73,197,279,436,411,151,16,1585,5,0,0,0,0,0,0,0,3,186,3,0,0,9,0,0,0,202,84,13,12,9,8,12,4,0,148,22,10,11,5,19,20,11,0
20203,0,0,0,24,22,31,34,46,54,15,0,226,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,5,0,4,0,10,0,0,0,0,0,0,4,0,8,0,0,8,0,9,3,0,0,27,0,4,4,11,8,8,4,0,35,0,0,9,4,3,5,3,0,34,0,3,6,8,11,6,4,0,47,0,5,10,13,3,23,3,0,57,0,0,4,4,20,12,0,0,43,0,0,0,10,10,6,0,0,26,0,0,7,0,0,4,0,0,10,0,0,0,0,3,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,0,0,4,0,13,51,62,73,79,33,5,311,0,0,0,0,0,0,0,0,5,36,0,0,0,0,3,0,0,36,5,0,4,5,0,5,0,0,18,0,0,0,0,0,0,3,0
20301,0,0,9,61,96,106,92,103,88,8,3,569,0,0,0,4,0,5,0,0,6,0,3,0,0,0,4,0,0,8,0,0,0,0,3,9,4,0,22,0,0,3,8,3,0,0,0,22,0,0,3,11,6,4,4,0,25,0,0,6,13,4,18,3,4,39,0,0,5,19,10,4,7,0,45,0,0,6,18,12,7,0,0,44,0,0,9,20,19,19,5,0,76,0,0,9,13,16,10,3,0,58,0,0,8,10,15,3,0,0,39,0,0,0,6,10,6,0,0,21,0,0,9,3,11,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,8,0,0,0,5,0,0,0,0,7,3,22,63,127,106,91,30,3,452,0,0,0,0,0,0,0,0,0,43,0,0,0,6,0,0,0,55,25,3,4,5,4,0,0,0,43,5,8,0,5,5,3,0,0
20302,0,0,94,1038,2108,3229,2532,2699,2078,386,22,14091,7,8,17,12,10,13,0,0,67,43,18,11,17,15,14,6,0,124,34,45,43,40,35,37,16,3,244,28,62,58,60,59,74,27,4,363,18,65,76,96,95,114,42,4,505,17,116,137,201,176,206,75,6,936,16,118,225,278,285,276,90,3,1293,12,200,388,411,441,354,106,8,1924,14,173,597,532,581,513,108,4,2513,3,59,413,419,499,391,55,3,1851,0,23,226,332,367,253,41,0,1255,0,10,107,165,220,134,33,3,677,0,0,142,256,226,161,29,0,814,0,0,8,23,40,28,4,0,100,0,0,4,44,48,33,7,0,138,4,3,6,15,28,17,4,0,83,197,908,2459,2908,3113,2615,645,48,12897,36,7,9,8,5,3,0,0,70,1240,67,16,16,8,14,3,0,1361,606,219,42,44,29,41,19,0,1007,205,247,113,55,56,60,19,0
20303,0,0,36,539,754,803,632,605,504,100,7,3947,0,0,7,3,0,6,0,0,19,14,0,0,3,0,9,3,0,31,7,3,9,18,12,17,13,0,82,8,8,15,29,19,25,21,3,120,4,17,17,16,31,31,31,0,138,0,22,27,50,48,47,24,7,228,4,28,46,61,56,62,22,6,283,0,27,46,69,81,91,38,4,355,0,17,53,54,92,93,26,0,334,0,10,38,66,70,65,17,0,263,0,0,24,35,71,55,19,0,194,0,0,10,18,38,29,7,0,101,0,0,6,22,45,24,4,0,109,0,0,0,10,4,13,0,0,31,0,0,0,14,11,4,9,0,38,0,0,0,0,5,5,0,0,24,33,132,300,453,601,585,229,19,2357,16,0,0,0,3,0,0,0,20,429,21,8,0,4,6,4,0,471,183,52,5,14,10,20,7,0,292,52,74,21,22,16,33,12,0
20401,0,0,26,346,492,742,601,596,462,152,9,3392,0,0,0,8,6,3,4,0,15,15,4,0,10,7,8,3,0,41,11,0,5,17,14,14,11,0,74,3,4,20,26,15,16,13,0,104,5,9,18,21,23,29,22,0,120,10,11,33,48,51,45,20,0,229,6,15,38,58,78,57,25,6,274,0,23,57,64,77,87,25,6,327,0,25,81,80,110,91,22,0,409,0,5,40,63,84,71,12,0,271,0,3,18,36,41,52,5,0,154,0,0,7,14,23,26,4,0,77,0,0,3,16,29,17,7,0,72,0,0,0,8,5,7,3,0,15,0,0,0,0,3,11,3,0,20,0,0,3,0,5,5,3,0,19,44,104,326,446,562,546,181,26,2229,5,0,0,0,0,6,0,0,17,201,10,0,3,0,0,0,0,217,104,15,12,10,8,7,6,0,174,26,26,9,14,16,20,8,0
