POW_SA3_CODE_2021,Tot_HC_SA_Bf_91,Tot_HC_SA_91_95,Tot_HC_SA_96_00,Tot_HC_SA_01_05,Tot_HC_SA_06_10,Tot_HC_SA_11_15,Tot_HC_SA_16_20,Tot_HC_SA_2021,Tot_HC_SA_NS,Tot_HC_SA_Tot,Tot_ArtsR_Bf_91,Tot_ArtsR_91_95,Tot_ArtsR_96_00,Tot_ArtsR_01_05,Tot_ArtsR_06_10,Tot_ArtsR_11_15,Tot_ArtsR_16_20,Tot_ArtsR_2021,Tot_ArtsR_NS,Tot_ArtsR_Tot,Tot_OthSvs_Bf_91,Tot_OthSvs_91_95,Tot_OthSvs_96_00,Tot_OthSvs_01_05,Tot_OthSvs_06_10,Tot_OthSvs_11_15,Tot_OthSvs_16_20,Tot_OthSvs_2021,Tot_OthSvs_NS,Tot_OthSvs_Tot,Tot_IDNS_Bf_91,Tot_IDNS_91_95,Tot_IDNS_96_00,Tot_IDNS_01_05,Tot_IDNS_06_10,Tot_IDNS_11_15,Tot_IDNS_16_20,Tot_IDNS_2021,Tot_IDNS_NS,Tot_IDNS_Tot,Tot_Tot_Bf_91,Tot_Tot_91_95,Tot_Tot_96_00,Tot_Tot_01_05,Tot_Tot_06_10,Tot_Tot_11_15,Tot_Tot_16_20,Tot_Tot_2021,Tot_Tot_NS,Tot_Tot_Tot
20101,427,68,106,224,420,408,388,5,19,2069,33,0,8,10,12,21,21,0,0,118,53,9,4,25,47,41,48,0,5,234,46,8,21,16,32,38,62,0,24,246,1663,245,409,665,1270,1192,1376,15,95,6938
20102,71,5,9,17,33,16,33,0,8,198,12,0,5,7,9,3,4,0,0,29,13,0,3,0,8,18,3,0,6,54,31,0,4,4,12,13,10,0,7,74,510,54,102,111,227,208,228,7,38,1494
20103,51,0,0,6,30,27,39,0,9,164,0,0,0,3,0,3,0,0,0,10,9,0,0,0,0,0,4,0,0,16,14,0,0,3,9,0,3,0,0,30,285,18,31,50,103,90,107,4,18,703
20201,309,58,83,144,394,318,392,4,18,1727,17,0,3,6,12,14,12,0,0,59,37,4,5,7,36,29,24,0,4,146,35,6,7,13,47,48,40,0,7,217,1145,183,305,473,1048,919,1072,13,70,5230
20202,138,22,25,38,77,74,53,0,11,437,27,6,4,9,5,0,8,0,3,61,30,3,0,3,10,7,7,0,0,73,40,5,8,15,27,5,22,0,3,124,881,135,211,262,574,434,486,4,69,3055
20203,11,0,0,3,6,10,7,0,0,31,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,10,0,0,0,3,5,5,4,0,0,17,93,11,18,32,55,68,68,6,3,365
20301,26,5,4,4,20,14,13,0,0,98,0,0,0,0,0,0,0,0,0,5,11,0,3,0,0,3,0,0,3,22,4,0,0,5,7,4,5,0,0,22,215,29,40,45,107,118,93,0,10,658
20302,1140,193,276,429,979,841,827,18,52,4741,56,4,6,16,29,24,22,3,4,159,151,29,36,43,132,138,151,0,14,693,180,27,41,56,150,192,212,5,45,907,5017,822,1178,1754,3836,3792,4141,57,283,20867
20303,151,22,39,47,134,146,154,0,7,705,29,6,6,14,10,15,15,0,0,95,48,9,10,16,34,33,28,0,3,181,51,0,8,11,21,31,31,0,9,166,1075,133,211,316,670,718,797,3,77,4013
20401,147,18,34,41,112,96,70,0,19,533,19,0,6,9,7,16,15,0,0,67,25,7,0,7,6,24,9,0,4,76,44,4,6,14,25,22,18,0,11,142,970,126,166,260,452,456,501,16,103,3059
