POW_SA3_CODE_2021,P_75ov_EWFT,P_75ov_EWPT,P_75ov_EAFW,P_75ov_EHW_NS,P_75ov_Tot,P_Tot_EWFT,P_Tot_EWPT,P_Tot_EAFW,P_Tot_EHW_NS,P_Tot_Tot
20101,36,132,22,20,215,29516,20687,3043,792,54038
20102,80,93,9,11,202,4265,3772,550,176,8765
20103,46,72,10,6,136,3984,2820,405,184,7391
20201,33,125,16,15,191,25461,18427,2640,687,47221
20202,93,132,14,20,259,9511,7388,992,342,18235
20203,59,42,7,14,114,2751,1197,197,122,4268
20301,36,54,6,3,103,2594,2045,207,103,4952
20302,124,253,21,33,435,58113,39818,5689,1513,105131
20303,46,149,14,8,222,10835,11562,1689,396,24487
20401,150,222,28,27,423,12201,8694,1357,507,22754
20402,128,143,20,29,318,11864,7627,1244,421,21154
20403,152,195,22,31,397,19548,11952,1879,652,34033
20501,94,166,12,19,296,10251,8057,1050,411,19772
20502,103,159,17,18,296,9112,7200,1057,428,17799
20503,102,205,31,28,371,11906,10255,1621,576,24354
20504,48,107,15,14,184,19025,11853,1898,674,33455
20505,93,89,9,26,218,10227,6101,1031,355,17714
20601,44,89,10,6,141,13667,12196,1387,456,27701
20602,31,53,4,3,96,9175,7087,831,253,17352
20603,27,62,6,5,102,10974,9203,1185,353,21703
20604,311,653,133,114,1210,355435,101560,25244,6346,488582
20605,130,276,29,20,453,63880,23949,3758,1322,92908
20606,93,219,33,6,356,19533,13632,1900,522,35586
20607,98,275,27,17,419,60272,28735,4589,1263,94862
20701,144,501,39,30,707,44212,29637,3372,1002,78222
20702,45,169,26,12,249,11879,12532,1727,384,26526
20703,54,206,18,15,299,27579,19018,2345,662,49600
20801,78,264,28,11,381,16472,14290,1646,483,32884
20802,80,253,24,6,364,21477,18477,1921,638,42510
20803,105,292,32,12,437,42444,24764,3228,1076,71510
20804,47,137,12,9,192,11808,11170,1849,373,25202
20901,64,182,23,19,284,24054,19954,2516,648,47174
20902,44,78,20,11,150,20271,13791,1872,680,36609
20903,35,138,7,0,178,7405,7295,953,216,15870
20904,83,157,22,19,275,41344,27436,3311,1456,73549
21001,48,91,18,8,167,23944,11375,1708,731,37754
21002,41,60,0,5,107,4120,3668,466,158,8406
21003,28,43,4,0,70,8896,6527,762,302,16490
21004,21,30,0,3,57,4992,4424,594,159,10171
21005,77,124,13,8,225,57514,27049,4247,2063,90874
21101,95,218,30,19,362,43835,24206,3031,1014,72089
21102,21,68,0,3,95,2433,2508,299,71,5311
21103,58,184,27,7,276,25463,18129,2366,650,46602
21104,34,112,15,0,165,13357,10218,1170,374,25117
21105,71,222,25,15,340,22387,19291,2787,740,45211
21201,72,130,18,11,230,17085,12225,1571,619,31507
21202,40,125,16,14,194,24318,18477,2293,802,45896
21203,23,66,13,12,112,18514,15426,1692,723,36363
21204,150,283,29,27,493,85005,33842,4225,2342,125415
21205,128,346,40,33,547,71499,37152,4834,1772,115259
21301,45,119,18,8,187,38189,21949,2887,1434,64456
21302,35,86,6,9,135,22049,11219,1539,630,35433
21303,33,71,7,7,110,23222,16314,2354,782,42663
21304,20,63,3,9,102,24204,16639,2085,974,43902
21305,48,105,17,23,194,52517,30484,3909,1911,88819
21401,54,181,22,13,273,27675,20635,2889,846,52045
21402,124,368,51,28,575,28564,25026,3829,1061,58473
21501,172,242,29,44,486,15536,9111,1415,531,26594
21502,69,63,10,17,160,14148,7967,1139,649,23895
21503,88,115,14,28,247,9948,5495,733,420,16600
21601,69,103,12,25,210,9266,5837,916,425,16445
21602,53,70,10,17,144,6600,3955,570,286,11409
21603,77,133,26,20,248,18473,10467,1533,650,31126
21701,113,115,25,37,286,9000,5714,855,333,15912
21703,116,151,11,35,307,10163,6263,962,446,17836
21704,93,126,19,27,265,13328,8970,1333,472,24109
29797,0,0,0,0,0,160,17,19,0,194
29999,211,784,215,83,1298,72156,52479,9454,3389,137478
