POW_SA3_CODE_2021,M_EWFT_15_19_E,M_EWFT_15_19_OM_IE,M_EWFT_15_19_OM_UIE,M_EWFT_15_19_CFW,M_EWFT_15_19_ES_NS,M_EWFT_15_19_Tot,M_EWFT_20_24_E,M_EWFT_20_24_OM_IE,M_EWFT_20_24_OM_UIE,M_EWFT_20_24_CFW,M_EWFT_20_24_ES_NS,M_EWFT_20_24_Tot,M_EWFT_25_29_E,M_EWFT_25_29_OM_IE,M_EWFT_25_29_OM_UIE,M_EWFT_25_29_CFW,M_EWFT_25_29_ES_NS,M_EWFT_25_29_Tot,M_EWFT_30_34_E,M_EWFT_30_34_OM_IE,M_EWFT_30_34_OM_UIE,M_EWFT_30_34_CFW,M_EWFT_30_34_ES_NS,M_EWFT_30_34_Tot,M_EWFT_35_39_E,M_EWFT_35_39_OM_IE,M_EWFT_35_39_OM_UIE,M_EWFT_35_39_CFW,M_EWFT_35_39_ES_NS,M_EWFT_35_39_Tot,M_EWFT_40_44_E,M_EWFT_40_44_OM_IE,M_EWFT_40_44_OM_UIE,M_EWFT_40_44_CFW,M_EWFT_40_44_ES_NS,M_EWFT_40_44_Tot,M_EWFT_45_49_E,M_EWFT_45_49_OM_IE,M_EWFT_45_49_OM_UIE,M_EWFT_45_49_CFW,M_EWFT_45_49_ES_NS,M_EWFT_45_49_Tot,M_EWFT_50_54_E,M_EWFT_50_54_OM_IE,M_EWFT_50_54_OM_UIE,M_EWFT_50_54_CFW,M_EWFT_50_54_ES_NS,M_EWFT_50_54_Tot,M_EWFT_55_59_E,M_EWFT_55_59_OM_IE,M_EWFT_55_59_OM_UIE,M_EWFT_55_59_CFW,M_EWFT_55_59_ES_NS,M_EWFT_55_59_Tot,M_EWFT_60_64_E,M_EWFT_60_64_OM_IE,M_EWFT_60_64_OM_UIE,M_EWFT_60_64_CFW,M_EWFT_60_64_ES_NS,M_EWFT_60_64_Tot,M_EWFT_65_69_E,M_EWFT_65_69_OM_IE,M_EWFT_65_69_OM_UIE,M_EWFT_65_69_CFW,M_EWFT_65_69_ES_NS,M_EWFT_65_69_Tot,M_EWFT_70_74_E,M_EWFT_70_74_OM_IE,M_EWFT_70_74_OM_UIE,M_EWFT_70_74_CFW,M_EWFT_70_74_ES_NS,M_EWFT_70_74_Tot,M_EWFT_75ov_E,M_EWFT_75ov_OM_IE,M_EWFT_75ov_OM_UIE,M_EWFT_75ov_CFW,M_EWFT_75ov_ES_NS,M_EWFT_75ov_Tot,M_EWFT_Tot_E,M_EWFT_Tot_OM_IE,M_EWFT_Tot_OM_UIE,M_EWFT_Tot_CFW,M_EWFT_Tot_ES_NS,M_EWFT_Tot_Tot,M_EWPT_15_19_E,M_EWPT_15_19_OM_IE,M_EWPT_15_19_OM_UIE,M_EWPT_15_19_CFW,M_EWPT_15_19_ES_NS,M_EWPT_15_19_Tot,M_EWPT_20_24_E,M_EWPT_20_24_OM_IE,M_EWPT_20_24_OM_UIE,M_EWPT_20_24_CFW,M_EWPT_20_24_ES_NS,M_EWPT_20_24_Tot,M_EWPT_25_29_E,M_EWPT_25_29_OM_IE,M_EWPT_25_29_OM_UIE,M_EWPT_25_29_CFW,M_EWPT_25_29_ES_NS,M_EWPT_25_29_Tot,M_EWPT_30_34_E,M_EWPT_30_34_OM_IE,M_EWPT_30_34_OM_UIE,M_EWPT_30_34_CFW,M_EWPT_30_34_ES_NS,M_EWPT_30_34_Tot,M_EWPT_35_39_E,M_EWPT_35_39_OM_IE,M_EWPT_35_39_OM_UIE,M_EWPT_35_39_CFW,M_EWPT_35_39_ES_NS,M_EWPT_35_39_Tot,M_EWPT_40_44_E,M_EWPT_40_44_OM_IE,M_EWPT_40_44_OM_UIE,M_EWPT_40_44_CFW,M_EWPT_40_44_ES_NS,M_EWPT_40_44_Tot,M_EWPT_45_49_E,M_EWPT_45_49_OM_IE,M_EWPT_45_49_OM_UIE,M_EWPT_45_49_CFW,M_EWPT_45_49_ES_NS,M_EWPT_45_49_Tot,M_EWPT_50_54_E,M_EWPT_50_54_OM_IE,M_EWPT_50_54_OM_UIE,M_EWPT_50_54_CFW,M_EWPT_50_54_ES_NS,M_EWPT_50_54_Tot,M_EWPT_55_59_E,M_EWPT_55_59_OM_IE,M_EWPT_55_59_OM_UIE,M_EWPT_55_59_CFW,M_EWPT_55_59_ES_NS,M_EWPT_55_59_Tot,M_EWPT_60_64_E,M_EWPT_60_64_OM_IE,M_EWPT_60_64_OM_UIE,M_EWPT_60_64_CFW,M_EWPT_60_64_ES_NS,M_EWPT_60_64_Tot,M_EWPT_65_69_E,M_EWPT_65_69_OM_IE,M_EWPT_65_69_OM_UIE,M_EWPT_65_69_CFW,M_EWPT_65_69_ES_NS,M_EWPT_65_69_Tot,M_EWPT_70_74_E,M_EWPT_70_74_OM_IE,M_EWPT_70_74_OM_UIE,M_EWPT_70_74_CFW,M_EWPT_70_74_ES_NS,M_EWPT_70_74_Tot,M_EWPT_75ov_E,M_EWPT_75ov_OM_IE,M_EWPT_75ov_OM_UIE,M_EWPT_75ov_CFW,M_EWPT_75ov_ES_NS,M_EWPT_75ov_Tot,M_EWPT_Tot_E,M_EWPT_Tot_OM_IE,M_EWPT_Tot_OM_UIE,M_EWPT_Tot_CFW,M_EWPT_Tot_ES_NS,M_EWPT_Tot_Tot,M_EAFW_E,M_EAFW_OM_IE,M_EAFW_OM_UIE,M_EAFW_CFW,M_EAFW_ES_NS,M_EAFW_Tot,M_H_NS_E,M_H_NS_OM_IE,M_H_NS_OM_UIE,M_H_NS_CFW,M_H_NS_ES_NS,M_H_NS_Tot,M_Tot_E,M_Tot_OM_IE,M_Tot_OM_UIE,M_Tot_CFW,M_Tot_ES_NS,M_Tot_Tot,F_EWFT_15_19_E,F_EWFT_15_19_OM_IE,F_EWFT_15_19_OM_UIE,F_EWFT_15_19_CFW,F_EWFT_15_19_ES_NS,F_EWFT_15_19_Tot,F_EWFT_20_24_E,F_EWFT_20_24_OM_IE,F_EWFT_20_24_OM_UIE,F_EWFT_20_24_CFW,F_EWFT_20_24_ES_NS,F_EWFT_20_24_Tot,F_EWFT_25_29_E,F_EWFT_25_29_OM_IE
20101,450,0,6,0,0,454,1410,13,24,0,3,1445,1911,81,80,4,4,2081,1937,182,95,8,6,2223,1742,252,121,12,7,2131,1663,256,122,8,7,2061,1706,291,132,14,7,2155,1591,285,124,19,13,2030,1324,246,127,15,16,1725,910,175,88,18,12,1203,275,84,44,7,10,413,51,38,24,9,5,119,11,6,5,7,3,29,14973,1909,992,113,85,18066,1081,0,4,6,6,1095,919,0,26,0,0,951,588,11,58,0,3,654,402,21,49,3,0,470,315,32,48,0,4,402,235,29,26,11,0,304,267,35,50,14,4,371,231,42,65,5,3,349,288,47,62,10,3,409,340,49,81,16,11,495,249,47,64,11,4,377,109,34,28,22,0,197,28,18,19,21,0,85,5051,374,579,118,43,6154,954,44,70,18,13,1096,316,27,24,15,53,442,21286,2354,1665,263,196,25759,187,0,0,0,0,186,1009,0,16,0,4,1033,1507,17
20102,54,0,0,3,0,58,176,0,13,3,0,194,189,20,22,0,4,238,195,35,34,5,3,267,192,54,37,7,4,299,182,59,40,9,8,299,156,79,48,8,5,296,161,82,57,14,6,314,170,69,52,21,7,320,110,51,54,21,9,246,31,32,42,13,4,119,8,17,26,13,0,63,0,19,29,14,5,63,1625,511,465,127,57,2790,140,0,0,7,0,153,77,0,5,0,0,85,71,0,5,4,0,80,67,7,15,4,0,88,52,6,20,7,0,86,60,12,24,7,0,100,48,13,22,9,3,84,52,13,44,4,4,119,69,21,30,8,4,120,66,28,44,15,0,148,50,24,31,12,6,120,24,18,24,12,3,81,13,6,22,29,0,71,795,140,277,107,23,1342,133,13,32,16,3,198,57,3,21,9,9,98,2609,667,788,260,97,4425,21,0,0,0,0,22,91,0,0,6,0,101,128,0
20103,61,0,0,0,5,68,190,3,0,0,4,202,182,16,19,3,0,211,193,30,17,6,0,243,171,19,27,5,0,219,164,43,33,7,5,246,182,44,44,14,4,292,196,42,36,12,7,301,219,34,44,20,7,319,136,51,52,16,7,263,49,23,38,12,6,124,10,15,28,11,0,58,3,12,9,9,4,42,1744,317,338,125,49,2577,109,0,0,3,0,115,72,0,0,0,0,80,55,0,5,0,0,64,39,0,0,0,0,42,45,4,8,0,0,56,33,9,8,0,0,49,54,5,12,3,0,72,46,8,8,5,0,68,56,3,17,6,0,87,57,7,22,0,4,96,46,14,23,5,3,86,24,4,15,12,6,56,8,5,13,16,3,45,644,57,134,61,25,912,120,14,21,4,5,165,59,8,7,9,13,97,2570,390,503,198,83,3751,26,0,0,0,0,26,93,0,3,0,0,91,142,4
20201,370,0,0,0,0,375,1223,11,17,3,6,1259,1636,32,68,0,4,1744,1664,109,85,7,6,1873,1493,188,89,8,11,1799,1359,201,105,3,10,1675,1383,232,108,14,0,1740,1379,213,112,15,12,1728,1146,175,99,10,10,1439,839,126,81,10,5,1058,262,64,43,8,3,388,43,23,23,4,4,95,3,13,3,0,4,20,12797,1399,841,78,70,15181,1024,0,3,8,0,1038,755,0,15,3,0,768,440,6,30,0,0,481,334,12,36,0,5,393,298,15,50,4,4,368,274,29,34,3,4,349,225,28,38,3,4,297,229,30,45,4,4,324,253,42,56,5,7,360,326,38,69,12,8,452,217,34,53,9,5,320,86,20,36,14,4,161,38,11,14,18,0,77,4492,281,481,90,40,5384,769,37,46,18,18,885,274,16,17,11,38,353,18330,1727,1389,186,163,21799,158,0,0,0,0,159,923,3,11,0,0,937,1351,9
20202,141,0,4,0,5,147,425,0,6,4,4,440,558,19,34,4,3,618,570,41,44,4,7,664,556,68,56,8,8,693,492,78,75,10,5,655,532,102,78,6,12,735,490,124,101,7,9,726,439,82,96,15,11,642,316,85,65,21,16,504,102,53,55,12,7,227,20,19,15,16,0,78,4,20,29,10,4,69,4654,698,662,114,70,6204,295,0,0,0,0,301,218,0,5,7,3,232,148,5,21,0,0,167,124,9,22,5,0,164,104,17,22,0,0,147,118,18,38,4,0,176,92,10,56,5,3,168,120,26,53,7,8,215,120,31,78,12,6,241,168,28,81,13,5,295,117,25,70,23,6,244,42,28,39,14,6,127,20,12,34,22,3,87,1676,208,512,105,49,2550,343,10,33,22,4,415,132,22,18,7,21,193,6812,940,1221,246,146,9359,45,0,0,0,0,45,195,6,4,0,0,209,319,3
20203,28,0,0,0,0,29,113,3,7,0,0,118,167,4,15,0,0,189,178,17,11,3,0,215,168,27,19,3,0,226,174,33,33,10,0,249,167,30,30,5,0,226,159,22,43,13,8,245,135,25,35,11,3,218,105,34,51,15,0,210,28,24,35,19,5,107,10,5,18,19,0,55,0,9,14,15,9,41,1434,235,315,119,31,2130,41,0,0,5,0,50,26,0,3,3,0,30,18,5,0,0,0,23,18,0,0,0,0,22,15,0,4,0,0,18,12,0,4,0,0,20,18,0,4,0,0,25,22,0,7,4,0,33,29,0,9,0,0,45,32,6,18,10,0,57,22,3,13,5,3,47,7,3,17,3,0,34,0,4,12,7,3,29,266,26,87,50,11,433,87,3,8,10,0,110,39,0,11,14,9,75,1822,266,418,184,57,2742,8,0,0,0,0,8,31,0,0,0,0,35,67,0
20301,55,0,0,0,0,55,127,4,8,0,0,131,109,18,16,0,0,142,141,30,26,0,5,200,114,34,20,5,3,183,97,42,31,6,4,177,110,52,27,10,0,197,107,55,39,9,0,207,73,48,32,10,3,163,50,34,28,8,0,121,21,10,20,8,0,63,6,14,14,11,0,42,0,0,10,10,0,29,1020,340,263,74,22,1720,70,0,0,3,0,76,60,0,8,0,0,74,36,0,4,0,0,39,18,0,8,3,0,33,23,4,3,0,0,29,18,0,8,3,0,35,20,5,7,6,0,42,22,9,15,3,0,45,22,9,11,6,0,52,13,9,23,5,3,55,23,6,18,8,0,56,19,13,22,12,0,61,4,7,12,16,0,36,335,74,145,60,12,626,46,3,19,11,0,81,38,3,10,0,6,54,1436,417,436,152,38,2483,19,0,0,0,0,19,87,0,0,0,0,92,94,0
20302,626,3,3,0,4,632,2490,30,43,0,14,2578,3897,155,151,8,18,4228,4073,331,216,8,19,4645,3905,475,236,20,23,4662,3417,454,209,16,26,4125,3329,523,208,20,18,4097,3156,481,223,14,24,3893,2724,404,185,24,26,3363,1722,279,176,19,12,2201,549,155,87,11,8,816,94,58,31,15,4,208,31,35,20,7,5,102,30015,3383,1791,165,194,35546,1878,7,11,10,3,1908,1931,6,53,7,9,2011,1254,30,119,3,0,1409,724,49,102,7,7,885,654,61,116,9,10,852,477,66,99,17,4,665,486,93,112,14,11,714,472,64,107,9,10,657,566,85,131,13,6,801,603,88,160,14,6,876,461,82,102,25,12,684,176,52,75,25,9,338,83,30,38,19,3,175,9776,709,1233,181,76,11983,1709,82,123,34,12,1959,610,44,60,17,94,827,42110,4213,3209,403,384,50316,222,4,0,0,0,230,1779,5,19,3,7,1806,3204,30
20303,143,0,0,0,0,148,511,5,26,0,5,549,587,53,69,0,4,714,569,112,108,3,7,806,554,193,92,5,7,851,469,207,94,10,6,785,493,194,119,14,7,829,379,186,85,8,7,664,340,150,89,14,0,594,236,116,74,19,7,451,91,55,33,7,3,191,11,36,13,0,0,62,4,11,9,12,3,35,4392,1324,809,96,62,6678,701,0,5,5,0,719,519,5,16,3,0,537,330,8,28,4,3,370,151,19,36,0,0,212,141,32,52,4,0,221,107,30,51,5,6,207,95,37,77,6,3,223,84,41,70,0,8,199,109,52,79,9,0,247,164,54,89,17,6,328,123,67,83,18,8,301,53,44,58,20,0,181,32,22,23,24,0,94,2607,413,666,117,34,3836,504,58,56,13,7,637,134,18,14,3,17,202,7633,1812,1546,235,127,11356,51,0,0,0,0,55,341,0,6,0,0,350,481,11
20401,265,0,0,0,0,272,597,6,20,3,5,628,671,28,56,0,5,759,627,58,63,3,0,753,587,83,73,3,10,752,542,102,71,16,8,744,587,111,91,19,10,813,564,135,97,22,9,830,555,131,107,29,8,831,373,102,100,28,11,606,150,64,80,32,9,328,49,38,47,48,6,185,12,22,55,29,8,119,5574,879,859,231,81,7615,408,0,3,12,0,418,267,0,9,0,0,275,183,0,12,0,3,199,149,13,13,0,0,177,103,14,17,3,0,137,91,12,29,8,0,135,105,22,33,8,3,179,111,30,38,12,4,190,127,22,52,14,9,217,191,41,46,27,8,316,141,28,71,39,9,285,67,25,51,47,6,190,34,11,45,49,7,146,1975,219,430,207,48,2872,391,26,54,25,16,513,165,21,30,17,28,263,8105,1141,1369,483,163,11261,88,0,0,0,0,92,367,7,8,3,0,380,493,11
