POW_SA3_CODE_2021,F_SthAfrica_ES_NS,F_SthAfrica_Tot,F_SriLanka_E,F_SriLanka_OM_IE,F_SriLanka_OM_UIE,F_SriLanka_CFW,F_SriLanka_ES_NS,F_SriLanka_Tot,F_Taiwan_E,F_Taiwan_OM_IE,F_Taiwan_OM_UIE,F_Taiwan_CFW,F_Taiwan_ES_NS,F_Taiwan_Tot,F_Thailand_E,F_Thailand_OM_IE,F_Thailand_OM_UIE,F_Thailand_CFW,F_Thailand_ES_NS,F_Thailand_Tot,F_UK_E,F_UK_OM_IE,F_UK_OM_UIE,F_UK_CFW,F_UK_ES_NS,F_UK_Tot,F_USA_E,F_USA_OM_IE,F_USA_OM_UIE,F_USA_CFW,F_USA_ES_NS,F_USA_Tot,F_Vietnam_E,F_Vietnam_OM_IE,F_Vietnam_OM_UIE,F_Vietnam_CFW,F_Vietnam_ES_NS,F_Vietnam_Tot,F_Elsewhere_E,F_Elsewhere_OM_IE,F_Elsewhere_OM_UIE,F_Elsewhere_CFW,F_Elsewhere_ES_NS,F_Elsewhere_Tot,F_COB_NS_E,F_COB_NS_OM_IE,F_COB_NS_OM_UIE,F_COB_NS_CFW,F_COB_NS_ES_NS,F_COB_NS_Tot,F_Tot_E,F_Tot_OM_IE,F_Tot_OM_UIE,F_Tot_CFW,F_Tot_ES_NS,F_Tot_Tot,P_Australia_E,P_Australia_OM_IE,P_Australia_OM_UIE,P_Australia_CFW,P_Australia_ES_NS,P_Australia_Tot,P_Afghanistan_E,P_Afghanistan_OM_IE,P_Afghanistan_OM_UIE,P_Afghanistan_CFW,P_Afghanistan_ES_NS,P_Afghanistan_Tot,P_Bangladesh_E,P_Bangladesh_OM_IE,P_Bangladesh_OM_UIE,P_Bangladesh_CFW,P_Bangladesh_ES_NS,P_Bangladesh_Tot,P_Canada_E,P_Canada_OM_IE,P_Canada_OM_UIE,P_Canada_CFW,P_Canada_ES_NS,P_Canada_Tot,P_China_E,P_China_OM_IE,P_China_OM_UIE,P_China_CFW,P_China_ES_NS,P_China_Tot,P_Croatia_E,P_Croatia_OM_IE,P_Croatia_OM_UIE,P_Croatia_CFW,P_Croatia_ES_NS,P_Croatia_Tot,P_Egypt_E,P_Egypt_OM_IE,P_Egypt_OM_UIE,P_Egypt_CFW,P_Egypt_ES_NS,P_Egypt_Tot,P_Fiji_E,P_Fiji_OM_IE,P_Fiji_OM_UIE,P_Fiji_CFW,P_Fiji_ES_NS,P_Fiji_Tot,P_Germany_E,P_Germany_OM_IE,P_Germany_OM_UIE,P_Germany_CFW,P_Germany_ES_NS,P_Germany_Tot,P_Greece_E,P_Greece_OM_IE,P_Greece_OM_UIE,P_Greece_CFW,P_Greece_ES_NS,P_Greece_Tot,P_HongKong_E,P_HongKong_OM_IE,P_HongKong_OM_UIE,P_HongKong_CFW,P_HongKong_ES_NS,P_HongKong_Tot,P_India_E,P_India_OM_IE,P_India_OM_UIE,P_India_CFW,P_India_ES_NS,P_India_Tot,P_Indonesia_E,P_Indonesia_OM_IE,P_Indonesia_OM_UIE,P_Indonesia_CFW,P_Indonesia_ES_NS,P_Indonesia_Tot,P_Iran_E,P_Iran_OM_IE,P_Iran_OM_UIE,P_Iran_CFW,P_Iran_ES_NS,P_Iran_Tot,P_Iraq_E,P_Iraq_OM_IE,P_Iraq_OM_UIE,P_Iraq_CFW,P_Iraq_ES_NS,P_Iraq_Tot,P_Ireland_E,P_Ireland_OM_IE,P_Ireland_OM_UIE,P_Ireland_CFW,P_Ireland_ES_NS,P_Ireland_Tot,P_Italy_E,P_Italy_OM_IE,P_Italy_OM_UIE,P_Italy_CFW,P_Italy_ES_NS,P_Italy_Tot,P_Japan_E,P_Japan_OM_IE,P_Japan_OM_UIE,P_Japan_CFW,P_Japan_ES_NS,P_Japan_Tot,P_KoreaSouth_E,P_KoreaSouth_OM_IE,P_KoreaSouth_OM_UIE,P_KoreaSouth_CFW,P_KoreaSouth_ES_NS,P_KoreaSouth_Tot,P_Lebanon_E,P_Lebanon_OM_IE,P_Lebanon_OM_UIE,P_Lebanon_CFW,P_Lebanon_ES_NS,P_Lebanon_Tot,P_Malaysia_E,P_Malaysia_OM_IE,P_Malaysia_OM_UIE,P_Malaysia_CFW,P_Malaysia_ES_NS,P_Malaysia_Tot,P_Nepal_E,P_Nepal_OM_IE,P_Nepal_OM_UIE,P_Nepal_CFW,P_Nepal_ES_NS,P_Nepal_Tot,P_Netherlands_E,P_Netherlands_OM_IE,P_Netherlands_OM_UIE,P_Netherlands_CFW,P_Netherlands_ES_NS,P_Netherlands_Tot,P_NZ_E,P_NZ_OM_IE,P_NZ_OM_UIE,P_NZ_CFW,P_NZ_ES_NS,P_NZ_Tot
20101,0,75,58,0,7,0,0,67,22,7,0,0,0,25,60,6,5,0,0,73,607,15,37,9,0,667,73,3,8,3,0,84,80,9,5,5,0,91,398,18,25,7,5,452,168,7,4,4,3,187,25629,922,1243,326,160,28277,40733,2814,2431,480,302,46748,13,3,3,0,0,18,56,5,0,0,0,66,68,0,3,0,0,76,272,57,24,25,0,383,17,0,0,0,0,22,26,0,3,0,0,32,29,4,0,0,0,32,90,12,10,0,0,103,3,0,7,0,0,14,27,5,8,0,0,35,1131,90,78,11,14,1333,48,0,4,0,0,53,33,3,4,0,0,41,26,6,6,0,0,37,88,0,7,0,0,102,40,4,6,0,0,50,36,4,10,0,0,51,36,6,3,0,0,42,5,0,6,0,0,7,136,13,11,3,0,161,162,0,0,0,0,165,53,5,7,6,0,73,505,32,48,7,5,600
20102,0,15,10,0,0,0,0,13,0,0,0,0,0,0,14,3,0,0,0,17,111,12,29,11,4,170,10,0,3,0,0,14,28,5,3,0,0,37,95,8,11,12,0,129,34,0,9,4,6,48,3181,322,564,212,60,4336,4703,836,1116,385,127,7159,0,0,0,0,0,5,0,0,0,0,0,3,16,3,9,0,3,23,39,5,5,0,0,55,4,0,4,3,0,8,0,0,3,0,0,4,7,0,0,0,0,7,24,0,9,3,0,34,0,3,0,0,0,4,7,0,0,0,0,7,114,18,4,7,3,140,9,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,3,19,4,5,3,0,28,15,4,5,4,0,29,12,0,5,3,0,17,5,0,0,0,0,5,3,0,0,0,0,3,17,0,4,0,0,21,37,0,0,0,0,37,9,3,7,3,0,34,95,15,32,8,4,153
20103,0,3,3,3,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,5,67,9,13,9,5,96,5,0,0,0,0,7,3,0,3,0,0,6,32,5,0,0,0,39,44,6,7,0,4,56,2986,170,273,162,43,3642,4933,504,690,329,109,6568,0,0,0,0,0,0,3,0,0,0,0,3,10,0,0,0,0,13,12,0,6,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,15,6,0,0,0,19,0,0,0,0,0,3,7,0,0,0,0,7,53,8,0,0,0,68,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,5,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,9,4,0,0,0,16,26,0,0,0,0,26,3,0,3,0,0,7,67,7,10,5,0,86
20201,0,84,66,4,6,0,0,76,17,0,0,0,0,18,112,4,5,0,0,124,432,20,20,4,4,474,45,0,5,0,0,58,41,9,0,0,0,48,333,8,18,3,0,361,151,11,10,0,11,179,23248,775,1021,249,129,25424,36765,2151,2099,388,242,41647,31,9,0,0,0,39,35,3,0,0,0,41,54,7,4,0,0,59,176,27,25,13,0,239,4,0,0,0,0,6,26,13,4,0,0,42,27,0,0,0,0,33,57,0,6,0,0,64,14,0,0,0,0,18,23,6,4,0,0,30,708,59,49,7,8,829,48,0,0,0,0,54,20,0,0,0,0,23,14,0,0,0,0,14,49,4,0,0,0,56,30,0,6,0,0,32,9,0,3,0,0,11,35,4,4,0,0,39,11,3,3,0,0,20,127,10,7,3,0,154,94,0,0,0,0,94,33,5,4,0,0,49,391,16,23,0,0,438
20202,0,34,12,0,6,0,0,16,30,0,0,0,0,30,35,4,3,0,0,36,248,22,55,10,3,340,13,0,13,3,0,32,38,0,3,0,0,44,201,9,18,5,3,236,79,6,18,10,4,112,6995,494,1024,275,87,8877,11318,1178,1839,419,185,14945,10,0,0,0,0,16,5,0,0,0,0,8,32,0,8,0,0,40,43,10,0,3,0,61,10,0,0,0,0,10,0,0,0,0,0,9,11,0,0,0,0,6,39,4,15,3,0,63,4,4,6,4,0,17,14,0,0,0,0,14,183,22,0,5,0,212,35,0,0,0,0,33,12,0,0,0,0,12,7,0,0,0,0,8,23,11,11,0,0,37,16,0,10,0,3,27,9,0,8,0,0,20,8,0,0,0,0,7,0,0,0,0,0,3,77,4,11,0,0,99,28,0,0,0,0,33,34,4,3,3,0,45,226,23,51,7,4,308
20203,0,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,20,0,8,0,0,30,0,0,0,0,0,8,5,0,0,0,0,4,13,0,0,0,0,19,11,3,6,4,0,24,1049,103,195,145,27,1523,2545,342,568,309,70,3829,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,4,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,7,8,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,29,4,0,0,0,36,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,10,5,0,0,0,0,5,0,0,0,0,0,0,30,0,4,0,0,37
20301,0,6,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,53,7,22,5,0,89,3,0,0,0,0,9,4,0,0,0,0,4,44,5,5,0,0,53,12,0,0,0,0,16,1836,188,285,141,24,2470,2802,508,626,250,55,4241,4,0,0,0,0,8,0,0,0,0,0,3,5,0,0,0,0,5,9,5,0,0,0,7,5,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,8,3,0,0,0,17,0,0,0,0,0,4,0,0,0,0,0,3,51,8,6,0,0,60,7,0,0,0,0,7,6,0,0,0,0,6,0,0,0,0,0,0,3,7,0,0,0,7,6,0,0,5,0,8,3,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,6,3,0,0,0,0,5,10,0,0,0,0,10,5,5,7,3,0,14,55,15,7,9,0,86
20302,0,235,181,4,10,0,0,194,40,0,0,0,0,44,215,10,18,0,0,240,1732,62,88,14,0,1904,166,3,22,4,0,195,228,16,24,6,0,281,1436,52,66,18,16,1588,272,10,5,3,19,308,50003,1666,2402,514,241,54818,73679,4570,4305,670,441,83661,174,26,24,3,11,227,133,0,3,0,0,143,214,13,11,0,3,243,647,106,77,45,3,875,211,35,18,4,0,276,59,5,8,0,0,71,102,0,5,0,0,113,221,21,20,0,3,272,52,9,14,7,0,89,114,12,11,6,0,136,3183,256,214,26,29,3709,135,8,13,0,0,157,236,14,27,0,0,277,73,18,15,0,0,101,271,22,16,0,0,314,233,35,23,7,9,306,74,0,7,0,0,82,98,10,7,0,0,114,29,13,9,0,0,58,365,27,29,0,0,422,251,4,3,0,0,254,153,14,21,3,0,190,1253,69,88,6,5,1417
20303,0,67,25,3,0,0,0,22,10,0,0,0,0,10,39,4,6,0,0,45,388,42,72,19,4,518,35,16,7,3,0,60,35,3,4,6,0,48,231,18,23,13,3,285,74,13,15,14,3,112,10415,864,1403,341,107,13126,15007,2169,2465,454,172,20266,20,9,3,0,0,32,9,3,0,0,0,12,50,15,12,3,0,78,83,25,21,9,0,136,9,4,4,4,0,16,3,0,0,0,0,13,12,5,0,0,0,16,39,9,19,7,5,80,8,7,7,3,0,23,8,0,0,0,0,10,474,49,12,6,0,544,35,0,3,0,0,44,10,4,3,0,0,17,6,0,0,0,0,12,40,15,16,0,0,74,37,11,12,0,0,65,9,0,3,0,6,17,15,0,3,0,0,22,0,3,0,0,0,5,42,3,11,0,0,56,58,0,0,0,0,65,44,4,11,0,0,59,262,47,47,9,6,374
20401,0,37,19,0,0,0,0,25,17,0,0,0,0,18,24,0,3,0,0,35,291,21,33,18,3,368,23,3,4,4,0,31,26,0,3,0,0,31,151,18,22,5,4,204,125,0,18,7,10,160,9496,570,869,439,123,11494,14967,1454,1942,776,233,19370,14,0,0,0,0,18,10,0,0,0,0,10,41,4,6,3,0,49,91,20,8,4,0,126,6,0,0,3,0,8,6,0,0,0,0,11,25,0,0,0,0,25,50,5,16,6,0,82,4,3,0,4,0,14,16,3,0,0,0,13,321,24,4,3,8,365,17,0,0,0,0,17,12,3,0,0,0,16,12,0,0,0,0,16,46,0,4,0,0,54,29,10,3,13,0,55,12,0,3,4,0,18,7,0,0,0,0,13,0,0,3,0,0,7,44,6,6,6,0,53,35,4,0,0,0,36,35,7,8,4,0,54,239,37,33,9,7,318
