POW_SA3_CODE_2021,TPW_Oth_tspt_P,TPW_PstCour_PU_D_Svc_M,TPW_PstCour_PU_D_Svc_F,TPW_PstCour_PU_D_Svc_P,TPW_Tspt_supt_Svs_M,TPW_Tspt_supt_Svs_F,TPW_Tspt_supt_Svs_P,TPW_Wh_storage_Svs_M,TPW_Wh_storage_Svs_F,TPW_Wh_storage_Svs_P,TPW_Tot_M,TPW_Tot_F,TPW_Tot_P,IMT_IMT_nfd_M,IMT_IMT_nfd_F,IMT_IMT_nfd_P,IMT_PubExc_InetMusP_M,IMT_PubExc_InetMusP_F,IMT_PubExc_InetMusP_P,IMT_MotionP_SR_Act_M,IMT_MotionP_SR_Act_F,IMT_MotionP_SR_Act_P,IMT_Brdcast_ex_Inet_M,IMT_Brdcast_ex_Inet_F,IMT_Brdcast_ex_Inet_P,IMT_InetPub_brdcast_M,IMT_InetPub_brdcast_F,IMT_InetPub_brdcast_P,IMT_Tel_Svs_M,IMT_Tel_Svs_F,IMT_Tel_Svs_P,IMT_ISP_WSP_DP_svce_M,IMT_ISP_WSP_DP_svce_F,IMT_ISP_WSP_DP_svce_P,IMT_Lib_and_oth_IS_M,IMT_Lib_and_oth_IS_F,IMT_Lib_and_oth_IS_P,IMT_Tot_M,IMT_Tot_F,IMT_Tot_P,FinIns_FinIns_nfd_M,FinIns_FinIns_nfd_F,FinIns_FinIns_nfd_P,FinIns_Finance_M,FinIns_Finance_F,FinIns_Finance_P,FinIns_Ins_and_super_funds_M,FinIns_Ins_and_super_funds_F,FinIns_Ins_and_super_funds_P,FinIns_Aux_FinIns_Svs_M,FinIns_Aux_FinIns_Svs_F,FinIns_Aux_FinIns_Svs_P,FinIns_Tot_M,FinIns_Tot_F,FinIns_Tot_P,RHRE_RHRE_nfd_M,RHRE_RHRE_nfd_F,RHRE_RHRE_nfd_P,RHRE_RHSvc_ex_RealE_M,RHRE_RHSvc_ex_RealE_F,RHRE_RHSvc_ex_RealE_P,RHRE_POps_and_RE_svs_M,RHRE_POps_and_RE_svs_F,RHRE_POps_and_RE_svs_P,RHRE_Tot_M,RHRE_Tot_F,RHRE_Tot_P,ProSTS_ProSTS_nfd_M,ProSTS_ProSTS_nfd_F,ProSTS_ProSTS_nfd_P,ProSTS_ProSTS_ex_CSD_RS_M,ProSTS_ProSTS_ex_CSD_RS_F,ProSTS_ProSTS_ex_CSD_RS_P,ProSTS_CSD_RS_M,ProSTS_CSD_RS_F,ProSTS_CSD_RS_P,ProSTS_Tot_M,ProSTS_Tot_F,ProSTS_Tot_P,AdSup_AdSup_nfd_M,AdSup_AdSup_nfd_F,AdSup_AdSup_nfd_P,AdSup_Admin_Svs_M,AdSup_Admin_Svs_F,AdSup_Admin_Svs_P,AdSup_BldCln_PC_oth_Svc_M,AdSup_BldCln_PC_oth_Svc_F,AdSup_BldCln_PC_oth_Svc_P,AdSup_Tot_M,AdSup_Tot_F,AdSup_Tot_P,PubAS_PubAS_nfd_M,PubAS_PubAS_nfd_F,PubAS_PubAS_nfd_P,PubAS_PubAdm_M,PubAS_PubAdm_F,PubAS_PubAdm_P,PubAS_Defen_M,PubAS_Defen_F,PubAS_Defen_P,PubAS_PO_S_and_R_Svs_M,PubAS_PO_S_and_R_Svs_F,PubAS_PO_S_and_R_Svs_P,PubAS_Tot_M,PubAS_Tot_F,PubAS_Tot_P,EdTrn_EdTrn_nfd_M,EdTrn_EdTrn_nfd_F,EdTrn_EdTrn_nfd_P,EdTrn_PreSch_and_Sch_ed_M,EdTrn_PreSch_and_Sch_ed_F,EdTrn_PreSch_and_Sch_ed_P,EdTrn_Tertiary_ed_M,EdTrn_Tertiary_ed_F,EdTrn_Tertiary_ed_P,EdTrn_AdultCom_andOthEd_M,EdTrn_AdultCom_andOthEd_F,EdTrn_AdultCom_andOthEd_P,EdTrn_Tot_M,EdTrn_Tot_F,EdTrn_Tot_P,HC_SA_HC_SA_nfd_M,HC_SA_HC_SA_nfd_F,HC_SA_HC_SA_nfd_P,HC_SA_Hospitals_M,HC_SA_Hospitals_F,HC_SA_Hospitals_P,HC_SA_Med_oth_HCS_M,HC_SA_Med_oth_HCS_F,HC_SA_Med_oth_HCS_P,HC_SA_Resident_CS_M,HC_SA_Resident_CS_F,HC_SA_Resident_CS_P,HC_SA_Soc_assis_Svs_M,HC_SA_Soc_assis_Svs_F,HC_SA_Soc_assis_Svs_P,HC_SA_Tot_M,HC_SA_Tot_F,HC_SA_Tot_P,ArtsR_ArtsR_nfd_M,ArtsR_ArtsR_nfd_F,ArtsR_ArtsR_nfd_P,ArtsR_Heritage_ac_M,ArtsR_Heritage_ac_F,ArtsR_Heritage_ac_P,ArtsR_Creative_PAA_M,ArtsR_Creative_PAA_F,ArtsR_Creative_PAA_P,ArtsR_Sports_rec_ac_M,ArtsR_Sports_rec_ac_F,ArtsR_Sports_rec_ac_P,ArtsR_Gambling_ac_M,ArtsR_Gambling_ac_F,ArtsR_Gambling_ac_P,ArtsR_Tot_M,ArtsR_Tot_F,ArtsR_Tot_P,OthSvs_OthSvs_nfd_M,OthSvs_OthSvs_nfd_F,OthSvs_OthSvs_nfd_P,OthSvs_Repair_maintenanc_M,OthSvs_Repair_maintenanc_F,OthSvs_Repair_maintenanc_P,OthSvs_Personal_OthSvs_M,OthSvs_Personal_OthSvs_F,OthSvs_Personal_OthSvs_P,OthSvs_PriHES_UG_SPA_HOU_M,OthSvs_PriHES_UG_SPA_HOU_F,OthSvs_PriHES_UG_SPA_HOU_P,OthSvs_Tot_M,OthSvs_Tot_F,OthSvs_Tot_P,Inad_des_M,Inad_des_F,Inad_des_P,Industry_of_em_NS_M,Industry_of_em_NS_F,Industry_of_em_NS_P,Tot_M,Tot_F,Tot_P
20101,0,231,104,334,132,164,291,48,22,72,1374,444,1821,4,3,8,36,36,78,54,32,91,53,47,102,0,0,0,186,204,388,36,8,46,4,12,16,371,351,725,5,10,12,139,198,335,65,91,149,141,124,266,341,425,765,0,0,3,121,43,165,225,271,491,341,320,664,3,7,11,892,1118,2013,465,140,599,1362,1257,2626,0,0,0,213,340,551,354,356,712,562,699,1259,4,0,4,809,1253,2062,22,12,26,583,322,903,1415,1586,2999,33,77,105,992,3015,4000,512,788,1301,141,321,463,1675,4200,5875,18,112,129,916,3781,4697,707,2024,2736,228,937,1167,580,2046,2618,2448,8906,11355,3,8,4,123,115,243,33,67,104,310,363,670,10,14,25,482,569,1055,0,0,0,746,133,882,287,771,1054,0,0,0,1036,903,1941,787,408,1200,342,259,598,25759,28277,54038
20102,3,29,32,61,5,0,13,5,3,3,221,79,297,0,0,0,13,16,31,15,0,17,0,0,0,0,0,0,4,4,10,0,0,5,0,0,0,36,26,60,0,3,3,13,40,58,7,9,20,5,14,20,25,68,95,0,0,0,3,7,13,41,49,89,41,52,94,3,0,9,170,187,358,71,27,101,249,215,462,0,0,0,29,31,58,89,84,168,117,110,229,0,0,0,162,227,393,9,0,9,44,19,63,214,243,455,3,21,25,114,392,506,22,34,58,25,54,80,167,506,669,0,14,15,53,257,311,78,193,270,41,179,220,31,122,149,200,765,965,0,4,4,19,12,28,35,42,77,60,76,134,0,0,0,114,123,246,0,0,0,121,19,139,55,149,205,0,0,0,179,165,344,155,101,252,62,57,124,4425,4336,8765
20103,0,21,32,60,7,9,11,11,6,18,220,92,313,0,0,0,16,18,32,3,0,7,0,0,0,0,0,0,0,0,7,3,0,3,0,4,3,27,22,48,0,0,0,6,23,26,6,4,8,12,18,28,21,40,66,0,0,0,0,0,4,9,12,23,10,17,29,0,0,0,54,103,158,21,5,25,74,110,181,0,0,0,14,19,37,37,43,77,52,62,117,0,0,0,181,226,411,0,0,0,150,66,218,334,292,625,3,11,12,143,418,562,9,11,14,14,11,19,168,449,617,3,23,26,47,342,389,48,157,204,24,174,199,80,206,281,207,904,1108,0,0,0,3,3,9,9,4,18,40,52,91,0,3,5,58,68,123,0,0,0,121,29,144,22,77,97,0,0,0,143,102,246,114,70,187,76,61,143,3751,3642,7391
20201,8,229,115,350,70,21,91,49,16,60,1151,304,1451,3,9,7,22,39,65,29,19,49,32,28,59,0,0,0,107,52,160,64,31,94,13,37,53,274,213,484,5,13,20,614,810,1426,56,56,111,147,168,315,828,1049,1877,0,4,3,62,18,79,172,242,413,237,258,498,13,9,17,804,988,1793,212,68,277,1025,1062,2092,0,0,4,142,312,454,355,438,788,498,751,1244,5,5,11,757,1120,1880,91,85,176,522,204,726,1374,1416,2787,34,61,94,818,2623,3441,277,442,726,88,170,262,1219,3303,4515,38,110,146,837,3488,4324,609,1784,2391,192,1092,1279,497,1755,2252,2173,8219,10394,0,3,3,47,55,103,20,42,60,249,272,517,4,7,16,316,381,701,0,0,0,706,126,830,280,739,1022,0,5,5,988,870,1859,650,356,1009,304,240,542,21799,25424,47221
20202,0,50,51,100,24,6,31,28,14,38,391,126,520,4,0,0,14,39,53,26,12,36,0,4,6,0,0,0,18,0,23,3,0,9,3,13,21,71,77,145,3,0,8,38,52,93,7,10,24,24,29,48,79,95,172,0,0,0,12,7,22,50,89,139,65,94,157,10,0,9,331,398,730,92,42,132,434,442,870,0,0,0,40,94,138,130,95,228,170,197,366,0,0,0,393,470,861,6,0,6,384,232,616,785,707,1490,15,29,42,275,817,1095,25,42,74,44,118,166,358,1016,1374,3,31,36,131,677,813,176,562,740,63,364,428,82,408,490,457,2045,2503,0,4,4,19,24,48,84,90,170,72,78,153,0,0,3,177,196,379,0,0,0,214,53,267,76,227,299,0,3,3,286,288,575,274,194,471,133,112,246,9359,8877,18235
20203,0,17,16,30,4,0,4,8,3,13,147,30,177,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,10,11,19,3,3,4,4,4,6,13,19,32,0,0,0,0,0,0,0,6,6,0,6,6,0,0,0,20,23,48,4,3,5,28,30,52,0,0,0,3,0,6,28,18,40,34,21,47,0,0,0,54,73,131,0,4,3,16,0,19,76,81,153,0,0,4,43,170,215,0,5,5,5,9,13,54,182,233,0,6,6,12,94,107,12,68,82,0,17,23,3,26,26,33,207,243,0,0,0,10,5,19,5,0,5,8,3,13,0,0,0,24,9,30,0,0,0,40,10,54,7,21,31,0,0,0,45,34,81,75,27,98,47,43,96,2742,1523,4268
20301,0,12,21,30,0,4,6,3,0,7,105,43,145,0,0,0,5,4,7,4,0,3,0,0,0,0,0,0,8,6,11,0,0,0,0,0,5,17,15,29,0,0,0,8,14,18,0,14,11,4,4,12,12,32,46,0,0,0,5,0,4,11,18,34,19,14,35,3,4,3,82,117,199,19,6,26,104,123,228,0,0,0,8,17,26,42,36,72,52,50,100,0,0,0,96,149,250,4,0,4,19,11,29,113,164,275,6,3,8,72,342,412,4,9,11,7,30,35,86,386,472,0,10,8,0,31,28,21,117,142,27,171,197,8,100,111,63,426,486,0,0,0,0,0,0,7,8,11,12,31,47,0,0,0,22,39,60,0,0,0,79,11,84,24,57,81,0,3,3,100,69,170,46,45,89,37,21,60,2483,2470,4952
20302,8,470,162,628,345,107,450,283,137,421,2869,708,3577,4,8,10,55,57,105,81,64,144,31,21,52,7,3,7,141,55,200,48,13,62,44,120,163,410,337,745,19,10,31,259,383,644,552,1099,1658,314,287,597,1147,1779,2931,0,0,3,157,48,205,377,554,935,535,608,1144,23,3,26,2348,2645,4994,547,191,739,2909,2842,5753,0,0,0,383,610,991,788,629,1412,1169,1235,2404,6,10,19,1318,2246,3564,50,14,60,1790,1140,2923,3157,3412,6569,65,118,188,1712,5081,6798,1384,1858,3246,224,434,661,3387,7495,10886,35,161,195,1513,6602,8118,1104,3484,4587,357,2028,2388,1340,4504,5840,4351,16777,21131,18,18,40,71,79,147,85,106,185,460,422,887,27,37,59,656,663,1319,0,0,3,1369,233,1602,489,1570,2056,0,22,22,1861,1823,3684,1671,912,2579,717,515,1233,50316,54818,105131
20303,25,109,58,167,39,14,49,20,8,28,358,169,526,0,0,0,16,35,49,20,14,35,7,9,11,0,0,0,27,12,36,6,0,6,3,22,25,70,83,157,12,4,15,74,98,170,52,50,96,92,71,165,224,215,444,0,3,3,12,8,24,153,248,400,166,257,431,4,10,12,695,765,1458,165,64,223,856,835,1690,0,0,0,82,166,250,220,214,427,304,382,679,0,0,3,318,531,841,42,40,85,149,54,204,506,625,1130,19,41,58,451,1465,1915,58,95,148,78,188,269,610,1791,2400,11,42,49,45,114,158,281,838,1116,137,832,976,146,655,798,615,2475,3087,4,6,11,82,40,123,60,82,140,245,175,415,3,6,6,402,307,705,0,0,0,187,40,233,176,563,745,0,20,20,368,623,988,314,254,572,137,124,263,11356,13126,24487
20401,236,90,95,185,28,12,38,8,8,13,665,318,983,0,0,0,14,33,53,3,5,8,4,6,6,0,0,4,20,0,22,3,0,10,4,8,10,48,63,109,6,0,5,32,100,129,9,10,19,21,22,49,66,128,197,0,0,0,51,28,78,60,100,157,108,126,236,0,0,0,236,422,657,55,22,77,285,441,732,0,0,0,30,88,117,187,178,361,217,260,476,5,0,5,388,545,927,857,185,1043,216,114,334,1463,840,2302,11,40,46,429,1447,1881,35,42,75,134,183,313,604,1714,2322,11,32,47,69,685,754,180,620,799,79,485,567,99,486,585,440,2314,2748,6,0,3,28,23,49,11,17,28,163,149,310,3,3,7,201,196,403,0,0,0,272,55,327,101,262,370,0,5,5,378,327,703,283,197,480,220,173,392,11261,11494,22754
