POW_SA3_CODE_2021,M_Australia_E,M_Australia_OM_IE,M_Australia_OM_UIE,M_Australia_CFW,M_Australia_ES_NS,M_Australia_Tot,M_Afghanistan_E,M_Afghanistan_OM_IE,M_Afghanistan_OM_UIE,M_Afghanistan_CFW,M_Afghanistan_ES_NS,M_Afghanistan_Tot,M_Bangladesh_E,M_Bangladesh_OM_IE,M_Bangladesh_OM_UIE,M_Bangladesh_CFW,M_Bangladesh_ES_NS,M_Bangladesh_Tot,M_Canada_E,M_Canada_OM_IE,M_Canada_OM_UIE,M_Canada_CFW,M_Canada_ES_NS,M_Canada_Tot,M_China_E,M_China_OM_IE,M_China_OM_UIE,M_China_CFW,M_China_ES_NS,M_China_Tot,M_Croatia_E,M_Croatia_OM_IE,M_Croatia_OM_UIE,M_Croatia_CFW,M_Croatia_ES_NS,M_Croatia_Tot,M_Egypt_E,M_Egypt_OM_IE,M_Egypt_OM_UIE,M_Egypt_CFW,M_Egypt_ES_NS,M_Egypt_Tot,M_Fiji_E,M_Fiji_OM_IE,M_Fiji_OM_UIE,M_Fiji_CFW,M_Fiji_ES_NS,M_Fiji_Tot,M_Germany_E,M_Germany_OM_IE,M_Germany_OM_UIE,M_Germany_CFW,M_Germany_ES_NS,M_Germany_Tot,M_Greece_E,M_Greece_OM_IE,M_Greece_OM_UIE,M_Greece_CFW,M_Greece_ES_NS,M_Greece_Tot,M_HongKong_E,M_HongKong_OM_IE,M_HongKong_OM_UIE,M_HongKong_CFW,M_HongKong_ES_NS,M_HongKong_Tot,M_India_E,M_India_OM_IE,M_India_OM_UIE,M_India_CFW,M_India_ES_NS,M_India_Tot,M_Indonesia_E,M_Indonesia_OM_IE,M_Indonesia_OM_UIE,M_Indonesia_CFW,M_Indonesia_ES_NS,M_Indonesia_Tot,M_Iran_E,M_Iran_OM_IE,M_Iran_OM_UIE,M_Iran_CFW,M_Iran_ES_NS,M_Iran_Tot,M_Iraq_E,M_Iraq_OM_IE,M_Iraq_OM_UIE,M_Iraq_CFW,M_Iraq_ES_NS,M_Iraq_Tot,M_Ireland_E,M_Ireland_OM_IE,M_Ireland_OM_UIE,M_Ireland_CFW,M_Ireland_ES_NS,M_Ireland_Tot,M_Italy_E,M_Italy_OM_IE,M_Italy_OM_UIE,M_Italy_CFW,M_Italy_ES_NS,M_Italy_Tot,M_Japan_E,M_Japan_OM_IE,M_Japan_OM_UIE,M_Japan_CFW,M_Japan_ES_NS,M_Japan_Tot,M_KoreaSouth_E,M_KoreaSouth_OM_IE,M_KoreaSouth_OM_UIE,M_KoreaSouth_CFW,M_KoreaSouth_ES_NS,M_KoreaSouth_Tot,M_Lebanon_E,M_Lebanon_OM_IE,M_Lebanon_OM_UIE,M_Lebanon_CFW,M_Lebanon_ES_NS,M_Lebanon_Tot,M_Malaysia_E,M_Malaysia_OM_IE,M_Malaysia_OM_UIE,M_Malaysia_CFW,M_Malaysia_ES_NS,M_Malaysia_Tot,M_Nepal_E,M_Nepal_OM_IE,M_Nepal_OM_UIE,M_Nepal_CFW,M_Nepal_ES_NS,M_Nepal_Tot,M_Netherlands_E,M_Netherlands_OM_IE,M_Netherlands_OM_UIE,M_Netherlands_CFW,M_Netherlands_ES_NS,M_Netherlands_Tot,M_NZ_E,M_NZ_OM_IE,M_NZ_OM_UIE,M_NZ_CFW,M_NZ_ES_NS,M_NZ_Tot,M_Pakistan_E,M_Pakistan_OM_IE,M_Pakistan_OM_UIE,M_Pakistan_CFW,M_Pakistan_ES_NS,M_Pakistan_Tot,M_Philippines_E,M_Philippines_OM_IE,M_Philippines_OM_UIE,M_Philippines_CFW,M_Philippines_ES_NS,M_Philippines_Tot,M_Poland_E,M_Poland_OM_IE,M_Poland_OM_UIE,M_Poland_CFW,M_Poland_ES_NS,M_Poland_Tot,M_Singapore_E,M_Singapore_OM_IE,M_Singapore_OM_UIE,M_Singapore_CFW,M_Singapore_ES_NS,M_Singapore_Tot,M_SthAfrica_E,M_SthAfrica_OM_IE,M_SthAfrica_OM_UIE,M_SthAfrica_CFW,M_SthAfrica_ES_NS,M_SthAfrica_Tot,M_SriLanka_E,M_SriLanka_OM_IE,M_SriLanka_OM_UIE,M_SriLanka_CFW,M_SriLanka_ES_NS,M_SriLanka_Tot,M_Taiwan_E,M_Taiwan_OM_IE,M_Taiwan_OM_UIE,M_Taiwan_CFW,M_Taiwan_ES_NS,M_Taiwan_Tot,M_Thailand_E,M_Thailand_OM_IE,M_Thailand_OM_UIE,M_Thailand_CFW,M_Thailand_ES_NS,M_Thailand_Tot,M_UK_E,M_UK_OM_IE,M_UK_OM_UIE,M_UK_CFW,M_UK_ES_NS,M_UK_Tot,M_USA_E,M_USA_OM_IE
20101,18388,2033,1382,212,161,22173,9,3,3,0,0,14,37,0,3,0,0,47,26,0,0,0,0,31,115,33,7,14,0,173,7,0,0,0,0,13,14,0,3,0,0,23,11,4,0,0,0,14,36,10,3,0,0,51,3,0,5,0,0,13,7,0,5,0,0,11,609,72,68,6,6,766,17,0,3,0,0,24,19,0,0,0,0,23,15,5,6,0,0,26,44,0,5,0,0,53,24,3,5,0,0,38,9,3,5,0,0,17,17,6,0,0,0,19,3,0,6,0,0,6,72,6,3,0,0,82,85,0,0,0,0,89,18,7,6,6,0,35,226,24,37,3,0,291,60,10,0,0,0,69,128,3,0,0,0,126,6,0,0,0,0,4,19,5,0,0,0,19,62,11,6,0,0,76,93,3,5,0,0,107,8,5,0,0,0,15,19,0,3,0,0,28,530,55,55,13,3,646,44,7
20102,2090,564,652,217,79,3601,0,0,0,0,0,5,0,0,0,0,0,0,8,0,3,0,0,8,21,5,3,0,0,24,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,19,0,3,0,0,0,3,6,0,0,0,0,6,62,7,6,0,3,77,3,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,4,8,4,0,5,0,20,17,4,0,0,0,24,0,0,5,0,0,3,4,0,0,0,0,4,4,0,0,0,0,4,5,0,3,0,0,10,20,0,0,0,0,20,7,6,3,0,0,20,44,10,16,3,0,73,0,0,0,0,0,4,30,0,0,0,0,31,0,3,0,0,0,5,5,4,0,0,0,6,3,0,4,0,0,11,13,0,0,0,0,13,3,0,0,0,0,3,11,0,0,0,0,11,93,26,41,15,0,174,13,3
20103,2269,364,451,182,78,3340,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,13,0,0,0,0,0,3,7,0,0,0,0,7,34,3,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,13,0,0,0,0,13,3,0,0,0,0,4,28,6,5,0,0,36,7,0,0,0,0,9,15,0,0,0,0,15,0,0,0,0,0,0,3,0,0,0,0,3,17,0,3,5,0,16,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,69,5,12,3,0,89,9,0
20201,16112,1501,1207,165,139,19126,17,9,0,0,0,25,20,5,5,0,0,22,22,6,0,0,0,28,70,9,11,3,0,98,0,0,0,0,0,0,16,7,3,0,0,22,10,0,0,0,0,11,21,0,0,0,0,25,9,0,0,0,0,6,10,6,0,0,0,13,376,47,37,5,4,463,17,0,0,0,0,18,9,0,0,0,0,11,7,0,0,0,0,7,29,0,0,0,0,33,14,0,4,0,0,18,0,0,0,0,0,0,14,4,0,0,0,16,4,3,0,0,0,10,58,10,3,3,0,71,47,0,0,0,0,46,18,3,3,0,0,24,189,7,12,0,3,218,39,12,0,0,0,51,137,3,0,0,0,139,4,0,0,0,0,7,12,0,0,0,0,11,72,10,8,0,0,88,75,6,4,0,0,88,14,0,0,0,0,14,65,4,0,0,0,71,345,34,49,3,3,430,35,4
20202,5494,772,1012,190,113,7573,5,0,0,0,0,10,0,0,0,0,0,0,10,0,4,0,0,17,16,5,0,3,0,25,6,0,0,0,0,6,0,0,0,0,0,5,3,0,0,0,0,4,17,3,10,0,0,31,0,4,0,3,0,13,8,0,0,0,0,10,108,18,0,5,0,127,9,0,3,0,0,9,7,0,0,0,0,7,8,0,0,0,0,7,13,4,3,0,0,22,8,0,5,3,3,22,0,0,0,0,0,4,5,0,0,0,0,5,0,0,0,0,0,0,50,6,6,0,0,56,15,0,0,0,0,19,15,0,0,0,0,22,122,12,26,4,0,161,11,0,0,0,0,15,58,0,0,0,0,58,0,0,3,0,0,6,0,3,0,0,0,9,18,10,5,3,0,39,26,3,0,0,0,28,37,0,0,0,0,39,65,0,0,0,0,69,222,44,90,24,11,383,24,3
20203,1617,249,395,174,52,2480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,5,3,0,0,0,0,3,6,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,21,4,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,7,5,0,0,0,0,5,0,0,0,0,0,0,19,0,0,0,0,24,4,0,0,0,0,4,35,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,16,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,29,7,4,0,4,37,3,0
20301,1182,354,392,125,29,2091,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,29,8,0,0,0,37,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,5,4,0,0,5,0,10,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,4,0,4,0,0,6,37,7,6,0,0,53,3,0,0,0,0,3,29,0,0,0,0,29,0,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,0,13,9,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,5,39,23,17,6,0,78,0,0
20302,32966,3269,2367,282,253,39140,130,23,22,0,11,186,77,4,4,0,0,89,77,8,5,0,0,91,316,64,44,18,0,439,95,29,11,5,0,144,31,5,4,0,0,41,47,0,5,0,0,56,96,14,15,0,3,126,32,9,6,6,0,54,45,4,9,0,0,56,1871,211,190,16,20,2313,57,6,5,0,0,65,148,7,19,0,0,171,43,10,13,0,0,61,139,20,8,0,0,170,122,29,13,6,11,184,24,0,4,0,0,22,39,3,0,0,0,49,17,12,7,0,0,40,157,18,17,0,0,188,125,0,3,0,0,130,80,9,12,0,0,102,621,50,44,6,5,726,261,17,62,3,3,351,407,7,5,0,5,417,34,9,5,0,0,48,62,0,3,0,0,63,224,21,18,0,0,268,262,16,13,0,0,297,25,5,0,0,0,26,120,12,0,0,8,138,1550,155,137,16,21,1879,132,14
20303,6272,1451,1285,184,97,9295,20,9,3,0,0,32,5,3,0,0,0,5,19,11,6,0,0,30,27,16,7,4,0,57,0,4,4,0,0,5,4,0,0,0,0,6,4,0,0,0,0,8,16,8,5,3,0,31,4,6,4,3,0,14,0,0,0,0,0,3,273,39,12,3,0,326,14,0,0,0,0,14,3,3,4,0,0,14,4,0,0,0,0,3,21,11,13,0,0,43,27,11,8,0,0,46,4,0,0,0,0,10,6,0,0,0,0,11,0,3,0,0,0,3,18,0,3,0,0,29,29,0,0,0,0,38,13,4,8,0,0,30,112,33,24,5,6,177,20,4,3,0,0,32,53,0,6,0,0,61,0,4,0,0,0,5,11,3,0,0,0,14,25,15,11,3,0,50,31,3,3,0,0,38,5,0,0,0,0,5,16,0,0,0,0,19,296,120,86,17,3,510,29,9
20401,6842,980,1199,399,129,9550,7,0,0,0,0,13,9,0,0,0,0,9,18,0,3,3,0,19,43,10,10,5,0,70,3,0,0,3,0,7,8,0,0,0,0,9,9,0,0,0,0,9,18,0,14,6,4,34,3,0,4,4,0,12,9,0,0,0,0,11,153,23,0,4,3,183,10,0,0,0,0,10,5,3,0,0,0,8,9,0,0,0,0,13,23,0,0,0,0,29,19,7,5,12,0,39,5,0,0,0,0,6,5,0,0,0,0,5,0,0,3,0,0,0,22,5,3,0,0,29,20,4,0,0,0,26,16,3,3,6,0,29,109,18,19,10,0,155,28,0,0,0,0,29,49,0,0,0,0,49,0,0,0,0,0,4,13,0,0,0,0,13,23,3,11,0,0,35,46,3,0,0,0,47,14,0,0,0,0,16,9,0,0,0,0,13,256,28,44,18,5,356,36,3
