POW_SA3_CODE_2021,Tot_800_999_H_0,Tot_800_999_H_1_19,Tot_800_999_H_20_29,Tot_800_999_H_30_34,Tot_800_999_H_35_39,Tot_800_999_H_40_44,Tot_800_999_H_45_49,Tot_800_999_H_50ov,Tot_800_999_H_NS,Tot_800_999_H_Tot,Tot_1000_1249_H_0,Tot_1000_1249_H_1_19,Tot_1000_1249_H_20_29,Tot_1000_1249_H_30_34,Tot_1000_1249_H_35_39,Tot_1000_1249_H_40_44,Tot_1000_1249_H_45_49,Tot_1000_1249_H_50ov,Tot_1000_1249_H_NS,Tot_1000_1249_H_Tot,Tot_1250_1499_H_0,Tot_1250_1499_H_1_19,Tot_1250_1499_H_20_29,Tot_1250_1499_H_30_34,Tot_1250_1499_H_35_39,Tot_1250_1499_H_40_44,Tot_1250_1499_H_45_49,Tot_1250_1499_H_50ov,Tot_1250_1499_H_NS,Tot_1250_1499_H_Tot,Tot_1500_1749_H_0,Tot_1500_1749_H_1_19,Tot_1500_1749_H_20_29,Tot_1500_1749_H_30_34,Tot_1500_1749_H_35_39,Tot_1500_1749_H_40_44,Tot_1500_1749_H_45_49,Tot_1500_1749_H_50ov,Tot_1500_1749_H_NS,Tot_1500_1749_H_Tot,Tot_1750_1999_H_0,Tot_1750_1999_H_1_19,Tot_1750_1999_H_20_29,Tot_1750_1999_H_30_34,Tot_1750_1999_H_35_39,Tot_1750_1999_H_40_44,Tot_1750_1999_H_45_49,Tot_1750_1999_H_50ov,Tot_1750_1999_H_NS,Tot_1750_1999_H_Tot,Tot_2000_2999_H_0,Tot_2000_2999_H_1_19,Tot_2000_2999_H_20_29,Tot_2000_2999_H_30_34,Tot_2000_2999_H_35_39,Tot_2000_2999_H_40_44,Tot_2000_2999_H_45_49,Tot_2000_2999_H_50ov,Tot_2000_2999_H_NS,Tot_2000_2999_H_Tot,Tot_3000_3499_H_0,Tot_3000_3499_H_1_19,Tot_3000_3499_H_20_29,Tot_3000_3499_H_30_34,Tot_3000_3499_H_35_39,Tot_3000_3499_H_40_44,Tot_3000_3499_H_45_49,Tot_3000_3499_H_50ov,Tot_3000_3499_H_NS,Tot_3000_3499_H_Tot,Tot_3500mo_H_0,Tot_3500mo_H_1_19,Tot_3500mo_H_20_29,Tot_3500mo_H_30_34,Tot_3500mo_H_35_39,Tot_3500mo_H_40_44,Tot_3500mo_H_45_49,Tot_3500mo_H_50ov,Tot_3500mo_H_NS,Tot_3500mo_H_Tot,Tot_PINS_H_0,Tot_PINS_H_1_19,Tot_PINS_H_20_29,Tot_PINS_H_30_34,Tot_PINS_H_35_39,Tot_PINS_H_40_44,Tot_PINS_H_45_49,Tot_PINS_H_50ov,Tot_PINS_H_NS,Tot_PINS_H_Tot,Tot_Tot_H_0,Tot_Tot_H_1_19,Tot_Tot_H_20_29,Tot_Tot_H_30_34,Tot_Tot_H_35_39,Tot_Tot_H_40_44,Tot_Tot_H_45_49,Tot_Tot_H_50ov,Tot_Tot_H_NS,Tot_Tot_H_Tot
20101,298,602,1116,1040,2182,1241,229,332,87,7130,311,455,878,950,2429,2023,437,534,89,8109,235,177,471,576,1619,1595,450,597,44,5771,226,136,263,439,1201,1350,403,664,49,4740,143,71,148,214,758,1002,377,619,20,3362,225,108,138,174,886,1409,665,1261,40,4905,42,29,30,44,115,212,130,295,3,895,50,67,53,65,166,302,148,562,16,1422,17,64,37,23,65,72,12,31,138,475,3043,8624,7021,5034,10968,10186,3060,5294,792,54038
20102,41,118,203,160,254,235,49,107,23,1179,51,95,142,133,243,269,73,134,16,1149,33,56,72,73,144,169,58,150,8,762,36,38,47,69,123,150,48,148,8,664,10,20,30,31,52,88,36,112,8,389,21,28,30,28,54,158,61,157,6,530,3,7,9,6,12,31,17,49,0,134,5,10,9,13,15,41,23,98,6,217,9,16,10,5,4,14,3,32,32,121,550,1740,1244,790,1161,1434,426,1253,176,8765
20103,37,75,122,158,303,201,46,82,29,1052,39,69,95,114,287,268,61,110,14,1055,23,47,41,52,143,175,53,120,9,670,17,25,23,47,120,155,51,119,7,566,16,9,15,21,65,95,35,67,6,320,20,14,8,20,71,156,49,138,13,497,3,3,6,7,6,24,6,37,0,97,4,6,3,8,8,19,12,50,0,124,7,17,7,4,15,14,3,12,28,111,405,1234,861,724,1285,1332,375,995,184,7391
20201,264,562,1028,905,1879,1105,207,288,88,6322,270,334,745,803,2115,1604,355,482,68,6791,220,184,430,576,1515,1230,315,501,37,5010,186,139,258,435,1289,1165,341,589,29,4431,128,72,138,259,807,825,276,518,26,3045,200,81,110,231,900,1146,516,1041,21,4255,29,19,29,29,96,209,96,254,6,764,41,44,42,62,117,215,103,442,9,1077,19,58,28,27,53,35,8,38,110,388,2640,7614,6180,4632,10214,8390,2382,4475,687,47221
20202,118,278,361,343,662,564,101,149,41,2617,131,164,272,279,598,711,151,288,40,2638,71,99,159,195,358,450,138,236,15,1718,66,67,96,140,292,419,138,279,20,1512,44,44,41,72,183,293,76,223,12,990,61,58,61,74,187,400,156,408,15,1414,5,16,16,18,35,55,37,69,3,260,10,26,23,28,45,102,25,152,4,418,10,23,20,13,27,44,7,18,78,244,992,3305,2353,1729,2904,3552,924,2130,342,18235
20203,14,44,66,47,96,101,29,113,8,517,12,23,34,49,97,135,46,152,4,559,16,17,16,27,56,114,45,126,6,420,18,17,17,27,47,78,36,128,3,381,9,10,11,3,19,69,26,128,4,284,40,9,20,7,20,108,59,219,5,495,3,0,0,3,8,19,3,44,3,78,6,0,3,0,9,8,9,53,3,97,6,9,11,8,7,13,5,22,24,93,197,533,398,264,446,785,299,1225,122,4268
20301,22,58,78,78,105,143,23,77,9,586,15,52,67,67,136,170,42,104,8,664,22,22,40,42,103,121,45,82,5,489,5,23,17,21,72,96,27,93,8,365,9,13,12,15,32,73,21,83,0,252,9,14,25,19,56,90,29,115,4,355,0,5,5,7,3,10,14,34,0,80,9,10,11,14,9,22,0,49,0,126,5,7,8,5,0,15,5,9,18,79,207,966,626,450,680,893,239,782,103,4952
20302,564,1268,2187,1755,3495,2353,391,479,178,12671,539,782,1759,1700,4483,3747,710,965,163,14839,441,439,971,1117,3290,3085,789,1082,102,11315,444,303,568,957,2622,2779,762,1284,77,9790,312,179,308,531,1803,2103,699,1149,50,7139,453,213,336,499,2512,3635,1364,2494,62,11569,65,59,60,77,269,587,244,646,19,2019,82,125,178,186,350,747,377,1304,31,3380,45,96,85,49,130,151,38,82,325,1007,5689,16974,13558,9288,21388,20920,5682,10120,1513,105131
20303,149,410,516,434,669,452,81,102,34,2842,134,281,403,350,747,665,138,201,34,2943,88,177,232,215,570,547,129,232,26,2204,83,140,121,186,441,529,158,288,23,1970,40,73,93,89,285,376,114,227,13,1311,71,92,74,103,332,567,205,437,11,1893,10,28,30,26,55,112,42,130,0,424,28,75,65,47,62,164,69,266,9,782,14,45,26,13,26,37,5,23,73,269,1689,5767,3656,2140,3765,3972,998,2102,396,24487
20401,124,269,440,396,735,574,130,240,46,2956,148,195,326,298,855,852,194,391,41,3312,95,98,166,196,529,586,182,346,30,2236,98,73,101,131,405,513,166,383,27,1894,53,46,44,71,220,351,123,282,13,1196,82,55,58,66,239,478,180,568,22,1740,9,15,9,16,28,73,32,121,8,307,13,38,24,27,34,89,49,189,12,487,18,41,23,21,30,52,9,31,102,326,1357,3773,2897,2023,3750,4214,1206,3034,507,22754
