POW_SA3_CODE_2021,Tot_Bf_91,Tot_91_95,Tot_96_00,Tot_01_05,Tot_06_10,Tot_11_15,Tot_16_20,Tot_2021,Tot_NS,Tot_Tot
20101,1663,245,409,665,1270,1192,1376,15,95,6938
20102,510,54,102,111,227,208,228,7,38,1494
20103,285,18,31,50,103,90,107,4,18,703
20201,1145,183,305,473,1048,919,1072,13,70,5230
20202,881,135,211,262,574,434,486,4,69,3055
20203,93,11,18,32,55,68,68,6,3,365
20301,215,29,40,45,107,118,93,0,10,658
20302,5017,822,1178,1754,3836,3792,4141,57,283,20867
20303,1075,133,211,316,670,718,797,3,77,4013
20401,970,126,166,260,452,456,501,16,103,3059
20402,704,90,130,162,297,292,453,9,34,2178
20403,1259,153,237,329,664,595,754,20,92,4095
20501,881,104,183,249,482,393,531,4,58,2890
20502,745,90,135,160,274,313,358,8,60,2141
20503,1297,136,211,299,488,469,410,11,94,3411
20504,1361,151,237,373,683,562,616,19,72,4079
20505,645,88,127,180,316,301,332,11,49,2034
20601,2452,532,661,844,1526,1557,2143,54,116,9899
20602,1413,306,378,542,856,946,1100,11,71,5618
20603,1787,364,457,650,1159,1075,1410,20,97,7016
20604,36281,11115,16035,24953,37035,39660,46561,935,1719,214295
20605,6691,1902,2537,3897,6482,6891,9441,163,332,38337
20606,2557,658,939,1353,2218,2487,3683,73,147,14109
20607,6498,1778,2458,3755,5924,6651,7937,175,367,35539
20701,6559,1550,2261,3398,4991,5015,5757,89,309,29922
20702,2409,641,805,1241,2022,1802,1923,34,131,11007
20703,4161,1195,1799,2868,4010,3809,4020,51,211,22138
20801,2811,712,921,1328,1861,1731,2088,26,138,11605
20802,4107,1153,1433,1869,2907,2768,3584,53,203,18081
20803,6801,1775,2090,3110,4920,4099,4476,48,339,27662
20804,1834,472,699,1086,1762,1752,2208,32,102,9958
20901,3725,911,1095,1519,2609,2173,2219,37,160,14437
20902,3325,841,1035,1440,2366,2257,2568,21,188,14035
20903,1028,168,233,353,570,451,416,4,57,3280
20904,5703,1567,1865,2728,6183,4752,5046,57,363,28262
21001,3387,767,856,1181,2223,1816,1910,19,170,12331
21002,479,50,103,130,199,163,168,3,32,1325
21003,1597,359,522,620,1237,1017,1233,15,84,6686
21004,601,104,145,213,414,362,291,3,25,2161
21005,8334,2491,2809,3926,8097,6399,7286,92,512,39944
21101,6700,1494,1954,2980,4880,3926,3718,66,259,25977
21102,503,99,157,151,245,223,220,0,13,1613
21103,3432,788,909,1454,2519,2109,2072,27,131,13441
21104,2242,517,809,1228,1857,1511,1452,14,87,9719
21105,3177,476,679,981,1495,1280,1262,12,148,9509
21201,1797,339,516,840,1867,1459,1409,15,127,8368
21202,3986,1138,1423,2277,3988,2865,2332,25,180,18220
21203,2311,643,1100,1879,4176,3001,2430,18,164,15723
21204,14065,4345,4928,6572,11558,9328,10009,137,751,61693
21205,11041,3125,4076,6054,9823,8388,9661,130,568,52872
21301,7098,2064,2098,2887,5833,4854,4899,65,417,30208
21302,3205,702,966,1343,2581,2164,2449,28,166,13604
21303,4351,1203,1407,1882,3270,2952,3439,37,231,18775
21304,2878,750,1042,1705,3765,2883,2909,24,189,16152
21305,6148,1945,2544,4916,10972,8355,8598,115,467,44061
21401,3991,764,1108,1714,2986,2228,2090,31,196,15115
21402,3964,587,851,1318,2200,1827,1614,19,266,12639
21501,557,79,119,203,510,427,702,51,54,2705
21502,636,87,188,246,482,618,1157,25,93,3533
21503,307,50,112,142,314,404,1047,25,103,2509
21601,353,61,91,107,218,260,320,10,39,1459
21602,309,27,61,120,217,254,394,3,35,1417
21603,843,185,314,490,1144,1115,1402,27,116,5637
21701,440,56,112,125,226,199,228,0,48,1433
21703,452,57,121,205,262,302,550,23,38,2009
21704,539,98,179,247,395,402,702,16,54,2622
29797,14,0,7,0,6,4,0,0,0,39
29999,9578,2134,2802,3551,6129,5487,6947,148,657,37444
