POW_SA3_CODE_2021,OIDNS_400_499_H_0,OIDNS_400_499_H_1_19,OIDNS_400_499_H_20_29,OIDNS_400_499_H_30_34,OIDNS_400_499_H_35_39,OIDNS_400_499_H_40_44,OIDNS_400_499_H_45_49,OIDNS_400_499_H_50ov,OIDNS_400_499_H_NS,OIDNS_400_499_H_Tot,OIDNS_500_649_H_0,OIDNS_500_649_H_1_19,OIDNS_500_649_H_20_29,OIDNS_500_649_H_30_34,OIDNS_500_649_H_35_39,OIDNS_500_649_H_40_44,OIDNS_500_649_H_45_49,OIDNS_500_649_H_50ov,OIDNS_500_649_H_NS,OIDNS_500_649_H_Tot,OIDNS_650_799_H_0,OIDNS_650_799_H_1_19,OIDNS_650_799_H_20_29,OIDNS_650_799_H_30_34,OIDNS_650_799_H_35_39,OIDNS_650_799_H_40_44,OIDNS_650_799_H_45_49,OIDNS_650_799_H_50ov,OIDNS_650_799_H_NS,OIDNS_650_799_H_Tot,OIDNS_800_999_H_0,OIDNS_800_999_H_1_19,OIDNS_800_999_H_20_29,OIDNS_800_999_H_30_34,OIDNS_800_999_H_35_39,OIDNS_800_999_H_40_44,OIDNS_800_999_H_45_49,OIDNS_800_999_H_50ov,OIDNS_800_999_H_NS,OIDNS_800_999_H_Tot,OIDNS_1000_1249_H_0,OIDNS_1000_1249_H_1_19,OIDNS_1000_1249_H_20_29,OIDNS_1000_1249_H_30_34,OIDNS_1000_1249_H_35_39,OIDNS_1000_1249_H_40_44,OIDNS_1000_1249_H_45_49,OIDNS_1000_1249_H_50ov,OIDNS_1000_1249_H_NS,OIDNS_1000_1249_H_Tot,OIDNS_1250_1499_H_0,OIDNS_1250_1499_H_1_19,OIDNS_1250_1499_H_20_29,OIDNS_1250_1499_H_30_34,OIDNS_1250_1499_H_35_39,OIDNS_1250_1499_H_40_44,OIDNS_1250_1499_H_45_49,OIDNS_1250_1499_H_50ov,OIDNS_1250_1499_H_NS,OIDNS_1250_1499_H_Tot,OIDNS_1500_1749_H_0,OIDNS_1500_1749_H_1_19,OIDNS_1500_1749_H_20_29,OIDNS_1500_1749_H_30_34,OIDNS_1500_1749_H_35_39,OIDNS_1500_1749_H_40_44,OIDNS_1500_1749_H_45_49,OIDNS_1500_1749_H_50ov,OIDNS_1500_1749_H_NS,OIDNS_1500_1749_H_Tot,OIDNS_1750_1999_H_0,OIDNS_1750_1999_H_1_19,OIDNS_1750_1999_H_20_29,OIDNS_1750_1999_H_30_34,OIDNS_1750_1999_H_35_39,OIDNS_1750_1999_H_40_44,OIDNS_1750_1999_H_45_49,OIDNS_1750_1999_H_50ov,OIDNS_1750_1999_H_NS,OIDNS_1750_1999_H_Tot,OIDNS_2000_2999_H_0,OIDNS_2000_2999_H_1_19,OIDNS_2000_2999_H_20_29,OIDNS_2000_2999_H_30_34,OIDNS_2000_2999_H_35_39,OIDNS_2000_2999_H_40_44,OIDNS_2000_2999_H_45_49,OIDNS_2000_2999_H_50ov,OIDNS_2000_2999_H_NS,OIDNS_2000_2999_H_Tot,OIDNS_3000_3499_H_0,OIDNS_3000_3499_H_1_19,OIDNS_3000_3499_H_20_29,OIDNS_3000_3499_H_30_34,OIDNS_3000_3499_H_35_39,OIDNS_3000_3499_H_40_44,OIDNS_3000_3499_H_45_49,OIDNS_3000_3499_H_50ov,OIDNS_3000_3499_H_NS,OIDNS_3000_3499_H_Tot,OIDNS_3500mo_H_0,OIDNS_3500mo_H_1_19,OIDNS_3500mo_H_20_29,OIDNS_3500mo_H_30_34,OIDNS_3500mo_H_35_39,OIDNS_3500mo_H_40_44,OIDNS_3500mo_H_45_49,OIDNS_3500mo_H_50ov,OIDNS_3500mo_H_NS,OIDNS_3500mo_H_Tot,OIDNS_PINS_H_0,OIDNS_PINS_H_1_19,OIDNS_PINS_H_20_29,OIDNS_PINS_H_30_34,OIDNS_PINS_H_35_39,OIDNS_PINS_H_40_44,OIDNS_PINS_H_45_49,OIDNS_PINS_H_50ov,OIDNS_PINS_H_NS,OIDNS_PINS_H_Tot,OIDNS_Tot_H_0,OIDNS_Tot_H_1_19,OIDNS_Tot_H_20_29,OIDNS_Tot_H_30_34,OIDNS_Tot_H_35_39,OIDNS_Tot_H_40_44,OIDNS_Tot_H_45_49,OIDNS_Tot_H_50ov,OIDNS_Tot_H_NS,OIDNS_Tot_H_Tot,Tot_NNI_H_0,Tot_NNI_H_1_19,Tot_NNI_H_20_29,Tot_NNI_H_30_34,Tot_NNI_H_35_39,Tot_NNI_H_40_44,Tot_NNI_H_45_49,Tot_NNI_H_50ov,Tot_NNI_H_NS,Tot_NNI_H_Tot,Tot_1_149_H_0,Tot_1_149_H_1_19,Tot_1_149_H_20_29,Tot_1_149_H_30_34,Tot_1_149_H_35_39,Tot_1_149_H_40_44,Tot_1_149_H_45_49,Tot_1_149_H_50ov,Tot_1_149_H_NS,Tot_1_149_H_Tot,Tot_150_299_H_0,Tot_150_299_H_1_19,Tot_150_299_H_20_29,Tot_150_299_H_30_34,Tot_150_299_H_35_39,Tot_150_299_H_40_44,Tot_150_299_H_45_49,Tot_150_299_H_50ov,Tot_150_299_H_NS,Tot_150_299_H_Tot,Tot_300_399_H_0,Tot_300_399_H_1_19,Tot_300_399_H_20_29,Tot_300_399_H_30_34,Tot_300_399_H_35_39,Tot_300_399_H_40_44,Tot_300_399_H_45_49,Tot_300_399_H_50ov,Tot_300_399_H_NS,Tot_300_399_H_Tot,Tot_400_499_H_0,Tot_400_499_H_1_19,Tot_400_499_H_20_29,Tot_400_499_H_30_34,Tot_400_499_H_35_39,Tot_400_499_H_40_44,Tot_400_499_H_45_49,Tot_400_499_H_50ov,Tot_400_499_H_NS,Tot_400_499_H_Tot,Tot_500_649_H_0,Tot_500_649_H_1_19,Tot_500_649_H_20_29,Tot_500_649_H_30_34,Tot_500_649_H_35_39,Tot_500_649_H_40_44,Tot_500_649_H_45_49,Tot_500_649_H_50ov,Tot_500_649_H_NS,Tot_500_649_H_Tot,Tot_650_799_H_0,Tot_650_799_H_1_19,Tot_650_799_H_20_29,Tot_650_799_H_30_34,Tot_650_799_H_35_39,Tot_650_799_H_40_44,Tot_650_799_H_45_49,Tot_650_799_H_50ov,Tot_650_799_H_NS,Tot_650_799_H_Tot
20101,7,4,3,0,0,0,0,0,13,42,6,7,9,10,3,5,0,7,12,54,3,9,6,11,13,6,0,9,12,65,6,4,5,3,16,9,3,0,22,65,0,6,7,3,30,25,0,9,18,99,0,4,6,3,14,24,4,5,16,80,3,4,6,0,14,10,8,6,7,53,3,0,0,0,10,10,6,7,5,40,4,0,0,0,6,9,4,6,5,42,0,0,0,0,0,5,0,0,0,3,9,0,0,0,4,0,5,3,3,25,0,7,4,0,8,13,0,3,57,89,58,83,42,36,129,121,36,61,226,788,41,81,27,14,15,19,3,24,22,245,265,1488,46,8,4,5,0,7,32,1855,189,1201,163,19,26,12,3,8,37,1667,194,1022,304,69,50,43,9,34,47,1770,179,1088,600,111,136,112,24,46,46,2355,334,1142,1370,447,365,239,52,97,63,4118,287,890,1376,826,948,543,105,170,64,5212
20102,0,4,0,0,0,5,0,0,7,11,0,0,3,0,0,3,0,0,0,6,0,0,5,0,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,14,4,4,3,0,0,0,0,3,0,15,0,0,0,0,0,3,0,0,0,12,0,0,0,0,3,0,0,4,0,3,0,0,0,0,0,0,0,0,4,4,0,5,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,4,8,17,12,13,12,3,12,16,0,17,36,135,14,30,15,4,6,14,0,22,3,113,55,212,9,3,8,6,0,4,10,303,44,257,41,15,8,4,4,29,10,409,47,205,69,14,14,29,4,31,21,434,44,214,105,31,39,34,13,43,17,536,59,255,236,72,61,71,16,70,9,845,74,188,219,137,128,115,34,67,16,980
20103,0,3,0,0,0,0,0,3,7,6,0,3,3,4,5,0,0,0,0,13,0,0,5,0,0,0,0,0,4,9,0,0,0,0,7,5,0,0,4,17,0,0,0,0,5,8,0,0,4,15,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,6,0,0,0,10,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,8,20,8,13,9,9,22,20,0,10,53,141,14,21,7,7,3,4,3,36,3,100,35,175,14,4,3,8,0,13,12,269,26,147,30,5,8,24,3,15,7,251,32,171,45,24,8,18,3,23,13,342,25,150,88,26,21,37,7,31,11,394,56,179,184,79,51,56,6,52,13,685,36,138,173,139,169,85,26,74,14,854
20201,3,5,9,0,0,0,0,0,19,38,0,16,5,0,4,11,0,0,22,55,3,10,9,9,16,5,0,3,13,69,5,4,9,3,15,7,3,0,13,73,3,3,4,3,30,22,7,0,8,79,0,0,6,5,23,14,0,10,3,57,0,3,0,0,20,9,5,10,9,54,5,4,5,4,10,9,0,7,0,43,6,0,0,5,7,3,5,14,3,48,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,4,9,3,0,0,0,0,10,0,6,53,83,38,70,53,38,129,104,17,57,196,710,44,70,16,16,10,18,3,19,22,220,196,1349,39,7,4,3,0,8,32,1634,170,1108,162,21,13,25,6,6,25,1537,145,865,231,40,38,35,6,19,29,1420,190,903,471,101,115,92,14,39,47,1980,242,1108,1243,328,332,202,54,93,73,3673,288,721,1200,781,933,480,72,145,55,4677
20202,3,3,0,0,0,0,0,0,3,7,0,5,0,6,0,0,0,0,6,20,3,6,0,6,4,0,0,0,6,30,0,0,3,0,10,13,3,0,10,41,3,8,0,0,4,5,3,7,0,32,0,4,0,3,0,0,6,7,0,27,0,0,0,0,0,0,0,5,0,13,0,0,3,0,0,0,0,4,0,18,0,4,0,0,0,8,0,4,0,12,0,0,0,0,0,0,0,4,0,9,0,0,0,0,5,0,0,4,0,5,3,0,0,0,0,5,0,0,29,39,26,55,19,21,41,45,12,27,75,321,20,41,8,9,5,18,8,32,4,147,88,480,22,4,4,11,4,16,16,643,65,400,53,21,6,15,0,8,20,601,48,406,124,26,14,31,8,33,17,721,62,425,215,58,38,51,12,40,15,917,94,420,459,163,117,119,19,64,32,1485,92,369,411,273,321,262,42,115,27,1922
20203,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,9,0,0,6,0,0,0,0,6,5,8,0,0,0,0,0,5,0,0,3,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,9,0,0,0,0,0,0,0,0,6,8,4,11,6,0,3,6,5,6,28,75,7,14,12,0,0,10,4,30,7,87,11,75,12,0,0,3,0,8,5,107,7,59,13,3,3,3,5,18,6,118,10,64,17,10,7,19,6,22,4,155,12,58,49,15,8,10,7,27,9,196,15,92,57,26,22,22,11,57,11,310,18,46,63,36,43,60,17,73,14,367
20301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,12,0,0,0,0,4,3,0,0,6,11,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,5,3,7,5,6,10,3,11,24,75,9,15,5,10,4,15,0,16,3,78,23,152,14,6,0,3,0,7,3,213,14,145,15,5,3,4,4,7,11,211,22,120,45,8,13,13,0,17,3,247,19,106,62,20,18,21,3,17,9,272,17,123,116,44,42,38,3,32,10,426,22,94,113,92,71,59,11,42,14,516
20302,8,24,11,3,3,3,0,0,29,93,11,19,19,7,4,4,0,0,37,114,12,10,17,6,21,16,0,5,30,118,5,7,16,17,56,33,0,4,27,171,11,3,19,12,69,46,8,18,36,220,10,3,4,10,39,50,0,15,26,164,12,6,5,11,45,34,16,15,17,147,0,3,4,6,36,24,3,14,10,104,4,3,0,4,45,29,11,27,9,123,0,4,0,0,4,3,0,8,7,25,0,3,0,3,6,8,5,15,14,58,0,3,10,11,17,30,10,15,150,241,98,173,117,99,347,300,48,150,459,1800,104,147,39,20,41,51,11,68,44,527,480,2626,70,23,17,22,4,25,50,3319,384,2428,268,55,51,40,6,26,46,3300,346,2089,550,123,75,57,21,44,49,3356,371,2137,1194,202,195,188,24,76,79,4468,527,2370,2409,627,527,454,91,142,92,7240,536,1716,2572,1350,1538,937,155,246,150,9194
20303,0,0,4,0,0,0,0,0,10,11,4,6,5,4,0,0,0,0,5,26,0,10,0,0,0,0,0,0,3,23,0,3,3,0,9,4,0,0,9,37,5,3,3,8,10,13,0,0,0,44,0,4,6,0,5,10,0,0,4,28,0,5,0,0,0,0,0,4,4,20,0,0,0,0,5,8,0,0,0,16,0,0,0,0,7,5,4,8,0,25,0,0,0,5,0,0,0,0,0,12,0,3,5,4,0,4,0,3,6,19,0,5,0,3,0,8,0,0,32,50,29,58,29,25,44,55,13,22,94,365,36,54,23,15,5,13,4,14,9,175,249,995,33,8,3,11,0,8,17,1321,141,771,96,17,8,32,6,13,17,1089,140,716,203,34,20,29,3,13,17,1179,133,641,384,60,49,65,4,33,25,1388,196,725,683,187,120,137,16,39,38,2143,179,556,677,364,364,252,30,83,43,2543
20401,0,0,3,0,0,4,0,5,9,24,0,0,3,0,0,5,0,0,7,27,0,5,3,6,5,8,0,0,14,39,0,0,3,4,11,8,0,3,12,48,5,0,0,3,14,14,5,5,8,70,3,0,3,4,3,9,0,4,7,37,0,0,0,0,8,6,0,6,0,20,0,4,0,0,0,4,0,3,0,13,0,0,0,4,3,8,0,4,0,16,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,5,3,14,6,0,0,0,3,0,4,0,52,64,30,47,26,31,58,75,16,37,134,462,31,63,25,15,10,26,11,47,15,247,125,537,34,7,6,14,10,25,21,781,94,501,92,35,20,36,5,30,22,840,97,467,142,44,26,40,8,50,22,902,89,448,263,84,62,64,12,56,29,1108,138,521,584,213,146,170,33,109,43,1962,141,404,558,395,399,295,65,168,45,2476
