POW_SA3_CODE_2021,IE_Mng_OMEs_Nil_e,IE_Mng_OMEs_1_19_e,IE_Mng_OMEs_20mo_e,IE_Mng_OMEs_NE_NS,IE_Mng_Tot,IE_Pro_OMEs_Nil_e,IE_Pro_OMEs_1_19_e,IE_Pro_OMEs_20mo_e,IE_Pro_OMEs_NE_NS,IE_Pro_Tot,IE_TecTW_OMEs_Nil_e,IE_TecTW_OMEs_1_19_e,IE_TecTW_OMEs_20mo_e,IE_TecTW_OMEs_NE_NS,IE_TecTW_Tot,IE_CoPSW_OMEs_Nil_e,IE_CoPSW_OMEs_1_19_e,IE_CoPSW_OMEs_20mo_e,IE_CoPSW_OMEs_NE_NS,IE_CoPSW_Tot,IE_ClAW_OMEs_Nil_e,IE_ClAW_OMEs_1_19_e,IE_ClAW_OMEs_20mo_e,IE_ClAW_OMEs_NE_NS,IE_ClAW_Tot,IE_SWs_OMEs_Nil_e,IE_SWs_OMEs_1_19_e,IE_SWs_OMEs_20mo_e,IE_SWs_OMEs_NE_NS,IE_SWs_Tot,IE_MaOpD_OMEs_Nil_e,IE_MaOpD_OMEs_1_19_e,IE_MaOpD_OMEs_20mo_e,IE_MaOpD_OMEs_NE_NS,IE_MaOpD_Tot,IE_Lab_OMEs_Nil_e,IE_Lab_OMEs_1_19_e,IE_Lab_OMEs_20mo_e,IE_Lab_OMEs_NE_NS,IE_Lab_Tot,IE_IDNS_OMEs_Nil_e,IE_IDNS_OMEs_1_19_e,IE_IDNS_OMEs_20mo_e,IE_IDNS_OMEs_NE_NS,IE_IDNS_Tot,IE_Tot_OMEs_Nil_e,IE_Tot_OMEs_1_19_e,IE_Tot_OMEs_20mo_e,IE_Tot_OMEs_NE_NS,IE_Tot_Tot,UIE_Mng_OMEs_Nil_e,UIE_Mng_OMEs_1_19_e,UIE_Mng_OMEs_20mo_e,UIE_Mng_OMEs_NE_NS,UIE_Mng_Tot,UIE_Pro_OMEs_Nil_e,UIE_Pro_OMEs_1_19_e,UIE_Pro_OMEs_20mo_e,UIE_Pro_OMEs_NE_NS,UIE_Pro_Tot,UIE_TecTW_OMEs_Nil_e,UIE_TecTW_OMEs_1_19_e,UIE_TecTW_OMEs_20mo_e,UIE_TecTW_OMEs_NE_NS,UIE_TecTW_Tot,UIE_CoPSW_OMEs_Nil_e,UIE_CoPSW_OMEs_1_19_e,UIE_CoPSW_OMEs_20mo_e,UIE_CoPSW_OMEs_NE_NS,UIE_CoPSW_Tot,UIE_ClAW_OMEs_Nil_e,UIE_ClAW_OMEs_1_19_e,UIE_ClAW_OMEs_20mo_e,UIE_ClAW_OMEs_NE_NS,UIE_ClAW_Tot,UIE_SWs_OMEs_Nil_e,UIE_SWs_OMEs_1_19_e,UIE_SWs_OMEs_20mo_e,UIE_SWs_OMEs_NE_NS,UIE_SWs_Tot,UIE_MaOpD_OMEs_Nil_e,UIE_MaOpD_OMEs_1_19_e,UIE_MaOpD_OMEs_20mo_e,UIE_MaOpD_OMEs_NE_NS,UIE_MaOpD_Tot,UIE_Lab_OMEs_Nil_e,UIE_Lab_OMEs_1_19_e,UIE_Lab_OMEs_20mo_e,UIE_Lab_OMEs_NE_NS,UIE_Lab_Tot,UIE_IDNS_OMEs_Nil_e,UIE_IDNS_OMEs_1_19_e,UIE_IDNS_OMEs_20mo_e,UIE_IDNS_OMEs_NE_NS,UIE_IDNS_Tot,UIE_Tot_OMEs_Nil_e,UIE_Tot_OMEs_1_19_e,UIE_Tot_OMEs_20mo_e,UIE_Tot_OMEs_NE_NS,UIE_Tot_Tot,Tot_Mng_OMEs_Nil_e,Tot_Mng_OMEs_1_19_e,Tot_Mng_OMEs_20mo_e,Tot_Mng_OMEs_NE_NS,Tot_Mng_Tot,Tot_Pro_OMEs_Nil_e,Tot_Pro_OMEs_1_19_e,Tot_Pro_OMEs_20mo_e,Tot_Pro_OMEs_NE_NS,Tot_Pro_Tot,Tot_TecTW_OMEs_Nil_e,Tot_TecTW_OMEs_1_19_e,Tot_TecTW_OMEs_20mo_e,Tot_TecTW_OMEs_NE_NS,Tot_TecTW_Tot,Tot_CoPSW_OMEs_Nil_e,Tot_CoPSW_OMEs_1_19_e,Tot_CoPSW_OMEs_20mo_e,Tot_CoPSW_OMEs_NE_NS,Tot_CoPSW_Tot,Tot_ClAW_OMEs_Nil_e,Tot_ClAW_OMEs_1_19_e,Tot_ClAW_OMEs_20mo_e,Tot_ClAW_OMEs_NE_NS,Tot_ClAW_Tot,Tot_SWs_OMEs_Nil_e,Tot_SWs_OMEs_1_19_e,Tot_SWs_OMEs_20mo_e,Tot_SWs_OMEs_NE_NS,Tot_SWs_Tot,Tot_MaOpD_OMEs_Nil_e,Tot_MaOpD_OMEs_1_19_e,Tot_MaOpD_OMEs_20mo_e,Tot_MaOpD_OMEs_NE_NS,Tot_MaOpD_Tot,Tot_Lab_OMEs_Nil_e,Tot_Lab_OMEs_1_19_e,Tot_Lab_OMEs_20mo_e,Tot_Lab_OMEs_NE_NS,Tot_Lab_Tot,Tot_IDNS_OMEs_Nil_e,Tot_IDNS_OMEs_1_19_e,Tot_IDNS_OMEs_20mo_e,Tot_IDNS_OMEs_NE_NS,Tot_IDNS_Tot,Tot_Tot_OMEs_Nil_e,Tot_Tot_OMEs_1_19_e,Tot_Tot_OMEs_20mo_e,Tot_Tot_OMEs_NE_NS,Tot_Tot_Tot
20902,155,509,135,0,803,195,226,19,0,447,175,225,9,3,409,26,44,7,0,74,55,84,16,0,146,51,89,18,0,157,63,25,11,0,97,52,60,0,0,112,15,16,6,0,40,783,1280,213,3,2285,152,84,6,0,243,737,87,5,0,832,409,70,4,0,481,190,22,3,0,213,84,11,0,0,94,77,22,0,0,99,189,10,0,0,201,153,28,0,0,182,37,4,0,0,40,2025,339,18,4,2387,305,588,145,0,1040,937,314,26,0,1275,580,300,7,5,889,221,64,10,0,292,138,94,13,0,238,125,112,18,0,251,256,33,11,0,305,199,90,0,0,289,55,19,6,0,82,2807,1617,233,10,4666
20903,157,439,59,4,659,296,214,20,0,533,189,247,8,0,449,25,31,0,0,56,97,140,3,4,243,40,49,8,0,98,40,21,0,0,62,39,32,0,0,74,22,17,0,0,42,902,1186,109,13,2211,140,61,0,4,208,643,87,4,0,739,383,72,0,0,456,183,16,0,0,202,109,18,0,0,129,39,8,4,0,47,40,6,0,0,44,88,16,0,0,112,21,5,0,0,25,1650,293,10,4,1962,299,498,61,4,869,939,299,28,3,1273,568,320,8,0,901,209,51,0,0,262,207,158,3,4,373,82,57,11,0,148,76,23,0,0,107,129,48,0,0,178,44,18,0,0,68,2553,1482,115,15,4169
20904,393,1311,284,3,1997,332,460,48,0,839,451,674,27,4,1159,45,56,11,0,116,176,337,37,0,545,105,192,28,5,327,335,148,6,3,483,129,153,12,4,304,55,61,7,0,122,2018,3397,466,20,5896,309,155,12,0,470,761,118,9,0,886,1034,227,5,4,1264,403,28,0,3,435,244,44,0,0,286,142,36,6,0,178,616,12,0,0,633,402,47,0,0,455,81,13,5,0,96,3989,672,31,17,4703,698,1466,293,7,2471,1091,573,60,0,1725,1482,902,37,11,2430,454,89,9,3,550,415,378,37,0,832,243,225,27,5,502,946,161,6,4,1118,533,202,18,5,757,130,70,9,0,218,6007,4066,491,38,10601
21001,196,747,202,0,1145,175,225,22,0,433,190,382,29,0,608,18,38,3,0,59,116,200,35,0,353,45,82,7,0,133,101,41,0,0,144,59,57,3,0,126,22,30,3,0,55,922,1807,310,9,3043,111,92,7,0,216,330,66,0,0,403,359,89,0,0,455,152,14,0,0,166,100,20,0,0,116,40,15,0,0,56,88,8,0,0,97,121,33,0,0,160,26,6,0,0,35,1329,349,9,3,1693,308,835,209,0,1359,509,295,23,3,833,545,478,29,4,1059,176,51,3,0,225,210,220,35,0,472,88,93,7,0,185,188,49,0,0,234,185,88,3,0,279,46,37,3,4,93,2257,2155,314,10,4744
21002,73,199,27,4,307,129,107,8,0,247,71,117,6,5,195,12,12,4,0,21,41,76,0,0,124,10,19,0,0,34,29,20,0,0,39,23,17,0,0,43,4,4,0,0,9,390,565,52,9,1018,86,49,0,0,141,216,37,3,0,251,200,65,0,0,265,94,11,0,0,102,44,7,0,0,47,19,8,0,0,28,29,7,0,0,29,81,4,0,0,91,18,0,0,0,18,782,188,3,5,979,159,255,31,4,448,344,138,11,3,500,270,181,5,6,462,101,18,4,0,121,89,82,0,0,168,31,28,0,0,62,57,18,0,0,75,107,30,6,0,138,17,4,0,0,25,1176,753,57,14,2002
21003,124,309,47,3,480,130,160,10,0,302,147,197,0,0,347,24,21,0,0,43,45,70,8,0,129,28,46,0,0,69,72,28,0,0,102,39,61,0,0,102,7,11,0,0,26,621,897,70,4,1598,102,61,0,0,170,374,39,5,0,427,348,91,0,4,446,164,12,0,0,173,54,15,0,0,71,33,13,0,0,48,242,0,0,0,242,98,15,0,0,117,18,5,0,0,21,1446,251,13,3,1713,230,363,50,3,651,502,204,14,0,724,497,283,0,4,785,188,32,0,0,223,103,79,8,0,197,58,55,0,0,119,316,31,0,0,344,135,81,3,0,221,26,20,0,0,52,2066,1147,81,12,3316
21004,59,166,13,0,246,68,79,13,0,157,64,121,5,0,193,8,15,0,0,23,39,86,8,0,129,13,19,0,0,37,31,21,0,0,48,29,25,0,0,58,10,5,0,0,17,319,536,46,4,901,57,30,0,0,84,223,25,4,0,257,199,61,0,0,261,88,3,0,0,100,52,4,0,0,52,28,6,0,0,32,55,5,0,0,64,65,10,0,0,73,16,0,0,0,16,785,143,5,5,942,117,195,15,0,335,286,106,19,4,407,268,186,4,0,458,101,17,0,0,120,86,89,5,0,180,41,23,0,0,67,90,27,0,0,111,95,41,0,0,134,21,5,0,0,25,1101,682,51,4,1839
21005,394,1351,356,6,2106,219,271,31,0,525,497,623,29,9,1154,62,47,5,0,116,267,338,39,9,657,76,131,18,0,229,515,213,10,5,735,160,196,13,0,362,66,47,8,3,128,2253,3224,510,28,6011,265,152,13,0,429,448,77,14,0,539,904,227,0,4,1135,386,26,3,0,416,186,30,0,0,221,87,33,0,0,115,786,26,6,0,813,377,68,3,0,445,68,20,0,3,91,3505,654,36,11,4207,657,1501,368,6,2536,664,351,47,0,1062,1403,849,31,9,2291,446,76,8,0,533,461,366,39,9,875,163,161,19,0,345,1297,238,12,7,1552,532,268,14,0,817,134,72,8,5,217,5752,3872,550,38,10220
21101,329,1419,328,8,2085,383,472,50,0,909,354,668,25,0,1049,46,66,9,0,120,190,328,26,0,546,103,131,17,0,248,121,66,5,0,191,93,96,5,0,198,48,45,7,3,107,1664,3288,482,9,5440,270,164,14,0,442,956,143,12,0,1113,946,221,0,9,1171,409,37,0,0,445,188,41,0,0,225,107,17,0,0,127,180,15,0,0,197,338,61,3,0,403,73,14,0,6,90,3462,710,38,11,4222,598,1586,338,8,2531,1344,615,66,0,2022,1294,891,29,7,2214,447,98,11,0,564,373,367,26,0,772,204,151,19,0,376,298,80,11,0,389,438,152,12,0,598,122,62,7,11,198,5126,3993,521,26,9663
21102,95,139,20,0,258,139,92,4,0,236,51,74,3,0,127,8,3,0,0,10,47,57,0,0,102,13,15,0,0,34,5,11,0,0,13,17,16,0,0,37,9,9,0,0,18,387,417,32,0,838,50,20,0,0,69,215,25,0,0,251,136,21,0,0,150,59,6,0,0,70,35,3,0,0,37,17,0,0,0,14,14,0,0,0,14,44,9,0,0,53,8,4,0,0,12,570,94,5,0,674,147,153,19,0,321,355,119,0,0,478,185,92,3,0,278,73,10,0,0,83,78,68,3,0,151,27,24,0,0,47,21,11,0,0,28,63,27,0,0,89,14,12,0,0,29,962,510,36,3,1510
