POW_SA3_CODE_2021,UIE_IDNS_OMOE_Nil_em,UIE_IDNS_OMOE_1_19_em,UIE_IDNS_OMOE_20mo_em,UIE_IDNS_OMOE_NE_NS,UIE_IDNS_Tot,UIE_Tot_OMOE_Nil_em,UIE_Tot_OMOE_1_19_em,UIE_Tot_OMOE_20mo_em,UIE_Tot_OMOE_NE_NS,UIE_Tot_Tot
20101,70,20,0,0,90,2253,597,44,14,2904
20102,41,0,0,0,45,1087,234,9,19,1354
20103,22,9,0,0,30,531,227,0,22,779
20201,64,17,0,3,85,1788,588,24,7,2407
20202,63,8,0,0,71,1805,407,9,22,2243
20203,14,0,0,0,11,441,165,0,3,609
20301,16,3,0,0,22,580,131,0,5,722
20302,175,18,0,4,202,4424,1113,54,18,5607
20303,92,9,0,5,113,2445,466,17,21,2957
20401,72,13,0,3,91,1673,516,14,29,2239
20402,49,17,0,0,70,1306,476,18,17,1815
20403,79,15,0,11,101,1981,644,22,32,2673
20501,51,13,0,4,66,1439,490,13,29,1971
20502,48,13,0,5,63,1230,435,8,28,1704
20503,88,16,0,0,106,2467,797,16,44,3322
20504,59,15,0,0,82,1130,427,14,16,1590
20505,41,9,0,0,53,1179,553,11,19,1760
20601,107,15,0,3,130,2686,414,5,6,3119
20602,60,5,0,0,72,1792,278,12,4,2085
20603,56,3,0,0,64,1479,349,26,3,1853
20604,477,45,8,8,532,6979,1537,1154,24,9692
20605,164,22,9,0,194,3924,615,83,6,4624
20606,82,11,6,3,94,2102,431,49,5,2591
20607,142,28,0,3,180,3813,750,50,9,4623
20701,203,10,3,0,213,4173,800,72,18,5060
20702,82,12,0,0,86,1772,304,19,5,2097
20703,121,14,0,0,128,2300,392,20,0,2713
20801,107,12,0,0,122,2722,480,25,11,3239
20802,155,10,4,0,173,3834,573,32,9,4444
20803,132,20,3,3,162,3212,709,34,10,3969
20804,42,4,0,0,46,1149,278,7,0,1437
20901,113,17,0,0,124,2737,528,18,10,3297
20902,101,8,0,0,109,2025,339,18,4,2387
20903,54,3,0,0,58,1650,293,10,4,1962
20904,172,19,4,3,197,3989,672,31,17,4703
21001,61,14,0,0,75,1329,349,9,3,1693
21002,30,0,0,0,29,782,188,3,5,979
21003,48,10,0,0,58,1446,251,13,3,1713
21004,25,0,0,0,29,785,143,5,5,942
21005,166,44,6,4,221,3505,654,36,11,4207
21101,163,26,0,6,188,3462,710,38,11,4222
21102,30,0,0,0,31,570,94,5,0,674
21103,114,12,0,0,124,2415,517,18,4,2952
21104,51,7,0,0,58,1282,223,6,10,1520
21105,145,10,0,5,157,3795,811,21,15,4643
21201,89,15,0,0,110,2321,503,23,9,2853
21202,108,19,0,5,125,2511,451,27,14,2999
21203,102,17,0,0,120,3119,499,12,11,3645
21204,238,38,0,5,284,3903,882,52,20,4859
21205,200,28,0,0,228,3875,728,47,11,4658
21301,123,19,4,4,142,2673,577,23,15,3278
21302,78,7,0,0,86,1791,345,14,5,2157
21303,76,19,0,3,102,2070,428,14,9,2520
21304,103,22,0,0,130,2528,454,19,11,3010
21305,179,22,3,3,208,4424,675,34,12,5140
21401,113,29,0,0,144,2931,609,25,3,3571
21402,165,24,5,0,194,4555,983,25,45,5607
21501,40,14,0,8,58,1675,918,13,32,2638
21502,35,12,0,0,49,1059,452,20,17,1544
21503,31,7,0,5,44,935,445,10,30,1425
21601,32,8,0,3,40,1018,454,17,22,1506
21602,24,3,0,3,26,745,251,7,11,1022
21603,48,15,0,0,61,1279,392,17,20,1706
21701,43,17,0,5,58,1155,614,10,36,1810
21703,64,3,0,0,67,1372,634,10,35,2053
21704,55,15,3,0,71,1510,694,46,33,2286
29797,0,0,0,0,0,0,0,0,0,0
29999,909,59,4,15,986,33670,3375,56,218,37324
