node_id,node_raw_id,node_name,node_lat,node_lon,feed,departures,departures_rt_2,departures_rt_400,departures_rt_0,departures_rt_3,departures_rt_701,departures_rt_204,rail_pax_norm_weekday,rail_stop_name,rail_match_method
F01_vic:rail:BMS,vic:rail:BMS,Broadmeadows Railway Station,-37.68304926,144.91961322,01,3,3.0,,,,,,0.0,,
F01_vic:rail:CFD,vic:rail:CFD,Caulfield Railway Station,-37.87745946,145.04252478,01,27,27.0,,,,,,0.0,,
F01_vic:rail:CLA,vic:rail:CLA,Clayton Railway Station,-37.92468255,145.12053436,01,27,27.0,,,,,,0.0,,
F01_vic:rail:FSS,vic:rail:FSS,Flinders Street Railway Station,-37.81830513,144.96696435,01,27,27.0,,,,,,0.0,,
F01_vic:rail:FSY,vic:rail:FSY,Footscray Railway Station,-37.80141343,144.90202006,01,146,146.0,,,,,,0.0,,
F01_vic:rail:RMD,vic:rail:RMD,Richmond Railway Station,-37.82407446,144.99016426,01,27,27.0,,,,,,0.0,,
F01_vic:rail:SSS,vic:rail:SSS,Southern Cross Railway Station,-37.8186631,144.95277706,01,173,173.0,,,,,,0.0,,
F01_vic:rail:SUN,vic:rail:SUN,Sunshine Railway Station,-37.78853633,144.8328782,01,115,115.0,,,,,,0.0,,
F02_vic:rail:ALM,vic:rail:ALM,Alamein Railway Station,-37.86832039,145.07965567,02,127,,127.0,,,,,350.0,Alamein,nearest_200m
F02_vic:rail:ALP,vic:rail:ALP,Alphington Railway Station,-37.77839363,145.03125493,02,147,,147.0,,,,,850.0,Alphington,nearest_200m
F02_vic:rail:ARM,vic:rail:ARM,Armadale Railway Station,-37.85645238,145.01932554,02,219,,219.0,,,,,1550.0,Armadale,nearest_200m
F02_vic:rail:ARN,vic:rail:ARN,Arden Railway Station,-37.80122194,144.94120851,02,324,,324.0,,,,,0.0,,
F02_vic:rail:ASH,vic:rail:ASH,Ashburton Railway Station,-37.86196753,145.08134376,02,127,,127.0,,,,,700.0,Ashburton,nearest_200m
F02_vic:rail:ASV,vic:rail:ASV,Ascot Vale Railway Station,-37.77530609,144.92182074,02,180,,180.0,,,,,1650.0,Ascot Vale,nearest_200m
F02_vic:rail:ASY,vic:rail:ASY,Anstey Railway Station,-37.76124203,144.96068404,02,124,,124.0,,,,,1150.0,Anstey,nearest_200m
F02_vic:rail:AUB,vic:rail:AUB,Auburn Railway Station,-37.82239831,145.04584366,02,189,,189.0,,,,,2150.0,Auburn,nearest_200m
F02_vic:rail:AZC,vic:rail:AZC,Anzac Railway Station,-37.83331103,144.97279042,02,324,,324.0,,,,,0.0,,
F02_vic:rail:BAT,vic:rail:BAT,Batman Railway Station,-37.73352285,144.96284055,02,124,,124.0,,,,,750.0,Batman,nearest_200m
F02_vic:rail:BBH,vic:rail:BBH,Brighton Beach Railway Station,-37.92648432,144.98915355,02,209,,209.0,,,,,1000.0,Brighton Beach,nearest_200m
F02_vic:rail:BBN,vic:rail:BBN,Blackburn Railway Station,-37.82007075,145.15001354,02,280,,280.0,,,,,3950.0,Blackburn,nearest_200m
F02_vic:rail:BCV,vic:rail:BCV,Balaclava Railway Station,-37.86948773,144.9935121,02,211,,211.0,,,,,2450.0,Balaclava,nearest_200m
F02_vic:rail:BEL,vic:rail:BEL,Bell Railway Station,-37.74595119,145.0002467,02,163,,163.0,,,,,1350.0,Bell,nearest_200m
F02_vic:rail:BEN,vic:rail:BEN,Bentleigh Railway Station,-37.91742457,145.03699513,02,219,,219.0,,,,,1800.0,Bentleigh,nearest_200m
F02_vic:rail:BLY,vic:rail:BLY,Burnley Railway Station,-37.82756022,145.00755515,02,340,,340.0,,,,,3100.0,Burnley,nearest_200m
F02_vic:rail:BMS,vic:rail:BMS,Broadmeadows Railway Station,-37.68304926,144.91961322,02,181,,181.0,,,,,2900.0,Broadmeadows,nearest_200m
