SAL_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
SAL20001,0,0,0,0,0,0,0,0
SAL20002,508,42,6,0,3,0,5,555
SAL20003,569,22,8,3,0,0,0,600
SAL20004,0,0,0,0,0,0,0,0
SAL20005,13,0,0,0,0,0,0,12
SAL20006,0,0,0,0,0,0,0,0
SAL20007,8,0,0,0,0,0,0,9
SAL20008,3,0,0,0,0,0,0,8
SAL20009,8,0,0,0,0,0,0,8
SAL20010,3,0,0,0,0,0,0,3
SAL20011,1331,73,38,31,3,0,3,1481
SAL20012,0,0,0,0,0,0,0,0
SAL20013,70,5,0,0,0,0,0,78
SAL20014,20,4,0,0,0,0,0,22
SAL20015,901,55,22,5,0,0,0,985
SAL20016,0,0,0,0,0,0,0,0
SAL20017,577,38,25,16,3,0,0,658
SAL20018,647,39,13,0,0,0,0,708
SAL20019,19,7,3,0,0,0,0,26
SAL20020,8,0,0,0,0,0,0,8
SAL20021,320,19,12,3,0,0,0,353
SAL20022,221,24,3,0,0,0,3,252
SAL20023,1289,130,65,15,0,0,7,1510
SAL20024,0,0,0,0,0,0,0,0
SAL20025,4,0,0,0,0,0,0,6
SAL20026,3,3,0,0,0,0,0,6
SAL20027,35,0,0,0,0,0,0,40
SAL20028,146,14,7,0,0,0,0,166
SAL20029,21,0,0,0,0,0,0,22
SAL20030,20,0,0,0,0,0,0,23
SAL20031,15,0,0,0,0,0,0,16
SAL20032,0,0,0,0,0,0,0,0
SAL20033,10,0,0,0,0,0,0,10
SAL20034,646,30,9,6,0,0,3,689
SAL20035,1220,82,30,6,0,0,0,1342
SAL20036,2035,132,65,8,3,0,7,2257
SAL20037,1398,68,39,14,0,0,0,1527
SAL20038,14,0,0,0,0,0,0,16
SAL20039,6,0,0,0,0,0,0,6
SAL20040,0,0,0,0,0,0,0,0
SAL20041,14,0,0,0,0,0,0,21
SAL20042,91,6,5,0,0,0,0,106
SAL20043,3,0,0,0,0,0,0,4
SAL20044,0,0,0,0,0,0,0,0
SAL20045,0,0,0,0,0,0,0,0
SAL20046,277,12,0,0,0,0,0,293
SAL20047,9,0,0,0,0,0,0,9
SAL20048,4,0,0,0,0,0,0,4
SAL20049,116,3,4,0,0,0,0,131
SAL20050,0,0,0,0,0,0,0,0
SAL20051,3,0,0,0,0,0,0,3
SAL20052,24,3,0,0,0,0,0,26
SAL20053,536,61,39,10,0,0,4,653
SAL20054,4,0,0,0,0,0,0,4
SAL20055,0,0,0,0,0,0,0,0
SAL20056,25,0,0,0,0,0,0,26
SAL20057,6,4,0,0,0,0,0,8
SAL20058,4,0,0,0,0,0,0,4
SAL20059,0,0,0,0,0,0,0,0
SAL20060,3,0,0,0,0,0,0,0
SAL20061,0,0,0,0,0,0,0,0
SAL20062,278,14,7,6,0,0,3,307
SAL20063,43,0,0,0,0,0,0,56
SAL20064,0,0,0,0,0,0,0,0
SAL20065,16,0,0,0,0,0,0,16
SAL20066,753,40,10,0,0,0,0,804
SAL20067,9,0,0,0,0,0,0,6
SAL20068,1330,124,80,9,0,0,3,1550
SAL20069,3,0,3,0,0,0,0,8
SAL20070,0,0,0,0,0,0,0,0
SAL20071,50,3,6,5,0,0,0,64
SAL20072,49,3,0,0,0,0,0,51
SAL20073,10,0,0,0,0,0,0,10
SAL20074,272,19,23,4,0,0,0,326
SAL20075,1685,86,17,12,0,0,4,1802
SAL20076,33,4,0,0,0,0,0,31
SAL20077,1170,44,15,3,0,0,3,1238
SAL20078,811,41,20,5,0,0,0,872
SAL20079,1005,58,20,6,0,0,3,1087
SAL20080,978,45,27,8,0,0,0,1058
SAL20081,17,0,0,0,0,0,0,22
SAL20082,509,28,9,6,0,0,0,552
SAL20083,0,0,0,0,0,0,0,0
SAL20084,0,0,0,0,0,0,0,0
SAL20085,26,0,0,0,0,0,0,32
SAL20086,102,9,8,0,0,0,0,121
SAL20087,99,9,3,0,0,0,0,112
SAL20088,0,0,0,0,0,0,0,0
SAL20089,1473,51,32,9,0,0,5,1577
SAL20090,3,0,0,0,0,0,0,6
SAL20091,97,18,4,0,0,0,0,119
SAL20092,60,15,0,0,0,0,0,77
SAL20093,114,9,12,0,0,0,0,136
SAL20094,4,0,0,0,0,0,0,3
SAL20095,687,61,57,8,0,3,0,809
SAL20096,29,7,3,0,0,0,0,36
