SAL_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SAL20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
SAL20002,51,61,245,147,73,60,45,16,10,709,733,859,3279,1784,888,692,508,249,97,9088
SAL20003,42,56,23,24,37,30,15,10,7,252,638,642,361,461,657,595,340,142,81,3925
SAL20004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
SAL20005,0,0,3,0,0,0,3,0,0,3,10,9,11,8,21,21,31,20,5,146
SAL20006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20007,6,0,0,6,4,0,0,0,0,20,23,8,5,14,18,8,6,0,0,83
SAL20008,0,0,0,0,3,0,5,0,0,12,14,6,10,0,4,10,15,7,0,65
SAL20009,0,0,0,0,0,0,0,0,0,0,18,6,0,10,13,13,12,5,3,85
SAL20010,0,0,0,0,3,3,0,4,0,8,0,4,3,3,13,8,19,7,3,61
SAL20011,141,57,94,84,47,16,14,7,0,461,2528,719,1737,1894,583,291,184,42,12,7982
SAL20012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20013,10,9,11,16,24,21,24,0,6,115,104,70,59,74,135,223,209,68,28,979
SAL20014,0,0,6,0,0,0,0,0,0,14,31,15,14,16,23,31,23,4,0,160
SAL20015,74,47,66,71,57,51,37,47,21,470,1349,742,1281,1273,1028,892,770,562,265,8173
SAL20016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20017,109,59,76,74,51,51,29,15,6,482,1054,699,847,768,667,663,655,246,51,5641
SAL20018,60,24,39,50,54,71,42,26,13,377,990,531,560,815,984,854,700,476,123,6044
SAL20019,5,0,3,0,5,0,0,0,0,27,54,17,27,21,37,51,58,22,8,297
SAL20020,0,0,0,0,0,3,4,0,0,5,5,5,10,6,13,10,14,3,0,76
SAL20021,49,46,88,80,40,38,31,25,3,403,616,474,1000,725,446,419,367,210,80,4334
SAL20022,34,28,22,19,23,40,21,18,4,199,410,249,231,279,337,418,488,280,96,2801
SAL20023,195,107,101,84,114,75,54,29,22,792,2707,1690,1398,1657,1517,1182,994,533,144,11822
SAL20024,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,9,0,0,24
SAL20025,4,0,4,3,0,0,3,0,0,19,23,6,3,14,24,6,10,4,0,96
SAL20026,0,0,0,0,0,0,0,0,0,3,5,3,5,0,12,16,10,0,4,61
SAL20027,6,5,3,5,14,4,4,3,0,45,66,28,13,39,59,44,32,20,0,297
SAL20028,19,10,13,10,11,18,19,6,0,114,268,145,148,177,210,202,180,70,17,1410
SAL20029,6,0,3,0,6,0,3,0,0,11,29,15,10,23,45,33,23,4,5,185
SAL20030,0,7,0,0,0,5,6,0,0,21,27,16,8,23,27,21,33,8,0,168
SAL20031,4,3,0,6,8,9,4,0,0,31,28,19,11,20,43,31,29,12,4,195
SAL20032,0,0,0,0,0,0,0,0,0,0,5,3,3,4,3,6,0,0,6,31
SAL20033,0,0,0,0,0,4,5,0,0,9,9,7,8,6,3,9,10,3,0,66
SAL20034,47,44,69,39,58,51,17,6,0,339,870,683,922,813,833,775,494,218,97,5702
SAL20035,151,66,100,141,130,100,66,53,24,840,2006,915,1376,1919,1683,1357,1135,750,345,11490
SAL20036,256,152,209,188,186,180,127,71,65,1442,3029,1857,2588,2659,2459,2569,2003,919,402,18479
SAL20037,275,102,199,157,117,76,66,67,33,1098,2624,1153,2047,2077,1508,1035,962,999,561,12962
SAL20038,5,0,4,0,3,4,0,0,0,20,27,14,14,11,15,37,12,4,6,141
SAL20039,3,0,0,0,4,0,3,3,0,14,7,9,5,7,5,18,17,3,0,63
SAL20040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,4
SAL20041,0,0,0,0,0,3,5,3,0,18,18,24,10,24,26,44,51,20,4,223
SAL20042,15,13,14,11,10,13,4,0,0,76,146,74,71,85,110,121,90,26,11,734
SAL20043,5,0,0,3,0,3,0,0,0,8,18,5,4,11,14,24,25,9,0,99
SAL20044,0,0,0,0,0,0,0,0,0,0,5,6,0,4,6,4,5,3,0,26
SAL20045,0,0,0,0,6,4,4,3,0,10,0,0,0,0,5,5,11,0,0,31
SAL20046,48,11,17,27,32,43,46,14,10,250,460,229,254,333,361,543,613,306,102,3208
SAL20047,0,0,0,0,0,0,0,0,0,0,10,4,3,9,3,3,9,3,0,40
SAL20048,0,0,0,0,0,0,0,0,0,0,13,5,9,7,3,11,5,7,0,53
SAL20049,37,8,18,23,28,34,38,21,12,216,239,118,177,181,238,309,319,143,54,1790
SAL20050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,12
SAL20051,0,0,0,0,0,0,3,0,0,4,5,0,5,7,3,9,9,0,0,38
SAL20052,3,5,5,3,13,15,4,5,0,48,44,25,24,23,39,79,60,22,3,329
SAL20053,105,96,261,245,230,171,141,77,34,1365,1223,868,1177,946,1052,1175,1093,664,303,8500
SAL20054,0,4,0,0,8,0,4,0,0,11,6,15,3,8,18,17,17,4,0,92
SAL20055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20056,0,0,0,0,5,3,0,0,0,7,30,39,16,19,45,26,26,12,0,212
SAL20057,0,0,0,0,0,0,0,0,0,3,15,17,9,10,13,21,7,7,3,95
SAL20058,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,3,0,3,0,23
SAL20059,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,12
SAL20060,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,5,0,4,0,16
SAL20061,0,0,4,0,0,0,0,0,0,10,0,6,4,4,8,7,7,0,0,32
SAL20062,68,37,75,54,43,38,23,12,8,365,542,285,605,546,398,276,257,150,107,3170
SAL20063,13,7,8,3,11,8,4,6,0,62,74,62,54,55,70,90,54,29,0,497
SAL20064,0,3,0,0,0,0,0,0,0,3,0,5,0,0,6,3,0,3,0,18
SAL20065,11,3,4,8,9,7,12,8,0,49,42,15,19,22,30,46,53,40,8,272
SAL20066,67,79,87,75,87,47,47,53,25,570,1192,1004,1938,1388,1186,901,898,642,214,9368
SAL20067,0,0,0,0,3,3,3,0,0,8,6,9,4,10,13,25,10,4,0,90
SAL20068,177,96,120,99,67,37,18,12,0,621,2920,1342,2696,1972,933,637,471,186,102,11247
SAL20069,0,0,0,0,0,0,0,0,0,0,5,3,0,9,5,11,7,0,9,56
SAL20070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,19
SAL20071,5,3,0,10,4,8,3,3,0,39,65,62,32,36,63,93,76,41,6,478
SAL20072,0,0,6,0,3,6,0,0,0,17,74,38,19,58,67,67,55,31,13,414
SAL20073,6,0,0,3,0,3,0,0,0,11,15,15,0,10,12,17,6,8,3,93
SAL20074,47,29,20,31,15,17,17,9,0,197,630,263,362,368,261,297,245,121,20,2571
SAL20075,205,120,239,170,179,142,71,38,10,1179,2685,1603,2651,2506,2149,1704,1117,554,228,15197
SAL20076,0,5,0,0,6,4,6,4,0,23,46,23,12,30,42,44,29,6,0,242
SAL20077,73,35,49,50,66,45,35,24,10,385,1585,1014,712,1041,1245,1018,694,420,227,7952
SAL20078,84,46,75,44,40,59,40,26,12,436,1199,846,1041,1017,959,802,605,413,259,7154
SAL20079,93,45,38,59,69,62,43,29,0,427,1521,840,653,1069,1126,929,622,378,141,7285
SAL20080,45,46,26,30,51,39,23,25,14,303,1138,912,492,785,1049,939,566,385,155,6427
SAL20081,4,5,5,0,4,5,0,0,0,26,45,15,24,8,28,20,8,4,0,147
SAL20082,37,38,23,13,40,30,12,8,0,196,547,505,318,370,584,567,290,101,25,3309
SAL20083,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3
SAL20084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5
SAL20085,8,6,0,5,0,0,0,0,0,26,46,39,21,34,35,34,31,15,0,255
SAL20086,8,7,5,4,9,6,7,0,0,48,183,102,87,133,146,174,180,90,26,1112
SAL20087,32,9,9,18,13,15,24,13,5,141,217,114,122,118,172,169,265,127,49,1356
SAL20088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
SAL20089,129,65,108,110,99,87,76,85,24,786,1977,1175,1376,1659,1510,1373,1424,1280,607,12388
SAL20090,0,0,0,0,0,0,0,0,0,5,3,7,3,0,3,8,6,7,0,42
SAL20091,16,14,4,7,12,7,4,0,0,68,162,103,81,129,114,133,81,31,7,844
SAL20092,3,9,0,3,8,4,5,3,0,34,90,72,23,53,77,67,48,22,3,452
SAL20093,19,8,13,14,12,16,10,0,0,103,236,75,138,112,123,128,118,41,7,984
SAL20094,4,0,0,0,0,0,0,3,0,11,10,8,6,6,6,4,3,4,0,39
SAL20095,130,61,84,70,70,61,70,48,10,613,1465,767,1192,962,881,832,940,593,181,7808
SAL20096,3,0,0,3,10,3,11,0,0,25,50,30,34,29,45,69,66,15,3,347
SAL20097,14,11,17,9,17,18,11,6,0,104,278,150,214,180,193,257,220,82,27,1610
SAL20098,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,10
SAL20099,9,7,6,5,6,3,0,0,0,31,75,31,45,40,54,61,37,8,3,355
SAL20100,0,0,0,5,0,0,0,0,0,7,4,0,4,7,11,8,5,8,5,39
SAL20101,0,0,0,0,0,0,0,4,0,3,11,3,3,6,4,9,5,9,0,56
SAL20102,0,0,0,0,0,6,0,0,4,11,19,6,5,16,19,32,19,3,3,120
SAL20103,128,80,89,66,86,99,91,91,95,819,1338,833,1002,817,872,1021,978,727,318,7905
SAL20104,0,0,5,6,4,0,3,0,0,19,24,26,44,20,26,19,16,9,0,180
SAL20105,53,64,131,81,60,40,40,23,3,490,694,564,1409,990,659,479,369,170,56,5392
SAL20106,0,0,0,0,0,0,0,0,0,6,21,19,12,6,21,14,6,5,0,114
SAL20107,3,0,7,0,0,0,0,0,0,7,15,0,9,10,4,4,5,3,3,59
SAL20108,40,14,32,30,27,34,33,12,8,227,627,300,390,446,424,499,379,221,88,3392
SAL20109,0,4,0,0,4,0,0,0,0,8,16,15,5,10,12,9,3,3,0,71
SAL20110,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,3,0,0,19
SAL20111,55,56,54,61,75,55,47,24,19,444,770,659,808,701,711,723,600,285,121,5378
SAL20112,94,60,58,63,58,47,53,25,27,481,880,623,888,695,629,703,715,468,329,5937
SAL20113,71,29,44,35,26,44,30,19,14,315,716,404,501,493,488,500,419,330,195,4041
SAL20114,4,3,0,4,0,3,3,0,0,20,12,14,3,11,16,22,30,11,0,120
SAL20115,14,3,0,15,13,7,6,0,0,45,48,23,22,43,42,38,35,8,0,254
SAL20116,4,6,3,8,8,5,9,3,0,47,41,25,10,29,25,19,37,7,6,199
SAL20117,0,0,0,0,0,0,0,0,0,0,19,3,6,13,10,9,10,0,3,77
SAL20118,7,0,3,3,6,4,3,0,0,21,24,6,13,13,22,20,15,17,0,135
SAL20119,3,0,0,0,4,0,0,5,0,21,40,28,10,23,46,51,42,26,3,281
SAL20120,48,23,18,22,30,19,17,8,4,197,471,201,157,309,324,342,319,187,57,2371
SAL20121,0,3,0,5,4,4,4,7,3,32,61,38,19,41,57,70,96,65,18,471
SAL20122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9
SAL20123,89,99,63,76,91,78,72,51,49,664,2181,1847,1348,1678,1915,1676,1404,937,509,13495
SAL20124,161,155,91,74,184,124,83,53,30,955,3794,3354,1834,2292,3385,2912,1909,1209,622,21302
SAL20125,12,6,3,4,4,11,0,0,0,43,102,52,50,68,64,79,58,22,5,491
SAL20126,13,12,0,9,11,7,5,3,0,54,49,43,27,33,44,36,31,21,0,282
SAL20127,0,0,0,0,0,3,0,0,0,13,19,7,6,16,18,28,15,9,0,115
SAL20128,0,0,0,0,0,0,0,0,0,0,9,0,3,5,0,6,3,8,0,44
SAL20129,12,12,11,5,5,7,0,0,0,54,195,251,155,108,55,40,36,18,4,855
SAL20130,0,0,0,0,0,0,0,0,0,6,12,9,0,8,8,10,3,10,0,62
SAL20131,0,6,0,6,8,5,16,20,12,59,33,32,24,31,55,81,207,214,71,749
SAL20132,7,0,5,5,0,0,0,0,0,14,18,6,17,15,3,8,4,6,0,78
SAL20133,136,47,55,80,62,31,31,16,8,469,1621,702,815,981,847,560,545,276,117,6470
SAL20134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,22
SAL20135,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,12,5,0,0,27
SAL20136,50,26,18,21,15,16,17,10,14,182,712,295,398,381,370,297,243,187,158,3041
SAL20137,0,0,0,0,0,0,0,0,0,5,6,8,9,10,6,24,11,8,0,82
SAL20138,0,0,0,0,0,5,0,0,0,10,27,9,12,15,25,33,37,25,3,185
SAL20139,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,4,0,0,11
SAL20140,0,0,3,0,6,0,3,0,0,4,25,3,6,19,14,24,36,10,0,141
SAL20141,3,0,0,5,8,0,4,0,0,34,93,29,42,49,62,99,75,29,10,487
SAL20142,0,6,0,0,0,0,0,0,0,10,5,0,0,4,14,11,6,6,0,49
SAL20143,0,0,0,0,0,0,0,0,0,0,4,4,11,5,3,18,0,0,0,41
SAL20144,9,0,0,0,0,0,0,0,0,21,24,14,15,14,35,46,54,19,6,229
SAL20145,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,3,0,0,12
SAL20146,26,11,13,14,10,10,9,3,0,102,199,104,128,128,139,149,92,36,3,987
SAL20147,0,0,0,4,3,0,7,0,0,18,36,19,18,16,24,42,29,9,3,188
SAL20148,3,0,0,0,0,4,0,0,3,19,47,10,12,29,21,24,8,4,0,149
SAL20149,8,3,0,5,3,9,5,0,0,28,82,53,39,54,68,81,53,17,4,458
SAL20150,4,0,0,0,0,10,4,4,4,26,59,32,22,32,28,52,26,28,4,291
SAL20151,4,5,4,5,0,0,0,0,0,28,36,32,22,32,30,42,31,9,3,247
SAL20152,0,0,0,0,0,0,0,0,0,9,6,0,0,0,3,3,4,0,0,22
SAL20153,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,4,0,0,11
SAL20154,0,0,0,0,0,6,0,0,0,7,16,6,5,3,3,7,8,3,0,45
SAL20155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5
SAL20156,0,0,0,0,0,0,0,0,0,4,10,0,3,13,0,9,7,3,0,39
SAL20157,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,5,12,4,0,33
SAL20158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10
SAL20159,0,0,0,0,0,3,0,6,0,6,11,16,4,4,23,10,20,9,0,96
SAL20160,6,0,0,0,0,3,0,0,0,14,57,19,15,26,28,61,52,13,0,269
SAL20161,0,5,5,0,7,4,4,0,0,19,18,7,7,20,26,16,27,4,6,136
SAL20162,65,41,25,40,56,57,62,33,13,394,873,416,241,530,663,606,650,285,95,4353
SAL20163,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,0,6,3,0,23
SAL20164,9,7,4,7,8,7,10,3,0,52,62,43,34,45,58,67,75,23,0,405
SAL20165,16,12,5,6,15,10,4,3,4,74,269,178,59,158,197,149,89,41,7,1141
SAL20166,8,0,0,3,4,0,0,0,0,17,14,7,5,3,20,3,5,3,0,76
SAL20167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20168,4,0,0,5,0,0,0,0,0,12,10,3,11,6,0,3,3,0,0,30
SAL20169,27,21,10,26,18,32,21,9,0,168,324,234,363,251,248,327,242,140,33,2166
SAL20170,0,0,0,0,0,0,0,0,0,0,7,4,0,4,5,3,0,5,0,22
SAL20171,8,0,0,0,4,4,0,5,0,28,87,51,46,57,62,61,50,32,0,445
SAL20172,5,0,0,0,0,4,3,0,0,17,15,7,9,10,11,25,17,3,4,95
SAL20173,143,82,120,124,103,87,53,50,47,799,2007,1273,2013,1948,1496,1323,1097,758,349,12262
SAL20174,114,57,84,99,74,64,39,43,74,639,1689,898,1338,1467,1123,1049,804,383,252,9014
SAL20175,91,66,49,53,68,52,32,28,16,452,1414,1137,699,940,1226,919,545,308,82,7267
SAL20176,42,24,15,23,34,41,20,15,3,231,613,409,202,387,459,449,299,134,38,2997
SAL20177,0,0,0,5,3,7,5,0,0,24,17,8,10,17,28,44,53,17,8,213
SAL20178,0,0,0,0,0,8,0,5,0,16,8,4,8,9,26,31,44,27,3,167
SAL20179,0,0,0,0,0,0,0,0,0,9,7,7,5,7,10,8,4,6,0,53
SAL20180,0,0,0,0,0,0,0,0,0,0,15,0,11,7,5,5,0,0,0,44
SAL20181,29,16,8,17,24,19,17,10,9,161,251,167,137,160,230,243,308,157,62,1712
SAL20182,130,92,46,61,140,111,80,69,27,756,2488,1803,745,1320,2383,2073,1697,1018,419,13947
SAL20183,0,0,0,0,0,5,0,0,0,3,3,0,0,0,4,8,0,3,0,24
SAL20184,13,0,9,5,0,9,11,0,0,41,63,28,36,51,44,68,72,17,16,394
SAL20185,5,4,0,3,5,15,0,0,0,33,17,9,9,18,22,33,15,3,0,125
SAL20186,47,46,58,84,66,59,46,34,11,445,684,344,319,520,624,639,681,341,116,4274
SAL20187,0,0,0,0,0,0,3,0,0,4,0,3,3,0,6,0,3,0,0,17
SAL20188,52,29,43,34,34,21,22,6,4,236,784,415,490,646,593,471,353,123,31,3894
SAL20189,11,21,4,14,16,12,5,0,0,82,263,191,127,213,219,192,149,52,8,1398
SAL20190,12,25,8,16,5,21,14,4,0,98,288,228,120,222,238,259,213,89,15,1670
SAL20191,72,47,57,43,45,38,27,32,12,373,858,623,868,658,639,633,657,479,180,5602
SAL20192,64,66,48,46,53,36,39,22,13,392,772,575,743,578,616,583,632,437,135,5083
SAL20193,0,4,3,3,0,0,3,3,0,17,14,18,12,10,25,33,31,19,9,169
SAL20194,0,0,0,0,0,0,3,0,0,3,5,0,0,0,0,0,3,0,0,5
SAL20195,29,7,8,21,13,13,25,29,44,187,235,100,67,163,142,168,182,204,91,1346
SAL20196,5,6,0,0,5,6,6,0,0,26,72,31,23,52,46,81,73,26,5,393
SAL20197,5,5,0,0,5,0,0,0,0,17,8,6,5,0,7,13,10,4,0,59
SAL20198,29,14,22,32,23,9,14,7,0,149,340,222,386,331,229,222,168,69,36,1996
SAL20199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20200,0,0,3,5,0,5,0,0,0,18,26,16,8,16,25,21,29,11,0,151
SAL20201,193,124,145,126,116,125,73,65,49,1017,2593,1809,2621,1970,1697,1547,1412,894,528,15066
SAL20202,0,0,0,5,0,5,3,3,0,14,0,4,0,5,7,19,27,16,4,72
SAL20203,3,7,4,0,8,10,3,0,3,36,40,19,37,26,37,71,45,13,9,303
SAL20204,213,127,129,105,138,143,122,126,66,1168,1507,1045,1114,987,1209,1602,1673,1148,524,10822
SAL20205,4,4,5,3,7,3,12,5,0,41,17,5,14,16,21,37,42,18,7,173
SAL20206,7,0,0,6,3,4,0,0,0,19,13,8,5,9,15,17,0,5,0,69
SAL20207,0,0,0,6,0,0,0,0,0,9,43,24,19,28,37,41,50,8,0,267
SAL20208,79,53,63,54,69,60,38,43,47,503,731,734,864,601,761,788,702,326,135,5652
SAL20209,0,0,0,0,0,0,10,0,0,14,8,5,7,7,8,24,32,12,0,109
SAL20210,3,0,0,6,0,9,0,0,0,13,18,10,8,10,10,20,14,4,0,93
SAL20211,0,0,0,0,0,0,0,0,0,0,15,9,4,6,10,3,6,0,0,56
SAL20212,8,0,0,3,0,0,4,7,0,22,28,13,24,17,12,22,12,11,0,138
SAL20213,3,0,4,0,0,0,0,0,0,6,11,5,5,6,0,4,12,0,0,42
SAL20214,177,118,130,138,150,110,89,47,22,983,3237,2207,2261,2642,2760,2144,1478,821,374,17921
SAL20215,296,197,141,226,235,195,140,72,46,1544,6154,3493,3090,4691,4718,3373,2387,1422,830,30159
SAL20216,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,3,0,9
SAL20217,0,4,0,0,3,3,0,0,0,11,25,20,6,14,33,29,14,7,0,165
SAL20218,0,0,0,0,0,0,4,0,0,9,5,6,9,3,9,15,8,0,0,52
SAL20219,0,9,8,0,13,4,0,0,0,29,20,20,23,23,29,34,28,15,5,194
SAL20220,0,0,0,0,0,0,3,0,0,5,0,0,0,9,3,14,5,3,5,35
SAL20221,0,5,0,0,4,0,0,0,0,9,35,22,21,11,28,31,19,8,8,180
SAL20222,0,0,0,0,0,0,0,0,0,8,0,6,4,0,0,9,4,0,0,37
SAL20223,8,0,4,6,3,0,4,3,0,25,27,18,6,17,28,34,32,11,0,174
SAL20224,669,440,354,429,457,319,214,167,94,3147,10432,6725,5441,7651,7449,5480,3735,2398,987,50298
SAL20225,3,0,7,0,0,0,3,0,0,15,24,8,12,12,11,15,25,3,0,113
SAL20226,3,5,0,0,4,3,0,5,0,20,27,14,15,16,12,27,21,10,0,135
SAL20227,0,0,0,0,0,0,0,7,0,11,14,10,5,6,11,13,18,7,3,84
SAL20228,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,6,0,0,13
SAL20229,0,0,0,4,4,7,0,3,0,22,79,38,38,60,80,108,61,20,9,485
SAL20230,4,0,0,0,0,0,0,0,0,4,18,3,4,10,19,15,18,11,0,101
SAL20231,0,0,0,4,0,10,0,4,0,20,51,14,32,22,29,73,46,30,15,312
SAL20232,18,10,9,6,10,6,4,0,0,55,66,31,38,42,36,67,35,12,0,337
SAL20233,95,51,48,58,57,38,21,10,0,371,1264,483,899,807,542,355,224,65,10,4642
SAL20234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
SAL20235,9,0,0,6,9,9,0,0,0,33,75,24,31,45,39,40,17,14,7,281
SAL20236,0,0,5,0,0,5,0,0,0,13,5,0,5,4,3,6,5,11,0,38
SAL20237,0,0,0,0,0,0,0,0,0,0,8,9,8,4,3,18,7,4,4,60
SAL20238,0,0,0,0,0,0,4,0,0,6,15,4,8,5,3,13,10,8,0,61
SAL20239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20240,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,3,0,0,11
SAL20241,0,0,0,0,0,0,3,0,0,5,7,3,5,3,6,6,11,3,0,49
SAL20242,4,0,0,0,0,0,0,0,0,9,24,15,3,13,26,12,24,5,4,134
SAL20243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8
SAL20244,8,4,0,3,14,9,9,15,4,68,117,49,77,66,96,87,110,64,29,694
SAL20245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
SAL20246,34,17,16,20,14,14,3,7,4,131,167,85,83,94,109,102,60,38,11,748
SAL20247,13,4,3,4,4,13,9,4,0,60,183,73,104,125,110,140,147,52,5,942
SAL20248,60,42,41,35,53,39,42,13,3,329,733,444,425,456,596,632,604,334,59,4276
SAL20249,36,36,25,21,21,18,18,4,8,188,367,215,287,321,269,273,246,93,58,2124
SAL20250,6,3,27,4,8,18,9,5,0,88,40,29,44,18,29,60,44,17,0,274
SAL20251,73,44,19,31,55,56,54,19,20,367,999,758,397,642,989,990,888,509,216,6389
SAL20252,93,99,86,84,95,77,62,68,82,753,2292,1923,1759,1958,2062,1798,1298,850,535,14478
SAL20253,54,43,38,26,39,46,15,14,11,292,1510,927,835,1178,1108,859,529,444,225,7627
SAL20254,109,81,73,71,89,57,52,25,23,579,1903,1314,1142,1446,1576,1244,1043,789,480,10939
SAL20255,0,0,0,5,0,0,0,0,0,3,9,0,7,4,4,10,0,0,0,38
SAL20256,9,0,0,4,9,10,3,0,0,36,68,27,32,59,86,64,45,15,0,387
SAL20257,40,32,17,33,34,54,58,44,18,320,325,201,159,221,321,480,642,352,83,2786
SAL20258,0,0,0,0,0,0,0,0,0,0,9,5,3,6,10,8,4,6,3,43
SAL20259,4,0,3,3,9,7,4,0,0,34,32,15,25,27,42,38,52,3,3,237
SAL20260,21,17,9,12,11,13,7,4,0,97,257,150,185,143,179,168,134,58,13,1290
SAL20261,0,0,0,0,0,5,0,0,0,13,12,3,7,0,13,22,16,4,4,82
SAL20262,0,0,0,0,0,0,0,0,0,0,5,4,6,4,4,3,5,0,0,25
SAL20263,0,0,0,0,0,3,0,0,0,8,20,6,7,7,9,24,9,8,0,100
SAL20264,5,0,0,0,3,4,0,0,0,9,18,11,0,0,14,19,8,4,0,84
SAL20265,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,8
SAL20266,3,0,0,0,0,0,4,0,0,15,16,0,12,8,5,13,16,13,0,88
SAL20267,5,0,3,0,3,0,0,0,0,12,11,3,8,4,11,15,13,12,3,93
SAL20268,0,0,0,0,0,0,0,0,0,0,3,5,4,0,3,0,0,0,0,19
SAL20269,0,0,0,3,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,14
SAL20270,8,3,0,4,9,6,8,3,0,48,57,36,33,34,52,35,39,22,0,307
SAL20271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SAL20272,0,0,0,0,0,6,3,0,0,16,27,22,5,19,42,37,33,8,0,185
SAL20273,7,0,0,0,0,0,0,0,0,7,4,0,0,3,0,0,0,0,0,15
SAL20274,5,7,3,15,5,11,7,5,0,56,98,55,55,78,86,120,90,51,10,647
SAL20275,3,4,0,0,4,0,0,0,0,5,10,10,5,9,8,4,3,4,0,48
SAL20276,3,5,0,3,3,4,0,0,0,21,14,11,15,9,17,19,10,12,0,107
SAL20277,0,7,0,0,4,0,0,0,0,13,3,7,5,9,3,26,5,0,0,52
SAL20278,79,46,75,86,68,75,62,36,8,530,1164,562,949,1088,946,857,736,382,176,6855
SAL20279,0,21,10,5,3,0,0,0,0,37,53,238,82,56,41,68,67,6,4,610
SAL20280,3,3,7,0,6,4,0,3,0,20,37,32,33,26,47,62,49,23,13,314
SAL20281,0,0,0,0,0,0,0,0,0,5,19,0,0,8,6,4,3,0,0,48
SAL20282,0,4,10,3,0,0,4,0,0,29,46,33,68,45,16,52,53,15,3,333
SAL20283,9,8,6,5,13,9,11,3,0,59,61,56,75,45,110,136,143,45,5,666
SAL20284,24,6,4,10,5,3,4,0,0,58,227,137,241,123,87,81,29,17,4,949
SAL20285,0,0,3,0,6,0,4,7,5,17,28,20,16,9,24,33,17,5,5,159
SAL20286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20287,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,4,0,0,5
SAL20288,20,12,14,10,8,19,15,11,0,112,153,92,111,96,126,222,148,59,13,1023
SAL20289,0,0,4,0,0,4,0,0,0,17,24,13,8,12,15,31,27,10,5,147
SAL20290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,9
SAL20291,3,0,0,0,0,0,0,0,0,0,9,3,0,4,3,9,4,0,0,38
SAL20292,0,0,0,0,0,0,0,0,0,0,6,3,0,5,4,0,0,0,0,14
SAL20293,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,0,0,18
SAL20294,0,0,0,0,0,0,0,0,0,6,35,10,12,20,16,26,12,3,0,142
