SAL_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SAL21666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL21667,17,14,12,14,14,16,16,4,0,101,176,141,54,79,72,85,90,16,3,721
SAL21668,8,9,7,0,8,0,4,5,0,38,97,41,44,59,55,50,32,8,6,397
SAL21669,0,0,0,0,0,0,0,0,0,0,14,4,0,7,3,7,4,4,0,42
SAL21670,0,0,0,5,3,12,6,0,0,23,28,15,12,30,31,36,47,16,0,216
SAL21671,6,0,0,3,0,3,0,4,0,9,32,11,15,14,35,24,32,23,0,190
SAL21672,0,0,0,0,0,0,3,0,0,5,0,4,3,0,3,7,4,8,0,25
SAL21673,21,15,9,14,20,21,28,20,9,148,230,98,98,155,201,392,489,205,31,1899
SAL21674,3,0,0,0,5,5,3,3,0,20,32,16,7,23,39,48,32,9,0,213
SAL21675,400,136,310,222,120,75,37,7,0,1319,5113,1782,4381,3254,1333,959,480,117,27,17452
SAL21676,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,4,6,4,0,22
SAL21677,38,25,14,33,42,27,16,18,6,209,703,365,342,542,670,564,400,313,110,4000
SAL21678,0,0,0,0,0,0,0,0,0,0,21,15,7,14,14,19,8,6,0,91
SAL21679,5,0,0,0,3,8,4,4,0,27,48,16,20,25,24,25,41,17,0,223
SAL21680,3,0,0,0,0,0,0,0,0,5,7,0,6,4,3,9,4,0,0,33
SAL21681,7,0,0,3,8,3,3,5,0,32,120,55,30,73,81,95,80,46,12,588
SAL21682,737,448,488,443,414,389,321,204,165,3597,6266,4036,5074,4093,4086,4165,3629,2221,1002,34565
SAL21683,314,284,268,239,284,270,150,78,20,1913,4439,3647,4165,3668,3752,4461,2946,1212,417,28712
SAL21684,0,0,0,0,0,5,5,0,0,14,29,26,20,21,18,28,30,4,5,180
SAL21685,52,26,31,31,24,21,12,5,0,212,307,161,252,224,202,258,169,66,25,1666
SAL21686,0,0,0,0,3,0,0,0,0,9,10,3,8,10,4,4,6,0,0,37
SAL21687,0,0,0,0,0,0,0,0,0,3,3,5,4,4,12,12,4,3,0,46
SAL21688,0,0,0,4,0,0,0,0,0,6,10,10,0,4,3,0,5,0,0,31
SAL21689,0,0,0,0,5,5,0,0,0,6,9,8,4,3,6,17,13,5,0,62
SAL21690,0,0,0,0,4,0,0,0,0,5,0,3,6,0,4,0,0,0,0,16
SAL21691,48,18,35,32,24,26,16,0,5,201,955,423,617,619,451,394,259,96,25,3829
SAL21692,0,0,0,0,0,0,0,0,0,4,11,4,5,0,4,8,0,3,0,44
SAL21693,0,0,0,0,0,0,0,0,0,9,28,20,6,14,19,8,3,7,4,106
SAL21694,0,0,0,0,0,0,0,0,0,0,6,8,6,4,14,10,7,12,0,64
SAL21695,0,0,0,0,0,0,0,0,0,0,6,4,8,6,3,9,8,4,0,51
SAL21696,0,0,0,0,3,4,0,0,0,10,15,10,4,9,13,3,9,0,0,65
SAL21697,0,0,0,0,0,0,0,0,0,3,5,4,0,0,0,3,3,0,0,13
SAL21698,3,5,3,0,7,16,11,8,7,54,58,42,33,42,68,104,86,54,41,525
SAL21699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL21700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL21701,0,0,0,0,0,0,0,0,0,0,5,8,6,0,4,11,0,0,0,36
SAL21702,3,4,4,4,9,13,4,3,0,43,44,20,34,33,36,61,65,35,3,334
SAL21703,48,10,10,21,21,24,33,19,6,190,409,210,168,234,307,344,343,177,74,2263
SAL21704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL21705,4,0,0,4,0,0,0,0,0,5,7,0,3,6,0,4,4,0,0,31
SAL21706,121,86,107,99,106,84,55,46,24,729,2975,1858,2374,2675,2308,1876,1484,909,326,16795
SAL21707,12,15,12,9,16,13,0,0,3,91,155,119,151,90,125,99,86,41,19,887
SAL21708,0,0,4,0,5,0,0,0,0,9,12,5,9,12,16,14,3,0,0,71
SAL21709,8,0,3,4,5,0,0,0,0,13,19,9,8,18,12,27,25,4,0,116
SAL21710,0,0,0,0,0,0,0,0,0,3,5,8,16,3,10,13,11,4,0,66
SAL21711,5,0,0,5,3,8,3,4,0,21,25,8,11,20,20,25,35,27,5,171
SAL21712,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,9,3,0,0,12
SAL21713,0,0,0,0,0,0,0,0,0,0,10,0,0,0,8,0,4,0,0,30
SAL21714,0,0,0,4,8,4,0,0,0,22,31,19,19,21,31,34,11,8,0,169
SAL21715,4,0,4,3,0,0,0,0,0,15,51,41,25,33,39,48,31,15,0,277
SAL21716,211,114,121,120,127,138,126,72,34,1063,1470,925,1155,967,1108,1334,1398,751,267,9375
SAL21717,7,5,3,6,13,14,5,3,0,58,92,67,34,48,84,99,66,33,3,529
SAL21718,0,0,0,0,0,0,0,0,0,10,9,18,9,11,18,26,16,11,0,120
SAL21719,0,0,0,0,0,0,0,0,0,8,7,9,6,0,3,7,3,3,0,28
SAL21720,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6
SAL21721,0,0,0,0,0,0,5,0,0,15,7,5,6,9,14,20,22,13,7,91
SAL21722,5,0,0,0,0,0,0,0,0,5,12,10,7,7,7,14,6,16,5,80
SAL21723,0,0,0,0,0,0,0,0,0,5,3,4,5,5,5,7,5,6,0,34
SAL21724,0,0,4,4,3,0,0,0,0,10,24,7,8,12,20,13,10,11,0,105
SAL21725,3,0,0,0,0,4,0,0,0,9,3,0,4,0,0,4,7,0,0,20
SAL21726,9,0,5,6,5,4,5,0,0,30,31,17,14,18,24,28,26,11,0,160
SAL21727,61,33,29,36,47,33,23,13,9,292,711,440,364,465,579,442,416,182,63,3651
SAL21728,0,3,0,3,3,0,0,5,0,17,39,31,14,29,36,23,22,14,0,207
SAL21729,0,0,4,0,0,0,3,0,0,5,9,3,15,3,5,9,10,0,0,49
SAL21730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL21731,0,0,0,0,0,6,0,0,0,9,12,9,3,7,17,11,6,4,0,69
SAL21732,57,35,36,31,52,46,37,16,6,313,720,669,607,629,673,666,589,276,128,4948
SAL21733,48,37,21,31,36,43,20,18,7,260,1007,738,488,728,831,721,599,339,157,5609
SAL21734,0,0,5,0,0,0,0,0,0,9,17,12,6,8,8,7,6,6,0,65
SAL21735,109,52,49,58,70,62,55,43,16,507,1852,865,921,1399,1297,1118,1078,570,148,9250
SAL21736,79,54,52,46,63,37,32,23,40,436,1349,767,774,912,946,797,702,430,213,6900
SAL21737,41,11,17,17,21,16,27,22,8,183,217,131,145,139,185,203,384,311,117,1825
SAL21738,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,6,0,5,0,23
SAL21739,4,0,0,6,0,0,0,0,4,13,10,6,6,9,3,7,8,10,7,44
SAL21740,3,0,0,0,3,0,3,3,3,13,15,6,6,7,35,31,45,23,8,185
SAL21741,0,0,0,0,0,0,0,0,0,0,12,4,6,6,9,7,14,0,4,49
SAL21742,118,118,151,115,135,145,76,56,16,921,2250,1830,3138,2423,2130,1936,1361,752,415,16224
SAL21743,0,0,0,0,0,0,0,0,0,9,15,6,15,0,13,12,18,7,0,85
SAL21744,0,0,0,0,0,0,5,0,0,6,13,6,3,13,11,14,18,3,0,81
SAL21745,0,0,5,0,0,3,0,0,0,7,5,0,6,3,0,8,6,4,0,32
SAL21746,65,34,58,68,61,44,33,29,15,416,1169,611,832,1061,876,695,530,358,161,6287
SAL21747,0,0,0,0,0,0,0,0,0,0,0,20,3,0,0,0,0,0,0,26
SAL21748,0,0,0,0,0,7,0,0,0,8,12,12,13,12,16,20,4,8,0,94
SAL21749,0,0,0,0,0,0,0,0,0,4,19,6,5,8,11,16,16,0,0,79
SAL21750,0,0,0,0,0,0,0,0,0,4,5,0,7,4,3,8,0,0,0,25
SAL21751,0,0,0,0,3,0,0,3,0,7,5,0,4,4,12,5,3,10,0,43
SAL21752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5
SAL21753,0,0,0,0,0,0,0,0,0,3,6,9,0,4,18,16,16,3,0,75
SAL21754,8,13,8,12,12,10,7,0,3,65,140,143,77,93,158,161,135,63,25,1004
SAL21755,291,214,204,187,162,157,113,60,32,1420,4568,2794,3358,3351,2897,2520,2074,1141,346,23059
SAL21756,190,122,129,110,121,122,115,89,34,1027,1403,969,1060,886,1031,1058,1043,624,238,8312
SAL21757,4,6,3,4,4,0,0,0,0,22,34,15,17,26,21,15,12,4,0,144
SAL21758,0,0,0,0,0,0,0,0,0,4,14,4,5,3,11,13,8,6,0,67
SAL21759,6,5,0,4,3,5,0,0,5,32,33,26,18,20,24,41,19,5,6,193
SAL21760,99,55,68,77,80,61,38,23,11,521,1642,967,1053,1347,1434,1067,715,420,245,8886
SAL21761,0,0,4,0,0,0,0,0,0,4,0,0,4,5,0,7,4,0,0,29
SAL21762,5,8,5,13,0,4,3,3,0,34,215,90,69,151,126,94,74,26,7,852
SAL21763,243,163,149,159,234,201,253,265,236,1890,3861,2480,2101,2702,3409,3148,3704,3001,1341,25759
SAL21764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL21765,7,6,3,0,0,0,3,0,0,20,19,21,8,4,20,22,24,0,0,118
SAL21766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL21767,19,14,18,16,22,19,29,10,6,147,252,136,145,132,168,217,228,133,61,1477
SAL21768,0,0,0,0,0,0,4,0,0,4,3,0,0,0,0,4,4,0,0,10
SAL21769,427,239,266,253,244,211,162,113,115,2030,2498,1630,1772,1503,1761,1960,1746,1050,475,14389
SAL21770,8,0,0,4,8,0,9,0,0,19,18,11,13,11,27,29,23,4,5,138
SAL21771,0,0,0,5,0,0,0,0,0,10,12,6,6,7,4,3,7,0,0,39
SAL21772,16,3,8,7,12,17,12,4,0,77,139,83,96,102,104,127,157,75,33,910
SAL21773,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,15
SAL21774,6,0,0,0,4,0,3,0,0,5,7,0,3,5,6,6,18,5,0,46
SAL21775,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,11,4,0,0,29
SAL21776,3,3,0,0,3,0,0,0,0,13,5,5,0,4,8,19,9,0,0,47
SAL21777,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5
SAL21778,6,40,53,15,10,7,6,8,0,145,23,94,122,29,20,25,10,8,0,333
SAL21779,0,9,6,3,5,4,4,0,0,30,19,39,25,14,37,26,20,10,0,180
SAL21780,0,0,0,0,0,0,0,0,0,3,14,10,4,10,3,8,11,3,0,61
SAL21781,3,4,0,0,0,3,3,0,0,16,11,10,10,13,23,30,28,10,0,136
SAL21782,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,4,0,0,0,15
SAL21783,75,59,49,23,22,29,22,20,6,309,745,475,504,513,390,365,361,231,94,3671
