SAL_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
SAL20011,657,676,244,116,123,71,38,1918,50,33,13,5,6,7,4,127,46,32,9,3,11,0,0,99,170,99,38,25,27,9,10,374,0,0,0,0,0,0,0,6,923,846,294,154,160,89,50,2518,26,43,17,6,8,0,0,118,7,6,3,3,3,0,0,24,3,7,8,4,3,4,0,23,38,25,12,4,10,3,4,86,0,0,0,0,0,0,0,8,77,88,40,18,22,9,5,263,1000,930,333,175,181,90,58,2777
SAL20012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20013,4,4,0,0,0,0,0,8,0,3,0,0,7,0,0,8,0,0,3,0,3,0,0,9,15,13,9,13,13,7,0,77,0,0,0,0,0,0,0,0,20,21,14,13,22,10,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,9,8,11,0,0,25,0,0,0,0,0,0,0,0,0,4,13,8,11,0,3,30,20,21,29,24,29,9,4,134
SAL20014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,0,4,0,0,22,0,0,0,0,0,0,0,0,3,6,4,0,4,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,9,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,9,3,10,9,4,6,0,0,37
SAL20015,63,61,27,22,20,14,11,222,41,33,22,10,19,9,0,126,43,34,14,5,9,3,4,120,315,255,104,65,101,52,16,901,0,0,0,0,0,0,0,4,462,378,167,108,142,82,41,1371,6,0,12,0,0,0,4,24,6,5,6,5,12,6,0,38,0,6,3,0,6,0,0,25,37,40,27,18,20,28,8,187,0,5,0,0,0,0,0,10,50,58,50,29,41,36,11,283,514,436,217,137,187,112,49,1650
SAL20016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20017,201,192,116,53,82,55,41,745,14,16,5,3,6,0,0,55,17,13,0,4,3,3,0,42,41,23,13,10,11,0,0,101,0,3,0,0,0,0,0,10,274,247,139,75,110,65,43,949,20,46,24,29,44,25,17,206,8,9,7,4,3,0,0,39,0,6,10,0,0,0,0,20,14,14,13,4,11,4,0,65,4,8,0,5,0,0,0,19,45,92,50,43,59,29,19,346,320,339,194,124,169,91,60,1296
SAL20018,46,61,49,31,20,19,3,230,39,33,17,17,18,4,3,129,43,37,29,19,19,9,4,163,170,123,88,43,73,50,24,569,0,3,0,0,0,0,0,3,290,257,178,112,134,85,40,1099,0,3,4,5,4,0,4,18,3,4,7,6,10,6,0,34,0,0,3,4,6,0,0,19,4,17,18,12,20,22,11,90,0,0,0,0,0,0,0,3,14,24,28,21,38,25,15,164,305,281,202,126,177,113,53,1257
SAL20019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,10,9,9,5,3,5,0,0,30,0,0,0,0,0,0,0,4,15,15,3,3,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,11,16,16,8,8,3,0,0,58
SAL20020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,4,0,0,3,0,0,0,9
SAL20021,127,84,32,18,25,14,11,311,11,9,5,0,0,0,0,26,13,9,3,3,4,4,0,35,56,51,22,16,7,4,0,149,0,0,0,0,0,0,0,3,203,154,60,42,33,25,16,529,19,34,13,9,11,12,4,103,0,4,0,0,0,5,0,10,6,3,3,0,4,3,0,21,3,3,8,7,8,4,0,37,0,4,0,0,0,0,0,7,32,50,26,15,26,26,7,174,235,204,87,52,59,46,19,701
SAL20022,4,3,5,4,3,0,0,23,0,5,4,0,0,0,0,18,3,3,0,4,0,0,0,17,88,85,56,32,53,9,5,325,0,0,0,0,0,0,0,0,97,96,69,40,63,12,5,381,0,0,0,0,3,0,0,3,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,17,22,25,7,13,4,0,95,0,0,0,0,0,0,0,0,19,20,27,12,22,4,0,110,120,121,99,54,82,13,3,486
SAL20023,143,160,84,39,74,16,11,522,29,35,15,17,21,4,4,123,21,29,21,26,17,5,3,117,421,445,316,207,249,87,27,1761,0,0,0,0,0,0,0,3,616,669,442,282,362,112,43,2530,4,6,3,6,9,0,0,32,4,8,13,13,8,4,6,55,0,15,8,9,7,0,0,33,100,161,128,93,114,28,8,635,0,0,0,0,0,0,0,3,117,196,154,114,132,29,16,764,731,870,592,404,492,146,58,3296
SAL20024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,3,10,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,10,0,3,0,0,19
SAL20026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5
SAL20027,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,3,12,20,9,8,12,3,0,60,0,0,0,0,0,0,0,0,6,24,12,14,11,4,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,10,6,23,14,13,11,4,4,73
SAL20028,0,4,0,0,0,0,0,7,0,0,3,3,0,0,0,12,0,0,5,0,0,0,0,8,66,65,43,28,26,10,0,232,0,0,0,0,0,0,0,4,72,74,46,30,26,10,0,258,0,0,0,3,4,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,4,3,9,9,6,7,0,0,37,0,0,0,0,0,0,0,3,0,12,8,10,9,0,0,49,72,82,55,42,37,8,0,303
SAL20029,0,6,0,0,0,0,0,6,5,0,0,0,0,0,0,5,0,0,0,0,4,0,0,5,3,7,4,0,3,0,0,20,0,0,0,0,0,0,0,0,12,15,5,3,9,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,15,5,3,12,0,0,36
SAL20030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,8,10,5,3,0,0,24,0,0,0,0,0,0,0,0,3,11,9,3,3,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12,12,3,3,0,0,36
SAL20031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,5,4,3,0,24,0,0,0,0,0,0,0,0,0,7,8,5,4,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,11,7,4,4,3,0,34
SAL20032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,8,4,0,0,5,0,0,12
SAL20033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,8
SAL20034,34,31,17,10,6,6,3,109,22,40,21,18,29,15,6,149,35,29,13,9,14,8,8,108,148,147,93,77,96,64,29,661,0,0,0,0,0,0,0,0,244,247,145,106,148,97,50,1030,3,6,4,0,9,3,0,26,3,3,5,6,0,3,3,26,0,12,0,0,3,9,0,21,6,18,21,15,19,12,4,93,0,0,0,0,0,0,0,0,15,35,30,18,28,21,14,158,253,280,170,125,172,120,66,1190
SAL20035,153,138,56,30,35,21,20,452,59,72,37,16,23,20,3,235,91,77,31,33,35,12,5,277,287,297,156,89,104,63,35,1046,3,0,0,0,0,0,0,9,598,588,283,167,200,116,65,2017,11,20,7,9,7,7,7,60,12,16,6,3,6,4,0,49,12,8,9,6,0,4,0,34,23,50,43,27,45,22,10,213,0,4,9,0,0,0,0,14,48,91,67,51,60,36,19,364,643,680,350,219,257,154,84,2380
SAL20036,229,217,126,75,101,59,38,858,122,90,43,38,45,22,14,377,95,92,44,23,28,20,6,314,452,349,173,120,150,102,43,1390,0,0,0,0,0,0,0,5,903,747,387,262,323,205,98,2937,26,41,20,14,24,17,16,164,16,23,20,17,18,8,7,109,13,14,6,7,14,10,6,69,75,97,80,45,50,35,22,402,16,6,0,5,0,0,0,24,142,188,127,81,107,71,49,767,1050,937,518,348,435,272,147,3704
SAL20037,228,209,102,66,83,44,34,757,141,105,54,32,38,23,11,416,121,78,32,12,16,18,5,289,376,310,121,67,69,30,19,987,4,0,0,0,0,0,0,4,872,699,306,177,204,117,62,2446,21,36,26,30,27,17,6,170,10,17,20,13,15,7,9,90,9,15,9,7,4,6,0,48,31,52,38,27,36,13,7,207,0,4,0,0,0,0,0,13,78,125,91,79,81,41,29,524,959,827,399,255,286,153,91,2974
SAL20038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,3,5,0,3,0,0,21,0,0,0,0,0,0,0,0,9,4,5,0,5,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,5,3,0,0,5,9,4,6,0,6,0,0,26
SAL20039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,4,5,0,0,3,0,0,10
SAL20040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,0,0,4,0,0,15,0,0,0,0,0,0,0,0,9,8,0,3,4,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,5,3,4,0,0,28
SAL20042,0,3,0,0,0,0,0,4,5,0,3,6,4,0,0,17,6,3,0,0,0,0,0,10,26,35,23,12,18,4,4,124,0,0,0,0,0,0,0,0,33,38,29,18,27,4,3,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,16,36,44,30,22,27,4,3,170
SAL20043,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,3,0,6,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,4,5,0,6,0,0,0,14
SAL20044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
SAL20045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20046,5,0,3,0,0,0,0,14,17,16,5,5,0,6,0,40,29,17,8,0,4,0,0,59,84,88,49,39,44,22,11,340,0,6,0,3,0,0,0,10,133,124,67,47,51,24,12,461,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,10,0,0,0,0,0,0,0,0,7,5,3,5,13,3,0,40,0,0,0,0,0,0,0,4,7,10,8,12,9,9,0,64,145,140,79,60,62,31,15,521
SAL20047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,4,0,3,0,0,14,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,16
SAL20048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,4,0,3,0,0,0,0,14
SAL20049,3,6,0,5,4,0,0,16,6,3,5,0,3,0,0,12,11,9,9,0,7,0,0,39,30,26,18,13,21,3,0,114,0,0,0,0,0,0,0,0,52,41,36,21,30,6,0,183,0,0,0,0,0,0,0,0,0,3,3,0,5,0,0,10,0,0,0,0,0,0,0,3,4,11,5,4,8,0,0,40,0,0,0,0,0,0,0,4,11,20,11,8,12,3,0,62,63,61,37,26,42,7,0,244
