SAL_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SAL20001,0,0,0,0,0,0,0,0,0,4
SAL20002,64,3,97,2171,3033,719,294,1648,495,8354
SAL20003,27,11,81,860,929,436,266,680,119,3286
SAL20004,0,0,0,0,0,0,0,0,0,7
SAL20005,0,0,5,24,41,19,15,36,3,135
SAL20006,0,0,0,0,0,0,0,0,0,0
SAL20007,0,0,0,8,17,5,11,14,8,59
SAL20008,3,0,0,9,14,10,10,12,5,51
SAL20009,0,0,3,8,15,21,15,10,0,71
SAL20010,0,0,3,8,20,5,4,10,7,61
SAL20011,5,3,12,882,1266,588,585,1804,333,5457
SAL20012,0,0,0,0,0,0,0,0,0,0
SAL20013,16,6,28,144,333,140,78,87,88,876
SAL20014,0,0,0,26,32,13,13,29,9,128
SAL20015,128,27,265,1324,1939,775,594,1909,273,6821
SAL20016,0,0,0,0,0,0,0,0,0,0
SAL20017,40,0,51,622,751,352,352,2152,352,4590
SAL20018,47,20,123,1174,1765,656,335,890,238,5052
SAL20019,3,0,8,34,70,38,35,49,21,242
SAL20020,0,0,0,10,15,14,12,15,3,67
SAL20021,42,5,80,619,818,319,249,1382,331,3716
SAL20022,57,3,96,380,668,323,254,605,147,2386
SAL20023,60,18,144,1998,2708,1244,830,1983,352,9116
SAL20024,0,0,0,0,8,3,4,4,0,16
SAL20025,0,0,0,6,24,10,3,14,17,71
SAL20026,0,4,4,8,29,3,11,3,5,61
SAL20027,0,0,0,35,75,35,15,35,38,233
SAL20028,6,0,17,233,343,169,123,214,67,1143
SAL20029,0,0,5,22,49,29,17,23,9,159
SAL20030,0,0,0,28,34,22,16,25,20,140
SAL20031,0,0,4,21,35,33,14,29,28,162
SAL20032,0,0,6,6,4,8,0,4,0,18
SAL20033,0,0,0,4,18,8,0,11,7,55
SAL20034,59,4,97,1154,1721,646,308,800,200,4823
SAL20035,157,25,345,1905,2890,1265,721,2219,480,9484
SAL20036,267,24,402,2869,3848,1652,1345,4908,821,15453
SAL20037,334,41,561,1905,2545,1059,835,3322,675,10339
SAL20038,0,3,6,16,21,12,16,30,17,111
SAL20039,0,0,0,7,7,3,9,21,9,58
SAL20040,0,0,3,0,6,0,7,0,0,4
SAL20041,0,0,4,26,61,28,38,41,13,203
SAL20042,3,0,11,115,181,72,97,75,48,589
SAL20043,0,0,0,10,26,16,16,8,6,82
SAL20044,0,0,0,6,3,3,3,5,0,20
SAL20045,0,0,0,0,5,4,4,4,10,31
SAL20046,60,9,102,496,941,447,288,395,179,2751
SAL20047,0,0,0,6,3,4,4,3,0,29
SAL20048,0,0,0,6,10,5,10,7,5,43
SAL20049,15,12,54,277,446,235,173,248,169,1546
SAL20050,0,0,0,3,0,0,0,4,0,12
SAL20051,0,0,0,11,10,0,5,11,0,34
SAL20052,0,0,3,49,79,39,33,51,45,287
SAL20053,165,32,303,1133,1671,764,643,1890,1168,7276
SAL20054,0,0,0,16,27,13,10,13,8,83
SAL20055,0,0,0,0,0,0,0,0,0,0
SAL20056,0,0,0,39,68,29,19,27,12,181
SAL20057,3,0,3,18,22,8,4,13,8,81
SAL20058,0,0,0,4,3,5,3,7,0,18
SAL20059,0,0,0,0,0,0,0,0,6,12
SAL20060,0,0,0,8,0,0,3,0,4,13
SAL20061,0,0,0,4,9,7,0,4,10,33
SAL20062,71,12,107,431,578,208,171,910,319,2625
SAL20063,3,0,0,99,89,35,46,97,59,416
SAL20064,0,0,0,0,4,3,0,0,3,18
SAL20065,4,0,8,23,44,33,31,56,45,231
SAL20066,67,31,214,2118,2714,885,465,1618,377,8175
SAL20067,0,0,0,20,28,8,4,19,5,85
SAL20068,83,4,102,1866,2670,969,646,1884,299,8332
SAL20069,4,0,9,10,10,0,12,6,0,51
SAL20070,0,0,0,0,6,0,0,8,0,19
SAL20071,4,0,6,73,118,74,62,71,20,419
SAL20072,8,0,13,70,101,56,49,48,17,337
SAL20073,3,0,3,24,10,12,8,14,6,76
SAL20074,11,0,20,373,554,289,223,414,92,1947
SAL20075,95,36,228,2741,4126,1440,826,2618,754,12511
SAL20076,0,0,0,36,60,44,18,12,20,193
SAL20077,124,37,227,1427,1994,953,481,1275,237,6370
SAL20078,167,14,259,1268,1743,712,403,1571,267,5952
SAL20079,50,0,141,1367,1852,869,429,1038,202,5765
SAL20080,73,14,155,1205,1445,718,418,1362,146,5290
SAL20081,0,0,0,20,37,11,13,12,15,112
SAL20082,12,0,25,622,688,320,235,804,95,2765
SAL20083,0,0,0,0,0,0,0,0,3,3
SAL20084,0,0,0,0,0,0,0,0,0,5
SAL20085,0,0,0,40,37,32,25,60,21,205
SAL20086,13,0,26,177,279,138,108,184,42,934
SAL20087,36,7,49,177,258,154,132,312,119,1143
SAL20088,0,0,0,0,0,0,0,0,0,3
SAL20089,379,30,607,1919,2438,1200,934,3456,457,10411
SAL20090,0,0,0,9,14,4,3,4,5,39
SAL20091,4,0,7,135,206,122,74,118,30,688
SAL20092,0,0,3,78,115,49,53,46,25,364
SAL20093,0,3,7,142,217,127,89,109,69,749
SAL20094,0,0,0,4,6,5,0,9,0,29
SAL20095,91,18,181,1203,1758,787,585,1667,349,6348
SAL20096,3,0,3,59,77,36,41,65,25,301
SAL20097,15,0,27,246,387,178,133,308,72,1322
SAL20098,0,0,0,0,0,0,0,0,0,10
SAL20099,0,0,3,61,79,54,24,38,24,283
SAL20100,3,0,5,7,5,9,0,12,3,42
SAL20101,0,0,0,10,11,6,6,4,3,45
