SAL_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SAL20001,63,0,2250,0,0,1,900,1
SAL20002,33,2167,1354,425,3024,1,2197,1.9
SAL20003,41,2600,1053,440,3172,0.8,2571,2.8
SAL20004,46,0,949,0,2124,1.2,1375,2
SAL20005,56,1606,783,271,2107,0.7,1478,2.3
SAL20006,0,0,0,0,0,0,0,0
SAL20007,41,1365,599,300,1666,0.9,1666,2.8
SAL20008,56,1868,483,150,1187,0.7,1042,2.2
SAL20009,50,1200,493,0,1125,0.7,1125,2.4
SAL20010,61,2318,435,195,762,0.7,725,1.9
SAL20011,30,2167,980,420,2305,0.9,2348,3.6
SAL20012,0,0,0,0,0,0,0,0
SAL20013,57,2171,895,350,2008,0.7,1642,2.1
SAL20014,44,1300,768,330,1968,0.8,1850,2.9
SAL20015,39,2085,883,401,2292,0.8,1761,2.3
SAL20016,0,0,0,0,0,0,0,0
SAL20017,37,1500,488,325,1339,0.9,1279,2.9
SAL20018,46,3500,1333,590,3830,0.9,2533,2.2
SAL20019,51,1200,488,255,1233,0.7,956,2.3
SAL20020,53,1405,525,210,1437,0.7,1166,2.2
SAL20021,35,1700,708,301,1731,0.9,1310,2.3
SAL20022,51,1300,629,240,1511,0.7,1086,2.1
SAL20023,35,1608,841,365,2180,0.8,1883,2.8
SAL20024,63,1603,724,0,2750,0.7,1187,2
SAL20025,44,1400,769,100,1625,0.7,1468,2.8
SAL20026,58,1697,708,260,1562,0.7,1416,2.1
SAL20027,46,1820,933,340,2192,0.8,1981,2.7
SAL20028,43,1478,821,268,2030,0.8,1605,2.6
SAL20029,48,1517,784,187,2083,0.8,1600,2.4
SAL20030,48,1300,624,263,1792,0.8,1424,2.6
SAL20031,52,1408,497,275,1562,0.8,1125,2.4
SAL20032,30,1517,575,0,1125,0.8,1749,3.5
SAL20033,54,1900,575,275,1312,0.8,1125,2.4
SAL20034,39,2492,1199,451,3423,0.9,2429,2.4
SAL20035,42,2197,947,385,2440,0.8,1826,2.3
SAL20036,41,1700,730,341,1946,0.8,1573,2.5
SAL20037,37,2167,753,400,2137,0.8,1695,2.6
SAL20038,47,867,691,250,1562,0.7,1100,2.4
SAL20039,57,732,454,200,1062,0.8,850,2.1
SAL20040,58,0,350,0,1874,1.2,1874,3
SAL20041,56,845,583,233,1406,0.7,1050,2
SAL20042,43,1800,839,300,2218,0.8,1940,2.8
SAL20043,56,1621,673,295,1624,0.7,1416,2.3
SAL20044,50,1733,710,260,1437,0.6,1375,2.4
SAL20045,65,2383,383,0,900,0.8,900,1.8
SAL20046,54,2167,852,405,2156,0.7,1701,2.2
SAL20047,41,6000,739,0,1875,0.8,1437,2.8
SAL20048,41,1084,599,0,1625,0.8,1125,2.4
SAL20049,52,1700,695,300,1504,0.7,1144,2
SAL20050,58,1083,450,50,900,0.5,866,1.5
SAL20051,53,1200,762,194,966,0.6,949,2
SAL20052,55,440,702,113,1649,0.7,1231,2.1
SAL20053,45,1083,681,250,1608,0.7,1216,2.2
SAL20054,52,1515,739,231,1937,0.6,1468,2.2
SAL20055,0,0,0,0,0,0,0,0
SAL20056,45,1142,779,200,2150,0.8,1708,2.7
SAL20057,48,867,739,425,1624,0.8,1375,2.8
SAL20058,54,1429,350,0,1166,0.6,749,2
SAL20059,53,0,1875,225,3749,1,3749,2
SAL20060,44,4333,383,0,1312,0.9,1125,2.6
SAL20061,57,1408,466,300,1749,0.6,900,1.8
SAL20062,37,1700,698,340,1734,0.8,1452,2.4
SAL20063,45,1517,755,220,1916,0.8,1762,2.6
SAL20064,54,0,1187,0,3249,0.6,2749,1.8
SAL20065,57,1270,497,255,1194,0.7,794,2
SAL20066,38,2458,1354,421,3368,0.9,2193,2
SAL20067,53,1172,820,175,1791,0.7,1166,2.2
SAL20068,30,1800,997,420,2285,0.8,2200,2.9
SAL20069,54,1170,725,100,1562,0.8,1166,2.5
SAL20070,51,1517,575,154,1562,0.7,1062,1.6
SAL20071,52,2591,834,218,2374,0.8,2214,2.9
SAL20072,48,2184,952,435,2312,0.7,2015,2.5
SAL20073,44,2167,733,240,2222,0.8,2027,2.8
SAL20074,35,1517,839,350,2043,0.7,1913,2.8
SAL20075,37,2458,1080,370,3025,0.9,2192,2.4
SAL20076,48,2800,1132,357,2905,0.7,2474,2.7
SAL20077,41,3000,1002,455,3422,0.8,2743,2.8
SAL20078,39,2600,830,391,2485,0.8,1909,2.5
SAL20079,40,2383,1023,460,2809,0.8,2343,2.7
SAL20080,43,2000,810,496,2441,0.8,2210,2.9
SAL20081,33,1647,809,231,1839,0.9,1803,3
SAL20082,42,2000,824,358,2567,0.8,2209,2.9
SAL20083,81,0,612,0,1125,0.4,1124,1.5
SAL20084,67,0,1437,0,2750,0.4,3999,1.5
SAL20085,41,2084,511,398,1937,0.8,1775,2.9
SAL20086,49,1509,749,300,1756,0.7,1414,2.3
SAL20087,51,1056,503,210,1281,0.7,923,2.2
SAL20088,31,867,1562,0,2124,0.6,2250,2.3
SAL20089,45,2167,666,400,2039,0.8,1587,2.6
SAL20090,58,776,687,295,1875,0.7,1749,2.4
SAL20091,40,1859,866,356,2242,0.8,2055,2.8
SAL20092,44,1809,804,270,2432,0.8,2230,3
SAL20093,37,1733,813,330,2189,0.8,1933,2.8
SAL20094,36,1824,769,200,1625,0.7,1437,2.5
SAL20095,39,1700,771,330,2007,0.7,1508,2.3
SAL20096,49,1298,624,260,1416,0.7,1204,2.3
SAL20097,43,1517,683,323,1786,0.8,1481,2.5
SAL20098,57,1850,900,0,2250,0.5,1749,1.8
SAL20099,39,1625,785,400,1730,0.8,1740,2.8
SAL20100,53,1125,762,210,1916,0.7,1708,2
SAL20101,45,1127,862,175,2062,0.7,1458,2.2
SAL20102,56,1382,575,275,1624,0.8,1187,2.2
SAL20103,44,1192,634,270,1429,0.7,1101,2.2
SAL20104,34,1306,725,313,1875,0.7,1263,2
SAL20105,35,2223,1172,386,2899,0.9,2026,2
SAL20106,40,2500,684,230,2125,0.8,1666,2.9
SAL20107,40,1733,664,300,924,0.7,866,2.5
SAL20108,43,1625,733,330,1963,0.7,1560,2.4
SAL20109,35,1659,1034,150,2187,1,2062,3.2
SAL20110,30,0,725,80,2249,0.9,1625,3
SAL20111,41,1600,821,300,2120,0.7,1454,2.1
SAL20112,43,1300,636,290,1480,0.7,1123,2.1
SAL20113,43,1416,723,285,1914,0.7,1290,2.2
SAL20114,56,1242,620,120,1208,0.8,1166,2.5
SAL20115,44,2459,733,300,1800,0.8,1468,2.8
SAL20116,43,1842,725,410,1775,0.8,1708,3.1
SAL20117,41,975,725,114,2250,0.9,2156,2.9
