SAL_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SAL20389,0,0,8,0,0,13,4,13
SAL20390,0,20,74,37,39,176,0,177
SAL20391,0,7,24,22,12,63,0,65
SAL20392,0,3,16,7,4,31,0,31
SAL20393,0,8,31,33,21,99,0,98
SAL20394,0,9,34,7,13,64,0,64
SAL20395,0,51,73,37,27,190,3,197
SAL20396,0,0,14,4,0,19,0,24
SAL20397,0,0,0,0,0,0,0,0
SAL20398,0,4,10,8,6,25,0,26
SAL20399,655,3539,3724,1264,697,9880,139,10014
SAL20400,0,6,7,6,6,21,0,26
SAL20401,0,3,4,8,3,24,0,24
SAL20402,0,0,10,3,6,20,0,20
SAL20403,0,0,15,8,12,36,0,36
SAL20404,0,19,46,13,20,103,6,106
SAL20405,0,0,3,0,5,12,0,13
SAL20406,0,0,5,3,3,12,0,12
SAL20407,0,0,0,0,0,0,0,0
SAL20408,0,6,0,0,4,5,0,5
SAL20409,32,348,594,244,137,1356,13,1368
SAL20410,0,14,34,19,29,92,0,92
SAL20411,28,226,399,184,158,1000,17,1018
SAL20412,0,5,11,6,8,28,0,29
SAL20413,0,0,0,0,0,0,0,0
SAL20414,0,0,0,3,0,0,0,0
SAL20415,0,0,0,0,3,3,0,3
SAL20416,0,0,4,0,4,15,0,15
SAL20417,0,3,5,4,9,17,0,17
SAL20418,44,170,92,20,7,337,0,336
SAL20419,93,493,685,289,156,1715,29,1745
SAL20420,28,361,866,303,145,1703,19,1726
SAL20421,0,0,10,0,3,14,0,14
SAL20422,0,5,32,16,17,69,3,70
SAL20423,0,0,4,0,0,13,0,13
SAL20424,0,0,5,0,4,12,0,14
SAL20425,4,45,40,15,9,108,0,110
SAL20426,585,2148,1940,514,203,5392,67,5462
SAL20427,277,1557,1552,390,196,3970,50,4021
SAL20428,0,12,76,52,44,193,0,192
SAL20429,0,4,3,4,0,16,3,20
SAL20430,0,0,0,0,0,7,0,7
SAL20431,3,46,101,47,34,225,6,233
SAL20432,3,11,18,13,14,57,0,55
SAL20433,0,4,20,14,3,40,0,40
SAL20434,0,5,28,19,12,61,0,61
SAL20435,0,11,10,12,13,41,4,41
SAL20436,0,10,20,18,8,58,0,58
SAL20437,3,22,64,34,28,152,0,147
SAL20438,0,3,4,4,0,10,0,10
SAL20439,0,11,9,0,0,26,0,27
SAL20440,0,0,0,5,0,3,0,3
SAL20441,78,619,1191,561,332,2774,36,2808
SAL20442,0,0,0,0,0,0,0,0
SAL20443,0,7,19,13,15,57,0,57
SAL20444,122,717,593,193,108,1739,37,1771
SAL20445,0,18,19,10,17,57,0,58
SAL20446,0,4,3,0,9,19,0,19
SAL20447,0,22,59,23,20,129,4,129
SAL20448,0,4,5,0,3,11,0,12
SAL20449,0,0,4,0,0,4,0,4
SAL20450,0,9,3,0,5,12,0,12
SAL20451,0,7,20,20,8,58,0,59
SAL20452,0,0,0,0,0,0,0,0
SAL20453,478,3102,3031,833,403,7856,57,7908
SAL20454,0,9,31,33,15,89,0,92
SAL20455,132,594,504,199,126,1554,38,1594
SAL20456,0,0,3,3,0,10,0,10
SAL20457,20,250,341,105,87,804,10,813
SAL20458,0,8,8,0,7,19,0,19
SAL20459,0,4,12,0,0,19,0,19
SAL20460,101,504,512,180,93,1388,25,1414
SAL20461,75,633,583,164,102,1557,22,1578
SAL20462,0,0,6,0,0,6,0,3
SAL20463,0,0,10,8,6,18,0,19
SAL20464,5,38,26,17,7,87,0,95
SAL20465,0,0,0,3,4,6,0,6
SAL20466,6,44,93,51,39,229,4,232
SAL20467,0,0,4,7,4,19,0,14
SAL20468,144,979,1126,346,169,2765,25,2793
SAL20469,0,17,14,16,11,60,4,61
SAL20470,0,15,27,10,11,63,0,63
SAL20471,0,4,0,0,0,4,0,4
SAL20472,0,4,8,0,0,12,0,12
SAL20473,12,185,190,56,17,461,5,471
SAL20474,0,52,105,34,17,209,0,207
SAL20475,13,276,350,123,43,801,18,818
SAL20476,192,1183,680,161,66,2286,60,2341
SAL20477,0,0,11,3,0,11,0,11
SAL20478,0,9,11,3,5,25,0,28
SAL20479,0,0,0,0,0,4,0,4
SAL20480,3,22,31,24,13,96,0,96
SAL20481,0,5,3,11,4,27,4,30
SAL20482,0,0,8,0,5,13,0,13
SAL20483,0,5,0,6,8,23,0,23
SAL20484,0,8,5,11,14,35,0,36
SAL20485,4,27,111,90,79,303,3,306
SAL20486,0,38,123,67,45,274,3,276
SAL20487,3,12,34,29,29,107,0,113
SAL20488,8,44,117,59,57,275,3,280
SAL20489,0,0,6,3,3,12,0,12
SAL20490,0,3,0,7,3,9,0,9
SAL20491,0,0,3,0,0,4,0,4
SAL20492,14,118,169,76,64,440,12,449
SAL20493,3,15,23,8,7,64,0,61
SAL20494,0,24,50,24,33,127,0,130
SAL20495,3294,2714,620,103,46,6778,143,6924
SAL20496,416,1347,639,137,46,2583,32,2613
SAL20497,0,0,14,9,6,26,0,31
SAL20498,988,3939,2184,403,199,7714,90,7807
SAL20499,0,11,21,9,12,57,0,60
SAL20500,193,2095,3376,1151,629,7443,73,7514
SAL20501,0,10,15,3,8,35,0,40
SAL20502,0,9,12,11,7,41,4,39
SAL20503,3,8,18,14,6,48,0,46
SAL20504,0,0,4,4,6,14,0,14
SAL20505,0,0,0,3,6,14,0,14
SAL20506,0,0,0,0,4,3,0,7
SAL20507,145,736,695,162,48,1787,19,1805
SAL20508,375,3007,3286,1030,500,8203,98,8307
SAL20509,0,3,8,5,6,21,0,21
SAL20510,0,18,32,27,7,75,3,77
SAL20511,0,4,3,0,0,8,0,8
SAL20512,0,15,30,15,18,90,0,91
SAL20513,47,276,242,103,72,742,20,760
SAL20514,0,0,10,6,10,17,0,17
SAL20515,0,9,24,15,5,52,0,52
SAL20516,276,1497,936,271,129,3111,62,3168
SAL20517,0,18,40,25,20,100,5,100
SAL20518,0,5,12,13,8,35,0,35
SAL20519,0,0,7,0,3,16,0,16
SAL20520,0,0,7,0,0,7,0,7
SAL20521,154,894,816,160,98,2119,27,2145
SAL20522,115,236,149,41,15,556,6,563
SAL20523,659,3017,2283,480,249,6687,86,6773
SAL20524,254,1671,1995,433,204,4558,33,4598
SAL20525,0,9,8,3,3,29,0,29
SAL20526,0,34,55,31,17,141,3,150
SAL20527,4,13,43,16,16,87,0,87
SAL20528,247,1433,1388,357,150,3567,59,3623
SAL20529,0,0,0,0,0,0,0,0
SAL20530,0,0,0,0,0,0,0,0
SAL20531,0,4,4,5,3,11,0,11
SAL20532,0,0,7,3,5,16,0,12
SAL20533,10,290,460,117,66,944,10,955
SAL20534,0,4,11,3,9,26,0,26
SAL20535,29,162,158,75,31,456,15,475
SAL20536,0,3,7,3,0,20,0,20
SAL20537,303,1612,1317,230,91,3555,51,3606
SAL20538,75,653,872,245,115,1969,16,1987
SAL20539,649,3940,3624,788,364,9362,99,9463
SAL20540,0,6,8,6,3,25,0,24
SAL20541,0,0,9,4,0,18,0,18
SAL20542,0,0,0,0,0,0,0,0
SAL20543,0,25,39,8,14,82,0,82
SAL20544,0,0,0,0,0,0,0,0
SAL20545,0,15,32,19,9,71,6,73
SAL20546,0,7,7,7,0,30,0,30
SAL20547,0,147,108,38,31,332,5,333
SAL20548,0,14,11,0,5,24,0,24
SAL20549,0,9,16,10,5,42,0,42
SAL20550,0,6,5,0,0,5,0,5
SAL20551,13,201,245,95,89,643,17,660
SAL20552,0,0,22,5,5,29,0,32
SAL20553,0,0,0,0,0,3,0,3
SAL20554,0,6,3,0,0,12,0,12
SAL20555,0,0,15,11,3,28,0,29
SAL20556,92,1051,1863,630,406,4042,30,4071
SAL20557,0,0,0,0,4,5,0,5
SAL20558,0,8,16,5,5,29,0,31
SAL20559,0,14,46,38,32,123,0,126
SAL20560,4,82,127,76,66,346,5,353
SAL20561,98,728,722,228,112,1889,33,1925
SAL20562,0,0,0,0,0,0,0,0
SAL20563,0,0,0,0,4,3,0,3
SAL20564,0,3,26,12,12,55,0,55
SAL20565,0,3,6,3,0,16,0,16
SAL20566,179,901,941,360,154,2533,37,2573
SAL20567,0,24,20,21,32,97,5,96
SAL20568,0,0,9,5,9,24,0,24
SAL20569,1019,2765,1625,396,208,6010,117,6126
SAL20570,426,1996,1571,498,210,4700,86,4783
SAL20571,0,4,7,9,3,23,0,26
SAL20572,0,20,58,31,18,121,0,121
SAL20573,0,5,33,20,16,78,3,76
SAL20574,289,1392,757,155,48,2640,22,2660
SAL20575,54,1108,1343,432,214,3145,27,3177
SAL20576,0,15,45,29,22,117,3,115
SAL20577,0,3,4,0,0,5,0,5
SAL20578,0,9,30,16,15,66,0,66
SAL20579,0,3,3,4,0,6,0,10
SAL20580,26,273,286,135,68,788,10,802
SAL20581,39,921,1859,457,210,3491,45,3538
SAL20582,93,2321,5032,1318,480,9241,116,9358
SAL20583,0,4,15,10,5,35,3,41
SAL20584,0,10,6,8,5,27,0,33
SAL20585,0,3,5,0,0,18,0,18
SAL20586,0,12,34,25,13,83,0,83
SAL20587,0,0,21,6,9,33,0,33
SAL20588,0,0,0,0,0,0,0,0
SAL20589,0,0,0,0,0,0,0,0
SAL20590,19,292,508,132,45,999,20,1014
SAL20591,33,235,261,119,77,724,16,733
SAL20592,175,1010,808,295,151,2448,75,2516
SAL20593,0,10,31,16,17,75,6,77
SAL20594,0,3,10,7,4,30,4,28
SAL20595,0,3,5,7,3,19,0,19
SAL20596,1326,4710,2942,785,357,10112,122,10230
SAL20597,323,1347,981,275,105,3027,43,3067
SAL20598,0,0,0,0,0,0,0,0
SAL20599,0,0,0,3,0,3,0,3
SAL20600,17,298,616,269,209,1409,22,1431
SAL20601,0,0,0,0,0,0,0,0
SAL20602,0,4,4,7,7,19,0,19
SAL20603,0,4,15,4,8,28,0,28
SAL20604,51,357,386,121,90,1013,20,1028
SAL20605,3,17,55,38,35,137,0,137
SAL20606,0,0,0,0,0,0,0,0
SAL20607,376,1567,1254,390,179,3765,106,3874
SAL20608,0,3,5,3,7,24,0,24
SAL20609,0,24,16,11,8,65,0,66
SAL20610,0,14,10,3,5,32,0,32
SAL20611,0,21,37,23,19,106,0,109
SAL20612,0,0,9,10,0,16,0,16
SAL20613,14,169,287,163,124,748,3,753
SAL20614,28,188,155,72,45,484,7,488
SAL20615,9,28,39,22,13,108,15,118
SAL20616,1274,2389,630,90,34,4418,77,4489
SAL20617,0,3,0,0,0,0,0,0
SAL20618,0,3,14,19,10,52,0,52
SAL20619,0,9,15,13,12,41,0,47
SAL20620,0,19,73,44,47,194,19,214
SAL20621,0,56,193,57,29,338,0,338
SAL20622,0,5,4,5,0,9,0,9
SAL20623,0,4,0,6,4,17,0,17
SAL20624,91,392,337,126,57,1002,24,1029
SAL20625,0,5,16,6,3,31,0,31
SAL20626,4,8,17,7,13,42,0,42
SAL20627,7,28,45,17,13,106,0,106
SAL20628,3,29,36,15,13,100,4,103
SAL20629,0,3,0,0,3,10,6,13
SAL20630,0,0,4,3,0,5,0,5
SAL20631,6,21,47,23,26,118,0,116
SAL20632,0,0,7,9,3,13,0,13
SAL20633,0,17,26,12,16,67,0,73
SAL20634,0,0,3,4,3,11,0,11
SAL20635,0,0,0,0,0,4,0,4
SAL20636,0,13,31,17,3,63,0,62
SAL20637,0,3,13,7,7,33,0,33
SAL20638,0,9,26,13,5,60,0,59
SAL20639,3,159,197,71,38,470,8,477
SAL20640,518,2239,1828,587,303,5482,108,5591
SAL20641,0,0,5,4,8,15,0,15
SAL20642,0,6,4,0,6,15,0,19
SAL20643,0,6,16,6,7,36,0,39
SAL20644,18,189,179,67,19,474,10,484
SAL20645,0,19,24,14,8,60,0,64
SAL20646,0,27,45,31,19,121,0,121
SAL20647,0,3,0,6,0,8,0,6
SAL20648,28,217,210,56,32,546,15,561
SAL20649,0,4,20,3,11,40,0,47
SAL20650,0,6,4,9,0,19,0,19
SAL20651,0,7,8,6,5,27,0,27
SAL20652,0,10,19,7,0,39,0,39
SAL20653,0,0,0,0,6,3,0,3
SAL20654,4,30,77,51,51,213,0,213
SAL20655,0,0,0,0,0,0,0,0
SAL20656,0,3,5,0,0,10,0,10
SAL20657,155,1207,981,242,103,2686,59,2747
SAL20658,0,0,5,0,0,11,0,11
SAL20659,9,21,38,40,30,127,5,129
SAL20660,0,5,9,8,5,24,0,24
SAL20661,638,5995,7995,2653,1364,18648,308,18957
SAL20662,407,2525,2641,976,511,7066,137,7204
SAL20663,195,2163,3301,985,438,7088,94,7177
SAL20664,153,1953,3377,1145,588,7209,69,7280
