SAL_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
SAL20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20002,42,63,24,12,23,12,0,7,0,190,73,71,37,58,48,33,6,14,7,354,50,45,150,51,53,36,17,30,7,428,9,4,0,6,3,3,4,5,0,38,14,4,5,9,4,8,0,4,0,52,13,17,7,0,8,3,0,0,0,46,5,10,3,8,6,3,0,3,16,60,971,2615,374,358,514,259,61,127,81,5358
SAL20003,19,20,6,8,19,3,0,4,0,83,30,20,11,18,25,10,0,0,5,120,56,13,88,22,40,24,4,25,0,272,3,0,0,0,4,0,0,0,0,14,8,3,3,7,11,10,3,0,4,45,3,6,0,0,0,0,0,0,0,12,6,6,6,0,8,0,0,0,5,32,347,607,144,93,211,86,23,48,28,1587
SAL20004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL20005,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,4,0,3,4,0,0,0,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,15,8,4,13,7,0,3,8,0,53
SAL20006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,3,4,4,0,0,16
SAL20008,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,4,0,0,0,0,0,14
SAL20009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,5,0,0,0,0,22
SAL20010,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,14
SAL20011,28,19,26,26,19,13,36,17,0,181,47,23,33,86,48,17,89,30,10,387,39,13,170,79,48,26,59,44,12,502,0,3,3,4,11,6,4,5,0,32,3,4,6,10,14,7,7,6,0,56,3,9,8,7,3,0,3,0,0,28,7,10,9,7,4,0,12,7,14,68,318,877,369,416,357,149,346,162,64,3060
SAL20012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20013,7,0,0,0,3,5,0,0,0,29,9,0,0,3,5,0,0,0,0,18,13,3,26,4,7,7,6,3,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,80,128,39,33,42,29,4,16,0,364
SAL20014,4,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,7,0,6,0,0,0,4,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,7,8,3,7,0,4,3,0,61
SAL20015,43,39,17,25,47,11,3,8,3,197,48,53,41,67,65,26,13,9,0,328,89,35,358,73,86,40,65,49,22,809,7,4,4,3,13,5,5,9,0,51,11,0,8,14,22,12,4,0,0,74,4,4,0,3,5,0,0,0,0,15,6,8,9,8,11,10,3,3,9,58,474,925,481,308,404,151,114,123,49,3027
SAL20016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20017,6,13,8,11,8,6,10,10,0,69,12,20,28,31,21,9,8,10,4,143,18,15,118,63,26,19,42,50,12,368,0,0,0,4,6,3,9,3,0,29,0,3,6,13,7,0,7,8,0,46,0,0,0,0,0,5,3,4,0,11,0,7,7,4,3,6,0,6,10,52,67,217,205,174,152,79,119,117,36,1154
SAL20018,34,44,5,6,14,10,0,0,3,122,35,33,18,20,15,12,0,6,0,143,63,21,73,13,10,19,9,11,3,219,4,4,0,0,6,0,0,0,0,14,8,11,7,0,16,9,0,0,0,54,8,6,3,3,0,0,0,0,0,21,0,5,0,0,3,4,0,0,3,36,726,1133,147,109,212,116,23,30,47,2543
SAL20019,0,3,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,3,0,0,11,0,10,3,0,3,3,3,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,16,10,6,3,3,3,8,0,67
SAL20020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,5,4,8,0,0,0,0,0,22
SAL20021,4,8,19,21,10,7,5,6,0,73,21,13,43,45,26,6,18,27,4,201,23,15,82,44,31,13,18,33,9,261,0,0,0,6,3,9,0,7,0,27,5,4,0,6,8,0,0,9,0,38,0,4,0,0,0,0,0,3,0,15,5,5,7,4,3,5,5,7,6,39,142,373,207,203,172,91,97,156,36,1481
SAL20022,6,6,7,7,4,0,3,0,0,35,14,14,10,31,21,0,0,4,0,94,34,10,124,43,30,16,29,35,8,325,4,0,0,7,3,4,0,0,0,13,3,0,4,8,0,0,5,0,0,19,0,0,0,0,0,0,0,0,0,4,5,0,3,5,4,3,5,0,0,32,104,163,158,118,88,30,35,41,11,760
SAL20023,36,58,15,33,27,10,13,9,6,201,52,68,54,107,79,20,8,26,0,422,125,63,399,176,157,97,73,92,11,1191,13,9,4,14,17,11,3,5,0,69,8,3,3,13,13,15,0,0,0,56,0,10,4,0,3,0,0,0,0,18,13,14,6,3,7,9,6,9,6,61,529,1426,543,511,468,231,143,184,47,4087
SAL20024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,3
SAL20025,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,7,0,0,0,0,24
SAL20026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,6,3,0,0,0,4,0,24
SAL20027,0,4,0,6,0,0,0,0,0,6,0,4,0,0,0,0,0,4,0,13,15,0,14,3,3,0,0,6,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,6,23,31,19,13,10,6,5,6,0,111
SAL20028,8,3,0,7,9,4,0,0,0,27,13,3,3,10,8,0,0,9,0,50,37,7,80,24,23,13,25,24,9,224,5,0,0,3,4,0,0,0,0,6,5,0,0,4,0,5,0,4,0,11,0,0,0,0,0,5,0,0,0,4,3,0,0,3,0,4,8,4,0,19,86,93,86,52,50,27,32,34,13,474
SAL20029,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,0,0,0,0,7,7,0,11,0,0,0,0,4,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,13,17,8,6,0,0,8,0,66
SAL20030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,0,0,0,0,4,0,22,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,15,3,3,0,5,5,0,43
SAL20031,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,9,0,0,23,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,3,8,3,0,5,4,5,35
SAL20032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
SAL20033,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0,0,0,0,0,18
SAL20034,30,35,11,12,20,9,0,0,0,113,25,33,25,30,23,12,4,6,3,153,32,20,74,35,24,14,12,16,3,221,0,0,0,4,10,0,0,3,0,21,9,9,4,0,10,6,0,0,0,41,4,11,0,0,3,0,0,0,0,23,5,0,4,0,9,3,0,0,6,31,548,1346,191,170,264,109,39,46,29,2737
SAL20035,45,64,33,36,40,5,7,10,0,246,71,89,52,77,75,26,25,9,8,438,108,55,325,86,123,40,61,75,18,898,3,4,3,8,5,5,3,3,0,33,14,11,13,10,31,7,4,7,5,98,3,5,0,0,5,3,0,0,0,16,12,16,6,4,15,6,0,13,23,86,750,1555,529,401,550,176,118,162,85,4328
SAL20036,40,59,51,50,60,25,25,13,3,329,103,96,91,191,133,39,30,40,10,737,126,65,650,199,187,78,163,144,36,1654,9,10,14,6,22,8,6,12,0,86,13,8,10,26,31,9,19,16,6,150,3,10,5,0,8,7,0,4,4,48,8,15,20,23,27,11,13,14,35,173,652,1599,970,716,789,284,330,308,137,5787
SAL20037,29,43,22,17,46,13,10,12,0,201,80,57,66,69,80,28,22,22,7,432,96,43,356,71,90,59,68,63,27,870,9,3,4,10,10,10,3,8,0,52,20,4,12,15,17,3,9,4,0,78,7,12,0,6,7,7,0,0,0,39,7,8,6,10,15,5,9,7,10,75,642,1261,549,324,535,215,159,167,89,3926
SAL20038,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,0,4,0,0,3,7,0,37
SAL20039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6
SAL20040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20041,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,6,0,4,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,0,12,6,0,5,4,3,59
SAL20042,6,5,4,8,3,0,0,3,0,18,6,3,3,3,0,0,0,0,0,18,23,3,42,6,6,3,11,11,0,109,0,0,0,3,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,10,55,55,56,22,19,6,11,12,9,249
SAL20043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,3,0,9,0,4,0,0,29
SAL20044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
SAL20045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
SAL20046,9,16,4,8,8,4,0,3,0,62,19,20,13,26,11,0,6,6,5,102,37,8,103,29,12,16,8,15,6,227,0,0,0,0,3,0,0,0,0,15,3,0,0,0,7,3,0,0,0,16,5,0,0,0,0,0,0,0,0,9,5,0,0,4,0,3,0,0,0,14,218,426,155,125,97,46,18,45,21,1154
