SAL_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SAL22615,0,3,0,0,0,3,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,10,8,25,4,47
SAL22616,0,4,0,4,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,9,5,16,0,42
SAL22617,0,5,0,0,0,10,3,0,6,4,4,0,19,0,0,0,0,0,0,4,0,0,0,0,9,0,7,0,0,0,0,0,0,0,3,5,30,20,47,0,117
SAL22618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,3,12
SAL22619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,14
SAL22620,58,173,44,43,0,408,50,42,168,88,105,5,452,3,0,18,8,13,5,48,8,4,21,21,63,4,116,9,0,20,17,24,19,86,297,157,863,497,893,71,2783
SAL22621,0,5,0,5,0,7,0,0,0,7,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,12,21,6,50
SAL22622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,12
SAL22623,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,0,3,0,18
SAL22624,0,4,0,0,0,9,0,0,3,3,3,0,12,0,0,0,0,0,0,0,0,0,0,5,3,0,3,0,0,0,0,0,0,0,0,0,11,12,37,4,60
SAL22625,7,12,4,0,0,34,8,5,20,12,9,4,42,0,0,11,6,8,0,27,0,0,7,3,8,0,16,0,0,0,3,13,0,18,27,15,93,57,107,13,305
SAL22626,7,9,3,3,0,32,11,3,11,9,9,4,45,0,0,0,0,0,0,3,0,0,0,0,7,0,8,0,0,0,4,0,0,7,27,22,65,36,82,11,244
SAL22627,60,197,37,54,8,503,122,65,306,108,90,8,699,3,0,6,16,5,0,37,19,4,40,26,63,0,153,29,8,52,17,23,16,145,818,249,1648,580,719,81,4084
SAL22628,62,191,43,38,3,486,126,38,282,99,68,11,627,3,0,27,6,12,0,57,26,0,44,27,41,6,154,35,3,74,40,29,20,201,911,212,1704,620,628,99,4173
SAL22629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,4,11
SAL22630,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,12
SAL22631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL22632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,3,19
