SAL_CODE_2021,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
SAL20001,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SAL20002,..,0,173,263,146,136,115,52,11,904,..,52,539,254,86,57,26,8,0,1016,..,0,0,14,15,19,6,0,0,59,337,..,..,..,..,..,..,..,..,337,..,72,..,..,..,..,..,..,..,72,..,30,48,8,19,4,6,0,0,113,..,22,39,8,3,3,6,0,0,72,..,9,54,3,3,4,0,0,0,69,..,141,369,79,13,15,14,6,0,633,..,31,309,259,134,73,51,28,4,888,3,10,40,24,14,6,6,0,0,103,346,375,1567,913,431,313,222,89,17,4274,..,7,216,250,155,119,94,42,5,883,..,67,523,188,65,33,17,3,0,901,..,0,10,34,25,25,11,11,10,131,337,..,..,..,..,..,..,..,..,337,..,95,..,..,..,..,..,..,..,95,..,28,35,12,10,8,0,0,0,96,..,31,31,5,0,12,5,0,3,99,..,14,37,4,0,0,0,0,0,60
SAL20003,..,0,29,132,240,221,110,45,21,801,..,0,33,31,19,13,6,4,0,106,..,0,0,3,12,8,7,0,3,34,335,..,..,..,..,..,..,..,..,335,..,186,..,..,..,..,..,..,..,186,..,98,66,18,8,5,6,0,0,187,..,0,0,7,0,4,4,3,0,26,..,0,0,0,0,0,0,0,0,10,..,8,17,5,3,3,0,5,0,40,..,3,17,15,15,24,23,10,9,111,4,6,4,0,0,0,3,0,0,15,337,309,162,209,297,288,155,66,31,1855,..,3,54,152,251,201,104,36,9,805,..,5,32,29,21,11,3,4,0,104,..,0,6,20,44,30,14,6,10,115,283,..,..,..,..,..,..,..,..,283,..,220,..,..,..,..,..,..,..,220,..,71,60,8,5,7,0,0,0,152,..,3,0,0,0,6,3,5,5,31,..,0,0,0,0,0,0,0,0,3
SAL20004,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SAL20005,..,0,0,3,6,5,8,8,0,31,..,0,4,5,3,0,0,0,0,13,..,0,0,0,0,0,0,0,0,0,8,..,..,..,..,..,..,..,..,8,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,3,0,0,0,0,0,0,0,..,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,5,8,5,8,3,12,9,11,10,0,66,..,0,0,5,3,3,11,3,0,30,..,0,4,0,3,0,3,0,0,10,..,0,0,0,0,0,0,0,0,0,9,..,..,..,..,..,..,..,..,9,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0
SAL20006,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SAL20007,..,0,0,0,4,0,0,0,0,13,..,0,0,4,4,0,0,0,0,7,..,0,0,0,0,0,0,0,0,0,10,..,..,..,..,..,..,..,..,10,..,0,..,..,..,..,..,..,..,0,..,0,0,0,3,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,0,0,4,12,9,4,0,0,40,..,0,0,3,5,0,0,0,0,10,..,0,3,4,0,0,0,0,0,7,..,0,0,0,0,0,3,0,0,4,4,..,..,..,..,..,..,..,..,4,..,0,..,..,..,..,..,..,..,0,..,5,0,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SAL20008,..,0,6,0,0,0,3,3,0,18,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,3,0,24,..,0,3,0,0,4,4,0,0,15,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,8,..,..,..,..,..,..,..,..,8,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SAL20009,..,0,0,4,4,3,5,3,0,18,..,0,0,0,0,4,0,0,0,3,..,0,0,0,0,0,0,0,0,0,10,..,..,..,..,..,..,..,..,10,..,4,..,..,..,..,..,..,..,4,..,0,0,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,6,10,0,4,7,7,6,6,4,0,48,..,0,0,6,3,8,3,0,0,19,..,0,0,0,4,0,0,0,0,0,..,0,0,0,0,0,4,0,0,0,11,..,..,..,..,..,..,..,..,11,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SAL20010,..,0,0,0,0,4,0,0,0,11,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,5,..,0,0,0,0,0,4,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,5,9,0,3,28,..,0,0,0,0,0,4,0,0,10,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,3,..,..,..,..,..,..,..,..,3,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SAL20011,..,0,420,846,236,104,71,7,0,1689,..,23,115,45,25,6,0,0,0,216,..,0,0,13,3,0,0,0,0,20,1234,..,..,..,..,..,..,..,..,1234,..,179,..,..,..,..,..,..,..,179,..,74,71,3,4,0,0,0,0,156,..,39,64,11,10,5,6,7,0,141,..,15,22,10,10,0,0,0,0,52,..,8,14,6,0,0,0,0,0,36,..,5,38,24,9,0,3,0,0,83,9,9,12,9,0,0,0,0,0,34,1244,351,763,967,294,121,86,15,6,3841,..,17,641,733,174,85,45,4,0,1690,..,23,121,50,17,5,0,0,0,213,..,5,38,50,41,15,0,4,0,156,1211,..,..,..,..,..,..,..,..,1211,..,157,..,..,..,..,..,..,..,157,..,66,36,4,0,0,0,0,0,113,..,45,37,8,10,34,34,17,4,183,..,5,15,4,0,0,0,0,0,28
SAL20012,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SAL20013,..,0,4,17,20,48,59,25,4,178,..,0,8,3,9,18,6,3,0,49,..,0,0,0,10,0,0,0,0,11,55,..,..,..,..,..,..,..,..,55,..,21,..,..,..,..,..,..,..,21,..,15,0,0,4,0,0,0,0,18,..,0,0,0,0,0,0,0,0,0,..,0,4,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,6,..,0,0,3,8,12,14,0,0,51,0,0,0,0,0,4,4,0,0,15,55,40,22,27,53,87,81,30,5,410,..,0,4,14,23,66,49,17,0,174,..,0,8,11,18,25,8,0,0,64,..,0,0,6,10,3,0,4,5,26,35,..,..,..,..,..,..,..,..,35,..,19,..,..,..,..,..,..,..,19,..,3,0,0,0,0,0,0,0,11,..,0,0,0,0,0,0,0,0,4,..,0,3,0,0,0,0,0,0,4
SAL20014,..,0,0,3,8,7,8,0,0,31,..,0,0,0,0,3,0,0,0,4,..,0,0,0,0,0,0,0,0,0,15,..,..,..,..,..,..,..,..,15,..,9,..,..,..,..,..,..,..,9,..,3,0,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,15,9,0,8,10,16,14,0,0,76,..,0,4,6,5,12,5,0,0,32,..,0,0,0,0,5,0,0,0,7,..,0,0,4,0,0,0,0,0,3,15,..,..,..,..,..,..,..,..,15,..,3,..,..,..,..,..,..,..,3,..,4,0,0,0,0,0,0,0,9,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SAL20015,..,0,158,359,257,199,203,168,79,1427,..,12,176,95,62,29,13,0,0,392,..,0,0,11,33,15,14,0,9,83,669,..,..,..,..,..,..,..,..,669,..,175,..,..,..,..,..,..,..,175,..,135,106,33,40,37,0,0,0,359,..,24,23,6,13,14,16,0,4,94,..,12,13,5,4,3,3,0,0,41,..,16,51,21,17,10,9,0,0,128,..,7,53,75,82,97,65,42,26,444,15,9,14,6,0,9,8,0,0,53,676,407,591,620,505,409,328,218,114,3866,..,4,219,353,258,208,213,147,27,1432,..,30,180,93,44,31,11,0,0,382,..,0,23,65,98,57,28,30,21,324,635,..,..,..,..,..,..,..,..,635,..,169,..,..,..,..,..,..,..,169,..,75,87,27,22,16,3,0,0,228,..,22,23,7,12,26,18,10,10,115,..,6,12,3,0,0,0,0,0,30
SAL20016,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
SAL20017,..,5,102,176,150,191,237,80,11,957,..,3,32,24,19,9,9,0,0,101,..,0,3,8,17,16,14,8,10,65,510,..,..,..,..,..,..,..,..,510,..,146,..,..,..,..,..,..,..,146,..,124,170,57,43,5,0,0,0,394,..,19,43,8,19,25,12,0,0,140,..,9,18,18,14,14,6,0,0,76,..,20,31,14,16,14,4,0,0,94,..,3,18,23,28,35,32,20,5,167,5,0,7,10,7,5,0,0,0,39,521,334,422,337,311,312,320,116,19,2694,..,7,153,201,167,191,187,46,3,965,..,6,35,30,22,3,9,0,0,105,..,4,36,79,89,45,41,20,3,322,459,..,..,..,..,..,..,..,..,459,..,174,..,..,..,..,..,..,..,174,..,79,84,37,16,5,0,0,0,214,..,22,25,4,9,19,14,20,0,124,..,12,13,3,0,6,3,0,0,43
SAL20018,..,0,50,201,252,239,174,126,25,1063,..,0,75,79,72,38,20,8,0,290,..,0,0,3,12,15,0,6,0,38,443,..,..,..,..,..,..,..,..,443,..,172,..,..,..,..,..,..,..,172,..,52,37,10,19,8,0,0,0,134,..,5,3,3,0,4,4,0,0,27,..,5,4,3,0,0,0,0,0,10,..,13,49,11,8,6,0,0,3,88,..,8,27,34,39,72,89,53,17,343,12,0,7,11,10,9,0,5,0,47,453,264,248,353,412,381,303,192,50,2662,..,0,68,231,261,215,179,90,14,1060,..,12,97,79,69,32,17,4,0,313,..,0,0,25,79,22,13,16,8,161,476,..,..,..,..,..,..,..,..,476,..,163,..,..,..,..,..,..,..,163,..,23,28,13,4,8,0,0,0,73,..,8,3,3,6,10,3,11,3,54,..,5,7,0,0,0,0,0,0,15
