SAL_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SAL20001,3,0,0,0,3
SAL20002,510,333,142,30,6776
SAL20003,440,237,77,39,2172
SAL20004,0,0,0,0,4
SAL20005,19,13,10,0,85
SAL20006,0,0,0,0,0
SAL20007,7,0,0,0,37
SAL20008,6,7,3,0,32
SAL20009,11,4,0,0,30
SAL20010,6,5,8,0,39
SAL20011,147,72,17,3,3952
SAL20012,0,0,0,0,0
SAL20013,183,174,51,19,685
SAL20014,22,11,4,0,78
SAL20015,491,344,163,66,4108
SAL20016,0,0,0,0,0
SAL20017,250,220,80,9,2081
SAL20018,669,512,261,55,3668
SAL20019,26,33,8,4,138
SAL20020,5,11,0,0,35
SAL20021,214,156,74,12,2298
SAL20022,246,270,113,45,1365
SAL20023,764,533,258,57,5701
SAL20024,5,7,0,0,14
SAL20025,3,6,4,0,46
SAL20026,13,6,0,3,36
SAL20027,31,21,9,0,173
SAL20028,116,89,28,6,662
SAL20029,19,10,6,4,101
SAL20030,13,17,0,0,81
SAL20031,18,22,8,4,102
SAL20032,0,0,0,0,11
SAL20033,6,10,5,0,39
SAL20034,637,365,104,29,3637
SAL20035,851,578,303,126,6205
SAL20036,1301,827,255,76,8647
SAL20037,514,293,246,117,5771
SAL20038,23,7,6,0,72
SAL20039,4,3,3,0,25
SAL20040,0,0,0,0,0
SAL20041,20,32,18,0,116
SAL20042,74,49,8,0,371
SAL20043,13,16,3,0,51
SAL20044,0,3,0,0,14
SAL20045,4,9,0,0,22
SAL20046,412,487,217,56,2061
SAL20047,3,0,3,0,13
SAL20048,3,0,0,0,20
SAL20049,194,210,84,27,995
SAL20050,0,0,0,0,4
SAL20051,8,6,0,0,21
SAL20052,41,27,9,0,158
SAL20053,634,490,268,90,3595
SAL20054,22,5,4,0,53
SAL20055,0,0,0,0,0
SAL20056,18,15,0,0,99
SAL20057,10,8,4,0,51
SAL20058,3,0,0,0,11
SAL20059,0,0,0,0,6
SAL20060,6,0,4,0,12
SAL20061,9,5,0,0,21
SAL20062,130,99,46,17,1525
SAL20063,31,30,10,0,209
SAL20064,4,0,0,0,8
SAL20065,25,22,16,5,125
SAL20066,738,684,416,115,6369
SAL20067,19,6,4,0,55
SAL20068,397,260,95,23,5916
SAL20069,3,4,0,0,25
SAL20070,0,5,0,0,9
SAL20071,62,44,25,9,270
SAL20072,59,37,19,4,250
SAL20073,14,5,3,0,48
SAL20074,184,118,44,3,1187
SAL20075,1212,693,257,68,8968
SAL20076,37,28,7,0,154
SAL20077,826,503,254,122,4567
SAL20078,554,377,205,111,4059
SAL20079,660,377,190,57,3854
SAL20080,582,302,180,74,3217
SAL20081,15,4,3,0,71
SAL20082,309,129,47,5,1523
SAL20083,0,0,0,0,3
SAL20084,0,0,3,0,5
SAL20085,22,7,10,0,109
SAL20086,107,103,48,12,574
SAL20087,88,141,43,20,606
SAL20088,0,0,0,0,6
SAL20089,743,620,401,180,5785
SAL20090,4,3,7,0,19
SAL20091,83,42,20,6,439
SAL20092,55,29,14,0,237
SAL20093,81,65,15,3,484
SAL20094,0,0,3,0,13
SAL20095,476,456,269,55,3759
SAL20096,41,36,6,0,163
SAL20097,141,123,26,4,756
SAL20098,0,0,0,0,3
SAL20099,47,19,9,3,181
SAL20100,4,3,0,0,18
SAL20101,6,3,4,0,26
SAL20102,15,14,4,4,69
SAL20103,563,518,350,165,3689
SAL20104,13,8,4,0,97
SAL20105,366,267,98,32,3662
SAL20106,5,5,0,0,47
SAL20107,3,3,0,0,24
SAL20108,298,205,99,34,1652
SAL20109,8,0,0,0,34
SAL20110,0,0,0,0,7
SAL20111,517,397,175,75,3231
SAL20112,404,422,235,174,3138
SAL20113,322,228,140,71,2011
SAL20114,15,11,3,0,56
SAL20115,20,16,3,0,133
SAL20116,17,21,5,0,97
SAL20117,5,4,0,0,32
SAL20118,15,11,10,0,74
SAL20119,28,20,11,7,133
SAL20120,272,243,121,36,1395
SAL20121,56,73,51,17,292
SAL20122,6,0,0,0,8
SAL20123,1315,1001,582,273,7985
SAL20124,2298,1368,731,282,11939
SAL20125,43,34,13,0,217
SAL20126,20,15,8,0,139
SAL20127,23,14,3,0,63
SAL20128,7,0,6,0,23
SAL20129,25,11,8,0,366
SAL20130,4,4,3,0,31
SAL20131,32,94,78,30,319
SAL20132,7,0,0,0,32
SAL20133,344,265,138,64,3048
SAL20134,0,0,0,0,9
SAL20135,5,0,0,0,16
SAL20136,215,140,98,57,1529
SAL20137,14,12,0,0,52
SAL20138,18,16,14,0,93
SAL20139,0,4,0,0,8
SAL20140,23,25,5,0,85
SAL20141,74,53,20,9,292
SAL20142,6,4,5,0,26
SAL20143,6,0,0,0,25
SAL20144,20,20,10,0,103
SAL20145,0,6,0,0,10
SAL20146,98,61,24,3,500
SAL20147,22,20,4,3,96
SAL20148,17,6,6,3,76
SAL20149,56,40,17,0,247
SAL20150,37,16,21,5,146
SAL20151,34,22,8,4,144
SAL20152,5,0,0,0,8
SAL20153,0,4,0,0,11
SAL20154,4,3,0,0,19
SAL20155,0,0,0,0,5
SAL20156,9,4,0,0,24
SAL20157,4,9,0,0,14
SAL20158,0,0,0,0,5
SAL20159,4,4,4,0,42
SAL20160,42,29,11,0,138
SAL20161,13,13,4,4,82
SAL20162,491,477,199,55,2590
SAL20163,4,0,0,0,10
SAL20164,41,36,12,0,200
SAL20165,99,52,18,3,560
SAL20166,0,3,0,0,33
SAL20167,0,0,0,0,0
SAL20168,3,3,0,0,21
SAL20169,183,95,63,12,1061
SAL20170,0,0,3,0,12
SAL20171,28,26,14,0,194
SAL20172,18,15,6,0,62
SAL20173,735,531,346,197,6489
SAL20174,590,376,208,182,4649
SAL20175,592,273,124,34,3538
SAL20176,331,181,66,19,1554
SAL20177,22,18,10,0,92
SAL20178,13,17,10,0,66
SAL20179,3,0,0,0,26
SAL20180,3,0,0,0,19
SAL20181,139,138,62,24,773
SAL20182,1654,1185,646,217,7901
SAL20183,9,0,3,0,14
SAL20184,36,40,3,3,181
SAL20185,20,7,0,0,80
SAL20186,462,453,185,57,2410
SAL20187,0,3,0,0,7
SAL20188,352,221,58,15,2217
SAL20189,131,102,30,0,772
SAL20190,180,148,43,5,896
SAL20191,334,265,130,50,2575
SAL20192,323,276,149,43,2375
SAL20193,28,29,7,3,116
SAL20194,0,3,0,0,3
SAL20195,125,113,118,64,784
SAL20196,57,36,14,0,224
SAL20197,16,10,0,0,41
SAL20198,114,79,23,5,1038
SAL20199,0,0,0,0,0
SAL20200,21,23,7,0,97
SAL20201,1006,855,448,229,8428
SAL20202,11,19,5,4,48
SAL20203,43,29,3,3,158
SAL20204,967,885,556,210,5333
SAL20205,14,22,9,5,82
SAL20206,9,0,3,0,32
SAL20207,34,45,10,0,158
SAL20208,553,443,189,79,3208
SAL20209,18,16,5,0,51
SAL20210,13,11,0,0,47
SAL20211,4,10,0,0,26
SAL20212,13,6,4,0,71
SAL20213,5,7,0,0,23
SAL20214,1652,966,431,155,10418
SAL20215,2378,1442,600,283,16172
SAL20216,0,0,0,0,3
SAL20217,17,10,5,0,80
SAL20218,9,6,0,0,29
SAL20219,22,15,6,0,102
SAL20220,7,7,3,5,22
SAL20221,14,11,0,5,73
SAL20222,5,3,0,0,22
SAL20223,20,18,13,0,99
SAL20224,3501,2044,1106,388,25054
SAL20225,5,10,0,0,51
SAL20226,10,17,8,0,66
SAL20227,13,8,5,3,50
SAL20228,0,0,0,0,7
SAL20229,75,36,17,4,275
SAL20230,8,5,3,0,37
SAL20231,36,24,11,0,133
SAL20232,35,23,4,0,162
SAL20233,199,108,27,4,2117
SAL20234,0,0,0,0,0
SAL20235,21,5,12,0,127
SAL20236,6,5,8,0,26
SAL20237,9,0,5,4,34
SAL20238,8,6,4,0,26
SAL20239,0,0,0,0,0
SAL20240,0,0,0,0,7
SAL20241,3,5,3,0,28
SAL20242,12,9,0,0,55
SAL20243,0,0,0,0,0
SAL20244,52,44,24,7,320
SAL20245,0,0,0,0,5
SAL20246,63,31,11,5,341
SAL20247,104,87,18,5,496
SAL20248,418,322,158,24,2128
SAL20249,176,141,43,16,1137
SAL20250,49,32,12,0,176
SAL20251,789,644,338,120,3785
SAL20252,1393,922,544,285,8746
SAL20253,601,311,204,81,4050
SAL20254,869,624,384,204,5983
SAL20255,11,0,0,0,25
SAL20256,43,24,11,0,223
SAL20257,342,453,219,50,1689
SAL20258,0,0,6,0,19
SAL20259,27,34,0,0,144
SAL20260,91,61,30,6,588
SAL20261,15,9,3,0,52
SAL20262,3,5,0,0,11
SAL20263,12,6,0,0,45
SAL20264,11,4,4,0,36
SAL20265,0,0,0,0,8
SAL20266,10,19,6,0,57
SAL20267,9,13,4,5,53
SAL20268,0,3,0,0,12
SAL20269,0,0,0,0,8
SAL20270,18,22,7,0,136
SAL20271,0,0,0,0,0
SAL20272,27,13,0,0,88
SAL20273,0,0,0,0,7
SAL20274,84,51,20,0,319
SAL20275,5,3,0,0,27
SAL20276,14,9,8,0,63
SAL20277,9,4,0,0,28
SAL20278,567,424,193,82,3819
SAL20279,46,45,7,0,320
SAL20280,41,29,13,6,170
SAL20281,0,4,0,0,24
SAL20282,24,10,5,4,154
SAL20283,74,76,25,0,354
SAL20284,46,18,3,0,475
SAL20285,18,12,5,0,73
SAL20286,0,0,0,0,0
SAL20287,0,4,0,0,5
SAL20288,152,92,43,4,585
SAL20289,18,14,0,5,69
SAL20290,0,0,0,0,8
SAL20291,6,0,0,0,19
SAL20292,0,0,0,0,8
SAL20293,4,0,0,0,11
SAL20294,11,10,3,0,61
SAL20295,11,10,6,0,62
SAL20296,0,0,0,0,5
SAL20297,4,8,0,0,35
SAL20298,24,20,7,0,93
SAL20299,10,8,0,0,33
SAL20300,98,85,44,37,456
SAL20301,10,3,3,0,52
SAL20302,5,3,3,0,37
SAL20303,9,0,0,0,19
SAL20304,1563,1267,646,204,12414
SAL20305,0,5,0,0,26
SAL20306,10,3,7,0,43
SAL20307,310,153,31,3,3136
SAL20308,28,15,0,0,76
SAL20309,13,19,7,0,99
SAL20310,3,5,0,0,24
SAL20311,5,8,0,0,27
SAL20312,16,8,0,0,55
SAL20313,0,0,0,0,11
SAL20314,771,572,393,299,8946
SAL20315,976,568,292,91,6984
SAL20316,785,469,218,92,4947
SAL20317,0,0,0,0,10
SAL20318,0,0,0,0,3
SAL20319,7,0,0,0,11
SAL20320,3,0,0,3,23
SAL20321,6,9,4,0,48
SAL20322,33,22,8,0,148
SAL20323,4,0,0,0,6
SAL20324,390,253,75,27,4528
SAL20325,0,0,0,0,18
SAL20326,70,46,29,6,543
SAL20327,14,24,17,0,103
SAL20328,3,3,0,0,18
SAL20329,7,3,0,0,21
SAL20330,128,115,17,3,594
SAL20331,247,241,130,26,1802
SAL20332,11,7,3,4,63
SAL20333,7,12,5,0,53
SAL20334,11,0,0,0,26
SAL20335,39,28,18,5,172
SAL20336,270,243,149,40,1529
SAL20337,2744,2155,1314,578,14168
SAL20338,1707,1166,738,517,9492
SAL20339,20,10,0,0,67
SAL20340,3,0,0,0,3
SAL20341,16,0,0,0,35
SAL20342,5,3,0,0,37
SAL20343,0,0,0,0,4
SAL20344,7,0,0,0,20
SAL20345,314,212,89,29,2029
SAL20346,460,242,116,47,5122
SAL20347,8,4,0,0,37
SAL20348,0,3,0,0,7
SAL20349,7,0,0,0,24
SAL20350,8,0,0,0,18
SAL20351,427,320,141,41,4460
SAL20352,109,55,14,11,1123
SAL20353,0,0,3,0,8
SAL20354,24,21,8,0,115
SAL20355,7,0,0,0,17
SAL20356,350,220,80,13,2275
SAL20357,18,10,5,0,49
SAL20358,9,14,5,0,53
SAL20359,13,3,9,5,70
SAL20360,0,0,0,0,0
SAL20361,1521,867,295,90,16952
SAL20362,710,382,133,36,9580
SAL20363,945,565,209,86,9410
SAL20364,94,49,25,7,416
SAL20365,19,5,0,0,43
SAL20366,20,20,9,0,110
SAL20367,4,6,3,0,40
SAL20368,20,8,3,0,81
SAL20369,25,10,10,0,118
SAL20370,3,0,0,0,7
SAL20371,7,3,0,0,24
SAL20372,0,0,0,0,0
SAL20373,15,9,4,0,75
SAL20374,0,0,0,0,0
SAL20375,29,21,7,4,139
SAL20376,35,34,9,0,161
SAL20377,3,4,0,0,45
SAL20378,4,0,0,0,3
SAL20379,0,0,0,0,0
SAL20380,0,0,0,0,10
SAL20381,59,41,13,5,315
SAL20382,0,0,0,0,12
SAL20383,5,10,3,0,32
SAL20384,9,11,6,0,54
SAL20385,9,7,3,0,22
SAL20386,974,585,407,136,5927
SAL20387,83,48,18,7,381
SAL20388,6,5,4,5,36
SAL20389,3,0,0,0,15
SAL20390,46,35,9,0,262
SAL20391,32,18,5,0,107
SAL20392,12,8,5,0,51
SAL20393,28,16,6,0,144
SAL20394,19,11,5,0,110
SAL20395,72,44,14,0,278
SAL20396,5,4,0,0,28
SAL20397,0,0,0,0,0
SAL20398,3,5,3,0,33
SAL20399,1890,1161,671,265,14445
SAL20400,11,13,6,0,33
SAL20401,5,4,0,0,31
SAL20402,3,5,0,0,22
SAL20403,14,3,4,0,45
SAL20404,22,14,16,0,148
SAL20405,4,0,0,0,20
SAL20406,4,5,0,0,25
SAL20407,0,0,0,0,0
SAL20408,0,0,0,0,10
SAL20409,390,360,129,29,2050
SAL20410,39,24,7,0,138
SAL20411,234,128,97,32,1444
SAL20412,9,6,5,0,48
SAL20413,0,0,0,0,0
SAL20414,0,0,0,0,0
SAL20415,3,4,0,0,14
SAL20416,4,7,0,0,22
SAL20417,5,0,0,0,18
SAL20418,41,33,11,3,567
SAL20419,326,192,122,105,2540
SAL20420,251,99,22,4,2712
SAL20421,3,0,4,0,10
SAL20422,18,7,4,0,124
SAL20423,0,3,0,0,11
SAL20424,0,6,4,0,12
SAL20425,24,35,9,0,121
SAL20426,1044,648,412,256,9024
SAL20427,810,553,453,131,6014
SAL20428,51,43,4,0,290
SAL20429,4,5,0,0,25
SAL20430,0,0,0,0,3
SAL20431,79,73,22,15,349
SAL20432,13,16,4,0,69
SAL20433,13,9,8,0,67
SAL20434,24,17,0,0,83
SAL20435,22,7,3,0,62
SAL20436,15,11,4,0,67
SAL20437,54,26,3,0,230
SAL20438,3,4,0,0,6
SAL20439,4,8,3,0,34
SAL20440,4,4,0,0,17
SAL20441,487,248,66,11,4085
SAL20442,0,0,0,0,0
SAL20443,12,5,11,0,81
SAL20444,295,202,105,49,1870
SAL20445,3,11,0,0,67
SAL20446,5,4,0,0,20
SAL20447,36,25,6,3,201
SAL20448,3,0,0,0,19
SAL20449,3,5,0,0,7
SAL20450,0,0,0,0,15
SAL20451,18,13,6,0,91
SAL20452,0,0,0,0,0
SAL20453,2372,1751,981,565,13597
SAL20454,10,15,6,0,127
SAL20455,189,120,77,9,1661
SAL20456,4,0,0,0,8
SAL20457,189,168,71,17,1071
SAL20458,4,4,0,0,21
SAL20459,0,0,0,0,16
SAL20460,247,255,151,55,1521
SAL20461,255,251,102,74,2141
SAL20462,0,0,0,0,0
SAL20463,16,4,0,0,50
SAL20464,28,8,10,4,92
SAL20465,0,0,0,0,9
SAL20466,63,37,18,4,330
SAL20467,0,4,3,0,21
SAL20468,908,730,429,195,4757
SAL20469,36,17,4,0,94
SAL20470,16,10,8,0,65
SAL20471,0,0,0,0,3
SAL20472,8,9,0,0,18
SAL20473,169,157,49,12,689
SAL20474,92,88,24,10,343
SAL20475,252,186,52,15,1314
SAL20476,303,414,391,323,2532
SAL20477,3,3,3,0,28
SAL20478,3,8,5,0,30
SAL20479,0,0,0,0,0
SAL20480,23,21,8,0,117
SAL20481,8,5,3,0,31
SAL20482,0,9,4,0,18
SAL20483,4,8,0,0,33
SAL20484,11,9,0,0,46
SAL20485,87,29,10,0,470
SAL20486,50,34,8,4,429
SAL20487,31,24,8,0,163
SAL20488,63,30,9,0,343
SAL20489,0,4,0,0,22
SAL20490,0,3,0,0,9
SAL20491,0,0,3,0,12
SAL20492,95,102,35,0,527
SAL20493,18,12,6,0,81
SAL20494,47,28,14,0,219
SAL20495,573,499,312,139,11147
SAL20496,496,413,184,42,4476
SAL20497,13,6,0,0,32
SAL20498,1335,899,489,239,11707
SAL20499,19,18,3,0,93
SAL20500,1254,606,210,36,11285
SAL20501,10,5,0,0,50
SAL20502,17,9,3,0,49
SAL20503,15,13,3,3,62
SAL20504,5,5,0,0,25
SAL20505,3,3,0,0,19
SAL20506,0,0,0,0,8
SAL20507,374,235,96,27,2321
SAL20508,1284,776,352,190,10346
SAL20509,3,6,0,0,28
SAL20510,23,14,8,0,87
SAL20511,6,0,6,0,12
SAL20512,33,22,0,0,152
SAL20513,164,144,84,33,729
SAL20514,8,5,0,0,51
SAL20515,16,7,3,0,62
SAL20516,754,823,543,272,4327
SAL20517,23,10,4,3,116
SAL20518,9,17,4,0,64
SAL20519,0,0,0,0,16
SAL20520,0,0,0,0,9
SAL20521,473,501,241,181,3559
SAL20522,98,82,19,5,837
SAL20523,1357,1407,564,307,10827
SAL20524,1181,991,415,183,7407
SAL20525,17,3,3,0,32
SAL20526,37,36,14,5,190
SAL20527,35,10,7,0,140
SAL20528,571,352,169,49,5621
SAL20529,0,0,0,0,0
SAL20530,0,0,0,0,0
SAL20531,4,9,0,0,21
SAL20532,6,0,0,0,15
SAL20533,116,39,21,15,1457
SAL20534,6,7,0,0,47
SAL20535,106,104,50,35,517
SAL20536,3,0,0,0,20
SAL20537,621,437,222,131,4649
SAL20538,372,262,126,41,2639
SAL20539,1775,1158,641,396,13121
SAL20540,4,6,4,0,28
SAL20541,8,5,4,0,43
SAL20542,0,0,0,0,0
SAL20543,20,23,0,0,105
SAL20544,0,0,0,0,0
SAL20545,12,18,0,0,103
SAL20546,6,11,4,0,33
SAL20547,93,84,31,10,464
SAL20548,9,12,0,0,41
SAL20549,10,11,3,0,35
SAL20550,0,0,0,0,4
SAL20551,170,129,74,10,806
SAL20552,12,3,0,0,41
SAL20553,0,0,0,0,0
SAL20554,3,0,0,0,8
SAL20555,14,4,0,0,57
SAL20556,859,626,350,64,5918
SAL20557,0,0,0,0,5
SAL20558,0,3,0,0,26
SAL20559,64,22,6,0,206
SAL20560,115,98,30,10,547
SAL20561,379,303,145,20,2248
SAL20562,0,0,0,0,0
SAL20563,0,0,0,0,5
SAL20564,19,11,6,0,77
SAL20565,0,4,3,0,16
SAL20566,518,410,214,133,3640
SAL20567,30,10,5,0,137
SAL20568,5,3,0,0,30
SAL20569,638,399,268,240,11902
SAL20570,584,381,187,56,7016
SAL20571,12,3,0,0,34
SAL20572,31,15,13,7,187
SAL20573,36,9,3,0,119
SAL20574,580,492,146,25,4462
SAL20575,711,710,313,69,3906
SAL20576,39,26,18,0,186
SAL20577,4,0,0,0,7
SAL20578,29,12,4,0,91
SAL20579,0,4,0,0,15
SAL20580,199,165,73,13,915
SAL20581,305,133,36,10,5694
SAL20582,884,474,199,26,15379
SAL20583,11,0,0,0,62
SAL20584,9,16,0,0,41
SAL20585,12,0,0,0,33
SAL20586,23,19,6,0,112
SAL20587,10,10,0,0,63
SAL20588,0,0,0,0,0
SAL20589,0,0,0,0,0
SAL20590,71,27,0,0,1679
SAL20591,138,100,77,33,758
SAL20592,350,394,224,86,2435
SAL20593,28,11,6,0,108
SAL20594,12,5,0,5,31
SAL20595,8,3,4,0,32
SAL20596,1731,929,291,95,15099
SAL20597,491,243,135,103,4557
SAL20598,0,0,0,0,0
SAL20599,0,0,0,0,3
SAL20600,369,196,53,14,2206
SAL20601,0,0,0,0,0
SAL20602,4,3,0,0,25
SAL20603,5,8,6,0,46
SAL20604,172,198,100,38,1021
SAL20605,37,38,9,0,210
SAL20606,0,0,0,0,0
SAL20607,535,555,306,135,3853
SAL20608,7,6,0,0,28
SAL20609,8,17,9,0,86
SAL20610,3,5,4,0,41
SAL20611,27,16,14,0,133
SAL20612,4,7,6,0,24
SAL20613,163,114,59,10,1063
SAL20614,110,80,38,20,469
SAL20615,29,13,0,0,115
SAL20616,458,244,87,17,6517
SAL20617,0,0,0,0,0
SAL20618,25,12,6,0,82
SAL20619,11,7,0,0,61
SAL20620,63,29,6,0,277
SAL20621,131,117,37,7,542
SAL20622,3,0,0,0,11
SAL20623,5,6,0,0,21
SAL20624,105,74,59,30,1059
SAL20625,15,3,5,0,49
SAL20626,20,0,0,0,78
SAL20627,30,21,9,0,162
SAL20628,34,33,12,3,120
SAL20629,4,0,0,0,18
SAL20630,3,0,4,0,12
SAL20631,35,16,6,0,159
SAL20632,7,0,0,0,23
SAL20633,13,16,6,0,93
SAL20634,3,0,0,0,16
SAL20635,3,0,0,0,6
SAL20636,14,13,5,0,69
SAL20637,14,12,0,0,44
SAL20638,8,16,0,0,67
SAL20639,144,139,47,10,617
SAL20640,764,547,256,66,5756
SAL20641,8,5,0,0,20
SAL20642,9,0,4,0,16
SAL20643,13,7,11,6,55
SAL20644,111,92,52,9,550
SAL20645,22,10,5,0,75
SAL20646,39,9,3,0,165
SAL20647,0,0,0,0,13
SAL20648,124,87,64,30,648
SAL20649,13,14,0,0,54
SAL20650,9,0,5,0,20
SAL20651,7,11,0,0,25
SAL20652,7,10,6,0,36
SAL20653,0,0,0,0,10
SAL20654,102,83,20,0,379
SAL20655,0,0,0,0,0
SAL20656,0,0,0,0,10
SAL20657,633,741,384,158,3449
SAL20658,7,0,0,0,18
SAL20659,34,37,6,3,186
SAL20660,6,5,0,0,32
SAL20661,2536,1112,325,107,27831
SAL20662,1152,711,280,63,9314
SAL20663,733,465,349,164,10822
SAL20664,1083,478,163,33,10678
SAL20665,215,131,52,9,1636
SAL20666,709,393,153,55,8805
SAL20667,3,5,3,0,20
SAL20668,0,0,3,0,14
SAL20669,16,23,3,0,97
SAL20670,146,56,22,4,1621
SAL20671,25,17,4,0,86
SAL20672,313,305,156,70,1714
SAL20673,4,0,0,0,31
SAL20674,263,181,68,13,1617
SAL20675,0,0,0,0,0
SAL20676,0,5,0,0,0
SAL20677,0,3,0,0,15
SAL20678,37,22,5,0,120
SAL20679,34,16,6,0,100
SAL20680,11,6,8,0,43
SAL20681,6,4,0,0,38
SAL20682,1959,1588,1025,408,14907
SAL20683,515,285,117,17,2544
SAL20684,717,470,215,104,4311
SAL20685,338,224,115,35,2412
SAL20686,0,0,0,0,6
SAL20687,16,10,3,0,138
SAL20688,37,23,5,4,147
SAL20689,16,16,4,0,47
SAL20690,3,3,0,0,18
SAL20691,0,0,0,0,16
SAL20692,9,3,4,0,27
SAL20693,3,4,0,0,6
SAL20694,4,0,0,0,6
SAL20695,0,5,0,0,10
SAL20696,13,4,0,0,62
SAL20697,293,213,73,6,2083
SAL20698,8,0,0,0,11
SAL20699,12,8,3,0,36
SAL20700,38,35,20,3,196
SAL20701,31,17,0,0,195
SAL20702,266,131,78,22,2311
SAL20703,10,7,4,0,65
SAL20704,5,11,0,0,29
SAL20705,0,0,0,0,0
SAL20706,74,57,12,5,419
SAL20707,1266,858,448,200,12807
SAL20708,1315,957,475,149,10135
SAL20709,13,10,4,0,60
SAL20710,0,0,0,0,0
SAL20711,15,13,6,0,53
SAL20712,640,394,137,46,4244
SAL20713,3,0,0,0,22
SAL20714,7,7,3,0,48
SAL20715,53,35,17,0,361
SAL20716,47,32,17,0,218
SAL20717,0,3,0,0,4
SAL20718,35,17,12,4,121
SAL20719,15,23,7,0,73
SAL20720,3,11,0,0,24
SAL20721,405,324,124,60,1656
SAL20722,8,4,0,0,52
SAL20723,57,33,9,0,222
SAL20724,19,6,0,0,303
SAL20725,0,4,0,0,10
SAL20726,23,15,7,0,113
SAL20727,13,27,3,3,106
SAL20728,220,194,144,68,1292
SAL20729,758,600,265,40,7521
SAL20730,325,269,142,74,2397
SAL20731,485,284,98,19,3223
SAL20732,5,0,0,0,4
SAL20733,3,3,0,0,16
SAL20734,0,4,0,0,14
SAL20735,3,0,3,0,12
SAL20736,28,17,12,0,204
SAL20737,105,59,28,12,911
SAL20738,20,28,11,0,96
SAL20739,0,0,0,0,0
SAL20740,0,0,0,0,9
SAL20741,89,52,21,0,351
SAL20742,0,10,4,0,25
SAL20743,286,112,38,8,3602
SAL20744,12,20,4,0,69
SAL20745,43,28,21,3,185
SAL20746,21,26,5,5,103
SAL20747,0,0,0,0,9
SAL20748,128,89,59,8,729
SAL20749,29,47,17,0,195
SAL20750,16,23,3,0,93
SAL20751,16,12,0,4,113
SAL20752,1193,637,225,47,6645
SAL20753,10,14,10,0,59
SAL20754,293,185,50,11,2892
SAL20755,10,11,0,0,45
SAL20756,132,115,56,28,712
SAL20757,18,9,10,6,85
SAL20758,840,664,345,131,5176
SAL20759,10,5,3,0,46
SAL20760,13,7,0,0,87
SAL20761,17,3,4,0,66
SAL20762,54,35,18,7,220
SAL20763,3,0,0,0,20
SAL20764,18,4,3,0,54
SAL20765,3,8,0,0,28
SAL20766,895,487,147,16,11842
SAL20767,7,0,0,0,4
SAL20768,10,10,3,0,41
SAL20769,67,34,18,0,279
SAL20770,127,100,62,26,630
SAL20771,1885,1388,992,441,14391
SAL20772,2491,1793,1168,377,16794
SAL20773,53,17,0,5,1196
SAL20774,1171,851,551,251,6964
SAL20775,0,0,0,0,6
SAL20776,37,9,6,0,120
SAL20777,36,25,13,4,177
SAL20778,0,0,0,0,25
SAL20779,1188,783,268,37,12740
SAL20780,3,0,0,0,4
SAL20781,0,0,0,0,0
SAL20782,8,3,0,0,30
SAL20783,399,291,156,56,3819
SAL20784,0,0,0,0,30
SAL20785,3,0,0,0,5
SAL20786,3,0,4,0,49
SAL20787,3,12,0,0,15
SAL20788,594,594,324,85,3454
SAL20789,0,3,5,0,15
SAL20790,1019,960,470,122,7139
SAL20791,15,10,5,0,84
SAL20792,48,21,11,0,165
SAL20793,53,42,12,3,190
SAL20794,5,5,3,0,20
SAL20795,13,10,6,0,68
SAL20796,74,74,29,6,351
SAL20797,4,3,0,0,16
SAL20798,33,36,4,0,172
SAL20799,23,28,3,5,121
SAL20800,14,9,4,0,52
SAL20801,10,9,0,0,23
SAL20802,470,497,308,111,2573
SAL20803,5,0,0,0,16
SAL20804,45,40,8,3,219
SAL20805,12,5,4,0,36
SAL20806,3,0,0,0,5
SAL20807,12,9,3,0,45
SAL20808,10,0,0,0,24
SAL20809,54,83,24,8,382
SAL20810,3,7,6,4,23
SAL20811,0,0,0,0,6
SAL20812,25,16,9,0,122
SAL20813,87,86,51,7,388
SAL20814,6,3,4,0,36
SAL20815,0,0,0,0,3
SAL20816,41,30,8,0,224
SAL20817,3,7,0,0,24
SAL20818,3,4,0,0,11
SAL20819,0,0,0,0,0
SAL20820,16,5,0,0,41
SAL20821,4,4,0,0,16
SAL20822,171,171,67,23,721
SAL20823,402,361,180,49,2532
SAL20824,0,0,0,0,10
SAL20825,503,397,164,61,2422
SAL20826,15,13,5,0,54
SAL20827,99,91,38,9,574
SAL20828,198,136,89,38,1166
SAL20829,405,279,86,21,2364
SAL20830,541,511,246,85,3832
SAL20831,3,0,0,0,156
SAL20832,9,0,0,5,32
SAL20833,92,92,31,6,476
SAL20834,6,15,5,0,33
SAL20835,0,0,0,0,4
SAL20836,178,205,188,64,1291
SAL20837,17,6,4,0,57
SAL20838,1150,894,488,224,6909
SAL20839,65,41,21,5,284
SAL20840,46,24,9,0,208
SAL20841,15,3,0,0,100
SAL20842,10,8,3,4,55
SAL20843,126,80,28,7,603
SAL20844,83,87,36,23,435
