SAL_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
SAL22561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL22562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,8,6,9,0,16,6,6,3,49
SAL22563,0,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,8,14,3,9,10,11,0,16,0,65
SAL22564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,10,0,16
SAL22565,3,9,13,5,13,14,4,15,3,72,6,13,6,4,16,13,3,6,24,77,111,296,237,152,368,343,109,260,46,1913
SAL22566,0,3,4,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,9,7,40,34,16,34,41,7,35,8,224
SAL22567,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,7,19,17,15,27,35,4,26,11,163
SAL22568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,4,6,0,14,0,37
SAL22569,39,72,68,38,89,96,20,36,0,462,17,47,28,15,68,59,15,60,85,399,704,1767,1441,1068,2724,2372,832,1296,176,12390
SAL22570,3,9,3,3,4,9,0,4,5,36,8,0,5,0,7,8,0,6,0,28,60,126,121,74,161,199,69,138,14,959
SAL22571,0,4,0,0,0,7,0,0,0,9,0,5,0,0,0,0,0,0,0,6,14,67,32,29,47,56,18,28,3,294
SAL22572,6,3,6,4,12,8,0,0,0,31,0,4,4,3,12,5,0,4,8,50,58,173,157,87,315,298,76,134,27,1308
SAL22573,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,10,12,8,10,13,0,20,0,80
SAL22574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,4,6,5,12,0,8,0,50
SAL22575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12
SAL22576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,3,10,5,0,0,0,32
SAL22577,0,0,0,3,0,0,0,0,0,4,3,0,4,0,7,5,0,6,0,25,43,96,77,57,88,96,33,80,14,583
SAL22578,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,8,12,13,7,16,10,6,17,0,98
SAL22579,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,8,6,9,12,4,13,0,75
SAL22580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,10,11,12,13,9,3,10,0,75
SAL22581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,4,0,6,5,5,0,29
SAL22582,26,52,72,37,131,66,16,25,9,438,34,77,103,58,197,172,22,37,282,991,679,1780,2148,1163,4386,3833,637,1065,548,16237
SAL22583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4
SAL22584,0,0,0,5,4,7,0,0,0,13,0,3,5,0,0,0,0,0,0,8,15,33,21,14,17,35,3,35,4,178
SAL22585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
SAL22586,14,28,27,7,24,34,7,13,0,147,11,13,12,6,33,27,0,4,30,144,187,368,355,241,757,691,166,299,53,3115
SAL22587,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,10,14,33,16,6,26,33,9,30,4,171
SAL22588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7
SAL22589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,3,0,0,3,0,11
SAL22590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL22591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,4,3,0,18
SAL22592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,3,0,5,0,12
SAL22593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,6,4,5,10,4,5,0,36
SAL22594,11,21,15,12,23,16,7,12,0,104,4,4,11,3,7,13,0,9,11,65,94,312,252,150,316,328,109,255,34,1847
SAL22595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL22596,0,6,0,0,3,4,0,7,0,24,0,0,0,0,4,9,5,7,0,15,35,66,40,50,85,95,36,55,16,480
SAL22597,3,0,0,4,0,4,0,0,4,16,0,0,0,6,0,6,0,0,6,11,28,46,51,34,46,64,22,37,8,334
SAL22598,3,6,0,0,0,5,0,3,3,26,0,0,0,0,0,0,0,0,4,10,23,30,28,21,58,51,17,37,6,265
SAL22599,0,0,0,0,0,6,0,3,0,13,0,0,4,0,0,0,0,0,0,13,10,36,26,17,32,59,12,38,4,223
