SAL_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SAL20001,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20002,..,1790,1790,1393,320,1717,404,133,542,229,34,263,58,9,69,22,4,22,2108,2292,4398
SAL20003,..,270,270,391,16,405,228,9,239,301,0,304,117,0,117,33,0,33,1071,298,1371
SAL20004,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
SAL20005,..,15,15,26,0,31,3,0,3,8,0,3,3,0,3,0,0,0,43,13,62
SAL20006,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20007,..,5,5,11,0,12,8,0,8,0,0,0,6,0,6,0,0,0,25,3,27
SAL20008,..,7,7,9,0,9,3,0,3,4,0,4,0,0,0,0,0,0,19,7,26
SAL20009,..,6,6,19,0,19,0,0,0,4,0,4,4,0,4,0,0,0,29,6,33
SAL20010,..,7,7,11,4,12,0,0,0,6,0,6,0,0,0,0,0,0,11,14,25
SAL20011,..,157,157,363,21,379,487,4,488,667,0,665,283,0,282,185,0,185,1986,179,2164
SAL20012,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20013,..,114,114,179,6,178,47,0,47,39,0,37,11,0,11,3,0,3,273,121,400
SAL20014,..,4,4,19,0,21,9,0,9,15,0,15,3,0,3,0,0,0,41,6,46
SAL20015,..,1081,1081,1029,76,1106,561,12,571,494,8,499,141,0,141,41,0,42,2260,1177,3438
SAL20016,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20017,..,327,327,501,35,535,326,16,346,313,5,319,162,0,162,118,0,118,1427,382,1807
SAL20018,..,834,834,791,56,847,345,17,363,355,4,353,93,0,96,17,0,17,1602,918,2514
SAL20019,..,33,33,52,0,51,14,0,14,17,0,17,5,0,5,5,0,5,83,33,123
SAL20020,..,11,11,8,0,9,4,0,4,3,0,3,0,0,0,0,0,0,19,11,30
SAL20021,..,647,647,478,66,545,230,27,260,167,25,193,62,7,68,58,5,63,1000,771,1774
SAL20022,..,461,461,429,20,451,133,0,137,119,0,116,52,0,50,15,0,15,741,487,1226
SAL20023,..,826,826,1226,84,1310,667,30,694,794,16,811,352,4,351,131,0,130,3167,957,4122
SAL20024,..,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10
SAL20025,..,3,3,14,0,14,3,0,3,0,0,0,4,0,4,7,0,7,23,3,28
SAL20026,..,8,8,14,0,16,0,0,0,0,0,0,0,0,0,0,0,0,21,11,28
SAL20027,..,18,18,37,0,37,13,0,13,13,0,13,12,0,12,3,0,3,80,18,96
SAL20028,..,106,106,197,6,203,79,0,79,74,0,74,43,0,43,10,0,10,405,116,519
SAL20029,..,21,21,22,0,27,13,0,13,11,0,11,0,0,0,7,0,7,51,20,76
SAL20030,..,16,16,12,0,18,5,0,7,12,0,12,8,0,8,3,0,3,37,23,62
SAL20031,..,22,22,24,0,24,11,0,11,8,0,8,7,0,7,0,0,0,51,22,68
SAL20032,..,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,7,0,12
SAL20033,..,6,6,14,0,14,3,0,3,0,0,0,0,0,0,3,0,3,20,6,25
SAL20034,..,661,661,621,68,690,322,57,381,366,16,385,110,4,113,25,0,24,1440,806,2252
SAL20035,..,1539,1539,1542,100,1639,702,11,713,644,0,644,193,0,193,67,0,72,3151,1655,4803
SAL20036,..,1921,1921,2179,147,2324,1238,19,1259,1106,13,1113,355,6,361,142,0,142,5022,2104,7120
SAL20037,..,1255,1255,1379,98,1472,768,18,784,693,6,710,285,3,287,183,0,182,3313,1385,4697
SAL20038,..,19,19,8,0,15,8,0,8,7,0,7,6,0,6,0,0,0,32,19,47
SAL20039,..,7,7,9,0,9,4,0,4,0,0,0,0,0,0,0,0,0,12,7,24
SAL20040,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20041,..,43,43,42,0,42,8,0,8,12,0,12,0,0,0,0,0,0,64,39,103
SAL20042,..,48,48,83,7,87,35,0,34,42,0,42,24,0,24,13,0,13,197,54,246
SAL20043,..,3,3,29,0,29,3,0,3,0,0,0,3,0,3,0,0,0,34,3,41
SAL20044,..,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10
