SAL_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SAL20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20002,5,16,66,40,19,15,8,0,0,160,6,24,109,66,16,17,6,0,0,243,79,512,2859,1512,664,430,149,17,0,6223
SAL20003,0,4,4,10,12,6,5,0,0,58,5,9,12,19,23,20,3,0,0,96,139,243,301,394,564,439,104,15,0,2198
SAL20004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SAL20005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,8,9,24,17,11,6,0,80
SAL20006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,13,4,0,0,0,27
SAL20008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,4,3,0,0,0,22
SAL20009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,5,9,12,0,0,0,35
SAL20010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,8,4,3,0,0,19
SAL20011,0,7,38,35,17,0,0,0,0,101,9,14,62,78,16,3,0,0,0,180,105,276,1343,1549,458,151,22,0,0,3901
SAL20012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20013,0,0,0,3,0,7,0,0,0,12,0,0,0,3,0,0,0,0,0,8,24,14,48,58,106,143,56,4,0,454
SAL20014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,9,20,15,23,13,0,0,86
SAL20015,3,13,38,41,32,36,3,4,0,168,6,8,44,40,38,28,14,0,0,178,156,291,1070,1071,840,589,152,15,0,4189
SAL20016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
