SAL_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SAL20001,0,0,0,0,0,0,0,0,0,0
SAL20002,1105,2733,450,491,666,382,92,200,99,6223
SAL20003,432,650,194,173,342,205,54,108,45,2198
SAL20004,0,0,0,0,0,0,0,0,0,5
SAL20005,25,13,10,11,10,0,8,8,0,80
SAL20006,0,0,0,0,0,0,0,0,0,0
SAL20007,4,4,8,3,3,5,6,3,0,27
SAL20008,6,8,0,4,0,0,0,6,0,22
SAL20009,3,0,0,8,8,5,3,4,0,35
SAL20010,3,0,3,0,3,0,0,3,0,19
SAL20011,395,898,462,479,476,266,524,298,90,3901
SAL20012,0,0,0,0,0,0,0,0,0,0
SAL20013,92,132,53,46,45,41,3,29,5,454
SAL20014,23,7,8,8,8,13,4,8,0,86
SAL20015,601,984,598,429,670,325,222,291,72,4189
SAL20016,0,0,0,0,0,0,0,0,0,0
SAL20017,99,243,334,232,219,185,303,389,69,2086
SAL20018,831,1201,190,193,315,217,40,79,66,3117
SAL20019,16,17,16,8,11,9,8,24,4,113
SAL20020,12,5,6,3,4,0,6,6,0,38
SAL20021,176,396,281,256,246,142,211,268,57,2038
SAL20022,158,169,204,155,139,81,90,140,19,1158
SAL20023,685,1507,731,749,777,627,250,515,78,5921
SAL20024,4,0,0,0,0,0,0,3,0,8
SAL20025,17,3,7,0,6,0,3,7,0,39
SAL20026,11,9,6,0,0,0,0,4,0,31
SAL20027,29,31,23,16,14,11,8,14,0,143
SAL20028,122,99,112,79,83,67,67,95,27,756
SAL20029,18,13,19,8,11,0,10,12,5,88
SAL20030,10,10,11,6,8,3,7,10,0,63
SAL20031,5,9,6,7,6,8,17,11,4,77
SAL20032,0,0,0,0,0,4,0,0,0,10
SAL20033,6,3,3,0,4,0,0,4,0,26
SAL20034,620,1410,229,254,370,196,59,126,42,3299
SAL20035,909,1658,661,561,809,382,247,353,124,5699
SAL20036,876,1718,1237,962,1309,727,826,753,213,8617
SAL20037,825,1345,703,453,795,433,381,414,132,5482
SAL20038,14,11,5,6,0,0,5,11,0,65
SAL20039,0,0,4,0,5,3,3,5,4,24
SAL20040,0,0,0,0,0,0,0,0,0,0
SAL20041,36,15,5,11,6,6,13,14,3,97
SAL20042,64,65,71,36,35,14,30,28,10,357
SAL20043,14,6,3,0,3,5,3,8,0,48
SAL20044,3,4,0,0,0,0,0,0,0,9
SAL20045,0,0,0,0,0,0,0,3,0,3
SAL20046,268,440,190,171,141,107,27,92,32,1460
SAL20047,10,0,0,0,0,0,4,3,0,21
SAL20048,12,3,0,0,0,0,0,0,0,19
SAL20049,147,106,118,88,74,79,39,122,18,793
SAL20050,0,0,0,0,0,0,0,0,0,6
SAL20051,5,0,0,0,3,0,0,5,0,18
SAL20052,53,9,14,9,12,7,9,33,6,147
SAL20053,357,472,417,624,311,286,208,620,84,3383
SAL20054,16,10,3,0,5,3,4,0,0,43
