SAL_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
SAL20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20002,0,0,0,0,0,0,0,0,0,65,33,8,107,0,0,7,107,77,6,185
SAL20003,0,0,0,0,0,0,0,0,0,52,38,3,95,0,8,8,98,51,0,146
SAL20004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SAL20006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20007,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,8
SAL20008,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4
SAL20009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5
SAL20010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20011,0,0,0,0,0,0,4,0,4,53,43,8,107,4,6,6,120,61,0,179
SAL20012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20013,0,0,0,0,0,0,0,0,0,14,13,0,26,0,0,0,26,10,0,34
SAL20014,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3
SAL20015,4,4,0,0,0,4,3,9,13,135,94,16,242,5,4,8,256,152,6,411
SAL20016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20017,0,0,0,0,0,0,5,7,12,76,63,14,148,8,19,26,176,205,11,389
SAL20018,0,0,0,0,0,0,0,4,4,86,39,5,134,3,5,10,144,55,4,201
SAL20019,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,3,5,0,13
SAL20020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8
SAL20021,0,0,0,0,0,0,4,0,6,43,39,13,97,5,9,11,112,89,5,197
SAL20022,4,4,0,0,0,4,3,0,6,28,26,9,62,3,4,8,65,45,4,114
SAL20023,0,3,0,0,0,3,3,4,11,208,181,30,422,8,14,24,440,149,4,595
SAL20024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3
SAL20027,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,8,4,0,10
SAL20028,0,0,0,0,0,0,0,0,0,22,10,0,31,0,0,0,35,22,0,50
SAL20029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4
SAL20030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20031,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,6,5,0,9
SAL20032,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3
SAL20033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
SAL20034,0,0,0,0,0,0,0,0,0,60,54,9,116,0,0,4,120,60,0,177
SAL20035,5,0,0,0,0,0,0,0,4,182,91,20,286,7,8,16,299,177,3,480
SAL20036,0,0,0,0,0,0,4,12,17,274,197,43,511,35,12,48,561,418,15,987
SAL20037,0,0,0,0,0,0,0,3,5,157,111,21,288,14,12,28,315,295,10,617
SAL20038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8
SAL20039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SAL20040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20041,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,5,3,0,6
SAL20042,0,0,0,0,0,0,0,0,0,6,4,0,7,0,0,0,10,3,0,13
SAL20043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
SAL20044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20046,0,0,0,0,0,0,0,0,0,22,21,5,51,0,0,0,48,23,0,77
SAL20047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20049,0,0,0,0,0,0,0,0,0,18,21,3,46,0,0,5,47,18,0,63
SAL20050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
SAL20051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SAL20053,0,0,0,0,0,0,3,0,7,103,106,18,223,13,9,17,239,145,3,392
SAL20054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20056,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,5,3,0,5
SAL20057,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,3,5,0,7
SAL20058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20062,0,0,0,0,0,0,0,7,4,43,33,7,86,8,10,15,107,59,7,168
SAL20063,0,0,0,0,0,0,0,0,0,0,4,5,7,0,0,0,11,8,0,19
SAL20064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,9
SAL20066,0,0,0,0,0,0,0,0,0,117,75,12,207,9,5,11,217,93,0,310
SAL20067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20068,0,0,0,0,0,0,0,0,0,175,164,21,359,9,10,17,373,88,0,464
SAL20069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20071,0,0,0,0,0,0,0,0,0,4,3,0,9,0,0,0,9,0,0,9
SAL20072,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,5,0,0,9
SAL20073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20074,0,0,0,0,0,0,0,0,3,29,30,7,62,3,0,4,70,49,0,115
SAL20075,4,3,0,0,0,8,0,6,14,147,114,14,273,21,9,26,298,232,9,540
SAL20076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20077,0,0,0,0,0,0,0,0,0,83,64,5,163,4,9,12,177,87,0,265
SAL20078,0,0,0,0,0,0,0,4,0,102,64,7,170,5,7,8,182,138,5,322
SAL20079,0,0,0,0,0,0,6,0,8,89,75,12,170,0,0,3,169,104,0,277
SAL20080,0,0,0,0,0,0,0,0,0,79,57,3,135,4,5,6,143,62,0,201
SAL20081,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,5
SAL20082,0,0,0,0,0,0,0,0,0,41,32,4,75,0,0,0,80,38,0,115
SAL20083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7
SAL20086,0,0,0,0,0,0,0,0,0,15,17,3,38,0,0,0,38,13,0,52
SAL20087,0,0,0,0,0,0,0,0,0,6,10,0,19,3,0,4,24,36,0,60
SAL20088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20089,0,0,0,0,0,0,5,4,7,153,109,21,285,9,8,14,298,249,4,553
SAL20090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20091,0,0,0,0,0,0,0,0,0,14,16,0,26,0,0,0,26,6,0,36
SAL20092,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,8
SAL20093,0,0,0,0,0,0,0,0,0,5,5,0,9,0,0,3,13,13,0,21
SAL20094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20095,0,0,0,0,0,3,0,3,5,137,95,20,243,7,4,14,257,157,3,412
SAL20096,0,0,0,0,0,0,0,0,0,4,4,0,8,0,0,0,8,8,0,12
SAL20097,0,0,0,0,0,0,0,0,0,19,28,3,50,0,4,3,52,21,0,77
SAL20098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20099,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,0,8
SAL20100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
SAL20103,0,0,0,0,0,0,3,3,8,101,110,16,230,4,12,16,249,190,10,449
SAL20104,0,0,0,0,0,0,0,0,0,4,3,0,6,0,0,5,13,0,0,13
SAL20105,0,0,0,0,0,0,0,0,5,51,30,6,89,0,0,3,89,46,4,141
SAL20106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3
SAL20107,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,8,0,0,8
SAL20108,0,0,0,0,0,0,0,0,0,47,35,3,85,3,0,3,90,62,0,155
SAL20109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20111,0,0,0,0,0,0,0,0,3,68,57,4,128,10,0,6,137,80,0,219
SAL20112,0,0,0,0,0,0,0,0,0,73,80,13,167,13,9,23,192,135,3,326
SAL20113,0,0,0,0,0,0,4,0,3,47,43,3,96,4,0,3,97,95,3,196
SAL20114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
SAL20115,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,5,0,0,8
SAL20116,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,4,5,0,6
SAL20117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
SAL20119,0,0,0,0,0,0,0,0,0,6,4,0,6,0,0,0,7,0,0,6
SAL20120,0,0,0,0,0,0,0,0,0,29,21,0,50,0,0,0,47,20,0,66
SAL20121,0,0,0,0,0,0,0,0,0,3,5,0,12,0,0,0,8,7,0,14
SAL20122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20123,0,4,0,0,0,4,0,4,5,185,147,17,350,7,8,19,368,239,7,609
SAL20124,0,0,0,0,0,0,0,8,11,220,183,16,421,13,12,32,448,374,9,830
SAL20125,0,0,0,0,0,0,0,0,0,4,4,0,6,0,0,0,6,3,0,15
SAL20126,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,5,6,0,8
SAL20127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20129,0,0,0,0,0,0,0,0,0,4,8,4,18,0,0,0,18,8,0,27
SAL20130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20131,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,6,19,0,30
SAL20132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20133,0,0,0,0,0,0,0,0,0,74,77,11,155,3,0,0,155,54,0,214
SAL20134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20136,0,0,0,0,0,0,0,0,6,34,22,3,57,0,0,0,57,16,0,75
SAL20137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
SAL20139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20140,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6,0,0,6
SAL20141,0,0,0,0,0,0,0,0,0,4,6,0,4,0,0,0,10,0,0,9
SAL20142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20144,0,0,0,0,0,0,0,0,0,4,4,0,5,0,0,0,5,0,0,9
SAL20145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20146,0,0,0,0,0,0,0,0,0,0,6,3,16,0,0,0,15,3,0,22
SAL20147,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,5
SAL20148,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0
SAL20149,0,0,0,0,0,0,0,0,0,9,0,0,11,0,0,0,8,0,0,15
SAL20150,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,5,4,0,5
SAL20151,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,6,4,0,5
SAL20152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20161,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,3
SAL20162,0,0,0,0,0,0,0,0,0,42,44,0,91,0,3,5,91,37,0,133
SAL20163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20164,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,10,0,14
SAL20165,0,0,0,0,0,0,0,0,0,10,0,0,12,0,0,0,12,5,0,19
SAL20166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20169,0,0,0,0,0,0,0,0,3,39,32,3,74,0,3,5,81,30,5,117
SAL20170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20171,0,0,0,0,0,0,0,0,0,4,3,0,5,0,0,0,5,8,0,15
SAL20172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SAL20173,0,4,0,0,0,4,3,0,6,211,155,29,391,4,8,20,410,248,0,656
SAL20174,0,0,0,0,0,0,5,7,7,142,121,17,276,3,3,10,292,160,4,453
SAL20175,0,0,0,0,0,0,0,0,3,91,68,10,167,0,0,3,167,67,0,235
SAL20176,0,0,0,0,0,0,0,0,0,16,13,5,32,0,0,0,31,14,0,49
SAL20177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,8
SAL20178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
SAL20179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SAL20180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20181,0,0,0,0,0,0,0,4,3,21,15,4,35,0,0,0,35,42,4,82
SAL20182,0,0,0,0,0,0,0,3,7,137,94,12,241,13,4,13,258,137,3,394
SAL20183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20184,0,0,0,0,0,0,0,0,0,5,5,0,9,0,0,0,9,4,0,13
SAL20185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
SAL20186,0,0,0,0,0,0,0,4,4,48,61,11,117,0,4,0,119,49,8,171
SAL20187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20188,0,0,0,0,0,0,0,0,0,79,62,6,147,0,6,6,150,55,0,202
SAL20189,0,0,0,0,0,0,0,0,0,15,19,0,37,0,0,0,39,21,0,56
SAL20190,0,0,0,0,0,0,0,0,0,11,13,7,29,0,4,4,29,9,0,45
