SAL_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SAL20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20002,1318,2624,0,16,33,136,3,15,371,1278,409,1448,21,84,48,160,75,250,142,492,555,1937,0,4,14,36,0,3,71,160,84,205,3,6,25,51,78,162,102,223,185,427,59,129,2127,5117
SAL20003,319,650,8,52,61,287,11,44,240,943,320,1327,64,284,101,376,113,367,278,1036,600,2356,3,3,13,38,6,16,35,83,52,149,10,37,33,67,55,114,98,222,146,366,13,26,1074,3393
SAL20004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SAL20005,32,60,0,0,0,4,0,7,9,22,10,30,0,3,0,3,0,5,4,12,12,41,0,0,0,0,0,3,0,4,4,4,0,0,0,6,0,3,0,5,4,8,0,0,41,108
SAL20006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL20007,11,18,0,0,0,3,0,6,4,25,10,29,0,0,0,0,0,4,0,4,9,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,8,8,7,0,0,27,68
SAL20008,12,19,0,0,0,0,0,0,7,15,7,15,0,0,0,0,0,3,0,3,8,18,0,0,0,4,0,0,0,4,4,3,0,0,0,0,0,0,0,0,4,3,0,0,21,44
SAL20009,12,24,0,0,0,8,0,0,8,19,5,31,0,0,0,3,0,0,0,9,8,35,0,4,0,0,0,0,0,4,0,3,0,0,0,0,0,4,0,4,5,13,0,5,27,77
SAL20010,10,20,0,3,0,0,0,0,0,4,0,10,0,0,0,0,0,3,0,3,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,34
