SAL_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SAL21129,0,3,0,91,14,4,0,21,0,8,0,0,0,0,34,77,5,0,0,0,0,0,0,0,0,0,0,10,207,58,9,355,57,114,16,45,17,64,39,986
SAL21130,0,0,0,132,4,6,0,9,0,4,0,0,0,3,21,45,0,0,0,0,0,0,0,0,0,0,0,0,155,32,7,271,45,91,15,21,6,37,21,708
SAL21131,0,20,0,1191,23,4,0,29,6,9,0,3,0,0,47,131,3,0,0,0,0,5,0,0,0,0,11,13,571,84,10,617,81,319,19,61,16,102,56,1930
SAL21132,0,5,0,286,5,0,0,4,3,3,0,0,0,3,16,39,0,0,0,0,0,0,0,0,0,0,3,10,183,23,4,210,48,95,3,22,7,36,22,646
SAL21133,5,14,0,217,18,0,0,16,3,31,0,17,8,22,90,211,0,0,0,0,0,3,0,0,4,8,19,31,623,138,16,633,98,926,33,344,80,545,129,3584
SAL21134,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,7,0,3,0,0,0,0,0,24
SAL21135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
SAL21136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8
SAL21137,0,0,0,24,0,0,0,3,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,25,8,0,33,4,17,3,4,3,9,3,107
SAL21138,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,11,0,5,0,0,0,0,0,30
SAL21139,0,3,0,68,0,4,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,45,8,3,56,8,25,0,4,0,11,4,160
SAL21140,0,5,0,147,9,3,0,17,0,15,4,3,3,10,42,107,0,0,0,0,0,0,0,0,0,6,8,17,349,68,21,415,91,369,29,123,40,133,58,1691
SAL21141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
SAL21142,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,12,4,6,0,0,0,0,8,40
SAL21143,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,17
